code,scientific,top_page,family,local_name,country,wikipedia,photo,occurance,leaf_type,leaf_attachment,leaf_shape,flow_size,fruit_size,canopy_shape,bark,flower,fruit,leaf_size,fruiting_month,leaf_margin,leaf_veination ,petiole,sessile,scale,evergreen,deciduous
ARIN,artocarpus incisus,61,Moraceae,Neer Phanas,South East  Asia,,no,Rare,Simple,Alternate,lobed,5-8cm,10-15cm,oval,,Green,Oblong Green,13,"May,Jun",Entire,Reticulate,yes,No,No,Yes,No
STUR,sterculia urens,61,Sterculiaceae,Kandol,India-Pune,http://en.wikipedia.org/wiki/Sterculia,yes,occasional,Simple,Alternate,lobed,10-20cm,2-3cm,spreading,"white,smooth,papery,peeling off",Green,Oblong,25,March,Entire,Reticulate,Yes,No,No,No,Yes
CAPA,carica papaya,62,Caricaceae,Papayi,America,http://en.wikipedia.org/wiki/Papaya,yes,common,Simple,Alternate,lobed,2-3cm,20-30cm,globular,"with scars of fallen leaves soft,with milky juice",Greenish white,Orangish yellow,30,Jan-Dec,Peltet,Reticulate,Yes,No,No,Yes,No
ZICA,ziziphus caracutta (did not find the name),62,Rhamnaceae,Ghatbor,India-Pune,,no,occasional,Simple,Alternate,lobed,6mm,2-3cm,oval,,Green,Woody Globose,4,"May,June",Serrate,Reticulate,Yes,No,No,No,Yes
ZIOE,ziziphus oenoplia,62,Rhamnaceae,,India-Pune,http://en.wikipedia.org/wiki/Ziziphus_oenoplia,yes,occasional,Simple,Alternate,oblong,6mm,2-3cm,oval,,Green,Woody Globose,4,"May,June",Serrate,Reticulate,Yes,No,No,No,Yes
DRRO,drypetes roxburghii,63,Euphorbiaceae,Putranjiva,India-Kokan,,no,occasional,Simple,Alternate,oblong,2-3cm,1-2cm,trailing,,Greenish yellow,Whitish green,6,March,Undulate,Reticulate,Yes,No,No,Yes,No
PURO,putranjiva roxburghii,63,Euphorbiaceae,Putranjiva,India-Kokan,http://en.wikipedia.org/wiki/Putranjiva,yes,occasional,Simple,Alternate,oblong,2-3cm,1-2cm,trailing,,Greenish yellow,Whitish green,6,March,Undulate,Reticulate,Yes,No,No,Yes,No
PYMA,pyrus malus,63,Rosaceae,Apple,India-Himalayas,http://en.wiktionary.org/wiki/Pyrus_malus,yes,Rare,Simple,Alternate,oblong,3 cm,5-8cm,irregular,,White,Pinkish Green,6,"March,April",Entire,Reticulate,Yes,No,No,No,Yes
MAHE,manilkara hexandra,64,Sapotaceae,Khirni,India,http://en.wikipedia.org/wiki/Manilkara_hexandra,yes,occasional,Simple,Alternate,oblong,1cm,3cm,spreading,,White,Yellow,8,"Octo,Nov",Entire,Reticulate,Yes,No,No,Yes,No
ZIGL,ziziphus glabrata,64,Rhamnaceae,Bor,India-Pune,,no,Rare,Simple,Alternate,oblong,,1-2cm,globular,,Greenish yellow,Orange,6,May,Serrate,Reticulate,Yes,No,No,No,Yes
ZIMA,ziziphus mauritiana,64,Rhamnaceae,Bor,India-Pune,http://en.wikipedia.org/wiki/Ziziphus_mauritiana,yes,Rare,Simple,Alternate,oblong,,1-2cm,globular,,Greenish yellow,Orange,6,May,Serrate,Reticulate,Yes,No,No,No,Yes
COGH,cordia gharaf,65,Boraginaceae,Gondan,India,http://en.wikipedia.org/wiki/Cordia,yes,occasional,Simple,Alternate,oblong,5cm,1cm,irregular,"grey,furrowed.",White,Orange,8,Nov,Entire,Reticulate,Yes,No,No,No,Yes
ONRO,oncoba routledge,65,Flacourtiaceae,Fried Egg Plant,Africa,,no,Rare,Simple,Alternate,oblong,5-8cm,5-10cm,spreading,,Fragrant white,"Brown,woody",8,"Jan,Feb,Jun,July",Wavy,Reticulate,Yes,No,No,No,Yes
CHOL,chrysophyllum oliviforme,66,Sapotaceae,Tarsi,America,http://en.wikipedia.org/wiki/Chrysophyllum_oliviforme,yes,Rare,Simple,Alternate,oblong,,3-4 cm,irregular,,Yellow,Yellowish green,8,"Sep,Octo",Acuminate,Reticulate,Yes,No,No,Yes,No
DIME,diospyros melanoxylon,66,Ebenaceae,Temru,India-Pune,http://en.wikipedia.org/wiki/Diospyros_melanoxylon,yes,occasional,Simple,Alternate,oblong,,2-3cm,oval,black branches grey tomentose.,"Small,dirty,white",Ovoid yellow,10,March,Entire,Reticulate,yes,No,No,No,Yes
ANMU,annona muricata,67,Annonaceae,Hanuman Phal,Carribbean,http://en.wikipedia.org/wiki/Annona_muricata,yes,Rare,Simple,Alternate,oblong,3-4cm,8-12cm,erect,,Greenish yellow,Ovoid green,10,Jan-April,Entire,Reticulate,yes,No,No,Yes,No
MITO,miliusa tomentosa,67,Annonaceae,Humb,India-Pune,,no,occasional,Simple,Alternate,oblong,2-3cm,1-2cm,irregular,,Redish yellow,Globose purple,10,"Feb,March",Entire,Reticulate,yes,No,No,No,Yes
CHCA,chrysophyllum cainito,68,Sapotaceae,Star Apple,America,http://en.wikipedia.org/wiki/Chrysophyllum_cainito,yes,occasional,Simple,Alternate,oblong,5cm,5cm,irregular,,yellow,Green globose,10,"Sep,Octo",Acuminate,Reticulate,yes,No,No,Yes,No
TEAR,terminalia arjuna,68,Combretaceae,Arjun,India-Pune,http://en.wikipedia.org/wiki/Terminalia_arjuna,yes,occasional,Simple,Alternate,oblong,10-15cm,3-5cm,globular,"yellowish white ,smooth.",Yellow fragrant,Ovoid Wings hard,10,"March,April",Entire,Reticulate,yes,No,No,No,Yes
TECU,terminalia cuneata,68,Combretaceae,Arjun,India-Pune,,no,occasional,Simple,Alternate,oblong,10-15cm,3-5cm,globular,,Yellow fragrant,Ovoid Wings hard,10,"March,April",Entire,Reticulate,yes,No,No,No,Yes
TEEL,terminalia elliptica,68,Combretaceae,Arjun,India-Pune,http://en.wikipedia.org/wiki/Terminalia_elliptica,yes,occasional,Simple,Alternate,oblong,10-15cm,3-5cm,globular,,Yellow fragrant,Ovoid Wings hard,10,"March,April",Entire,Reticulate,yes,No,No,No,Yes
ALSA,alangium salvifolium,69,Alangiaceae,Ankol,India,http://en.wikipedia.org/wiki/Alangium,yes,Rare,Simple,Alternate,oblong,2-3cm,2 cm,irregular,light coloured.,White Fragrant,Purplish red,11,"March,April",Acuminate,Reticulate,yes,No,No,No,Yes
BUCO,buchanania cochinchinensis,69,Anacardiaceae,Charoli,India-Pune,,no,occasional,Simple,Alternate,oblong,10-20cm,1cm,irregular,,Green,Black edible,12,Feb,Entire,Reticulate,yes,No,No,No,Yes
DIPE,diospyros peregrina,70,Ebenaceae,Temburni,India,http://en.wikipedia.org/wiki/Diospyros,yes,occasional,Simple,Alternate,oblong,1cm,3-7cm,globular,,Creamy white,Globose red,12,March,Wavy,Reticulate,yes,No,No,Yes,No
MAGR,magnolia grandiflora,70,Magnoliaceae,Magnolia,America,http://en.wikipedia.org/wiki/Magnolia_grandiflora,yes,Rare,Simple,Alternate,oblong,15cm,,erect,smooth flaky.,Fragrant white,Ovoid cluster,15,"March,April",Entire,Reticulate,yes,No,No,Yes,No
MAIN,mangifera indica,71,Anacardiaceae,Amba,India,http://en.wikipedia.org/wiki/Mangifera_indica,yes,common,Simple,Alternate,oblong,10-20cm,5-10cm,globular,,Green Small,Yellow Ovoid,20,"Feb,march",Undulate,Reticulate,yes,No,No,Yes,No
RAMA,ravenala madagascariensis,71,Musaceae,Traveler's Palm,Madagascar,http://en.wikipedia.org/wiki/Ravenala,yes,occasional,Simple,Alternate,oblong,3-5cm,,spreading,"cylindric, with scars of fallen leaves.",Creamish,No,250,"Feb,March",Entire,Reticulate,yes,No,No,Yes,No
FINA,ficus natalensis,72,Moraceae,Triangle Leaf Tree,"Natal, South Africa",http://en.wikipedia.org/wiki/Ficus_natalensis,yes,Rare,Simple,Alternate,ovate,,,spreading,,No,No,4,No,Entire,Reticulate,yes,No,No,Yes,No
PHAC,phyllanthus acidus,72,Euphorbiaceae,Ray Awala,Madagascar,http://en.wikipedia.org/wiki/Phyllanthus_acidus,yes,common,Simple,Alternate,ovate,,1-2cm,irregular,,Small pink,"globose ribbed,edible",4,"April ,May,Nov,Dec",Entire,Reticulate,yes,No,No,Yes,No
MARO,maytenus rothiana,73,Celastraceae,Henkal,India-Pune,http://en.wikipedia.org/wiki/Maytenus,yes,occasional,Simple,Alternate,ovate,6-8cm,6-8cm,erect,,white,Globose Purple,6,"Feb,march",Crenulate,Reticulate,yes,No,No,No,Yes
MASE,maytenus senegalensis,73,Celastraceae,Henkal,India-Pune,http://es.wikipedia.org/wiki/Maytenus_senegalensis,yes,occasional,Simple,Alternate,ovate,6-8cm,6-8cm,erect,,white,Globose Purple,6,"Feb,march",Crenulate,Reticulate,yes,No,No,No,Yes
PODE,populus deltoides,73,Salicaceae,Poplar,North America,http://en.wikipedia.org/wiki/Populus_deltoides,yes,occasional,Simple,Alternate,oblong,,,vase shaped,,No,No,8,No,toothed margin,Reticulate,yes,No,No,No,Yes
CODI,cordia dichotoma,74,Boraginaceae,Bhokar,India-Pune,http://en.wikipedia.org/wiki/Cordia_dichotoma,yes,occasional,Simple,Alternate,oblong,5-10cm,1-2cm,trailing,,White,Globose pink,8,March,Entire,Reticulate,yes,No,No,Yes,No
COMA,cordia macleodii,74,Boraginaceae,Bhokar,India-Pune,http://en.wikipedia.org/wiki/Cordia,yes,occasional,Simple,Alternate,oblong,5-10cm,1-2cm,trailing,,White,Globose pink,8,March,Entire,Reticulate,yes,No,No,Yes,No
HUCR,hura crepitans,74,Euphorbiaceae,Sandbox Tree,America,http://en.wikipedia.org/wiki/Hura_crepitans,yes,occasional,Simple,Alternate,oblong,3-5cm,5-10cm,erect,with conical prickles.branches with yellow juice.,Greenish pink solitary,"Globose,Ribbed",8,"Aug,Sep",Acuminate,Reticulate,yes,No,No,No,Yes
JAIN,jatropha integerrima,75,Euphorbiaceae,Fiddle Head Jatropha,Africa,http://en.wikipedia.org/wiki/Jatropha_integerrima,yes,occasional,Simple,Alternate,oblong,2-3cm,1cm,irregular,,Red/Pink,oblong green,8,Jan-Dec,Acuminate,Reticulate,yes,No,No,Yes,No
JAPA,jatropha pandurifolia,75,Euphorbiaceae,Fiddle Head Jatropha,Africa,http://en.wikipedia.org/wiki/Jatropha,yes,occasional,Simple,Alternate,oblong,2-3cm,1cm,irregular,,Red/Pink,oblong green,8,Jan-Dec,Acuminate,Reticulate,yes,No,No,Yes,No
THPO,thespesia populnea,75,Malvaceae,Paras Bhendi,India-Kokan,http://en.wikipedia.org/wiki/Thespesia_populnea,yes,occasional,Simple,Alternate,oblong,5-8cm,2-3cm,globular,,Pink,Globose,8,"Aug,Sep",Acuminate,Reticulate,yes,No,No,Yes,No
MAPH,mallotus philippensis,76,Euphorbiaceae,Kapila,India,http://en.wikipedia.org/wiki/Mallotus_philippensis,yes,Rare,Simple,Alternate,oblong,5-10cm,8-12cm,irregular,,Small yellow,Red Powdary,8,Dec,Acuminate,Reticulate,yes,No,No,Yes,No
PRSE,prunus serrulata,76,Rosaceae,Cherry Blossom,Japan,http://en.wikipedia.org/wiki/Prunus_serrulata,yes,,Simple,Alternate,oblong,3 cm,,irregular,,Pink,No,10,"Feb,March",Serrate,Reticulate,yes,No,No,No,Yes
BAAC,barringtonia acutangula,77,Barringtoniaceae,Newar,India-Kokan,http://en.wikipedia.org/wiki/Barringtonia_acutangula,yes,occasional,Simple,Alternate,oblong,3-5cm,3-4 cm,spreading,,Fragrant red,Green,10,"may,June",Entire,Reticulate,yes,No,No,Yes,No
BIOR,bixa orellana,77,Bixaceae,Shedri,Tropical America,http://en.wikipedia.org/wiki/Bixa_orellana,yes,occasional,Simple,Alternate,oblong,5cm,3-5cm,oval,,Pink,Ovoid red,10,"Aug,Sep",Entire,Reticulate,yes,No,No,Yes,No
FIAR,ficus arnottiana,78,Moraceae,Pimpal,India-Pune,,no,common,Simple,Alternate,oblong,,,globular,,No,No,10,No,Acuminate,Reticulate,yes,No,No,No,Yes
FIRE,ficus religiosa,78,Moraceae,Pimpal,India-Himalayas,http://en.wikipedia.org/wiki/Ficus_religiosa,yes,common,Simple,Alternate,oblong,,,globular,"lihgt coloured,branches with milky juice and withought aerial roots.",No,No,10,No,Acuminate,Reticulate,yes,No,No,No,Yes
KLHO,kleinhovia hospita,78,Sterculiaceae,Tree Antigonon,Africa and Australia,http://en.wikipedia.org/wiki/Kleinhovia_hospita,yes,occasional,Simple,Alternate,oblong,10-15cm,,oval,,Pink,Yellowish brown,10,July,Acuminate,Reticulate,yes,No,No,No,Yes
COUV,coccoloba uvifera,79,Polygonaceae,Sea-Grape Tree,Tropical America,http://en.wikipedia.org/wiki/Coccoloba_uvifera,yes,Rare,Simple,Alternate,oblong,15-25cm,1-2cm,irregular,branches crooked.,Fragrant white,Globose red,12,March,Entire,Reticulate,yes,No,No,Yes,No
MOAL,morus alba,79,Moraceae,Tuti,China,http://en.wikipedia.org/wiki/Morus_alba,yes,occasional,Simple,Alternate,oblong,2-3cm,3-5cm,irregular,"yellowish grey, flacky.",green,Reddish black,10,March,Acuminate,Reticulate,yes,No,No,No,Yes
COSE,cordia sebestena,80,Boraginaceae,Scarlet Cordia,Peru,http://en.wikipedia.org/wiki/Cordia_sebestena,yes,occasional,Simple,Alternate,oblong,2-3cm,3-4 cm,oval,"grey,rough,furrowed.",bright orange,Ovoid Greenish white,12,"Feb,March",Entire,Reticulate,yes,No,No,Yes,No
FIBE,ficus benghalensis,80,Moraceae,Wad,India,http://en.wikipedia.org/wiki/Ficus_benghalensis,yes,common,Simple,Alternate,oblong,,,spreading,,No,No,12,"March,April",Entire,Reticulate,yes,No,No,No,Yes
FIBE,ficus benghalensis var. krishnae,80,Moraceae,Wad,India,,no,common,Simple,Alternate,oblong,,,spreading,,No,No,12,"March,April",Entire,Reticulate,yes,No,No,No,Yes
FIMO,ficus mollis,81,Moraceae,Kallu Goli,India-Karnataka,,no,Rare,Simple,Alternate,oblong,,,spreading,"white ,scaly branches wiith thin aerial roots, young branches with rusty tomentum.",No,No,12,"March,April",Entire,Reticulate,yes,No,No,No,Yes
GRAS,grewia asiatica,81,Tiliaceae,Phalsa,India-Pune,http://en.wikipedia.org/wiki/Grewia_asiatica,yes,occasional,Simple,Alternate,oblong,1cm,1cm,trailing,short crooked. Branches hairy.,Yellow,red,12,July,toothed margin,Reticulate,Yes,No,No,No,Yes
CAAR,careya arborea,82,Lecythidaceae,Kumbha,India-Kokan,http://en.wikipedia.org/wiki/Careya_arborea,yes,Rare,Simple,Alternate,oblong,5cm,5-8cm,globular,,White,Round green,15,March April,Acuminate,Reticulate,Yes,No,No,No,Yes
PTAL,pterygota alata,82,Sterculiaceae,Buddha Coconut,India-Andamans,http://en.wikipedia.org/wiki/Pterygota_(plant),yes,occasional,Simple,Alternate,oblong,3 cm,10-12cm,oval,,Red,Globose brown,15,April,Entire,Reticulate,Yes,No,No,No,Yes
STAL,sterculia alata,82,Sterculiaceae,Buddha Coconut,India-Andamans,http://en.wikipedia.org/wiki/Sterculia,yes,occasional,Simple,Alternate,oblong,3 cm,10-12cm,oval,,Red,Globose brown,15,April,Entire,Reticulate,Yes,No,No,No,Yes
FICA,ficus carica,83,Moraceae,Anjeer,South West Asia,http://commons.wikimedia.org/wiki/Ficus_carica,yes,occasional,Simple,Alternate,oblong,,,irregular,,No,No,15,"Jun,July,Aug",Sinuate,Reticulate,Yes,No,No,No,Yes
FISP,ficus spp,83,Moraceae,Anjeer,South West Asia,http://en.wikipedia.org/wiki/Ficus,yes,occasional,Simple,Alternate,oblong,,,irregular,,No,No,15,"Jun,July,Aug",Sinuate,Reticulate,Yes,No,No,No,Yes
SEAN,semecarpus anacardium,83,Anacardiaceae,Bibba,India-Pune,http://en.wikipedia.org/wiki/Semecarpus_anacardium,yes,occasional,Simple,Alternate,oblong,,3cm,globular,,Greenish white,"Smooth ,black",15,july aug,Entire,Reticulate,Yes,No,No,No,Yes
FIDR,ficus drupacea var. pubescens,84,Moraceae,Burali Wad,India-Karnataka,,no,Rare,Simple,Alternate,oblong,,,oval,,No,No,15,"April,May",Acuminate,Reticulate,Yes,No,No,No,Yes
FILY,ficus lyrata,84,Moraceae,Fiddleleaf Fig,Africa,http://en.wikipedia.org/wiki/Ficus_lyrata,yes,occasional,Simple,Alternate,oblong,,,oval,,No,No,20,"Jun,July",Wavy,Reticulate,Yes,No,No,Yes,No
FIMY,ficus mysorensis,84,Moraceae,Burali Wad,India-Karnataka,,no,Rare,Simple,Alternate,oblong,,,oval,,No,No,15,"April,May",Acuminate,Reticulate,Yes,No,No,No,Yes
GIRO,givotia rottleriformis,85,Euphorbiaceae,Panki,India-Pune,,no,occasional,Simple,Alternate,oblong,10-20cm,2-3cm,globular,,Small yellow,Globose,20,April,Dentate,Reticulate,Yes,No,No,No,Yes
TECA,terminalia catappa,85,Combretaceae,Badam,Moluccas,http://en.wikipedia.org/wiki/Terminalia_catappa,yes,common,Simple,Alternate,oblong,15-25cm,5-8cm,spreading,,Fragrant yelow,Ribbed pink,20,"July,Aug",Entire,Reticulate,Yes,No,No,No,Yes
BAAS,barringtonia asiatica,86,Barringtoniaceae,Samudraphal,Australia  and Malaysia,http://en.wikipedia.org/wiki/Barringtonia_asiatica,yes,Rare,Simple,alternate,elliptic,20-30cm,5-10cm,oval,brown.,White,Green,30,"March,April",Entire,Reticulate,No,Yes,No,Yes,No
LAIN,lawsonia inermis,86,Lythraceae,Mendi,Egypt,http://en.wikipedia.org/wiki/Henna,yes,occasional,Simple,opposite,oblong,1cm,6mm,irregular,,Fragrant white,Globose,3,May,Entire,Reticulate,No,Yes,No,No,Yes
MAGL,malpighia glabra,87,Malpighiaceae,Barbados Cherry,West Indies,http://en.wikipedia.org/wiki/Malpighia_emarginata,yes,Rare,Simple,opposite,Elliptic,1cm,1-2cm,oval,,Pink,"Red,Edible",5,"July,Aug",Entire,Reticulate,No,Yes,No,Yes,No
MEUM,memecylon umbellatum,87,Melastomaceae,Anjani,India-Kokan,http://en.wikipedia.org/wiki/Memecylon_umbellatum,yes,Rare,Simple,opposite,Elliptic,5-6cm,6-8cm,oval,,Bluish Purple,Purplish Black,6,"April,May",Acuminate,Reticulate,yes,No,No,Yes,No
MELA,meyna laxiflora,88,Rubiaceae,Alu,India-Pune,,no,occasional,Simple,opposite,Elliptic,,3-5cm,irregular,dark smooth.,Scars,"Globose,brown",8,March,Acuminate,Reticulate,yes,No,No,Yes,No
SAAL,santalum album,88,Santalaceae,Chandan,India-Pune,http://en.wikipedia.org/wiki/Santalum_album,yes,common,Simple,opposite,Elliptic,4-6cm,1cm,globular,,Brownish red,Purple black,6,"July,Aug",Entire,Reticulate,No,Yes,No,Yes,No
OSFR,osmanthus fragrans,89,Oleaceae,Tea Olive,Ease Asia,http://en.wikipedia.org/wiki/Osmanthus_fragrans,yes,Rare,Simple,opposite,Elliptic,5cm,1cm,oval,,Fragrant white,Green,8,March,Entire,Reticulate,yes,No,No,Yes,No
PROB,premna obtusifolia,89,Rubiaceae,Agnimanth,India-Kokan,,no,Rare,Simple,opposite,Elliptic,10-15cm,8mm,irregular,,White,"Purple,globose",8,"Octo,",Entire,Reticulate,yes,No,No,Yes,No
STNU,strychnos nuxvomica (strychnos nux vomica),90,Loganiaceae,Kajra,India-Kokan,http://en.wikipedia.org/wiki/Strychnos_nux-vomica,yes,Rare,Simple,opposite,Elliptic,,3-7cm,oval,,Green,"Globose,Orange",8,April,Entire,Reticulate,yes,No,No,Yes,No
TACO,tabernaemontana coronaria,90,Apocynaceae,Tagar,West Indies,http://en.wikipedia.org/wiki/Tabernaemontana,yes,common,Simple,opposite,Elliptic,5-10cm,,spreading,,"Fragrant,white",No,8,"Jan,Mar,May,July,sep,Nov",Acuminate,Reticulate,yes,No,No,Yes,No
GALI,garcinia livingstonei,91,Clusiaceae,African Mangosteine,Africa,http://en.wikipedia.org/wiki/Garcinia_livingstonei,yes,Rare,Simple,opposite,Elliptic,1cm,3-4 cm,vase shaped,,"Yellowish,white","Globose,Orange",10,"Octo,",Entire,Reticulate,yes,No,No,Yes,No
OLDI,olea dioica,91,Oleaceae,Par Jambhul,India-Kokan,,no,Rare,Simple,opposite,Elliptic,15-20cm,1-2cm,oval,,Compound,"Purple,Ellipsoid",10,Dec,Serrate,Reticulate,yes,No,No,Yes,No
GAIN,garcinia indica,92,Clusiaceae,Kokam,India-Kokan,http://en.wikipedia.org/wiki/Garcinia_indica,yes,occasional,Simple,opposite,Elliptic,1cm,3cm,erect,,No,"smooth,Purple",10,Dec,Entire,Reticulate,yes,No,No,Yes,No
PIDI,pimenta dioica,92,Lauraceae,Allspice,South America,http://en.wikipedia.org/wiki/Pimenta_(genus),yes,Rare,Simple,opposite,Elliptic,,1cm,irregular,,Yellow small,Oblong,10,No,Entire,Reticulate,yes,No,No,Yes,No
CAGL,cassine glauca,93,Celastraceae,Bhutiya,India-Pune,,no,occasional,Simple,opposite,Elliptic,10cm,1cm,oval,,Greenish white,"Green,abovoid",10,Sep,Crenate-serrate,Reticulate,yes,No,No,Yes,No
GAAN,gardenia angusta,93,Rubiaceae,,South East  Asia,http://commons.wikimedia.org/wiki/File:Gardenia_angusta.JPG,yes,occasional,Simple,opposite,Elliptic,4-6cm,2-3cm,globular,,"Fragrant,white",Globose woody,10,June,Acuminate,Reticulate,yes,No,No,No,Yes
GARE,gardenia resinifera,93,Rubiaceae,Dikemali,India-Kokan,http://en.wikipedia.org/wiki/Gardenia,yes,occasional,Simple,opposite,Elliptic,4-6cm,2-3cm,globular,resinous.,"Fragrant,white",Globose woody,10,June,Acuminate,Reticulate,yes,No,No,No,Yes
CISP,citharexylum spinosum,94,Verbenaceae,Seetaranjan,Central and South America,http://en.wikipedia.org/wiki/Citharexylum_spinosum,yes,occasional,Simple,opposite,Elliptic,10-20cm,5mm,erect,"grey.branches spinous,4 angled, drooping.",Fragrant white,Orange Fleshy,10,"Jan,July",Serrate,Reticulate,No,Yes,No,No,Yes
COAR,coffea arabica,94,Rubiaceae,Coffee,Arabia,http://en.wikipedia.org/wiki/Coffea_arabica,yes,occasional,Simple,opposite,Elliptic,1cm,1cm,irregular,,Fragrant white,"Red, Ovoid",10,"Feb,Mar",Acuminate,Reticulate,No,Yes,No,No,Yes
CRAL,crescentia alata,95,Bignoniaceae,Kalabash,South East  Asia,http://en.wikipedia.org/wiki/Crescentia_alata,yes,occasional,Simple,opposite,Elliptic,5cm,15-25cm,spreading,,Greenish white,Green woody,10,"June,July",Entire,Reticulate,yes,No,No,No,Yes
CRCU,crescentia cujete,95,Bignoniaceae,Kalabash,South East  Asia,http://en.wikipedia.org/wiki/Crescentia_cujete,yes,occasional,Simple,opposite,Elliptic,5cm,15-25cm,spreading,,Greenish white,Green woody,10,"June,July",Entire,Reticulate,yes,No,No,No,Yes
LAMI,lagerstroemia microcarpa,95,Lythraceae,Nana,India-Kokan,http://en.wikipedia.org/wiki/Lagerstroemia_microcarpa,yes,occasional,Simple,opposite,Elliptic,1cm,1-2cm,oval,,Fragrant white,Woody,10,"April,May",Entire,Reticulate,yes,No,No,No,Yes
LAPA,lagerstroemia parviflora,95,Lythraceae,Nana,India-Kokan,http://en.wikipedia.org/wiki/Lagerstroemia,yes,occasional,Simple,opposite,Elliptic,1cm,1-2cm,oval,,Fragrant white,Woody,10,"April,May",Entire,Reticulate,yes,No,No,No,Yes
HOPU,holarrhena pubescens,96,Apocynaceae,Kuda,India-Pune,,no,occasional,Simple,opposite,Elliptic,2-3cm,20-40cm,erect,"pale, branches with milky juice.","Creamish,white",Cylindric,12,"May,June",Acuminate,Reticulate,yes,No,No,No,Yes
WRAR,wrightia arborea,96,Apocynaceae,Tambada Kuda,India-Pune,http://en.wikipedia.org/wiki/Wrightia,yes,Rare,Simple,opposite,Elliptic,2cm,15-30cm,oval,yellowish grey branches.with yellow juice,"Fragrant,yellow",Rough,10,June,Acuminate,Reticulate,yes,No,No,No,Yes
IXPA,ixora pavetta,97,Rubiaceae,Raykuda,India-Kokan,http://en.wikipedia.org/wiki/Ixora_pavetta,yes,occasional,Simple,opposite,Elliptic,2-3cm,6mm,irregular,brown.,Fragrant white,Globose black,12,Feb,Entire,Reticulate,yes,No,No,Yes,No
WRTI,wrightia tinctoria,97,Apocynaceae,Kala Kuda,India-Pune,http://en.wikipedia.org/wiki/Wrightia_tinctoria,yes,Rare,Simple,opposite,Elliptic,1-2cm,25-50cm,irregular,smooth dark brown.,White,Pendules,12,April,Acuminate,Reticulate,No,Yes,No,No,Yes
MOCI,morinda citrifolia,98,Rubiaceae,,India-Kokan,http://en.wikipedia.org/wiki/Morinda_citrifolia,yes,Rare,Simple,opposite,Elliptic,3 cm,2-3cm,irregular,,Fragrant white,Round Rough,12,May,Entire,Reticulate,yes,No,No,No,Yes
MOPU,Morinda pubescens,98,Rubiaceae,Bartondi,India-Pune,,no,Rare,Simple,opposite,Elliptic,3 cm,2-3cm,irregular,"dark brown,deeply cracked.",Fragrant white,Round Rough,12,May,Entire,Reticulate,yes,No,No,No,Yes
SYJA,syzygium jambos,98,Myrtaceae,Jamb,South East Asia,http://en.wikipedia.org/wiki/Syzygium_jambos,yes,occasional,Simple,opposite,Elliptic,5-7cm,3cm,irregular,,White,"spongy,white or pink",15,"Feb,Mar,July,Aug",Entire,Reticulate,yes,No,No,Yes,No
CAIN,calophyllum inophyllum,99,Clusiaceae,Undi,India-Kokan,http://en.wikipedia.org/wiki/Calophyllum_inophyllum,yes,Rare,Simple,opposite,Elliptic,2cm,3-4 cm,oval,dark grey.,White Fragrant,"Round smooth ,yellow",15,"Nov,Dec",Entire,Reticulate,yes,No,No,Yes,No
LARE,lagerstroemia reginae,99,Lythraceae,Tamhan,India-Kokan,,no,occasional,Simple,opposite,Elliptic,5-7cm,2-3cm,irregular,"pale smooth,peeling off in flakes.",Rosy pink,Woody,15,"June,July",Entire,Reticulate,yes,No,No,No,Yes
LATH,lagerstroemia thorellii (lagerstroemia thorelli),99,Lythraceae,,India-Kokan,,no,occasional,Simple,opposite,Elliptic,5-7cm,2-3cm,irregular,,Rosy pink,Woody,15,"June,July",Entire,Reticulate,yes,No,No,No,Yes
ANCA,anthocephalus cadamba,100,Rubiaceae,,India-Kokan,http://en.wikipedia.org/wiki/Neolamarckia_cadamba,yes,common,Simple,opposite,elliptic,3-5cm,5-6cm,spreading,bulged at the base.,Fragrant Creamish white,Round Orange,15,"July,Aug",Entire,Reticulate,yes,No,No,Yes,No
EULE,euphorbia leucocephala,100,Euphorbiaceae,Snow Bush,South America,,no,occasional,Simple,opposite,lanceolate,,,oval,,"Small,yellow",No,6,"Jan,Feb",Entire,Reticulate,yes,No,No,No,Yes
NECA,neolamarckia cadamba,100,Rubiaceae,Kadamb,India-Kokan,http://en.wikipedia.org/wiki/Neolamarckia_cadamba,yes,common,Simple,opposite,elliptic,3-5cm,5-6cm,spreading,bulged at the base.,Fragrant Creamish white,Round Orange,15,"July,Aug",Entire,Reticulate,yes,No,No,Yes,No
OLEU,olea europaea,101,Oleaceae,Olive Tree,Mediterranean,http://en.wikipedia.org/wiki/Olive,yes,Rare,Simple,opposite,lanceolate,,3cm,spreading,"branched from base. Branches trailing, slender.",Green Fragrant,"Oblong, black",6,Dec,,,,,,,
PUGR,punica granatum,101,Punicaceae,Dalimb,Iran,http://en.wikipedia.org/wiki/Pomegranate,yes,occasional,Simple,opposite,lanceolate,3-5cm,10-15cm,irregular,,Red,"Globose,pink",6,"April,June",,,,,,,
CICA,cinnamomum camphora,102,Lauraceae,Dalchini,India,http://en.wikipedia.org/wiki/Cinnamomum_camphora,yes,occasional,Simple,opposite,lanceolate,15-25cm,1-2cm,irregular,,Yellow,"Woody,Oblong",10,Feb,,,,,,,
