-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.2.csv", 
 "title": "Download CSV for Villagewise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise potential utilized through surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.10.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.10.csv"
}
-----
State,District,Block,Total Number of Schemes,Pucca channel,Kutcha channel,Underground channel,Total
BIHAR,CHAMPARAN WEST,LAURIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MADHUBANI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MAINATANR,16,14,1738,0,1752
BIHAR,CHAMPARAN WEST,MAJHAWALIA,2,150,25,0,175
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,NAUTAN,27,112,486,1,599
BIHAR,CHAMPARAN WEST,PIPRASI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,RAMNAGAR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIDHAW,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIKTA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,THAKRAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,YOGAPATTI,NA,NA,NA,NA,NA
BIHAR,CHATRA,CHATRA,380,0,242,0,242
BIHAR,CHATRA,GIDDHAUR,76,0,43,1,44
BIHAR,CHATRA,HUNTERGANJ,584,1,111,2,114
BIHAR,CHATRA,ITKHORI,492,0,199,0,199
BIHAR,CHATRA,KUNDA,148,1,110,0,111
BIHAR,CHATRA,LAVALONG,82,0,24,0,24
BIHAR,CHATRA,PATTHERGARHA,30,0,163,0,163
BIHAR,CHATRA,PRATAP PUR,356,0,177,0,177
BIHAR,CHATRA,SEMARIA,77,0,27,0,27
BIHAR,CHATRA,TANDAWA,44,0,26,0,26
BIHAR,DARBHANGA,AUNAGAR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHADURPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHERI,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BENIPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BIRAUL,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,DARBHANGA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,GHANSHYAMPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,GORA BOURAM,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,HAYAGHAT,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,JALE,85,0,122,0,122
BIHAR,DARBHANGA,KEOTI(RANWAY),NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KIRATPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,MANIGACHHI,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,SINGHWARA,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,DEOGHAR,516,0,73,7,80
BIHAR,DEOGHAR,DEVIPUR,505,0,139,1,140
BIHAR,DEOGHAR,KARON,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,MADHUPUR,160,0,50,1,51
BIHAR,DEOGHAR,MOHANPUR,427,0,121,8,129
BIHAR,DEOGHAR,PALAJORI,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,SARATH,369,1,38,0,39
BIHAR,DEOGHAR,SARWAN,457,2,106,0,108
BIHAR,DHANBAD,BAGHMARA,19,0,42,0,42
BIHAR,DHANBAD,BALIAPUR,127,0,76,0,76
BIHAR,DHANBAD,DHANBAD,23,0,19,2,21
BIHAR,DHANBAD,GOBINDPUR,59,0,7,0,7
BIHAR,DHANBAD,JHARIA,NA,NA,NA,NA,NA
BIHAR,DHANBAD,NIRSA,251,2,92,0,94
BIHAR,DHANBAD,TOPCHACHI,93,0,193,0,193
BIHAR,DHANBAD,TUNDI,290,2,192,0,194
BIHAR,DUMKA,DUMKA,38,128,85,0,213
BIHAR,DUMKA,GOPIKANDAR,382,1,11,3,15
BIHAR,DUMKA,JAMA,230,0,65,0,65
BIHAR,DUMKA,JAMTARA,490,252,1084,23,1359
BIHAR,DUMKA,JARMUNDI,101,0,256,0,256
BIHAR,DUMKA,KATHIKUND,215,0,89,2,91
BIHAR,DUMKA,KUNDHIT,1670,0,67,0,67
BIHAR,DUMKA,MASALIA,755,0,47,2,49
BIHAR,DUMKA,NALA,2145,1,22,6,29
BIHAR,DUMKA,NARAYANPUR,500,5,56,3,64
BIHAR,DUMKA,RAMGARH,108,7,350,0,357
BIHAR,DUMKA,RANESHWAR,1078,2,61,1,64
BIHAR,DUMKA,SARAIYAHAT,400,0,66,0,66
BIHAR,DUMKA,SHIKARIPARA,872,0,67,0,67
BIHAR,GARHWA,BHANDARIA,80,0,226,2,228
BIHAR,GARHWA,BHAWNATHPUR,190,0,294,2,296
BIHAR,GARHWA,CHIRIA,113,0,48,5,53
BIHAR,GARHWA,DANDAI,117,0,537,0,537
BIHAR,GARHWA,DHURKI,162,0,49,3,52
BIHAR,GARHWA,GARHWA,620,0,193,1,194
BIHAR,GARHWA,KHARAUNDHI,75,0,60,0,60
BIHAR,GARHWA,MAJHIAURA,365,22,151,1,174
BIHAR,GARHWA,MEVAL,214,24,479,1,504
BIHAR,GARHWA,NAYARKTARI,99,0,83,3,86
BIHAR,GARHWA,RAMIA,258,0,170,0,170
BIHAR,GARHWA,RAMKANDA,73,4,45,9,58
BIHAR,GARHWA,RANKA,341,4,174,3,181
BIHAR,GAYA,AMAS,209,3,43,0,46
BIHAR,GAYA,ATARI,248,5,209,0,214
BIHAR,GAYA,BANROYBAZAR,156,0,0,0,0
BIHAR,GAYA,BARACHATTI,244,0,67,0,67
BIHAR,GAYA,BELAGANJ,384,5,313,0,318
BIHAR,GAYA,BODHGAYA,194,0,133,0,133
BIHAR,GAYA,DOBBI,190,0,229,3,232
BIHAR,GAYA,DUMARIA,436,0,62,0,62
BIHAR,GAYA,FETHPUR,794,2,206,0,208
BIHAR,GAYA,GARARU,263,0,39,0,39
BIHAR,GAYA,GAYA SADAR,188,0,80,0,80
BIHAR,GAYA,GURUA,533,0,183,0,183
BIHAR,GAYA,IMAMGANJ,767,0,232,0,232
BIHAR,GAYA,KHIZIRSORAI,270,0,102,0,102
BIHAR,GAYA,KONCH,423,0,321,13,334
BIHAR,GAYA,MANPUR,232,12,562,0,574
BIHAR,GAYA,MOHANPUR,393,0,187,0,187
BIHAR,GAYA,NIMCHAK BATHANI,246,0,64,0,64
BIHAR,GAYA,PARAIYA,180,0,113,0,113
BIHAR,GAYA,SHERGHATI,309,0,50,0,50
BIHAR,GAYA,TANKUPPA,439,0,224,11,235
BIHAR,GAYA,TEKARI,324,3,373,0,376
BIHAR,GAYA,WAZGANJ,753,0,232,0,232
BIHAR,GIRIDIH,BAGODAR,233,0,5,0,5
BIHAR,GIRIDIH,BENGABAD,237,1,37,0,38
BIHAR,GIRIDIH,BIRNI,189,0,78,0,78
BIHAR,GIRIDIH,DEORI,289,0,86,0,86
BIHAR,GIRIDIH,DYMIR,155,1,101,0,102
BIHAR,GIRIDIH,GANDEY,192,0,222,0,222
BIHAR,GIRIDIH,GAWAN,167,0,323,0,323
BIHAR,GIRIDIH,GIRIDIH,1,0,50,0,50
BIHAR,GIRIDIH,JAMYA,553,0,102,0,102
BIHAR,GIRIDIH,PIRTANR,233,0,81,0,81
BIHAR,GIRIDIH,RAJ DHANWAR,279,0,45,0,45
BIHAR,GIRIDIH,TISRI,143,1,25,0,26
BIHAR,GODDA,BOARIJORE,175,0,52,0,52
BIHAR,GODDA,GODDA,372,0,182,0,182
BIHAR,GODDA,MAHAGAMA,345,0,92,1,93
BIHAR,GODDA,MEHARWAN,228,0,83,0,83
BIHAR,GODDA,PATHARGAMA,417,5,426,0,431
BIHAR,GODDA,PORAIYHAT,NA,NA,NA,NA,NA
BIHAR,GODDA,SUNDAR PAHARI,85,0,21,0,21
BIHAR,GODDA,THAKUR BANGTI,61,0,11,1,12
BIHAR,GOPALGANJ,BAIKUNTHPUR,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BARAULI,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BHOREY,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BIJAIPUR,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,HATHUA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KATAIYA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KUCHAIKOTE,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,MANJHA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PHULWARIYA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PUNCHDEORI,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,SIDHWALIA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,THAWE,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,UCHKAGAON,NA,NA,NA,NA,NA
BIHAR,GUMLA,BALBA,27,0,82,0,82
BIHAR,GUMLA,BANO,9,28,87,0,115
BIHAR,GUMLA,BASIA,NA,NA,NA,NA,NA
BIHAR,GUMLA,BHARNO,32,0,43,0,43
BIHAR,GUMLA,BISHUNPUR,34,0,337,0,337
BIHAR,GUMLA,CHAINPUR,52,0,1820,0,1820
BIHAR,GUMLA,DUMRI,8,0,71,0,71
BIHAR,GUMLA,GHAGHRA,29,0,1038,0,1038
BIHAR,GUMLA,GUMLA,5,0,200,0,200
BIHAR,GUMLA,JALDEGA,NA,NA,NA,NA,NA
BIHAR,GUMLA,KANIDARA,NA,NA,NA,NA,NA
BIHAR,GUMLA,KOLUBIRA,21,0,22,0,22
BIHAR,GUMLA,KURDEG,21,1,162,167,330
BIHAR,GUMLA,PALKOT,9,0,619,0,619
BIHAR,GUMLA,RAIDIH,5,0,14,0,14
BIHAR,GUMLA,SIMDEGA,9,0,285,0,285
BIHAR,GUMLA,SISAI,NA,NA,NA,NA,NA
BIHAR,GUMLA,THETHAITANGA,11,417,694,17,1128
BIHAR,HAZARIBAG,BARHI,77,0,347,0,347
BIHAR,HAZARIBAG,BARKAGAON,4,0,1020,0,1020
BIHAR,HAZARIBAG,BARKATTHA,1,0,105,0,105
BIHAR,HAZARIBAG,BISHNUGARH,6,0,2667,0,2667
BIHAR,HAZARIBAG,CHAUPARAN,230,0,511,0,511
BIHAR,HAZARIBAG,CHURCHU,12,0,79,0,79
BIHAR,HAZARIBAG,GOLA,10,0,71,0,71
BIHAR,HAZARIBAG,HAZARIBAGH,49,1,48,0,49
BIHAR,HAZARIBAG,ICHAK,3,0,726,0,726
BIHAR,HAZARIBAG,KATKAMSANDI,5,0,583,0,583
BIHAR,HAZARIBAG,KEREDARI,17,0,194,0,194
BIHAR,HAZARIBAG,MANDY,NA,NA,NA,NA,NA
BIHAR,HAZARIBAG,PADMA,51,15,271,0,286
BIHAR,HAZARIBAG,PATRATU,NA,NA,NA,NA,NA
BIHAR,HAZARIBAG,RAMGARH,NA,NA,NA,NA,NA
BIHAR,JAMUI,ALIGANJ,186,1,52,38,91
BIHAR,JAMUI,BARHAT,36,0,311,0,311
BIHAR,JAMUI,CHAKAI,359,0,172,0,172
BIHAR,JAMUI,GIDHOUR,63,0,1015,0,1015
BIHAR,JAMUI,JAMUI,342,6,56,0,62
BIHAR,JAMUI,JHAJHA,112,11,244,0,255
BIHAR,JAMUI,KHAIRA,71,1,421,183,605
BIHAR,JAMUI,LAKSHMIPUR,130,6,117,0,123
BIHAR,JAMUI,SIKANDRA,272,2,325,3,330
BIHAR,JAMUI,SONO,389,1,119,0,120
BIHAR,JEHANABAD,ARWAL,44,0,1209,0,1209
BIHAR,JEHANABAD,BANSI SURUJPUR,NA,NA,NA,NA,NA
BIHAR,JEHANABAD,GHOSI,63,0,1270,0,1270
BIHAR,JEHANABAD,JEHANABAD,109,4,1534,6,1544
BIHAR,JEHANABAD,KAKU,13,0,99,0,99
BIHAR,JEHANABAD,KALEV,37,0,769,0,769
BIHAR,JEHANABAD,KARPI,47,0,2491,0,2491
BIHAR,JEHANABAD,KURTHA,NA,NA,NA,NA,NA
BIHAR,JEHANABAD,MAKHDOMPUR,210,3,1322,0,1325
BIHAR,JEHANABAD,RATNI FARIDPUR,NA,NA,NA,NA,NA
BIHAR,KATIHAR,AMDABAET,NA,NA,NA,NA,NA
BIHAR,KATIHAR,AZAMNAGAR,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BALRAMPUR,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BANPUR,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BARARI,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BARSOI,NA,NA,NA,NA,NA
BIHAR,KATIHAR,DANDKHORA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,FALKA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,HASANGANJ,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KADWA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KATIHAR,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KORHA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KURSELA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,MANIHARI,NA,NA,NA,NA,NA
BIHAR,KATIHAR,MANSHAHI,NA,NA,NA,NA,NA
BIHAR,KATIHAR,SAMELI,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,ALAULI,2,0,2000,0,2000
BIHAR,KHAGARIA,BELDAUR,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,CHAUTHAM,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,GOGRI,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,KHAGARIA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,MANSI,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,PARBATTA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,BAHADURGANJ,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,DHIGHATBANK,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,KOCHADHAMIN,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,POTHIA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,TERHAGACHH,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,THAKURGANJ,NA,NA,NA,NA,NA
BIHAR,KODARMA,CHANDWA,58,0,200,0,200
BIHAR,KODARMA,JAINAGAR,NA,NA,NA,NA,NA
BIHAR,KODARMA,KODARAMA,64,0,610,0,610
BIHAR,KODARMA,MARKACHO,135,0,35,0,35
BIHAR,KODARMA,SATGAWAN,56,0,625,0,625
BIHAR,LAKHISARAI,BARAHIYA,NA,NA,NA,NA,NA
BIHAR,LAKHISARAI,HALSI,28,0,107,0,107
BIHAR,LAKHISARAI,LOKHISARAI,127,83,174,5,262
BIHAR,LAKHISARAI,PIPARIA,4,0,2000,0,2000
BIHAR,LAKHISARAI,SURAJGARA,108,0,155,0,155
BIHAR,LOHARDAGA,BHANDRA,61,0,52,0,52
BIHAR,LOHARDAGA,KISKO,67,143,54,0,197
BIHAR,LOHARDAGA,KURU,2,0,80,0,80
BIHAR,LOHARDAGA,LOHARDAGA,NA,NA,NA,NA,NA
BIHAR,LOHARDAGA,SENHA,60,8,656,0,664
BIHAR,MADHEPURA,ALAMNAGAR,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,BIHARIGANJ,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,CHAUSA,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,GAWALPARA,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,KUMAR KHAND,3,667,1000,0,1667
BIHAR,MADHEPURA,MADHEPURA,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,MURLIGANJ,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,PURAINI,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,SHANKERPUR,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,SINGHESWAR,NA,NA,NA,NA,NA
BIHAR,MADHEPURA,UDA KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,ANDHARADATHI,15,0,748,0,748
BIHAR,MADHUBANI,BABUBARHI,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,BASOPATTI,71,0,1114,0,1114
BIHAR,MADHUBANI,BENIPATTI,4,0,175,1,176
BIHAR,MADHUBANI,BISFI,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,GHOGARDIHA,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,HARLAKHI,4,0,454,0,454
BIHAR,MADHUBANI,JAITYAGAR,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,JHANJHARPUR,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,KHAJAULI,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,LADANIA,2,50,875,0,925
BIHAR,MADHUBANI,LAKHNAUR,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,LAUKAHA,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,LAUKAHI,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,MADHAWAPUR,5,0,296,0,296
BIHAR,MADHUBANI,MADUBANI,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,MEDEPUR,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,PANDAUL,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,PHULPARAS,NA,NA,NA,NA,NA
BIHAR,MADHUBANI,RAJNAGAR,NA,NA,NA,NA,NA
BIHAR,MUNGER,BARIAPUR,NA,NA,NA,NA,NA
BIHAR,MUNGER,DHARHARA,308,1,3,0,4
BIHAR,MUNGER,JAMALPUR,NA,NA,NA,NA,NA
BIHAR,MUNGER,KHARAGPUR,112,0,2,0,2
BIHAR,MUNGER,MUNGER,NA,NA,NA,NA,NA
BIHAR,MUNGER,SANGRAMPUR,NA,NA,NA,NA,NA
BIHAR,MUNGER,TARAPUR,NA,NA,NA,NA,NA
BIHAR,MUNGER,TETIA BUMBER,53,19,19,0,38
BIHAR,MUZAFFARPUR,AURAI,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,BANDRA,2,1000,0,0,1000
BIHAR,MUZAFFARPUR,BOCHAHA,1,0,8000,6000,14000
BIHAR,MUZAFFARPUR,GAIGHAT,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,KANTI,1,0,0,0,0
BIHAR,MUZAFFARPUR,KATRA,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,KURHANI,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,MINAPUR,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,MORAUL,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,MOTIPUR,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,MUSHAHARI,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,PAROO,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,SAHEBGANJ,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,SAKRA,NA,NA,NA,NA,NA
BIHAR,MUZAFFARPUR,SARAIYA,NA,NA,NA,NA,NA
BIHAR,NALANDA,ASTHAWAN,4,0,13,0,13
BIHAR,NALANDA,BEN,26,0,137,0,137
BIHAR,NALANDA,BIHARSARIF,4,0,87,0,87
BIHAR,NALANDA,BIND,8,0,54,0,54
BIHAR,NALANDA,CHANDI,NA,NA,NA,NA,NA
BIHAR,NALANDA,EKANGARSARAI,57,0,1392,0,1392
BIHAR,NALANDA,GIRIAK,31,3,135,0,138
BIHAR,NALANDA,HARNAUT,11,0,1,0,1
BIHAR,NALANDA,HILSA,76,0,1787,0,1787
BIHAR,NALANDA,ISLAMPUR,67,20,561,0,581
BIHAR,NALANDA,KARAI PARSURAI,35,0,121,0,121
BIHAR,NALANDA,KATRISARAI,NA,NA,NA,NA,NA
BIHAR,NALANDA,NAGAR NAUSA,NA,NA,NA,NA,NA
BIHAR,NALANDA,NOORSARAI,66,0,913,0,913
BIHAR,NALANDA,PARWALPUR,62,0,21,0,21
BIHAR,NALANDA,RAHUI,13,0,772,0,772
BIHAR,NALANDA,RAJGIR,31,0,150,0,150
BIHAR,NALANDA,SARMERA,5,0,600,0,600
BIHAR,NALANDA,SILAO,29,0,299,0,299
BIHAR,NALANDA,THARTHARI,7,0,750,0,750
BIHAR,NAWADA,AKBARPUR,413,2,364,0,366
BIHAR,NAWADA,GOBINDPUR,249,0,201,0,201
BIHAR,NAWADA,HISUA,27,0,59,0,59
BIHAR,NAWADA,KANWAKOL,284,0,262,0,262
BIHAR,NAWADA,KASHICHOK,69,7,590,0,597
BIHAR,NAWADA,MESKAUR,377,1,85,0,86
BIHAR,NAWADA,NARDIGANJ,85,0,85,0,85
BIHAR,NAWADA,NARHAT,77,3,86,0,89
BIHAR,NAWADA,NAWADA,183,0,236,3,239
BIHAR,NAWADA,PAKRIWARAMA,287,2,162,0,164
BIHAR,NAWADA,RAJANLI,129,0,142,0,142
BIHAR,NAWADA,ROH,323,0,139,0,139
BIHAR,NAWADA,SIRDOLA,344,0,204,14,218
BIHAR,NAWADA,WARSHALAGANJ,157,3,389,0,392
BIHAR,PAKUR,AMRAPARA,303,0,520,0,520
BIHAR,PAKUR,HIRANPUR,451,0,450,0,450
BIHAR,PAKUR,LITIPARA,563,0,440,0,440
BIHAR,PAKUR,MAHESHPUR,1202,0,1128,0,1128
BIHAR,PAKUR,PAKUR,142,1,106,0,107
BIHAR,PAKUR,PAKURIA,571,0,17,0,17
BIHAR,PALAMU,BALUMATH,664,0,130,0,130
BIHAR,PALAMU,BARWADIH,307,7,47,0,54
BIHAR,PALAMU,BISHRAMPUR,1050,0,42,0,42
BIHAR,PALAMU,CHAINPUR,960,1,146,0,147
BIHAR,PALAMU,CHANDWA,104,0,189,2,191
BIHAR,PALAMU,CHHALAPUR,871,0,118,0,118
BIHAR,PALAMU,DALTENGANJ,109,0,400,0,400
BIHAR,PALAMU,GARU,286,0,23,0,23
BIHAR,PALAMU,HARIHARGANJ,223,5,144,13,162
BIHAR,PALAMU,HUSAINABAD,491,1,25,0,26
BIHAR,PALAMU,LATEHAR,832,0,23,1,24
BIHAR,PALAMU,LESTIGANJ,494,3,11,0,14
BIHAR,PALAMU,MAHUADANR,119,0,405,2,407
BIHAR,PALAMU,MANATU,617,0,28,1,29
BIHAR,PALAMU,MANIKA,505,3,35,0,38
BIHAR,PALAMU,PANKI,532,0,43,0,43
BIHAR,PALAMU,PATAN,963,0,116,0,116
BIHAR,PALAMU,SATWARWH,142,0,18,49,67
BIHAR,PATNA,ATHMAL GOLA,NA,NA,NA,NA,NA
BIHAR,PATNA,BAKHTIARPUR,NA,NA,NA,NA,NA
BIHAR,PATNA,BARH,NA,NA,NA,NA,NA
BIHAR,PATNA,BELCHI,NA,NA,NA,NA,NA
BIHAR,PATNA,BIHTA,37,0,2439,0,2439
BIHAR,PATNA,BIKRAM,2,0,250,0,250
BIHAR,PATNA,DANAPUR,1,0,200,0,200
BIHAR,PATNA,DANIAWAN,NA,NA,NA,NA,NA
BIHAR,PATNA,DHANARUA,NA,NA,NA,NA,NA
BIHAR,PATNA,DULHAN BAZAR,NA,NA,NA,NA,NA
BIHAR,PATNA,FATUHA,NA,NA,NA,NA,NA
BIHAR,PATNA,GHOSWARI,NA,NA,NA,NA,NA
BIHAR,PATNA,KHUSRUPUR,NA,NA,NA,NA,NA
BIHAR,PATNA,MANER,28,0,1226,0,1226
BIHAR,PATNA,MASAURHI,2,0,0,0,0
BIHAR,PATNA,MOKAMAH,NA,NA,NA,NA,NA
BIHAR,PATNA,NAUBATPUR,14,4,596,0,600
BIHAR,PATNA,PALIGANJ,126,2,186,0,188
BIHAR,PATNA,PANDARAK,NA,NA,NA,NA,NA
BIHAR,PATNA,PATNA SADAR,NA,NA,NA,NA,NA
BIHAR,PATNA,PHULWARISARIF,NA,NA,NA,NA,NA
BIHAR,PATNA,PUNPUN,NA,NA,NA,NA,NA
BIHAR,PATNA,SAMPATCHAK,NA,NA,NA,NA,NA
BIHAR,PURNIA,AMOUR,NA,NA,NA,NA,NA
BIHAR,PURNIA,BAISA,NA,NA,NA,NA,NA
BIHAR,PURNIA,BAISI,NA,NA,NA,NA,NA
BIHAR,PURNIA,BAMNANKHI,NA,NA,NA,NA,NA
BIHAR,PURNIA,BARAHARAKOTHI,NA,NA,NA,NA,NA
BIHAR,PURNIA,BHAWANIPUR,NA,NA,NA,NA,NA
BIHAR,PURNIA,DAGARUA,NA,NA,NA,NA,NA
BIHAR,PURNIA,DHAMDAHA,NA,NA,NA,NA,NA
BIHAR,PURNIA,JALALGARH,NA,NA,NA,NA,NA
BIHAR,PURNIA,KASBA,NA,NA,NA,NA,NA
BIHAR,PURNIA,KRITYANANDNAGAR,NA,NA,NA,NA,NA
BIHAR,PURNIA,PURNIA EAST,50,0,84,0,84
BIHAR,PURNIA,RUPAULI,NA,NA,NA,NA,NA
BIHAR,PURNIA,SOINAGAR,NA,NA,NA,NA,NA
BIHAR,RANCHI,ANGARA,47,17,57,0,74
BIHAR,RANCHI,ARKI,20,0,32,0,32
BIHAR,RANCHI,BERO,2,0,1030,0,1030
BIHAR,RANCHI,BUNDU,NA,NA,NA,NA,NA
BIHAR,RANCHI,BURMU,1,0,300,0,300
BIHAR,RANCHI,CHANHO,9,0,1029,0,1029
BIHAR,RANCHI,KANKE,NA,NA,NA,NA,NA
BIHAR,RANCHI,KARRA,160,0,64,0,64
BIHAR,RANCHI,KHUNTI,6,0,575,0,575
BIHAR,RANCHI,LAPUNG,8,0,4625,0,4625
BIHAR,RANCHI,MANDAR,3,0,45,0,45
BIHAR,RANCHI,MURHU,21,0,515,0,515
BIHAR,RANCHI,NAMKUM,19,0,83,0,83
BIHAR,RANCHI,ORMANJI,NA,NA,NA,NA,NA
BIHAR,RANCHI,RANIA,1,0,30,0,30
BIHAR,RANCHI,RATU,74,0,24,0,24
BIHAR,RANCHI,SILLI,60,0,241,0,241
BIHAR,RANCHI,SONAHATU,181,0,144,0,144
BIHAR,RANCHI,TAMAR,2,0,15,0,15
BIHAR,RANCHI,TORPA,10,0,56,0,56
BIHAR,ROHTAS,AKORHIGOLA,NA,NA,NA,NA,NA
BIHAR,ROHTAS,BIKRAMGANJ,NA,NA,NA,NA,NA
BIHAR,ROHTAS,CHENARI,136,3,63,2,68
BIHAR,ROHTAS,DAWATH,NA,NA,NA,NA,NA
BIHAR,ROHTAS,DEHRI,NA,NA,NA,NA,NA
BIHAR,ROHTAS,DINARA,7,0,758,0,758
BIHAR,ROHTAS,KARAKAT,28,0,44,0,44
BIHAR,ROHTAS,KARGHAHAR,NA,NA,NA,NA,NA
BIHAR,ROHTAS,KUCHAI,4,0,300,0,300
