-----
{
 "description": "It provides department wise details of Schemes for Development of Scheduled Castes.", 
 "file_name": "stat21.xls", 
 "title": "Download XLS for Schemes for Development of Scheduled Castes(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat21.xls"
}
-----
"","","SCHEDULED castes SUB pLAN/TRIBAL SUB PLAN","","",""
4.0,"Rajiv Gandhi Panchayat Sashaktikaran ","","","",""
"","Abhiyan (RGPSA)",0.0,33.12,8.1,75.0
5.0,"Resource support to State",0.0,0.81,0.81,0.0
"","Sub Total",14.52,34.42,23.78,75.49
"","Demand No. 76","","","",""
"","Ministry of Power","","","",""
1.0,"Subsidy for Rural Electrification - RGGVY",0.0,600.0,299.78,709.36
2.0,"Accelerated Power Development Reforms ","","","",""
"","Programme (APDRP)",156.11,200.0,90.98,90.64
"","Sub Total",156.11,800.0,390.76,800.0
"","Demand No. 83","","","",""
"","Department of Rural Development","","","",""
1.0,"Swaranjayanti Gram Swarozgar Yojana (SGSY)",713.63,1033.76,635.67,999.94
2.0,"Rural Housing - Indira Awas Yojana (IAY)",3529.92,3908.37,3184.07,5358.43
"","Sub Total",4243.55,4942.13,3819.74,6358.37
"","Demand No. 84","","","",""
"","Department of Land Resources","","","",""
1.0,"Integrated Watershed Management ","","","",""
"","Programme (IWMP)",259.99,494.1,470.37,872.69
2.0,"National Land Records Modernisation ","","","",""
"","Programme (NLRMP)",33.75,24.38,21.32,61.16
"","Sub Total",293.74,518.48,491.69,933.85
"","Demand No. 85","","","",""
"","Department of Science & Technology","","","",""
1.0,"Research & Development Support-Multi-Disciplinary ","","","",""
"","Research in Science and Technology (SERC)",0.0,8.0,0.0,0.0
2.0,"Technology Development Programme",0.33,6.0,0.35,0.0
3.0,"S&T Programme for Socio-Economic Development",2.97,9.0,4.0,29.0
4.0,"State Science & Technology Programme",0.44,5.0,0.45,0.0
5.0,"Autonomous Institutions & Professional Bodies",0.0,12.0,12.0,12.0
6.0,"Science & Engineering Research Board",15.0,3.93,3.93,3.93
7.0,"Innovations in Science Pursuit for ","","","",""
"","Inspired Research (INSPIRE)",3.75,0.0,0.0,0.0
8.0,"Disha Programme for Women in Science",0.0,1.0,0.24,0.0
9.0,"Alliance and R&D Mission",0.0,17.0,5.0,17.0
10.0,"Super Computing Facility & Capacity",0.0,0.0,0.0,2.63
11.0,"National Geographic Information System ",0.0,0.0,0.0,4.87
"","Sub Total",22.49,61.93,25.97,69.43
"","Demand No. 89","","","",""
"","Ministry of Social Justice & Empowerment","","","",""
1.0,"Post Matric Scholarship Scheme",2711.19,1500.0,1500.0,1500.0
2.0,"Implementation of Protection for Civil ","","","",""
"","Right Act, 1955 and Scheduled Castes and ","","","",""
"","Scheduled Tribes (Prevention of ","","","",""
"","Atrocities Act, 1989)",72.05,100.0,84.0,90.0
3.0,"Rajiv Gandhi National Fellowship for SCs",103.69,125.0,25.0,100.0
4.0,"Top Class Education for SCs",14.82,25.0,15.0,21.0
5.0,"Self-Employment Scheme of Liberation and ","","","",""
"","Rehabilitation for Scavengers",0.0,100.0,20.0,570.0
6.0,"Pradhan Mantri Adarsh Gram Yojana",100.0,1.0,1.0,100.0
7.0,"Pre-Matric Scholarship for Children of those ","","","",""
"","engaged in Unclean Occupation",63.65,10.0,9.0,10.0
8.0,"Hostels for SC & OBC Boys",65.91,145.0,27.0,75.0
9.0,"Free Coaching for SCs and OBCs ",6.96,12.0,6.0,12.0
10.0,"Upgradation of merit of SC/ST Students",2.91,5.0,5.0,5.0
11.0,"Special Central Assistance (SCA) under ","","","",""
"","Scheduled Castes Sub-Plan (SCSP)",656.4,1200.0,1050.0,1051.0
12.0,"National Finance Development Corporation ","","","",""
"","for Weaker Sections",130.0,150.0,177.0,150.0
13.0,"Grants -in-aid to Research, Training Information & ","","","",""
"","Miscellaneous ",19.55,52.0,19.2,30.0
14.0,"Dr. Ambedkar Foundation ",1.0,1.0,1.0,1.0
15.0,"National Overseas Sholarships for SCs",7.07,6.0,6.0,6.0
16.0,"Dr. Ambedkar National Centre (New Scheme)",0.0,10.0,0.01,10.0
17.0,"Pre Matric Scholarship for SCs",0.0,824.0,938.7,900.0
18.0,"Development of Dr. Ambedkar National Memorial Centre ",0.0,14.0,0.01,14.0
19.0,"Share Capital to State Scheduled Castes ","","","",""
"","Development Corporations",20.0,20.0,5.0,20.0
20.0,"Deen Dayal Disabled Rehabilitation Scheme",0.0,0.0,0.0,35.0
21.0,"Assistance to Disabled Persons for Aids Appliances",0.0,0.0,0.0,28.0
22.0,"Implementation of Persons to Disability Act 1995",0.0,0.0,0.0,18.5
23.0,"National Handicapped Finance Development Corporation",0.0,0.0,0.01,0.5
24.0,"National Institute for Disabled Persons",0.0,0.0,0.0,1.0
25.0,"Employment for Physically Challenged",0.0,0.0,0.0,0.2
26.0,"Rehabilitation Council of India",0.0,0.0,0.0,0.6
27.0,"Rajiv Gandhi National Fellowship for PWDs",0.0,0.0,0.0,2.0
28.0,"Post Matric Scholarship Scheme with Disabilities",0.0,0.0,0.0,5.0
"","Sub Total",3975.2,4300.0,3888.93,4755.8
"","Demand No. 93","","","",""
"","Ministry of Textiles","","","",""
"A.","Central Sector Scheme","","","",""
"","Handloom Sector","","","",""
1.0,"Diversified Handloom Development Scheme",0.0,1.0,1.0,0.0
2.0,"Mill Gate Price Scheme",4.05,19.5,7.2,8.1
3.0,"Handloom Weavers Comprehensive Welfare Scheme",7.5,8.0,8.0,10.0
"","Handicraft Sector","","","",""
4.0,"Ambedkar Hastshilp Vikas Yojana",4.8,3.0,3.0,0.36
5.0,"Design & Technology Upgradation",1.23,1.5,1.5,3.57
6.0,"Marketing Support, Service & Export Promotion",1.96,2.5,2.5,3.17
7.0,"Research & Development",0.08,0.5,0.5,0.6
8.0,"Human Resource Development",0.85,1.5,1.5,2.47
"","Powerlooms","","","",""
9.0,"Integrated Powerloom Cluster Development",0.0,0.2,0.2,0.5
10.0,"Group Insurance Scheme",0.0,0.1,0.1,0.25
11.0,"Group Workshed Scheme",0.0,0.5,0.5,0.5
"","Wool Sector","","","",""
12.0,"Integrated Wool Improvement & Development",1.0,1.0,1.0,1.0
13.0,"Mega Clusters",2.25,3.2,3.2,4.2
14.0,"National Institute of Fashion Technology (NIFT)",0.0,0.43,0.0,0.0
15.0,"Technology Upgradation Fund Scheme (TUFS)",166.56,117.5,97.45,100.25
16.0,"Scheme for Integrated Textile Park",0.0,8.0,8.0,11.0
17.0,"Jute Technology Mission",0.0,1.6,1.6,0.0
18.0,"Common Compliance Code",0.0,1.0,1.0,0.0
19.0,"Human Resources Development ",6.65,25.0,25.0,25.0
20.0,"Technical Textiles including Jute",0.0,1.5,1.5,2.2
"B","Centrally Sponsored Scheme (Handloom Sector)","","","",""
21.0,"Integerated Handloom Development Scheme",10.8,10.0,7.25,0.0
22.0,"Revival, Reform & Restructing Scheme",10.0,122.5,34.03,9.0
23.0,"Marketing & Export Promotion Scheme",1.49,2.75,1.75,0.0
"","Centrally Sponsored Scheme (Sericulture Sector)","","","",""
24.0,"R&D Including TRAs",0.0,0.0,0.0,2.57
25.0,"Infrastructure and Technology Scheme",0.0,0.0,0.0,2.5
26.0,"Health Insurance Scheme",0.0,0.0,0.0,0.26
27.0,"Scheme for In-situ Upgradation of Plain Powerloom",0.0,0.0,0.0,1.6
28.0,"Integrated Powerloom Development Scheme",0.0,0.0,0.0,5.6
29.0,"Comprehensive Handloom Development Scheme",0.0,0.0,0.0,4.64
30.0,"Catalytic Development Programme",21.0,17.22,17.22,32.21
"","Sub Total",240.22,350.0,225.0,231.55
"","Demand No. 105","","","",""
"","Ministry of Women and Child Development","","","",""
1.0,"Integrated Child Development Services Scheme",2360.74,3470.0,3470.0,3849.0
2.0,"Rajiv Gandhi Scheme for Empowerment of ","","","",""
"","Adolescent Girls (RGSEAG)-SABLA",36.78,140.0,140.0,131.0
3.0,"Indira Gandhi Matritva Sahyog Yojana (IGMSY)",105.21,90.0,90.0,90.0
"","Sub Total",2502.73,3700.0,3700.0,4070.0
"","Demand No. 106","","","",""
"","Ministry of Youth Affairs and Sports","","","",""
1.0,"Nehru Yuva Kendra Sangathan",18.42,17.56,17.94,17.64
2.0,"National Service Scheme",8.64,13.53,12.53,12.23
3.0,"Rajiv Gandhi National Institute of Youth Development",1.78,3.34,3.24,3.24
4.0,"National Youth Corps",5.01,10.44,9.39,9.09
5.0,"National Programme for Youth and Adolescent ","","","",""
"","Development ",0.12,3.73,3.8,3.8
6.0,"Assistance for Promotion of Sports Excellence",9.0,18.0,15.0,24.0
7.0,"Laxmibai National Institute of Physical Education",3.0,5.0,3.5,6.0
8.0,"Urban Sports Infrastructure",1.0,6.0,3.0,7.0
9.0,"Panchayat Yuva Kendra Aur Khel Abhiyan",15.88,37.0,28.0,29.0
10.0,"Sports Authority of India",35.0,46.0,41.0,56.0
"","Sub Total",97.85,160.6,137.4,168.0
"","Grand Total",28535.1,37113.03,33085.04,41561.13
"","","","","",""
"","Note : For scheme details and other information, the concerned Detailed Demands for Grants, the Annual Reports and the Outcome Budgets of the Ministries/Departments may be referred to.","","","",""
