-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfcliftblck5.4.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to social status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfcliftblck5.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Schedule Caste,Schedule Tribe,Others,Total,Owned by other than Individual/Group of farmers,Grand Total
ANDHRA PRADESH,SRIKAKULUM,VANGARA,0,0,1,1,1,2
ANDHRA PRADESH,VIJAYA NAGARAM,BOBBILI,0,0,10,10,0,10
ANDHRA PRADESH,VIJAYA NAGARAM,DENKADA,0,0,0,0,2,2
ANDHRA PRADESH,VIJAYA NAGARAM,GAJAPATHINAGARAM,0,0,0,0,2,2
ANDHRA PRADESH,VIJAYA NAGARAM,GARIVIDI,0,0,2,2,1,3
ANDHRA PRADESH,VIJAYA NAGARAM,GUMMALAKSHMIPURAM,0,0,0,0,4,4
ANDHRA PRADESH,VIJAYA NAGARAM,KURUPAM,0,0,0,0,4,4
ANDHRA PRADESH,VIJAYA NAGARAM,MAKKUVA,0,0,4,4,3,7
ANDHRA PRADESH,VIJAYA NAGARAM,MERAKAMUDIDAM,0,0,0,0,2,2
ANDHRA PRADESH,VIJAYA NAGARAM,NELLIMARLA,0,0,0,0,1,1
ANDHRA PRADESH,VIJAYA NAGARAM,PUSAPATIREGA,0,0,0,0,6,6
ANDHRA PRADESH,VIJAYA NAGARAM,RAMABHADRAPURAM,0,0,0,0,2,2
ANDHRA PRADESH,VIJAYA NAGARAM,SALUR,0,0,9,9,0,9
ANDHRA PRADESH,VIJAYA NAGARAM,SEETHANAGARAM,6,3,86,95,4,99
ANDHRA PRADESH,VIJAYA NAGARAM,SRUNGAVARAPUKOTA,0,0,0,0,1,1
ANDHRA PRADESH,VISAKHAPATNAM,ANAKAPALLE,0,0,1,1,0,1
ANDHRA PRADESH,VISAKHAPATNAM,ARAKU VALLEY,0,0,0,0,3,3
ANDHRA PRADESH,VISAKHAPATNAM,DEVARAPALLE,0,0,3,3,1,4
ANDHRA PRADESH,VISAKHAPATNAM,DUMBRIGUDA,0,0,2,2,0,2
ANDHRA PRADESH,VISAKHAPATNAM,HUKUMPETA,0,8,0,8,1,9
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,0,0,0,0,3,3
ANDHRA PRADESH,VISAKHAPATNAM,MUNAGAPAKA,0,1,24,25,1,26
ANDHRA PRADESH,VISAKHAPATNAM,PAYAKARAOPETA,0,0,0,0,1,1
ANDHRA PRADESH,WARANGAL,BHUPALPALLE,0,0,0,0,1,1
ANDHRA PRADESH,WARANGAL,CHENNARAOPET,0,0,1,1,0,1
ANDHRA PRADESH,WARANGAL,DORNAKAL,0,4,11,15,1,16
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,14,92,190,296,12,308
ANDHRA PRADESH,WARANGAL,GUDUR,0,1,15,16,0,16
ANDHRA PRADESH,WARANGAL,KODAKANDLA,0,0,0,0,1,1
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,4,20,58,82,1,83
ANDHRA PRADESH,WARANGAL,MANGAPET,0,1,10,11,0,11
ANDHRA PRADESH,WARANGAL,MULUG,6,62,61,129,1,130
ANDHRA PRADESH,WARANGAL,TADVAI,0,0,1,1,22,23
ANDHRA PRADESH,WARANGAL,THORRUR,3,0,16,19,0,19
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,0,1,63,64,0,64
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,0,0,0,0,2,2
ANDHRA PRADESH,WEST GODAVARI,ELURU,1,0,6,7,12,19
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,0,0,0,0,1,1
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,0,0,7,7,1,8
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,0,0,0,0,8,8
ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,0,0,0,0,1,1
ANDHRA PRADESH,WEST GODAVARI,PERAVALI,0,0,0,0,3,3
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,0,2,22,24,1,25
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,0,0,0,0,1,1
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,0,0,0,0,13,13
ASSAM,BARPETA,BAJALI,0,0,5,5,23,28
ASSAM,BARPETA,BARPETA,2,2,26,30,8,38
ASSAM,BARPETA,BHAWANIPUR,0,1,7,8,2,10
ASSAM,BARPETA,CHENGA,0,0,2,2,0,2
ASSAM,BARPETA,GOBARDHANA,1,5,17,23,14,37
ASSAM,BARPETA,JALAH,6,32,6,44,2,46
ASSAM,BARPETA,MANDIA,0,0,51,51,6,57
ASSAM,BARPETA,RUPSI,1,0,40,41,5,46
ASSAM,BONGAIGAON,BOITAMARI,11,3,25,39,6,45
ASSAM,BONGAIGAON,BOROBAZAR,0,46,11,57,2,59
ASSAM,BONGAIGAON,MANIKPUR,2,2,9,13,5,18
ASSAM,BONGAIGAON,SIDLI-CHIRANG,1,8,1,10,1,11
ASSAM,BONGAIGAON,SRIJANGRAM,0,0,1,1,2,3
ASSAM,CACHAR,KATIGORA,0,0,0,0,10,10
ASSAM,CACHAR,RAJABAZAR,0,0,0,0,3,3
ASSAM,CACHAR,SALCHAPRA,0,0,0,0,12,12
ASSAM,CACHAR,SONAI,0,0,0,0,17,17
ASSAM,CACHAR,UDARBOND,0,0,0,0,20,20
ASSAM,DARRANG,DALGAON SIALMARI,4,18,71,93,1,94
ASSAM,DARRANG,KALAIGAON,2,21,29,52,9,61
ASSAM,DARRANG,KHAIRABARI,4,33,51,88,3,91
ASSAM,DARRANG,MAZBAT,11,20,37,68,0,68
ASSAM,DARRANG,SIPAJHAR,13,1,174,188,0,188
ASSAM,DARRANG,UDALGURI,0,30,11,41,1,42
ASSAM,DHEMAJI,BORDOLONI,4,54,17,75,4,79
ASSAM,DHEMAJI,DHEMAJI,1,24,31,56,2,58
ASSAM,DHEMAJI,MURKONGSELLECK,0,2,0,2,4,6
ASSAM,DHUBRI,AGAMONI,0,0,1,1,4,5
ASSAM,DHUBRI,BILASIPARA,1,3,26,30,9,39
ASSAM,DHUBRI,CHAPAR SALKOCHA,0,0,0,0,6,6
ASSAM,DHUBRI,GAURIPUR,0,0,1,1,15,16
ASSAM,DHUBRI,GOLOKGANJ,0,0,14,14,4,18
ASSAM,DHUBRI,MANKACHAR,0,0,0,0,3,3
ASSAM,DHUBRI,SOUTH SALMARA,0,0,5,5,3,8
ASSAM,DIBRUGARH,BARBARUAH,0,22,56,78,2,80
ASSAM,DIBRUGARH,JOYPUR,7,2,35,44,6,50
ASSAM,DIBRUGARH,KHOWANG,1,43,100,144,8,152
ASSAM,DIBRUGARH,LAHOWAL,4,1,30,35,0,35
ASSAM,DIBRUGARH,TENGAKHAT,21,14,37,72,1,73
ASSAM,GOALPARA,BALIJANA,7,61,48,116,16,132
ASSAM,GOALPARA,DUDHNOI,7,157,24,188,2,190
ASSAM,GOALPARA,LAKHIPUR,0,35,47,82,2,84
ASSAM,GOALPARA,MATIA,19,27,24,70,7,77
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,7,0,59,66,6,72
ASSAM,GOLAGHAT,GOLAGHAT EAST,0,2,21,23,6,29
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,0,0,0,1,1
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,7,34,132,173,13,186
ASSAM,GOLAGHAT,GOLAGHAT WEST,2,3,9,14,3,17
ASSAM,GOLAGHAT,GOMARIGURI,4,3,45,52,0,52
ASSAM,HAILAKANDI,HAILAKANDI,0,0,0,0,5,5
ASSAM,HAILAKANDI,KATLICHARA,0,0,0,0,2,2
ASSAM,HAILAKANDI,LALA,0,0,0,0,10,10
ASSAM,JORHAT,JORHAT,6,18,141,165,0,165
ASSAM,JORHAT,JORHAT CENTRAL,18,13,209,240,0,240
ASSAM,JORHAT,JORHAT EAST,6,10,183,199,3,202
ASSAM,JORHAT,MAJULI,53,144,142,339,10,349
ASSAM,JORHAT,NORTH WEST JORHAT,7,18,53,78,11,89
ASSAM,JORHAT,TITABOR,10,89,171,270,0,270
ASSAM,KAMRUP,BOKO BANGAON,8,64,40,112,0,112
ASSAM,KAMRUP,CHAMARIA,0,0,41,41,2,43
ASSAM,KAMRUP,CHANDRAPUR,0,0,0,0,7,7
ASSAM,KAMRUP,CHHAYGAON,3,14,18,35,1,36
ASSAM,KAMRUP,DIMORIA,28,136,188,352,37,389
ASSAM,KAMRUP,HAJO,0,0,19,19,5,24
ASSAM,KAMRUP,KAMALPUR,0,6,39,45,13,58
ASSAM,KAMRUP,KARARA,0,1,10,11,0,11
ASSAM,KAMRUP,RAMPUR,4,11,9,24,0,24
ASSAM,KAMRUP,RANGIA,6,9,7,22,18,40
ASSAM,KAMRUP,RANI,0,0,3,3,0,3
ASSAM,KARBI ANGLONG,BOKAJAN,0,0,1,1,5,6
ASSAM,KARBI ANGLONG,HOWRAGHAT,0,0,0,0,1,1
ASSAM,KARBI ANGLONG,LUMBAJONG,0,9,6,15,4,19
ASSAM,KARBI ANGLONG,RONGKHONG,0,0,9,9,13,22
ASSAM,KARIMGANJ,BADARPUR,0,0,0,0,1,1
ASSAM,KARIMGANJ,NORTH KARIMGANJ,0,0,0,0,1,1
ASSAM,KARIMGANJ,PATHARKANDI,0,0,0,0,7,7
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,0,0,0,0,9,9
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,0,0,0,0,6,6
ASSAM,KOKRAJHAR,DOTOMA,0,0,0,0,16,16
ASSAM,KOKRAJHAR,GOSSAIGAON,0,0,0,0,5,5
ASSAM,KOKRAJHAR,KACHUGAON,0,27,5,32,6,38
ASSAM,KOKRAJHAR,KOKRAJHAR,0,5,45,50,8,58
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),0,0,0,0,2,2
ASSAM,LAKHIMPUR,BIHPURIA,1,1,10,12,0,12
ASSAM,LAKHIMPUR,BORDALANI,0,2,4,6,0,6
ASSAM,LAKHIMPUR,DHAKUAKHANA,2,8,12,22,2,24
ASSAM,LAKHIMPUR,LAKHIMPUR,2,18,32,52,0,52
ASSAM,LAKHIMPUR,NARAYANPUR,1,3,19,23,1,24
ASSAM,LAKHIMPUR,NOWBOICHA,0,16,19,35,0,35
ASSAM,MARIGAON,BHURBANDHA,3,18,51,72,4,76
ASSAM,MARIGAON,KAPILI,1,3,13,17,5,22
ASSAM,MARIGAON,LAHARIGHAT,2,25,187,214,1,215
ASSAM,MARIGAON,MAYONG,3,22,78,103,51,154
ASSAM,NAGAON,BATADRAVA,11,1,39,51,4,55
ASSAM,NAGAON,JUGIJAN,10,7,92,109,0,109
ASSAM,NAGAON,JURIA,0,2,141,143,2,145
ASSAM,NAGAON,KALIABOR,26,51,119,196,2,198
ASSAM,NAGAON,KAPILI,35,3,66,104,0,104
ASSAM,NAGAON,KAPILI PT.I,62,57,187,306,9,315
ASSAM,NAGAON,KATHIATOLI,18,31,455,504,36,540
ASSAM,NAGAON,KHAGARIJAN,19,9,98,126,12,138
ASSAM,NAGAON,LANKA,12,26,182,220,0,220
ASSAM,NAGAON,LAOKHOWA,1,1,72,74,8,82
ASSAM,NAGAON,RUPAHI,6,3,47,56,4,60
ASSAM,NALBARI,BARIGOG BANBHAG,0,5,25,30,10,40
ASSAM,NALBARI,BARKHETRI,1,0,13,14,0,14
ASSAM,NALBARI,BASKA,11,12,3,26,2,28
ASSAM,NALBARI,PASCHIM NALBARI,4,0,19,23,2,25
ASSAM,NALBARI,PUB NALBARI,3,1,41,45,9,54
ASSAM,NALBARI,TAMULPUR,4,9,11,24,5,29
ASSAM,NALBARI,TIHU BARAMA,2,4,22,28,8,36
ASSAM,NORTH CACHAR HILLS,DIYANG VALLEY,0,0,0,0,5,5
ASSAM,NORTH CACHAR HILLS,HARANGAJAW,0,0,0,0,1,1
ASSAM,SIBSAGAR,AMGURI,0,0,1,1,9,10
ASSAM,SIBSAGAR,DEMOW,2,0,120,122,9,131
ASSAM,SIBSAGAR,NAZIRA,0,0,0,0,32,32
ASSAM,SIBSAGAR,SAPEKHATI,0,12,200,212,8,220
ASSAM,SIBSAGAR,SIBSAGAR,0,0,0,0,5,5
ASSAM,SIBSAGAR,SONARI,0,5,211,216,8,224
ASSAM,SONITPUR,BALIPARA,6,18,28,52,2,54
ASSAM,SONITPUR,BEHALI,4,4,16,24,0,24
ASSAM,SONITPUR,BISWANATH,11,5,31,47,1,48
ASSAM,SONITPUR,CHAIDUAR,6,49,122,177,3,180
ASSAM,SONITPUR,DHEKIAJULI,12,11,29,52,2,54
ASSAM,SONITPUR,GABHORU,0,0,2,2,7,9
ASSAM,SONITPUR,NADUAR,17,32,113,162,10,172
ASSAM,TINSUKIA,HAPJAN,0,12,10,22,0,22
ASSAM,TINSUKIA,KAKOPATHAR,0,21,25,46,1,47
ASSAM,TINSUKIA,MARGHERITA,1,12,45,58,19,77
ASSAM,TINSUKIA,SADIYA,6,59,171,236,3,239
BIHAR,ARARIA,BHARGAMA,0,0,0,0,4,4
BIHAR,ARARIA,FORBESGANJ,0,0,0,0,3,3
BIHAR,ARARIA,JOKIHAT,0,0,0,0,1,1
BIHAR,ARARIA,PALASI,0,0,0,0,1,1
BIHAR,AURANGABAD,AURANGABAD,0,0,0,0,1,1
BIHAR,AURANGABAD,BARUN,0,0,0,0,6,6
BIHAR,AURANGABAD,GOH,0,0,0,0,4,4
BIHAR,AURANGABAD,HASPURA,0,0,0,0,4,4
BIHAR,AURANGABAD,KUTUMBA,0,0,1,1,0,1
BIHAR,AURANGABAD,NABINAGAR,0,0,3,3,1,4
BIHAR,AURANGABAD,OBRA,0,0,9,9,9,18
BIHAR,AURANGABAD,RAFIGANJ,0,0,17,17,2,19
BIHAR,BANKA,AMARPUR,0,0,0,0,10,10
BIHAR,BANKA,BANKA,0,0,0,0,2,2
BIHAR,BANKA,BAUSI,0,0,2,2,21,23
BIHAR,BANKA,CHANAN,2,0,11,13,22,35
BIHAR,BANKA,DHURAIYA,0,0,3,3,7,10
BIHAR,BANKA,KATORIA,0,2,13,15,51,66
BIHAR,BANKA,SAMBHUGANJ,0,0,0,0,1,1
BIHAR,BEGUSARAI,BACHHAWARA,0,0,0,0,3,3
BIHAR,BEGUSARAI,BAKHARI,0,0,0,0,1,1
BIHAR,BEGUSARAI,BEGUSARAI,0,0,0,0,14,14
BIHAR,BEGUSARAI,BHAGAWANPUR,0,0,0,0,7,7
BIHAR,BEGUSARAI,BIRPUR,0,0,1,1,4,5
BIHAR,BEGUSARAI,CHERIA BARIARPUR,0,0,2,2,7,9
BIHAR,BEGUSARAI,DANDARI,0,0,0,0,3,3
BIHAR,BEGUSARAI,GARHPURA,0,0,0,0,6,6
BIHAR,BEGUSARAI,KHUDABANDPUR,0,0,1,1,5,6
BIHAR,BEGUSARAI,MANSURCHAK,0,0,0,0,3,3
BIHAR,BEGUSARAI,NAOKHOTHI,0,0,0,0,3,3
BIHAR,BHABUA,ADHAURA,0,0,0,0,2,2
BIHAR,BHABUA,BHABUA,0,0,1,1,23,24
BIHAR,BHABUA,BHAGWANPUR,0,0,0,0,1,1
BIHAR,BHABUA,CHAINPUR,0,8,4,12,1,13
BIHAR,BHABUA,CHAND,0,0,0,0,4,4
BIHAR,BHABUA,DURGAWATI,0,0,0,0,6,6
BIHAR,BHABUA,KUDRA,0,1,1,2,7,9
BIHAR,BHABUA,MOHANIA,0,0,0,0,1,1
BIHAR,BHABUA,RAMGAR,0,0,0,0,1,1
BIHAR,BHAGALPUR,JAGDISHPUR,0,0,0,0,5,5
BIHAR,BHAGALPUR,KAHALGAON,0,0,0,0,1,1
BIHAR,BHAGALPUR,KHARIK,0,0,0,0,5,5
BIHAR,BHAGALPUR,NATHNAGAR,3,0,3,6,0,6
BIHAR,BHAGALPUR,NAUGACHHIA,0,0,0,0,7,7
BIHAR,BHAGALPUR,PIRPAINTI,0,0,6,6,24,30
BIHAR,BHAGALPUR,RANGRACHOWK,0,0,0,0,1,1
BIHAR,BHAGALPUR,SABOUR,0,0,0,0,5,5
BIHAR,BHAGALPUR,SHAHKUND,0,0,25,25,8,33
BIHAR,BHAGALPUR,SONHAULLA,0,0,4,4,110,114
BIHAR,BHAGALPUR,SULTANGANJ,0,0,0,0,31,31
BIHAR,BHOJPUR,AGIAON,0,0,0,0,5,5
BIHAR,BHOJPUR,ARRAHSADAR,0,0,0,0,3,3
BIHAR,BHOJPUR,BARBARA,0,0,1,1,0,1
BIHAR,BHOJPUR,BEHIA,0,0,0,0,1,1
BIHAR,BHOJPUR,GARHANI,0,0,0,0,3,3
BIHAR,BHOJPUR,KOILWAR,0,0,0,0,1,1
BIHAR,BHOJPUR,SAHAR,0,0,0,0,2,2
BIHAR,BHOJPUR,SAHPUR,1,0,2,3,0,3
BIHAR,BHOJPUR,SANDISH,0,0,0,0,1,1
BIHAR,BHOJPUR,TARARI,16,0,5,21,0,21
BIHAR,BHOJPUR,UDWABTNAGAR,4,0,0,4,0,4
BIHAR,BOKARO,CHAS,0,0,0,0,14,14
BIHAR,BUXAR,BUXAR,0,0,2,2,0,2
BIHAR,BUXAR,ITARHI,0,0,0,0,5,5
BIHAR,BUXAR,RAJPUR,0,1,4,5,2,7
BIHAR,CHAMPARAN EAST,ADAPUR,0,0,0,0,5,5
BIHAR,CHAMPARAN EAST,CHAURADANO,0,0,0,0,1,1
BIHAR,CHAMPARAN EAST,CHIRAIYA,0,0,0,0,7,7
BIHAR,CHAMPARAN EAST,GHORASAHAN,0,0,0,0,10,10
BIHAR,CHAMPARAN EAST,HARSIDHI,0,0,0,0,5,5
BIHAR,CHAMPARAN EAST,KALYANPUR,0,0,0,0,1,1
BIHAR,CHAMPARAN EAST,MADHUBAN,0,0,0,0,5,5
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,0,0,0,0,8,8
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,0,0,0,0,8,8
BIHAR,CHAMPARAN EAST,RAMGARHWA,0,0,0,0,3,3
BIHAR,CHAMPARAN EAST,RAXAUL,0,0,0,0,4,4
BIHAR,CHAMPARAN EAST,SUGAULI,1,0,9,10,7,17
BIHAR,CHAMPARAN EAST,TETARIA,0,0,0,0,3,3
BIHAR,CHAMPARAN EAST,TURKAULIA,0,0,0,0,1,1
BIHAR,CHAMPARAN WEST,GAUNAHA,0,0,8,8,14,22
BIHAR,CHAMPARAN WEST,LAURIYA,0,0,0,0,11,11
BIHAR,CHAMPARAN WEST,MAJHAWALIA,0,0,4,4,4,8
BIHAR,CHAMPARAN WEST,NAUTAN,0,0,0,0,4,4
BIHAR,CHATRA,CHATRA,0,0,1,1,24,25
BIHAR,CHATRA,GIDDHAUR,0,0,0,0,4,4
BIHAR,CHATRA,HUNTERGANJ,0,0,5,5,10,15
BIHAR,CHATRA,ITKHORI,0,0,0,0,4,4
BIHAR,CHATRA,LAVALONG,0,0,0,0,26,26
BIHAR,CHATRA,PATTHERGARHA,0,0,0,0,7,7
BIHAR,CHATRA,PRATAP PUR,0,0,1,1,7,8
BIHAR,CHATRA,SEMARIA,0,2,4,6,37,43
BIHAR,CHATRA,TANDAWA,0,0,0,0,120,120
BIHAR,DARBHANGA,BAHERI,0,0,0,0,3,3
BIHAR,DARBHANGA,BENIPUR,0,0,0,0,16,16
BIHAR,DARBHANGA,DARBHANGA,0,0,5,5,1,6
BIHAR,DARBHANGA,GHANSHYAMPUR,0,0,0,0,2,2
BIHAR,DARBHANGA,KEOTI(RANWAY),0,0,0,0,3,3
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,0,0,0,0,2,2
BIHAR,DARBHANGA,MANIGACHHI,0,0,0,0,6,6
BIHAR,DEOGHAR,KARON,10,34,122,166,40,206
BIHAR,DEOGHAR,MADHUPUR,57,11,78,146,0,146
BIHAR,DEOGHAR,SARATH,11,0,57,68,154,222
BIHAR,DHANBAD,BAGHMARA,0,0,1,1,5,6
BIHAR,DHANBAD,NIRSA,1,35,19,55,17,72
BIHAR,DHANBAD,TUNDI,0,2,2,4,17,21
BIHAR,DUMKA,DUMKA,0,4,4,8,16,24
BIHAR,DUMKA,GOPIKANDAR,0,0,0,0,7,7
BIHAR,DUMKA,JAMA,2,20,18,40,20,60
BIHAR,DUMKA,JAMTARA,3,18,17,38,17,55
BIHAR,DUMKA,JARMUNDI,0,0,6,6,8,14
BIHAR,DUMKA,KATHIKUND,2,163,38,203,10,213
BIHAR,DUMKA,KUNDHIT,16,10,10,36,5,41
BIHAR,DUMKA,MASALIA,21,271,69,361,35,396
BIHAR,DUMKA,NALA,51,172,124,347,50,397
BIHAR,DUMKA,NARAYANPUR,4,51,61,116,6,122
BIHAR,DUMKA,RAMGARH,2,0,0,2,4,6
BIHAR,DUMKA,RANESHWAR,1,43,46,90,14,104
BIHAR,DUMKA,SHIKARIPARA,6,197,81,284,79,363
BIHAR,GARHWA,BHANDARIA,0,0,0,0,6,6
BIHAR,GARHWA,BHAWNATHPUR,0,0,1,1,7,8
BIHAR,GARHWA,CHIRIA,0,0,0,0,1,1
BIHAR,GARHWA,DHURKI,4,12,8,24,0,24
BIHAR,GARHWA,GARHWA,0,0,4,4,11,15
BIHAR,GARHWA,MAJHIAURA,0,0,4,4,0,4
BIHAR,GARHWA,NAYARKTARI,0,1,2,3,8,11
BIHAR,GARHWA,RAMIA,1,0,14,15,0,15
BIHAR,GAYA,ATARI,0,0,4,4,4,8
BIHAR,GAYA,DUMARIA,1,0,16,17,0,17
BIHAR,GAYA,GAYA SADAR,0,0,0,0,18,18
BIHAR,GAYA,KHIZIRSORAI,0,0,0,0,7,7
BIHAR,GAYA,KONCH,0,0,0,0,3,3
BIHAR,GAYA,NIMCHAK BATHANI,0,0,0,0,4,4
BIHAR,GAYA,TANKUPPA,1,0,1,2,0,2
BIHAR,GIRIDIH,BAGODAR,0,0,0,0,5,5
BIHAR,GIRIDIH,BENGABAD,5,1,7,13,16,29
BIHAR,GIRIDIH,BIRNI,2,0,14,16,23,39
BIHAR,GIRIDIH,DEORI,0,0,0,0,4,4
BIHAR,GIRIDIH,DYMIR,1,2,5,8,24,32
BIHAR,GIRIDIH,GANDEY,0,0,5,5,15,20
BIHAR,GIRIDIH,GAWAN,0,0,0,0,5,5
BIHAR,GIRIDIH,JAMYA,0,0,0,0,9,9
BIHAR,GIRIDIH,RAJ DHANWAR,1,0,4,5,21,26
BIHAR,GODDA,BOARIJORE,13,48,22,83,88,171
BIHAR,GODDA,GODDA,0,6,2,8,21,29
BIHAR,GODDA,MAHAGAMA,0,0,0,0,2,2
BIHAR,GODDA,MEHARWAN,0,0,1,1,85,86
BIHAR,GODDA,PATHARGAMA,1,0,0,1,10,11
BIHAR,GODDA,THAKUR BANGTI,1,5,16,22,75,97
BIHAR,GOPALGANJ,BAIKUNTHPUR,0,0,1,1,0,1
BIHAR,GOPALGANJ,BARAULI,0,0,0,0,1,1
BIHAR,GOPALGANJ,BHOREY,0,0,0,0,4,4
BIHAR,GOPALGANJ,KUCHAIKOTE,1,0,1,2,0,2
BIHAR,GOPALGANJ,PHULWARIYA,0,0,0,0,1,1
BIHAR,GOPALGANJ,UCHKAGAON,0,0,0,0,2,2
BIHAR,GUMLA,BALBA,0,0,0,0,14,14
BIHAR,GUMLA,BANO,0,0,0,0,4,4
BIHAR,GUMLA,BASIA,0,0,0,0,2,2
BIHAR,GUMLA,BHARNO,0,16,5,21,67,88
BIHAR,GUMLA,BISHUNPUR,0,0,5,5,7,12
BIHAR,GUMLA,CHAINPUR,0,0,0,0,3,3
BIHAR,GUMLA,GHAGHRA,0,0,0,0,7,7
BIHAR,GUMLA,KANIDARA,0,0,0,0,3,3
BIHAR,GUMLA,KOLUBIRA,0,0,0,0,3,3
BIHAR,GUMLA,KURDEG,0,1,0,1,16,17
BIHAR,GUMLA,PALKOT,1,43,4,48,9,57
BIHAR,GUMLA,RAIDIH,3,85,28,116,0,116
BIHAR,GUMLA,SIMDEGA,0,3,1,4,7,11
BIHAR,GUMLA,SISAI,0,5,3,8,9,17
BIHAR,GUMLA,THETHAITANGA,0,3,14,17,7,24
BIHAR,HAZARIBAG,BARHI,0,0,3,3,13,16
BIHAR,HAZARIBAG,BARKATTHA,0,0,0,0,2,2
BIHAR,HAZARIBAG,BISHNUGARH,2,2,1,5,5,10
BIHAR,HAZARIBAG,CHAUPARAN,3,0,5,8,7,15
BIHAR,HAZARIBAG,CHURCHU,0,2,1,3,0,3
BIHAR,HAZARIBAG,GOLA,0,1,1,2,1,3
BIHAR,HAZARIBAG,HAZARIBAGH,0,0,0,0,8,8
BIHAR,HAZARIBAG,ICHAK,0,0,1,1,9,10
BIHAR,HAZARIBAG,KEREDARI,1,0,3,4,7,11
BIHAR,HAZARIBAG,PADMA,0,0,1,1,3,4
BIHAR,HAZARIBAG,PATRATU,0,3,9,12,0,12
BIHAR,JAMUI,BARHAT,0,1,4,5,7,12
BIHAR,JAMUI,GIDHOUR,0,0,0,0,4,4
BIHAR,JAMUI,JHAJHA,1,3,5,9,5,14
BIHAR,JAMUI,LAKSHMIPUR,0,0,4,4,2,6
BIHAR,JAMUI,SIKANDRA,1,0,19,20,13,33
BIHAR,JAMUI,SONO,0,0,3,3,4,7
BIHAR,JEHANABAD,MAKHDOMPUR,0,0,0,0,5,5
BIHAR,KATIHAR,BARARI,0,0,0,0,6,6
BIHAR,KATIHAR,HASANGANJ,0,0,0,0,1,1
BIHAR,KHAGARIA,ALAULI,0,0,1,1,2,3
BIHAR,KHAGARIA,CHAUTHAM,3,1,249,253,4,257
BIHAR,KHAGARIA,GOGRI,0,0,0,0,2,2
BIHAR,KHAGARIA,KHAGARIA,0,0,0,0,2,2
BIHAR,KHAGARIA,MANSI,2,0,175,177,0,177
BIHAR,KISHANGANJ,BAHADURGANJ,0,0,0,0,3,3
BIHAR,KISHANGANJ,KOCHADHAMIN,0,0,0,0,1,1
BIHAR,KISHANGANJ,POTHIA,0,0,0,0,6,6
BIHAR,KODARMA,CHANDWA,1,0,0,1,9,10
BIHAR,KODARMA,JAINAGAR,0,0,0,0,1,1
BIHAR,KODARMA,MARKACHO,0,0,23,23,31,54
BIHAR,KODARMA,SATGAWAN,0,0,1,1,5,6
BIHAR,LAKHISARAI,SURAJGARA,0,0,0,0,1,1
BIHAR,LOHARDAGA,BHANDRA,0,0,1,1,2,3
BIHAR,LOHARDAGA,KISKO,0,3,1,4,10,14
BIHAR,LOHARDAGA,KURU,1,4,0,5,29,34
BIHAR,LOHARDAGA,LOHARDAGA,0,0,0,0,20,20
BIHAR,LOHARDAGA,SENHA,1,0,2,3,24,27
BIHAR,MADHEPURA,KUMAR KHAND,0,0,0,0,2,2
BIHAR,MADHEPURA,MADHEPURA,0,0,0,0,2,2
BIHAR,MADHEPURA,UDA KISHANGANJ,0,0,0,0,2,2
BIHAR,MADHUBANI,ANDHARADATHI,0,0,0,0,16,16
BIHAR,MADHUBANI,BASOPATTI,0,0,0,0,1,1
BIHAR,MADHUBANI,BENIPATTI,0,0,0,0,3,3
BIHAR,MADHUBANI,KHAJAULI,8,0,5,13,5,18
BIHAR,MADHUBANI,LADANIA,0,0,1,1,14,15
BIHAR,MADHUBANI,LAKHNAUR,0,0,0,0,1,1
BIHAR,MADHUBANI,MADHAWAPUR,1,0,10,11,119,130
BIHAR,MADHUBANI,MADUBANI,1,0,22,23,84,107
BIHAR,MUNGER,DHARHARA,0,0,9,9,0,9
BIHAR,MUNGER,JAMALPUR,0,0,1,1,0,1
