-----
{
 "description": "The table refers to block wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.9.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.9.csv"
}
-----
State,District,Block,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
ASSAM,LAKHIMPUR,DHAKUAKHANA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,LAKHIMPUR,0,1,0,1
ASSAM,LAKHIMPUR,NARAYANPUR,0,1,0,1
ASSAM,LAKHIMPUR,NOWBOICHA,NA,NA,NA,NA
ASSAM,MARIGAON,BHURBANDHA,0,4,0,4
ASSAM,MARIGAON,KAPILI,0,9,0,9
ASSAM,MARIGAON,LAHARIGHAT,0,11,0,11
ASSAM,MARIGAON,MAYONG,0,10,0,10
ASSAM,NAGAON,BATADRAVA,0,2,0,2
ASSAM,NAGAON,JUGIJAN,NA,NA,NA,NA
ASSAM,NAGAON,JURIA,0,7,0,7
ASSAM,NAGAON,KALIABOR,0,8,0,8
ASSAM,NAGAON,KAPILI,0,2,0,2
ASSAM,NAGAON,KAPILI PT.I,0,10,0,10
ASSAM,NAGAON,KATHIATOLI,0,9,0,9
ASSAM,NAGAON,KHAGARIJAN,0,4,0,4
ASSAM,NAGAON,LANKA,0,4,0,4
ASSAM,NAGAON,LAOKHOWA,0,13,0,13
ASSAM,NAGAON,RUPAHI,0,7,0,7
ASSAM,NALBARI,BARIGOG BANBHAG,NA,NA,NA,NA
ASSAM,NALBARI,BARKHETRI,NA,NA,NA,NA
ASSAM,NALBARI,BASKA,0,22,0,22
ASSAM,NALBARI,PASCHIM NALBARI,NA,NA,NA,NA
ASSAM,NALBARI,PUB NALBARI,NA,NA,NA,NA
ASSAM,NALBARI,TAMULPUR,0,66,0,66
ASSAM,NALBARI,TIHU BARAMA,0,1,0,1
ASSAM,NORTH CACHAR HILLS,DIYANG VALLEY,0,50,0,50
ASSAM,NORTH CACHAR HILLS,DIYUNGBRA,0,94,0,94
ASSAM,NORTH CACHAR HILLS,HARANGAJAW,0,79,0,79
ASSAM,NORTH CACHAR HILLS,JATINGA VALLEY,0,42,0,42
ASSAM,SIBSAGAR,AMGURI,0,1,0,1
ASSAM,SIBSAGAR,DEMOW,NA,NA,NA,NA
ASSAM,SIBSAGAR,NAZIRA,0,1,0,1
ASSAM,SIBSAGAR,SAPEKHATI,0,1,0,1
ASSAM,SIBSAGAR,SIBSAGAR,NA,NA,NA,NA
ASSAM,SIBSAGAR,SONARI,0,1,0,1
ASSAM,SONITPUR,BALIPARA,0,3,0,3
ASSAM,SONITPUR,BEHALI,0,11,0,11
ASSAM,SONITPUR,BISWANATH,0,7,0,7
ASSAM,SONITPUR,CHAIDUAR,0,4,0,4
ASSAM,SONITPUR,DHEKIAJULI,0,5,0,5
ASSAM,SONITPUR,GABHORU,NA,NA,NA,NA
ASSAM,SONITPUR,NADUAR,0,2,0,2
ASSAM,TINSUKIA,HAPJAN,NA,NA,NA,NA
ASSAM,TINSUKIA,KAKOPATHAR,0,3,0,3
ASSAM,TINSUKIA,MARGHERITA,NA,NA,NA,NA
ASSAM,TINSUKIA,SADIYA,0,2,0,2
BIHAR,ARARIA,ARARIA,NA,NA,NA,NA
BIHAR,ARARIA,BHARGAMA,NA,NA,NA,NA
BIHAR,ARARIA,FORBESGANJ,0,40,0,40
BIHAR,ARARIA,JOKIHAT,NA,NA,NA,NA
BIHAR,ARARIA,KURSAKATTA,NA,NA,NA,NA
BIHAR,ARARIA,NARPAIGANJ,NA,NA,NA,NA
BIHAR,ARARIA,PALASI,NA,NA,NA,NA
BIHAR,ARARIA,RANIGANJ,NA,NA,NA,NA
BIHAR,ARARIA,SIKTI,NA,NA,NA,NA
BIHAR,AURANGABAD,AURANGABAD,NA,NA,NA,NA
BIHAR,AURANGABAD,BARUN,NA,NA,NA,NA
BIHAR,AURANGABAD,DAUDNAGAR,NA,NA,NA,NA
BIHAR,AURANGABAD,DEO,NA,NA,NA,NA
BIHAR,AURANGABAD,GOH,NA,NA,NA,NA
BIHAR,AURANGABAD,HASPURA,NA,NA,NA,NA
BIHAR,AURANGABAD,KUTUMBA,NA,NA,NA,NA
BIHAR,AURANGABAD,MADANPUR,NA,NA,NA,NA
BIHAR,AURANGABAD,NABINAGAR,NA,NA,NA,NA
BIHAR,AURANGABAD,OBRA,NA,NA,NA,NA
BIHAR,AURANGABAD,RAFIGANJ,NA,NA,NA,NA
BIHAR,BANKA,AMARPUR,43,154,0,197
BIHAR,BANKA,BANKA,47,133,0,180
BIHAR,BANKA,BARAHAT,123,47,0,170
BIHAR,BANKA,BAUSI,1,85,0,86
BIHAR,BANKA,BELHAR,13,22,0,35
BIHAR,BANKA,CHANAN,2,150,0,152
BIHAR,BANKA,DHURAIYA,53,314,0,367
BIHAR,BANKA,KATORIA,5,420,0,425
BIHAR,BANKA,PHULLIDUMAR,14,80,0,94
BIHAR,BANKA,RAJAN,2,115,0,117
BIHAR,BANKA,SAMBHUGANJ,82,68,0,150
BIHAR,BEGUSARAI,BACHHAWARA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BAKHARI,NA,NA,NA,NA
BIHAR,BEGUSARAI,BALIA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BARAUNI,NA,NA,NA,NA
BIHAR,BEGUSARAI,BEGUSARAI,NA,NA,NA,NA
BIHAR,BEGUSARAI,BHAGAWANPUR,NA,NA,NA,NA
BIHAR,BEGUSARAI,BIRPUR,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHERIA BARIARPUR,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHHAURAHI,NA,NA,NA,NA
BIHAR,BEGUSARAI,DANDARI,0,2,0,2
BIHAR,BEGUSARAI,GARHPURA,NA,NA,NA,NA
BIHAR,BEGUSARAI,KHUDABANDPUR,NA,NA,NA,NA
BIHAR,BEGUSARAI,MANSURCHAK,NA,NA,NA,NA
BIHAR,BEGUSARAI,MATIHANI,NA,NA,NA,NA
BIHAR,BEGUSARAI,NAOKHOTHI,NA,NA,NA,NA
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,NA,NA,NA,NA
BIHAR,BEGUSARAI,TEGHRA,NA,NA,NA,NA
BIHAR,BHABUA,ADHAURA,1,228,0,229
BIHAR,BHABUA,BHABUA,8,44,0,52
BIHAR,BHABUA,BHAGWANPUR,0,35,0,35
BIHAR,BHABUA,CHAINPUR,15,12,0,27
BIHAR,BHABUA,CHAND,5,1,0,6
BIHAR,BHABUA,DURGAWATI,NA,NA,NA,NA
BIHAR,BHABUA,KUDRA,1,2,0,3
BIHAR,BHABUA,MOHANIA,4,0,0,4
BIHAR,BHABUA,NUAWN,NA,NA,NA,NA
BIHAR,BHABUA,RAMGAR,NA,NA,NA,NA
BIHAR,BHABUA,RAMPUR,10,31,0,41
BIHAR,BHAGALPUR,BIHPUR,NA,NA,NA,NA
BIHAR,BHAGALPUR,GAURIDIH,3,367,0,370
BIHAR,BHAGALPUR,GOPALPUR,1,0,0,1
BIHAR,BHAGALPUR,ISMAILPUR,NA,NA,NA,NA
BIHAR,BHAGALPUR,JAGDISHPUR,0,43,0,43
BIHAR,BHAGALPUR,KAHALGAON,0,115,0,115
BIHAR,BHAGALPUR,KHARIK,NA,NA,NA,NA
BIHAR,BHAGALPUR,NARAINPUR,NA,NA,NA,NA
BIHAR,BHAGALPUR,NATHNAGAR,0,4,0,4
BIHAR,BHAGALPUR,NAUGACHHIA,NA,NA,NA,NA
BIHAR,BHAGALPUR,PIRPAINTI,0,3,0,3
BIHAR,BHAGALPUR,RANGRACHOWK,NA,NA,NA,NA
BIHAR,BHAGALPUR,SABOUR,0,5,0,5
BIHAR,BHAGALPUR,SHAHKUND,0,164,0,164
BIHAR,BHAGALPUR,SONHAULLA,1,132,0,133
BIHAR,BHAGALPUR,SULTANGANJ,0,14,0,14
BIHAR,BHOJPUR,AGIAON,2,67,0,69
BIHAR,BHOJPUR,ARRAHSADAR,0,1,0,1
BIHAR,BHOJPUR,BARBARA,NA,NA,NA,NA
BIHAR,BHOJPUR,BEHIA,0,2,0,2
BIHAR,BHOJPUR,CHARPOKHARI,5,0,0,5
BIHAR,BHOJPUR,GARHANI,1,19,0,20
BIHAR,BHOJPUR,JAGDISHPUR,NA,NA,NA,NA
BIHAR,BHOJPUR,KOILWAR,0,19,0,19
BIHAR,BHOJPUR,PIRO,30,1,0,31
BIHAR,BHOJPUR,SAHAR,1,4,0,5
BIHAR,BHOJPUR,SAHPUR,0,2,0,2
BIHAR,BHOJPUR,SANDISH,0,30,0,30
BIHAR,BHOJPUR,TARARI,8,0,0,8
BIHAR,BHOJPUR,UDWABTNAGAR,13,20,0,33
BIHAR,BOKARO,BERMO,0,10,0,10
BIHAR,BOKARO,CHANDAN KIYOI,0,928,1,929
BIHAR,BOKARO,CHAS,28,903,0,931
BIHAR,BOKARO,GOMIA,NA,NA,NA,NA
BIHAR,BOKARO,JARIDIH,1,84,0,85
BIHAR,BOKARO,KASMAR,4,120,0,124
BIHAR,BOKARO,NAWADIH,0,9,0,9
BIHAR,BOKARO,PETARWAR,148,146,0,294
BIHAR,BUXAR,BRAHAMPUR,NA,NA,NA,NA
BIHAR,BUXAR,BUXAR,NA,NA,NA,NA
BIHAR,BUXAR,CHANGAIN,NA,NA,NA,NA
BIHAR,BUXAR,CHARKKI,NA,NA,NA,NA
BIHAR,BUXAR,CHAUSA,NA,NA,NA,NA
BIHAR,BUXAR,DUMRAIN,0,3,0,3
BIHAR,BUXAR,ITARHI,8,0,0,8
BIHAR,BUXAR,KESATH,12,1,0,13
BIHAR,BUXAR,NAWANAGAR,74,10,1,85
BIHAR,BUXAR,RAJPUR,3,0,0,3
BIHAR,BUXAR,SIMRI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ADAPUR,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ARERAJ,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,BANJARIA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAKIYA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAURADANO,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHIRAIYA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,DHAKA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,FENHARA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,GHORASAHAN,0,1,0,1
BIHAR,CHAMPARAN EAST,HARSIDHI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KALYANPUR,0,18,0,18
BIHAR,CHAMPARAN EAST,KESARIA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KOTWA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MADHUBAN,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MEHSHI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MOTIHARI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAHARPUR,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PATAHI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAMGARHWA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAXAUL,0,20,0,20
BIHAR,CHAMPARAN EAST,SANGRAMPUR,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,SUGAULI,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TETARIA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TURKAULIA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAGAHA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAIRIA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BETTIAN,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BHITAHA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,CHANPATIYA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,GAUNAHA,20,22,0,42
BIHAR,CHAMPARAN WEST,LAURIYA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MADHUBANI,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MAINATANR,0,16,0,16
BIHAR,CHAMPARAN WEST,MAJHAWALIA,2,0,0,2
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,NAUTAN,19,8,0,27
BIHAR,CHAMPARAN WEST,PIPRASI,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,RAMNAGAR,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIDHAW,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIKTA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,THAKRAHA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,YOGAPATTI,NA,NA,NA,NA
BIHAR,CHATRA,CHATRA,0,380,0,380
BIHAR,CHATRA,GIDDHAUR,0,76,0,76
BIHAR,CHATRA,HUNTERGANJ,0,584,0,584
BIHAR,CHATRA,ITKHORI,1,491,0,492
BIHAR,CHATRA,KUNDA,0,148,0,148
BIHAR,CHATRA,LAVALONG,0,82,0,82
BIHAR,CHATRA,PATTHERGARHA,0,30,0,30
BIHAR,CHATRA,PRATAP PUR,2,354,0,356
BIHAR,CHATRA,SEMARIA,0,77,0,77
BIHAR,CHATRA,TANDAWA,0,44,0,44
BIHAR,DARBHANGA,AUNAGAR,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHADURPUR,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHERI,NA,NA,NA,NA
BIHAR,DARBHANGA,BENIPUR,NA,NA,NA,NA
BIHAR,DARBHANGA,BIRAUL,NA,NA,NA,NA
BIHAR,DARBHANGA,DARBHANGA,NA,NA,NA,NA
BIHAR,DARBHANGA,GHANSHYAMPUR,NA,NA,NA,NA
BIHAR,DARBHANGA,GORA BOURAM,NA,NA,NA,NA
BIHAR,DARBHANGA,HAYAGHAT,NA,NA,NA,NA
BIHAR,DARBHANGA,JALE,0,85,0,85
BIHAR,DARBHANGA,KEOTI(RANWAY),NA,NA,NA,NA
BIHAR,DARBHANGA,KIRATPUR,NA,NA,NA,NA
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,NA,NA,NA,NA
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,NA,NA,NA,NA
BIHAR,DARBHANGA,MANIGACHHI,NA,NA,NA,NA
BIHAR,DARBHANGA,SINGHWARA,NA,NA,NA,NA
BIHAR,DEOGHAR,DEOGHAR,25,491,0,516
BIHAR,DEOGHAR,DEVIPUR,12,492,1,505
BIHAR,DEOGHAR,KARON,NA,NA,NA,NA
BIHAR,DEOGHAR,MADHUPUR,3,157,0,160
BIHAR,DEOGHAR,MOHANPUR,10,416,1,427
BIHAR,DEOGHAR,PALAJORI,NA,NA,NA,NA
BIHAR,DEOGHAR,SARATH,0,369,0,369
BIHAR,DEOGHAR,SARWAN,37,420,0,457
BIHAR,DHANBAD,BAGHMARA,1,18,0,19
BIHAR,DHANBAD,BALIAPUR,4,123,0,127
BIHAR,DHANBAD,DHANBAD,2,21,0,23
BIHAR,DHANBAD,GOBINDPUR,21,38,0,59
BIHAR,DHANBAD,JHARIA,NA,NA,NA,NA
BIHAR,DHANBAD,NIRSA,0,251,0,251
BIHAR,DHANBAD,TOPCHACHI,1,92,0,93
BIHAR,DHANBAD,TUNDI,10,280,0,290
BIHAR,DUMKA,DUMKA,9,29,0,38
BIHAR,DUMKA,GOPIKANDAR,4,378,0,382
BIHAR,DUMKA,JAMA,9,220,1,230
BIHAR,DUMKA,JAMTARA,6,477,7,490
BIHAR,DUMKA,JARMUNDI,0,101,0,101
BIHAR,DUMKA,KATHIKUND,7,208,0,215
BIHAR,DUMKA,KUNDHIT,46,1622,2,1670
BIHAR,DUMKA,MASALIA,7,748,0,755
BIHAR,DUMKA,NALA,154,1979,12,2145
BIHAR,DUMKA,NARAYANPUR,1,499,0,500
BIHAR,DUMKA,RAMGARH,2,105,1,108
BIHAR,DUMKA,RANESHWAR,113,964,1,1078
BIHAR,DUMKA,SARAIYAHAT,22,378,0,400
BIHAR,DUMKA,SHIKARIPARA,112,716,44,872
BIHAR,GARHWA,BHANDARIA,8,72,0,80
BIHAR,GARHWA,BHAWNATHPUR,1,189,0,190
BIHAR,GARHWA,CHIRIA,1,112,0,113
BIHAR,GARHWA,DANDAI,32,85,0,117
BIHAR,GARHWA,DHURKI,16,146,0,162
BIHAR,GARHWA,GARHWA,94,526,0,620
BIHAR,GARHWA,KHARAUNDHI,0,75,0,75
BIHAR,GARHWA,MAJHIAURA,1,364,0,365
BIHAR,GARHWA,MEVAL,0,214,0,214
BIHAR,GARHWA,NAYARKTARI,6,93,0,99
BIHAR,GARHWA,RAMIA,0,258,0,258
BIHAR,GARHWA,RAMKANDA,0,73,0,73
BIHAR,GARHWA,RANKA,0,334,7,341
BIHAR,GAYA,AMAS,4,205,0,209
BIHAR,GAYA,ATARI,0,235,13,248
BIHAR,GAYA,BANROYBAZAR,0,156,0,156
BIHAR,GAYA,BARACHATTI,3,241,0,244
BIHAR,GAYA,BELAGANJ,1,379,4,384
BIHAR,GAYA,BODHGAYA,21,141,32,194
BIHAR,GAYA,DOBBI,25,165,0,190
BIHAR,GAYA,DUMARIA,0,436,0,436
BIHAR,GAYA,FETHPUR,1,793,0,794
BIHAR,GAYA,GARARU,15,248,0,263
BIHAR,GAYA,GAYA SADAR,1,187,0,188
BIHAR,GAYA,GURUA,74,459,0,533
BIHAR,GAYA,IMAMGANJ,2,765,0,767
BIHAR,GAYA,KHIZIRSORAI,7,263,0,270
BIHAR,GAYA,KONCH,21,402,0,423
BIHAR,GAYA,MANPUR,0,232,0,232
BIHAR,GAYA,MOHANPUR,0,393,0,393
BIHAR,GAYA,NIMCHAK BATHANI,0,246,0,246
BIHAR,GAYA,PARAIYA,0,180,0,180
BIHAR,GAYA,SHERGHATI,38,271,0,309
BIHAR,GAYA,TANKUPPA,1,438,0,439
BIHAR,GAYA,TEKARI,47,277,0,324
BIHAR,GAYA,WAZGANJ,0,753,0,753
BIHAR,GIRIDIH,BAGODAR,0,233,0,233
BIHAR,GIRIDIH,BENGABAD,1,236,0,237
BIHAR,GIRIDIH,BIRNI,6,183,0,189
BIHAR,GIRIDIH,DEORI,1,288,0,289
BIHAR,GIRIDIH,DYMIR,0,155,0,155
BIHAR,GIRIDIH,GANDEY,1,191,0,192
BIHAR,GIRIDIH,GAWAN,0,167,0,167
BIHAR,GIRIDIH,GIRIDIH,0,1,0,1
BIHAR,GIRIDIH,JAMYA,1,552,0,553
BIHAR,GIRIDIH,PIRTANR,0,233,0,233
BIHAR,GIRIDIH,RAJ DHANWAR,12,267,0,279
BIHAR,GIRIDIH,TISRI,1,142,0,143
BIHAR,GODDA,BOARIJORE,10,165,0,175
BIHAR,GODDA,GODDA,3,369,0,372
BIHAR,GODDA,MAHAGAMA,59,286,0,345
BIHAR,GODDA,MEHARWAN,0,228,0,228
BIHAR,GODDA,PATHARGAMA,3,414,0,417
BIHAR,GODDA,PORAIYHAT,NA,NA,NA,NA
BIHAR,GODDA,SUNDAR PAHARI,1,84,0,85
BIHAR,GODDA,THAKUR BANGTI,33,28,0,61
BIHAR,GOPALGANJ,BAIKUNTHPUR,NA,NA,NA,NA
BIHAR,GOPALGANJ,BARAULI,NA,NA,NA,NA
BIHAR,GOPALGANJ,BHOREY,NA,NA,NA,NA
BIHAR,GOPALGANJ,BIJAIPUR,NA,NA,NA,NA
BIHAR,GOPALGANJ,GOPALGANJ,NA,NA,NA,NA
BIHAR,GOPALGANJ,HATHUA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KATAIYA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KUCHAIKOTE,NA,NA,NA,NA
BIHAR,GOPALGANJ,MANJHA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PHULWARIYA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PUNCHDEORI,NA,NA,NA,NA
BIHAR,GOPALGANJ,SIDHWALIA,NA,NA,NA,NA
BIHAR,GOPALGANJ,THAWE,NA,NA,NA,NA
BIHAR,GOPALGANJ,UCHKAGAON,NA,NA,NA,NA
BIHAR,GUMLA,BALBA,24,3,0,27
BIHAR,GUMLA,BANO,3,6,0,9
BIHAR,GUMLA,BASIA,NA,NA,NA,NA
BIHAR,GUMLA,BHARNO,0,32,0,32
BIHAR,GUMLA,BISHUNPUR,1,33,0,34
BIHAR,GUMLA,CHAINPUR,17,35,0,52
BIHAR,GUMLA,DUMRI,0,8,0,8
BIHAR,GUMLA,GHAGHRA,0,29,0,29
BIHAR,GUMLA,GUMLA,1,4,0,5
BIHAR,GUMLA,JALDEGA,NA,NA,NA,NA
BIHAR,GUMLA,KANIDARA,NA,NA,NA,NA
BIHAR,GUMLA,KOLUBIRA,0,21,0,21
BIHAR,GUMLA,KURDEG,1,20,0,21
BIHAR,GUMLA,PALKOT,0,9,0,9
BIHAR,GUMLA,RAIDIH,0,5,0,5
BIHAR,GUMLA,SIMDEGA,0,9,0,9
BIHAR,GUMLA,SISAI,NA,NA,NA,NA
BIHAR,GUMLA,THETHAITANGA,1,10,0,11
BIHAR,HAZARIBAG,BARHI,0,77,0,77
BIHAR,HAZARIBAG,BARKAGAON,0,4,0,4
BIHAR,HAZARIBAG,BARKATTHA,1,0,0,1
BIHAR,HAZARIBAG,BISHNUGARH,0,6,0,6
BIHAR,HAZARIBAG,CHAUPARAN,0,229,1,230
BIHAR,HAZARIBAG,CHURCHU,0,12,0,12
BIHAR,HAZARIBAG,GOLA,0,10,0,10
BIHAR,HAZARIBAG,HAZARIBAGH,0,49,0,49
BIHAR,HAZARIBAG,ICHAK,0,3,0,3
BIHAR,HAZARIBAG,KATKAMSANDI,2,3,0,5
BIHAR,HAZARIBAG,KEREDARI,0,17,0,17
BIHAR,HAZARIBAG,MANDY,NA,NA,NA,NA
BIHAR,HAZARIBAG,PADMA,17,34,0,51
BIHAR,HAZARIBAG,PATRATU,NA,NA,NA,NA
BIHAR,HAZARIBAG,RAMGARH,NA,NA,NA,NA
BIHAR,JAMUI,ALIGANJ,0,186,0,186
BIHAR,JAMUI,BARHAT,3,32,1,36
BIHAR,JAMUI,CHAKAI,1,358,0,359
BIHAR,JAMUI,GIDHOUR,12,50,1,63
BIHAR,JAMUI,JAMUI,89,253,0,342
BIHAR,JAMUI,JHAJHA,0,112,0,112
BIHAR,JAMUI,KHAIRA,9,62,0,71
BIHAR,JAMUI,LAKSHMIPUR,0,108,22,130
BIHAR,JAMUI,SIKANDRA,5,267,0,272
BIHAR,JAMUI,SONO,0,389,0,389
BIHAR,JEHANABAD,ARWAL,23,21,0,44
BIHAR,JEHANABAD,BANSI SURUJPUR,NA,NA,NA,NA
BIHAR,JEHANABAD,GHOSI,0,63,0,63
BIHAR,JEHANABAD,JEHANABAD,0,109,0,109
BIHAR,JEHANABAD,KAKU,0,13,0,13
BIHAR,JEHANABAD,KALEV,27,10,0,37
BIHAR,JEHANABAD,KARPI,0,47,0,47
BIHAR,JEHANABAD,KURTHA,NA,NA,NA,NA
BIHAR,JEHANABAD,MAKHDOMPUR,1,209,0,210
BIHAR,JEHANABAD,RATNI FARIDPUR,NA,NA,NA,NA
BIHAR,KATIHAR,AMDABAET,NA,NA,NA,NA
BIHAR,KATIHAR,AZAMNAGAR,NA,NA,NA,NA
BIHAR,KATIHAR,BALRAMPUR,NA,NA,NA,NA
BIHAR,KATIHAR,BANPUR,NA,NA,NA,NA
BIHAR,KATIHAR,BARARI,NA,NA,NA,NA
BIHAR,KATIHAR,BARSOI,NA,NA,NA,NA
BIHAR,KATIHAR,DANDKHORA,NA,NA,NA,NA
BIHAR,KATIHAR,FALKA,NA,NA,NA,NA
BIHAR,KATIHAR,HASANGANJ,NA,NA,NA,NA
BIHAR,KATIHAR,KADWA,NA,NA,NA,NA
BIHAR,KATIHAR,KATIHAR,NA,NA,NA,NA
BIHAR,KATIHAR,KORHA,NA,NA,NA,NA
BIHAR,KATIHAR,KURSELA,NA,NA,NA,NA
BIHAR,KATIHAR,MANIHARI,NA,NA,NA,NA
BIHAR,KATIHAR,MANSHAHI,NA,NA,NA,NA
BIHAR,KATIHAR,SAMELI,NA,NA,NA,NA
BIHAR,KHAGARIA,ALAULI,0,2,0,2
BIHAR,KHAGARIA,BELDAUR,NA,NA,NA,NA
BIHAR,KHAGARIA,CHAUTHAM,NA,NA,NA,NA
BIHAR,KHAGARIA,GOGRI,NA,NA,NA,NA
BIHAR,KHAGARIA,KHAGARIA,NA,NA,NA,NA
BIHAR,KHAGARIA,MANSI,NA,NA,NA,NA
BIHAR,KHAGARIA,PARBATTA,NA,NA,NA,NA
BIHAR,KISHANGANJ,BAHADURGANJ,NA,NA,NA,NA
BIHAR,KISHANGANJ,DHIGHATBANK,NA,NA,NA,NA
BIHAR,KISHANGANJ,KISHANGANJ,NA,NA,NA,NA
BIHAR,KISHANGANJ,KOCHADHAMIN,NA,NA,NA,NA
BIHAR,KISHANGANJ,POTHIA,NA,NA,NA,NA
BIHAR,KISHANGANJ,TERHAGACHH,NA,NA,NA,NA
BIHAR,KISHANGANJ,THAKURGANJ,NA,NA,NA,NA
BIHAR,KODARMA,CHANDWA,0,58,0,58
BIHAR,KODARMA,JAINAGAR,NA,NA,NA,NA
BIHAR,KODARMA,KODARAMA,0,64,0,64
BIHAR,KODARMA,MARKACHO,15,118,2,135
BIHAR,KODARMA,SATGAWAN,1,55,0,56
BIHAR,LAKHISARAI,BARAHIYA,NA,NA,NA,NA
BIHAR,LAKHISARAI,HALSI,6,22,0,28
BIHAR,LAKHISARAI,LOKHISARAI,45,82,0,127
BIHAR,LAKHISARAI,PIPARIA,0,4,0,4
BIHAR,LAKHISARAI,SURAJGARA,4,104,0,108
BIHAR,LOHARDAGA,BHANDRA,0,61,0,61
BIHAR,LOHARDAGA,KISKO,0,67,0,67
BIHAR,LOHARDAGA,KURU,0,2,0,2
BIHAR,LOHARDAGA,LOHARDAGA,NA,NA,NA,NA
BIHAR,LOHARDAGA,SENHA,0,60,0,60
BIHAR,MADHEPURA,ALAMNAGAR,NA,NA,NA,NA
BIHAR,MADHEPURA,BIHARIGANJ,NA,NA,NA,NA
BIHAR,MADHEPURA,CHAUSA,NA,NA,NA,NA
BIHAR,MADHEPURA,GAWALPARA,NA,NA,NA,NA
BIHAR,MADHEPURA,KUMAR KHAND,0,3,0,3
BIHAR,MADHEPURA,MADHEPURA,NA,NA,NA,NA
BIHAR,MADHEPURA,MURLIGANJ,NA,NA,NA,NA
BIHAR,MADHEPURA,PURAINI,NA,NA,NA,NA
BIHAR,MADHEPURA,SHANKERPUR,NA,NA,NA,NA
BIHAR,MADHEPURA,SINGHESWAR,NA,NA,NA,NA
BIHAR,MADHEPURA,UDA KISHANGANJ,NA,NA,NA,NA
BIHAR,MADHUBANI,ANDHARADATHI,0,15,0,15
BIHAR,MADHUBANI,BABUBARHI,NA,NA,NA,NA
BIHAR,MADHUBANI,BASOPATTI,66,5,0,71
BIHAR,MADHUBANI,BENIPATTI,0,4,0,4
BIHAR,MADHUBANI,BISFI,NA,NA,NA,NA
BIHAR,MADHUBANI,GHOGARDIHA,NA,NA,NA,NA
BIHAR,MADHUBANI,HARLAKHI,0,3,1,4
