-----
{
 "description": "The table refers to block wise distribution of surface flow schemes by type. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.5.csv"
}
-----
State,District,Block,Flow schemes - Storage,Flow schemes - Permanent Diversion,Flow schemes - Temporary Diversion,Flow schemes - Water Circulation,Total
ANDHRA PRADESH,WEST GODAVARI,NARASAPURAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,NIDAMARRU,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PALACOLE,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PALAKODERU,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,14,0,0,0,14
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,98,0,0,0,98
ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PENUGONDA,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PENUMANTRA,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PERAVALI,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,PODURU,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,13,3,5,5,26
ANDHRA PRADESH,WEST GODAVARI,T.NARASAPURAM,88,0,0,0,88
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,0,0,0,51,51
ANDHRA PRADESH,WEST GODAVARI,TANUKU,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,0,3,0,0,3
ANDHRA PRADESH,WEST GODAVARI,UNDI,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,UNDRAJAVARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,51,0,0,0,51
ANDHRA PRADESH,WEST GODAVARI,VEERAVASARAM,NA,NA,NA,NA,NA
ANDHRA PRADESH,WEST GODAVARI,YELAMANCHILI,NA,NA,NA,NA,NA
ARUNACHAL PRADESH,CHANGLANG,BORDUMSA-DIYUM,6,2,0,0,8
ARUNACHAL PRADESH,CHANGLANG,CHANGLANG,0,25,67,0,92
ARUNACHAL PRADESH,CHANGLANG,KAAGAM-MIAO,2,9,76,0,87
ARUNACHAL PRADESH,CHANGLANG,NAMPONG-MANMAO,0,19,32,0,51
ARUNACHAL PRADESH,DIBANG VALLEY,"ANINI, ETALIN",0,1,10,0,11
ARUNACHAL PRADESH,DIBANG VALLEY,"HUNLI, KRONLI",0,0,14,0,14
ARUNACHAL PRADESH,DIBANG VALLEY,ROING-DAMBUK,1,4,74,0,79
ARUNACHAL PRADESH,EAST KAMENG,BAMENG,0,0,8,0,8
ARUNACHAL PRADESH,EAST KAMENG,CHYANG TAJO,0,0,17,0,17
ARUNACHAL PRADESH,EAST KAMENG,PAKKE-KESSANG,1,5,23,2,31
ARUNACHAL PRADESH,EAST KAMENG,SEPPA,0,5,24,0,29
ARUNACHAL PRADESH,EAST SIANG,MEBO,4,25,207,2,238
ARUNACHAL PRADESH,EAST SIANG,PANGIN-BOLENG C.D BK,6,8,240,1,255
ARUNACHAL PRADESH,EAST SIANG,PASIGHAT C.D BLOCK,4,25,265,3,297
ARUNACHAL PRADESH,EAST SIANG,RAMLE-BANGO CD BLOCK,17,4,78,4,103
ARUNACHAL PRADESH,LOHIT,HAWAI-WALLONG,0,0,18,0,18
ARUNACHAL PRADESH,LOHIT,HAYULIANG,0,0,16,0,16
ARUNACHAL PRADESH,LOHIT,NAMSAI-CHOWKHAM,8,5,5,0,18
ARUNACHAL PRADESH,LOHIT,TEZU-SUNPURA,0,2,3,0,5
ARUNACHAL PRADESH,LOHIT,WAKRO,0,0,9,0,9
ARUNACHAL PRADESH,LOWER SUBANSIRI,CHAMBANG,0,2,47,0,49
ARUNACHAL PRADESH,LOWER SUBANSIRI,DAMIN,0,0,16,0,16
ARUNACHAL PRADESH,LOWER SUBANSIRI,KOLORIANG,0,0,58,0,58
ARUNACHAL PRADESH,LOWER SUBANSIRI,NYAPIN,0,0,47,0,47
ARUNACHAL PRADESH,LOWER SUBANSIRI,PALIN,0,0,80,0,80
ARUNACHAL PRADESH,LOWER SUBANSIRI,PARSI-PARLO,0,0,16,0,16
ARUNACHAL PRADESH,LOWER SUBANSIRI,PISTANA,0,1,109,0,110
ARUNACHAL PRADESH,LOWER SUBANSIRI,RAGA,0,0,36,0,36
ARUNACHAL PRADESH,LOWER SUBANSIRI,SANGRAM,0,0,19,0,19
ARUNACHAL PRADESH,LOWER SUBANSIRI,SARLI,0,0,34,0,34
ARUNACHAL PRADESH,LOWER SUBANSIRI,TALI,0,0,7,0,7
ARUNACHAL PRADESH,LOWER SUBANSIRI,YACHULI,0,0,121,0,121
ARUNACHAL PRADESH,LOWER SUBANSIRI,ZIRO-I,0,0,109,0,109
ARUNACHAL PRADESH,PAPUM PARE,KIMIN-DOIMUKH,2,15,58,0,75
ARUNACHAL PRADESH,PAPUM PARE,SAGALEE,0,12,58,2,72
ARUNACHAL PRADESH,TAWANG,LUMLA,0,6,46,0,52
ARUNACHAL PRADESH,TAWANG,TAWANG,0,8,3,0,11
ARUNACHAL PRADESH,TAWANG,THIMBUMUKTO,0,4,4,0,8
ARUNACHAL PRADESH,TIRAP,NAMSANG C.D BLOCK,0,19,24,0,43
ARUNACHAL PRADESH,TIRAP,NIAUSA C.D BLOCK,1,19,38,0,58
ARUNACHAL PRADESH,TIRAP,PONGCHAU-WAKKA C.D.,4,0,3,0,7
ARUNACHAL PRADESH,UPPER SIANG,JENGGING,0,0,57,0,57
ARUNACHAL PRADESH,UPPER SIANG,MARIYANG,0,31,104,0,135
ARUNACHAL PRADESH,UPPER SIANG,TUTING,5,11,34,9,59
ARUNACHAL PRADESH,UPPER SIANG,YINGKIONG,0,0,46,0,46
ARUNACHAL PRADESH,UPPER SUBANSIRI,DAPORIJO,0,31,128,1,160
ARUNACHAL PRADESH,UPPER SUBANSIRI,DUMPORIJO,1,39,254,1,295
ARUNACHAL PRADESH,UPPER SUBANSIRI,GIBA,0,4,32,0,36
ARUNACHAL PRADESH,UPPER SUBANSIRI,NACHO,0,14,52,7,73
ARUNACHAL PRADESH,UPPER SUBANSIRI,TALIHA,0,0,17,0,17
ARUNACHAL PRADESH,WEST KAMENG,DIRANG,0,16,0,0,16
ARUNACHAL PRADESH,WEST KAMENG,KALAKTANG,0,18,3,0,21
ARUNACHAL PRADESH,WEST KAMENG,THRIZINO,0,11,5,0,16
ARUNACHAL PRADESH,WEST SIANG,ALONG,0,0,9,0,9
ARUNACHAL PRADESH,WEST SIANG,BASAR,0,26,6,0,32
ARUNACHAL PRADESH,WEST SIANG,GENSI,0,2,71,0,73
ARUNACHAL PRADESH,WEST SIANG,KAYING-PAYUM,0,7,29,0,36
ARUNACHAL PRADESH,WEST SIANG,LIROMOBA,0,0,80,0,80
ARUNACHAL PRADESH,WEST SIANG,MECHUKHA,0,5,0,0,5
ARUNACHAL PRADESH,WEST SIANG,RUMGONG,0,0,8,0,8
ASSAM,BARPETA,BAJALI,0,1,0,0,1
ASSAM,BARPETA,BARPETA,NA,NA,NA,NA,NA
ASSAM,BARPETA,BHAWANIPUR,NA,NA,NA,NA,NA
ASSAM,BARPETA,CHENGA,NA,NA,NA,NA,NA
ASSAM,BARPETA,GOBARDHANA,0,3,0,0,3
ASSAM,BARPETA,JALAH,0,2,0,0,2
ASSAM,BARPETA,MANDIA,NA,NA,NA,NA,NA
ASSAM,BARPETA,RUPSI,NA,NA,NA,NA,NA
ASSAM,BONGAIGAON,BOITAMARI,NA,NA,NA,NA,NA
ASSAM,BONGAIGAON,BOROBAZAR,0,4,1,0,5
ASSAM,BONGAIGAON,MANIKPUR,NA,NA,NA,NA,NA
ASSAM,BONGAIGAON,SIDLI-CHIRANG,0,1,0,0,1
ASSAM,BONGAIGAON,SRIJANGRAM,NA,NA,NA,NA,NA
ASSAM,CACHAR,KATIGORA,NA,NA,NA,NA,NA
ASSAM,CACHAR,LAKHIPUR,NA,NA,NA,NA,NA
ASSAM,CACHAR,NARSHINGPUR,0,0,1,0,1
ASSAM,CACHAR,RAJABAZAR,1,2,0,0,3
ASSAM,CACHAR,SALCHAPRA,NA,NA,NA,NA,NA
ASSAM,CACHAR,SONAI,NA,NA,NA,NA,NA
ASSAM,CACHAR,UDARBOND,0,3,0,0,3
ASSAM,DARRANG,DALGAON SIALMARI,0,0,2,0,2
ASSAM,DARRANG,KALAIGAON,5,1,2,0,8
ASSAM,DARRANG,KHAIRABARI,9,7,49,0,65
ASSAM,DARRANG,MAZBAT,5,0,0,0,5
ASSAM,DARRANG,SIPAJHAR,NA,NA,NA,NA,NA
ASSAM,DARRANG,UDALGURI,3,7,127,0,137
ASSAM,DHEMAJI,BORDOLONI,0,1,0,0,1
ASSAM,DHEMAJI,DHEMAJI,NA,NA,NA,NA,NA
ASSAM,DHEMAJI,MURKONGSELLECK,0,7,0,0,7
ASSAM,DHUBRI,AGAMONI,NA,NA,NA,NA,NA
ASSAM,DHUBRI,BILASIPARA,0,3,5,0,8
ASSAM,DHUBRI,CHAPAR SALKOCHA,1,0,37,0,38
ASSAM,DHUBRI,GAURIPUR,0,1,0,0,1
ASSAM,DHUBRI,GOLOKGANJ,NA,NA,NA,NA,NA
ASSAM,DHUBRI,MANKACHAR,NA,NA,NA,NA,NA
ASSAM,DHUBRI,SOUTH SALMARA,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,BARBARUAH,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,JOYPUR,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,KHOWANG,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,LAHOWAL,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,PANITOLA,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,TENGAKHAT,1,0,0,0,1
ASSAM,GOALPARA,BALIJANA,NA,NA,NA,NA,NA
ASSAM,GOALPARA,DUDHNOI,13,3,127,0,143
ASSAM,GOALPARA,LAKHIPUR,2,1,0,0,3
ASSAM,GOALPARA,MATIA,NA,NA,NA,NA,NA
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,NA,NA,NA,NA,NA
ASSAM,GOLAGHAT,GOLAGHAT EAST,0,0,1,0,1
ASSAM,GOLAGHAT,GOLAGHAT NORTH,NA,NA,NA,NA,NA
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,0,0,1,0,1
ASSAM,GOLAGHAT,GOLAGHAT WEST,0,1,0,0,1
ASSAM,GOLAGHAT,GOMARIGURI,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,KATLICHARA,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,LALA,NA,NA,NA,NA,NA
ASSAM,JORHAT,JORHAT,NA,NA,NA,NA,NA
ASSAM,JORHAT,JORHAT CENTRAL,0,2,0,0,2
ASSAM,JORHAT,JORHAT EAST,0,1,0,0,1
ASSAM,JORHAT,MAJULI,NA,NA,NA,NA,NA
ASSAM,JORHAT,NORTH WEST JORHAT,NA,NA,NA,NA,NA
ASSAM,JORHAT,TITABOR,0,1,0,0,1
ASSAM,KAMRUP,BOKO BANGAON,0,3,0,0,3
ASSAM,KAMRUP,CHAMARIA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,CHANDRAPUR,0,0,19,0,19
ASSAM,KAMRUP,CHHAYGAON,NA,NA,NA,NA,NA
ASSAM,KAMRUP,DIMORIA,1,0,77,1,79
ASSAM,KAMRUP,HAJO,NA,NA,NA,NA,NA
ASSAM,KAMRUP,KAMALPUR,NA,NA,NA,NA,NA
ASSAM,KAMRUP,KARARA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,RAMPUR,0,1,0,0,1
ASSAM,KAMRUP,RANGIA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,RANI,0,2,0,0,2
ASSAM,KARBI ANGLONG,AMRI,0,6,210,0,216
ASSAM,KARBI ANGLONG,BOKAJAN,2,2,60,0,64
ASSAM,KARBI ANGLONG,CHINTHONG,0,1,188,0,189
ASSAM,KARBI ANGLONG,HOWRAGHAT,0,1,37,0,38
ASSAM,KARBI ANGLONG,LUMBAJONG,2,3,146,2,153
ASSAM,KARBI ANGLONG,NILIP,0,0,162,0,162
ASSAM,KARBI ANGLONG,RANGMONGWA,0,0,7,0,7
ASSAM,KARBI ANGLONG,RONGKHONG,20,15,273,1,309
ASSAM,KARBI ANGLONG,SAMILONGSO,0,0,89,0,89
ASSAM,KARBI ANGLONG,SOCHENG,0,0,49,0,49
ASSAM,KARIMGANJ,BADARPUR,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,NORTH KARIMGANJ,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,PATHARKANDI,0,1,0,0,1
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,NA,NA,NA,NA,NA
ASSAM,KOKRAJHAR,DOTOMA,4,0,2,0,6
ASSAM,KOKRAJHAR,GOSSAIGAON,NA,NA,NA,NA,NA
ASSAM,KOKRAJHAR,KACHUGAON,5,0,0,0,5
ASSAM,KOKRAJHAR,KOKRAJHAR,2,1,0,1,4
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),9,0,0,0,9
ASSAM,LAKHIMPUR,BIHPURIA,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,BORDALANI,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,DHAKUAKHANA,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,LAKHIMPUR,0,0,1,0,1
ASSAM,LAKHIMPUR,NARAYANPUR,0,0,1,0,1
ASSAM,LAKHIMPUR,NOWBOICHA,NA,NA,NA,NA,NA
ASSAM,MARIGAON,BHURBANDHA,0,4,0,0,4
ASSAM,MARIGAON,KAPILI,0,0,0,9,9
ASSAM,MARIGAON,LAHARIGHAT,0,9,0,2,11
ASSAM,MARIGAON,MAYONG,1,9,0,0,10
ASSAM,NAGAON,BATADRAVA,0,2,0,0,2
ASSAM,NAGAON,JUGIJAN,NA,NA,NA,NA,NA
ASSAM,NAGAON,JURIA,2,5,0,0,7
ASSAM,NAGAON,KALIABOR,0,4,4,0,8
ASSAM,NAGAON,KAPILI,0,2,0,0,2
ASSAM,NAGAON,KAPILI PT.I,0,10,0,0,10
ASSAM,NAGAON,KATHIATOLI,4,4,1,0,9
ASSAM,NAGAON,KHAGARIJAN,3,1,0,0,4
ASSAM,NAGAON,LANKA,0,4,0,0,4
ASSAM,NAGAON,LAOKHOWA,1,12,0,0,13
ASSAM,NAGAON,RUPAHI,0,7,0,0,7
ASSAM,NALBARI,BARIGOG BANBHAG,NA,NA,NA,NA,NA
ASSAM,NALBARI,BARKHETRI,NA,NA,NA,NA,NA
ASSAM,NALBARI,BASKA,20,2,0,0,22
ASSAM,NALBARI,PASCHIM NALBARI,NA,NA,NA,NA,NA
ASSAM,NALBARI,PUB NALBARI,NA,NA,NA,NA,NA
ASSAM,NALBARI,TAMULPUR,48,1,17,0,66
ASSAM,NALBARI,TIHU BARAMA,1,0,0,0,1
ASSAM,NORTH CACHAR HILLS,DIYANG VALLEY,3,1,46,0,50
ASSAM,NORTH CACHAR HILLS,DIYUNGBRA,0,4,90,0,94
ASSAM,NORTH CACHAR HILLS,HARANGAJAW,7,9,63,0,79
ASSAM,NORTH CACHAR HILLS,JATINGA VALLEY,0,6,36,0,42
ASSAM,SIBSAGAR,AMGURI,0,1,0,0,1
ASSAM,SIBSAGAR,DEMOW,NA,NA,NA,NA,NA
ASSAM,SIBSAGAR,NAZIRA,1,0,0,0,1
ASSAM,SIBSAGAR,SAPEKHATI,0,1,0,0,1
ASSAM,SIBSAGAR,SIBSAGAR,NA,NA,NA,NA,NA
ASSAM,SIBSAGAR,SONARI,1,0,0,0,1
ASSAM,SONITPUR,BALIPARA,1,1,1,0,3
ASSAM,SONITPUR,BEHALI,0,4,7,0,11
ASSAM,SONITPUR,BISWANATH,0,1,6,0,7
ASSAM,SONITPUR,CHAIDUAR,0,0,4,0,4
ASSAM,SONITPUR,DHEKIAJULI,1,3,1,0,5
ASSAM,SONITPUR,GABHORU,NA,NA,NA,NA,NA
ASSAM,SONITPUR,NADUAR,2,0,0,0,2
ASSAM,TINSUKIA,HAPJAN,NA,NA,NA,NA,NA
ASSAM,TINSUKIA,KAKOPATHAR,2,0,1,0,3
ASSAM,TINSUKIA,MARGHERITA,NA,NA,NA,NA,NA
ASSAM,TINSUKIA,SADIYA,0,0,2,0,2
BIHAR,ARARIA,ARARIA,NA,NA,NA,NA,NA
BIHAR,ARARIA,BHARGAMA,NA,NA,NA,NA,NA
BIHAR,ARARIA,FORBESGANJ,40,0,0,0,40
BIHAR,ARARIA,JOKIHAT,NA,NA,NA,NA,NA
BIHAR,ARARIA,KURSAKATTA,NA,NA,NA,NA,NA
BIHAR,ARARIA,NARPAIGANJ,NA,NA,NA,NA,NA
BIHAR,ARARIA,PALASI,NA,NA,NA,NA,NA
BIHAR,ARARIA,RANIGANJ,NA,NA,NA,NA,NA
BIHAR,ARARIA,SIKTI,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,BARUN,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,DAUDNAGAR,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,DEO,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,GOH,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,HASPURA,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,KUTUMBA,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,MADANPUR,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,NABINAGAR,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,OBRA,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,RAFIGANJ,NA,NA,NA,NA,NA
BIHAR,BANKA,AMARPUR,151,45,0,1,197
BIHAR,BANKA,BANKA,95,72,4,9,180
BIHAR,BANKA,BARAHAT,112,12,33,13,170
BIHAR,BANKA,BAUSI,3,0,3,80,86
BIHAR,BANKA,BELHAR,19,15,0,1,35
BIHAR,BANKA,CHANAN,107,11,2,32,152
BIHAR,BANKA,DHURAIYA,336,0,12,19,367
BIHAR,BANKA,KATORIA,338,15,2,70,425
BIHAR,BANKA,PHULLIDUMAR,52,42,0,0,94
BIHAR,BANKA,RAJAN,104,7,6,0,117
BIHAR,BANKA,SAMBHUGANJ,102,36,12,0,150
BIHAR,BEGUSARAI,BACHHAWARA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BAKHARI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BALIA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BARAUNI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BEGUSARAI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BHAGAWANPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BIRPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHERIA BARIARPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHHAURAHI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,DANDARI,0,0,2,0,2
BIHAR,BEGUSARAI,GARHPURA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,KHUDABANDPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,MANSURCHAK,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,MATIHANI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,NAOKHOTHI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,TEGHRA,NA,NA,NA,NA,NA
BIHAR,BHABUA,ADHAURA,195,34,0,0,229
BIHAR,BHABUA,BHABUA,20,7,25,0,52
BIHAR,BHABUA,BHAGWANPUR,26,9,0,0,35
BIHAR,BHABUA,CHAINPUR,26,1,0,0,27
BIHAR,BHABUA,CHAND,0,1,1,4,6
BIHAR,BHABUA,DURGAWATI,NA,NA,NA,NA,NA
BIHAR,BHABUA,KUDRA,3,0,0,0,3
BIHAR,BHABUA,MOHANIA,0,4,0,0,4
BIHAR,BHABUA,NUAWN,NA,NA,NA,NA,NA
BIHAR,BHABUA,RAMGAR,NA,NA,NA,NA,NA
BIHAR,BHABUA,RAMPUR,9,20,3,9,41
BIHAR,BHAGALPUR,BIHPUR,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,GAURIDIH,164,206,0,0,370
BIHAR,BHAGALPUR,GOPALPUR,0,0,0,1,1
BIHAR,BHAGALPUR,ISMAILPUR,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,JAGDISHPUR,35,7,1,0,43
BIHAR,BHAGALPUR,KAHALGAON,105,7,1,2,115
BIHAR,BHAGALPUR,KHARIK,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,NARAINPUR,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,NATHNAGAR,1,0,0,3,4
BIHAR,BHAGALPUR,NAUGACHHIA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,PIRPAINTI,2,0,0,1,3
BIHAR,BHAGALPUR,RANGRACHOWK,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,SABOUR,5,0,0,0,5
BIHAR,BHAGALPUR,SHAHKUND,137,11,1,15,164
BIHAR,BHAGALPUR,SONHAULLA,84,21,2,26,133
BIHAR,BHAGALPUR,SULTANGANJ,6,0,0,8,14
BIHAR,BHOJPUR,AGIAON,59,9,1,0,69
BIHAR,BHOJPUR,ARRAHSADAR,1,0,0,0,1
BIHAR,BHOJPUR,BARBARA,NA,NA,NA,NA,NA
BIHAR,BHOJPUR,BEHIA,2,0,0,0,2
BIHAR,BHOJPUR,CHARPOKHARI,5,0,0,0,5
BIHAR,BHOJPUR,GARHANI,11,0,4,5,20
BIHAR,BHOJPUR,JAGDISHPUR,NA,NA,NA,NA,NA
BIHAR,BHOJPUR,KOILWAR,19,0,0,0,19
BIHAR,BHOJPUR,PIRO,28,0,3,0,31
BIHAR,BHOJPUR,SAHAR,4,1,0,0,5
BIHAR,BHOJPUR,SAHPUR,0,0,2,0,2
BIHAR,BHOJPUR,SANDISH,3,26,1,0,30
BIHAR,BHOJPUR,TARARI,8,0,0,0,8
BIHAR,BHOJPUR,UDWABTNAGAR,33,0,0,0,33
BIHAR,BOKARO,BERMO,10,0,0,0,10
BIHAR,BOKARO,CHANDAN KIYOI,887,0,3,39,929
BIHAR,BOKARO,CHAS,809,107,5,10,931
BIHAR,BOKARO,GOMIA,NA,NA,NA,NA,NA
BIHAR,BOKARO,JARIDIH,76,5,2,2,85
BIHAR,BOKARO,KASMAR,107,1,16,0,124
BIHAR,BOKARO,NAWADIH,7,2,0,0,9
BIHAR,BOKARO,PETARWAR,0,146,0,148,294
BIHAR,BUXAR,BRAHAMPUR,NA,NA,NA,NA,NA
BIHAR,BUXAR,BUXAR,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHANGAIN,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHARKKI,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHAUSA,NA,NA,NA,NA,NA
BIHAR,BUXAR,DUMRAIN,0,0,0,3,3
BIHAR,BUXAR,ITARHI,8,0,0,0,8
BIHAR,BUXAR,KESATH,0,13,0,0,13
BIHAR,BUXAR,NAWANAGAR,37,46,2,0,85
BIHAR,BUXAR,RAJPUR,2,1,0,0,3
BIHAR,BUXAR,SIMRI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ADAPUR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ARERAJ,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,BANJARIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAKIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAURADANO,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHIRAIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,DHAKA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,FENHARA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,GHORASAHAN,1,0,0,0,1
BIHAR,CHAMPARAN EAST,HARSIDHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KALYANPUR,18,0,0,0,18
BIHAR,CHAMPARAN EAST,KESARIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KOTWA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MADHUBAN,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MEHSHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MOTIHARI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAHARPUR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PATAHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAMGARHWA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAXAUL,20,0,0,0,20
BIHAR,CHAMPARAN EAST,SANGRAMPUR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,SUGAULI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TETARIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TURKAULIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAGAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAIRIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BETTIAN,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BHITAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,CHANPATIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,GAUNAHA,16,3,23,0,42
BIHAR,CHAMPARAN WEST,LAURIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MADHUBANI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MAINATANR,1,4,11,0,16
BIHAR,CHAMPARAN WEST,MAJHAWALIA,2,0,0,0,2
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,NAUTAN,21,0,6,0,27
BIHAR,CHAMPARAN WEST,PIPRASI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,RAMNAGAR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIDHAW,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIKTA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,THAKRAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,YOGAPATTI,NA,NA,NA,NA,NA
