-----
{
 "description": "The table refers to district wise distribution of dugwells by status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.6.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells by its status for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.6.csv"
}
-----
"State","District","Wells in use","Not in use - Temporary","Not in use - Abandoned (Salinity)","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand Total (Use + Not in use)"
"TAMIL NADU","TIRUVANNAMALAI",134914,5967,1966,1092,152,41,9218,144132
"TAMIL NADU","TIRUVARUR",60,2,3,4,0,0,9,69
"TAMIL NADU","TRICHIRAPPALLI",53332,6938,1279,1291,967,385,10860,64192
"TAMIL NADU","VELLORE",90721,3800,774,596,168,432,5770,96491
"TAMIL NADU","VILLUPURAM",124267,5825,1983,1110,1360,591,10869,135136
"TAMIL NADU","VIRUDHUNAGAR",34056,2574,1462,1436,894,283,6649,40705
"TRIPURA","DHALAI",115,1,0,0,0,0,1,116
"TRIPURA","NORTH",33,0,0,0,0,0,0,33
"TRIPURA","SOUTH",652,1,1,1,0,0,3,655
"TRIPURA","WEST",0,0,0,0,1,0,1,1
"UTTAR PRADESH","AGRA",5910,0,0,0,0,0,0,5910
"UTTAR PRADESH","ALIGARH",255,6,6,1,0,1,14,269
"UTTAR PRADESH","ALLAHABAD",3020,262,54,52,1,1,370,3390
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AZAMGARH",104,0,0,1,0,16,17,121
"UTTAR PRADESH","BADAUN",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAHRAICH",122,62,421,16,27,12,538,660
"UTTAR PRADESH","BALLIA",160,5,326,1,0,5,337,497
"UTTAR PRADESH","BANDA",6548,0,0,0,0,0,0,6548
"UTTAR PRADESH","BARABANKI",131,264,1269,17,5,61,1616,1747
"UTTAR PRADESH","BAREILLY",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BASTI",1115,0,0,0,0,0,0,1115
"UTTAR PRADESH","BIJNOR",278,1,0,0,0,0,1,279
"UTTAR PRADESH","BULANDSHAHR",98,0,0,0,0,0,0,98
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",29,3,2,1,0,0,6,35
"UTTAR PRADESH","DEORIA",1330,626,1071,110,57,164,2028,3358
"UTTAR PRADESH","ETAH",1820,0,0,0,0,0,0,1820
"UTTAR PRADESH","ETAWAH",502,5,106,0,0,1,112,614
"UTTAR PRADESH","FAIZABAD",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","FARUKHABAD",57,0,0,0,0,0,0,57
"UTTAR PRADESH","FATEHPUR",959,44,53,148,9,342,596,1555
"UTTAR PRADESH","FIROZABAD",602,21,88,568,59,93,829,1431
"UTTAR PRADESH","GHAZIABAD",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","GHAZIPUR",288,21,111,11,0,0,143,431
"UTTAR PRADESH","GONDA",122,217,194,69,19,107,606,728
"UTTAR PRADESH","GORAKHPUR",605,59,659,468,30,522,1738,2343
"UTTAR PRADESH","HAMIRPUR",1684,341,174,13,2,6,536,2220
"UTTAR PRADESH","HARDOI",1187,0,0,0,0,0,0,1187
"UTTAR PRADESH","HARDWAR",248,4,0,0,0,2,6,254
"UTTAR PRADESH","JALAUN",2987,239,57,24,11,67,398,3385
"UTTAR PRADESH","JAUNPUR",760,599,97,208,11,315,1230,1990
"UTTAR PRADESH","JHANSI",35331,629,89,10,5,5,738,36069
"UTTAR PRADESH","KANPUR DEHAT",90,3,0,0,0,0,3,93
"UTTAR PRADESH","KANPUR NAGAR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","KHIRI",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","KUSHI NAGAR",255,467,147,1,4,13,632,887
"UTTAR PRADESH","LALITPUR",23761,0,0,0,0,0,0,23761
"UTTAR PRADESH","LUCKNOW",746,0,0,0,0,0,0,746
"UTTAR PRADESH","MAHOBA",12819,0,0,0,0,0,0,12819
"UTTAR PRADESH","MAHRAJGANJ",283,1,27,0,0,0,28,311
"UTTAR PRADESH","MAINPURI",129,42,133,39,0,0,214,343
"UTTAR PRADESH","MATHURA",876,0,0,0,0,0,0,876
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",11,0,0,0,0,0,0,11
"UTTAR PRADESH","MIRZAPUR",3195,26,23,8,8,4,69,3264
"UTTAR PRADESH","MORADABAD",1594,6,32,1,0,0,39,1633
"UTTAR PRADESH","MUZAFFER NAGAR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","NAINITAL",3,0,0,0,0,0,0,3
"UTTAR PRADESH","PAURI GARHWAL",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PILIBHIT",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",338,17,1,0,0,0,18,356
"UTTAR PRADESH","RAEBARELY",988,0,0,0,0,1,1,989
"UTTAR PRADESH","RAMPUR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SAHARANPUR",61,0,0,0,0,0,0,61
"UTTAR PRADESH","SANT RAVIDAS NAGAR",212,100,136,7,15,39,297,509
"UTTAR PRADESH","SHAHJAHANPUR",967,0,1,3,0,4,8,975
"UTTAR PRADESH","SIDDHARTH NAGAR",755,0,0,0,0,0,0,755
"UTTAR PRADESH","SITAPUR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SONBHADRA",3707,0,228,0,0,0,228,3935
"UTTAR PRADESH","SULTANPUR",316,351,395,1,0,95,842,1158
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",649,4,2,6,0,0,12,661
"UTTAR PRADESH","UNNAO",1345,0,0,0,0,0,0,1345
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",2473,115,110,7,0,17,249,2722
"WEST BENGAL","BANKURA",6794,545,29,131,57,55,817,7611
"WEST BENGAL","BIRBHUM",709,321,33,82,29,22,487,1196
"WEST BENGAL","BURDWAN",273,33,2,33,3,14,85,358
"WEST BENGAL","COOCHBEHAR",5979,882,0,1,0,8,891,6870
"WEST BENGAL","DAKSHIN DINAJPUR",299,6,1,1,0,1,9,308
"WEST BENGAL","DARJEELING",71,35,0,8,6,4,53,124
"WEST BENGAL","HOOGLY",163,5,0,0,0,2,7,170
"WEST BENGAL","HOWRAH",4,0,0,0,0,0,0,4
"WEST BENGAL","JALPAIGURI",2761,731,12,72,62,158,1035,3796
"WEST BENGAL","MALDA",25,0,0,0,0,0,0,25
"WEST BENGAL","MIDNAPORE",13642,1159,84,439,219,79,1980,15622
"WEST BENGAL","MURSHIDABAD",66,14,0,1,0,0,15,81
"WEST BENGAL","NADIA",182,11,0,0,0,0,11,193
"WEST BENGAL","NORTH 24 PARGANAS",10,0,0,0,0,0,0,10
"WEST BENGAL","PURULIA",18730,492,58,89,35,44,718,19448
"WEST BENGAL","SOUTH 24 PARGANAS",77,0,0,0,0,0,0,77
"WEST BENGAL","UTTAR DINAJPUR",77,5,1,4,0,3,13,90
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",409,4,0,0,0,0,4,413
"DAMAN & DIU","",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-WEST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","WEST",NA,NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",2,0,0,0,0,0,0,2
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",189,12,0,4,15,0,31,220
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA,NA,NA,NA
