-----
{
 "description": "The table refers to block wise potential utilized through dugwells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.16.csv", 
 "title": "Download CSV for Block wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.16.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.1.csv", 
 "title": "Download CSV for Village wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to horse power of lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.10_1.csv", 
 "title": "Download CSV for Block wise Dugwells according to horse power of lifting device for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.10_1.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.2.csv", 
 "title": "Download CSV for Village wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.2.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.12.csv", 
 "title": "Download CSV for Block wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.12.csv"
}
-----
"State","District","Block","Total number of dugwells","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ASSAM","NAGAON","RUPAHI",NA,NA,NA,NA
"ASSAM","NALBARI","BARIGOG BANBHAG",NA,NA,NA,NA
"ASSAM","NALBARI","BARKHETRI",NA,NA,NA,NA
"ASSAM","NALBARI","BASKA",NA,NA,NA,NA
"ASSAM","NALBARI","PASCHIM NALBARI",NA,NA,NA,NA
"ASSAM","NALBARI","PUB NALBARI",NA,NA,NA,NA
"ASSAM","NALBARI","TAMULPUR",NA,NA,NA,NA
"ASSAM","NALBARI","TIHU BARAMA",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","DIYUNGBRA",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","JATINGA VALLEY",NA,NA,NA,NA
"ASSAM","SIBSAGAR","AMGURI",NA,NA,NA,NA
"ASSAM","SIBSAGAR","DEMOW",NA,NA,NA,NA
"ASSAM","SIBSAGAR","NAZIRA",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SAPEKHATI",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SIBSAGAR",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SONARI",2,0,265,0
"ASSAM","SONITPUR","BALIPARA",NA,NA,NA,NA
"ASSAM","SONITPUR","BEHALI",1,0,50,0
"ASSAM","SONITPUR","BISWANATH",NA,NA,NA,NA
"ASSAM","SONITPUR","CHAIDUAR",8,0,51,0
"ASSAM","SONITPUR","DHEKIAJULI",NA,NA,NA,NA
"ASSAM","SONITPUR","GABHORU",NA,NA,NA,NA
"ASSAM","SONITPUR","NADUAR",NA,NA,NA,NA
"ASSAM","TINSUKIA","HAPJAN",NA,NA,NA,NA
"ASSAM","TINSUKIA","KAKOPATHAR",NA,NA,NA,NA
"ASSAM","TINSUKIA","MARGHERITA",NA,NA,NA,NA
"ASSAM","TINSUKIA","SADIYA",NA,NA,NA,NA
"BIHAR","ARARIA","ARARIA",NA,NA,NA,NA
"BIHAR","ARARIA","BHARGAMA",2,0,55,0
"BIHAR","ARARIA","FORBESGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","JOKIHAT",1,0,100,0
"BIHAR","ARARIA","KURSAKATTA",NA,NA,NA,NA
"BIHAR","ARARIA","NARPAIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","PALASI",NA,NA,NA,NA
"BIHAR","ARARIA","RANIGANJ",1,0,48,0
"BIHAR","ARARIA","SIKTI",1,0,100,0
"BIHAR","AURANGABAD","AURANGABAD",843,0,84,0
"BIHAR","AURANGABAD","BARUN",549,1,91,0
"BIHAR","AURANGABAD","DAUDNAGAR",282,0,38,0
"BIHAR","AURANGABAD","DEO",1467,0,23,0
"BIHAR","AURANGABAD","GOH",546,1,60,0
"BIHAR","AURANGABAD","HASPURA",364,1,29,0
"BIHAR","AURANGABAD","KUTUMBA",1503,2,65,1
"BIHAR","AURANGABAD","MADANPUR",511,0,74,0
"BIHAR","AURANGABAD","NABINAGAR",1603,0,80,0
"BIHAR","AURANGABAD","OBRA",444,0,73,0
"BIHAR","AURANGABAD","RAFIGANJ",944,0,88,0
"BIHAR","BANKA","AMARPUR",573,0,7,0
"BIHAR","BANKA","BANKA",758,6,137,0
"BIHAR","BANKA","BARAHAT",661,0,17,0
"BIHAR","BANKA","BAUSI",520,0,28,0
"BIHAR","BANKA","BELHAR",378,0,23,0
"BIHAR","BANKA","CHANAN",726,0,13,0
"BIHAR","BANKA","DHURAIYA",338,0,17,0
"BIHAR","BANKA","KATORIA",1166,0,79,0
"BIHAR","BANKA","PHULLIDUMAR",514,0,45,0
"BIHAR","BANKA","RAJAN",538,5,30,0
"BIHAR","BANKA","SAMBHUGANJ",533,0,30,2
"BIHAR","BEGUSARAI","BACHHAWARA",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BAKHARI",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BALIA",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BARAUNI",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BEGUSARAI",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BHAGAWANPUR",24,1,105,0
"BIHAR","BEGUSARAI","BIRPUR",NA,NA,NA,NA
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",10,0,10,0
"BIHAR","BEGUSARAI","CHHAURAHI",NA,NA,NA,NA
"BIHAR","BEGUSARAI","DANDARI",1,0,100,0
"BIHAR","BEGUSARAI","GARHPURA",NA,NA,NA,NA
"BIHAR","BEGUSARAI","KHUDABANDPUR",NA,NA,NA,NA
"BIHAR","BEGUSARAI","MANSURCHAK",3,0,153,0
"BIHAR","BEGUSARAI","MATIHANI",NA,NA,NA,NA
"BIHAR","BEGUSARAI","NAOKHOTHI",NA,NA,NA,NA
"BIHAR","BEGUSARAI","SAHEBPUR KAMAL",NA,NA,NA,NA
"BIHAR","BEGUSARAI","TEGHRA",NA,NA,NA,NA
"BIHAR","BHABUA","ADHAURA",163,0,14,0
"BIHAR","BHABUA","BHABUA",1247,2,48,0
"BIHAR","BHABUA","BHAGWANPUR",873,1,40,0
"BIHAR","BHABUA","CHAINPUR",1052,0,56,0
"BIHAR","BHABUA","CHAND",1044,0,39,0
"BIHAR","BHABUA","DURGAWATI",470,2,67,1
"BIHAR","BHABUA","KUDRA",841,1,70,4
"BIHAR","BHABUA","MOHANIA",80,3,47,0
"BIHAR","BHABUA","NUAWN",336,0,41,0
"BIHAR","BHABUA","RAMGAR",244,1,23,4
"BIHAR","BHABUA","RAMPUR",581,1,61,0
"BIHAR","BHAGALPUR","BIHPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","GAURIDIH",208,2,86,1
"BIHAR","BHAGALPUR","GOPALPUR",1,0,8,0
"BIHAR","BHAGALPUR","ISMAILPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","JAGDISHPUR",252,1,54,0
"BIHAR","BHAGALPUR","KAHALGAON",1228,1,79,0
"BIHAR","BHAGALPUR","KHARIK",NA,NA,NA,NA
"BIHAR","BHAGALPUR","NARAINPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","NATHNAGAR",111,0,22,0
"BIHAR","BHAGALPUR","NAUGACHHIA",NA,NA,NA,NA
"BIHAR","BHAGALPUR","PIRPAINTI",1017,1,135,0
"BIHAR","BHAGALPUR","RANGRACHOWK",NA,NA,NA,NA
"BIHAR","BHAGALPUR","SABOUR",326,0,174,0
"BIHAR","BHAGALPUR","SHAHKUND",523,0,15,0
"BIHAR","BHAGALPUR","SONHAULLA",195,0,26,0
"BIHAR","BHAGALPUR","SULTANGANJ",203,0,47,0
"BIHAR","BHOJPUR","AGIAON",323,0,33,0
"BIHAR","BHOJPUR","ARRAHSADAR",73,0,69,0
"BIHAR","BHOJPUR","BARBARA",21,0,0,0
"BIHAR","BHOJPUR","BEHIA",215,0,1,0
"BIHAR","BHOJPUR","CHARPOKHARI",177,0,38,13
"BIHAR","BHOJPUR","GARHANI",128,0,14,0
"BIHAR","BHOJPUR","JAGDISHPUR",478,0,24,0
"BIHAR","BHOJPUR","KOILWAR",81,7,13,0
"BIHAR","BHOJPUR","PIRO",1095,0,10,0
"BIHAR","BHOJPUR","SAHAR",83,11,59,0
"BIHAR","BHOJPUR","SAHPUR",25,0,67,0
"BIHAR","BHOJPUR","SANDISH",363,0,36,0
"BIHAR","BHOJPUR","TARARI",651,10,26,0
"BIHAR","BHOJPUR","UDWABTNAGAR",49,0,128,0
"BIHAR","BOKARO","BERMO",233,0,33,0
"BIHAR","BOKARO","CHANDAN KIYOI",776,0,13,0
"BIHAR","BOKARO","CHAS",1055,5,22,0
"BIHAR","BOKARO","GOMIA",696,1,35,0
"BIHAR","BOKARO","JARIDIH",811,0,29,0
"BIHAR","BOKARO","KASMAR",1616,0,21,0
"BIHAR","BOKARO","NAWADIH",651,0,63,0
"BIHAR","BOKARO","PETARWAR",2075,0,14,0
"BIHAR","BUXAR","BRAHAMPUR",17,4,88,0
"BIHAR","BUXAR","BUXAR",82,0,21,0
"BIHAR","BUXAR","CHANGAIN",256,0,68,0
"BIHAR","BUXAR","CHARKKI",NA,NA,NA,NA
"BIHAR","BUXAR","CHAUSA",269,0,104,0
"BIHAR","BUXAR","DUMRAIN",36,7,24,0
"BIHAR","BUXAR","ITARHI",388,2,12,0
"BIHAR","BUXAR","KESATH",85,0,14,0
"BIHAR","BUXAR","NAWANAGAR",599,0,25,0
"BIHAR","BUXAR","RAJPUR",274,0,35,0
"BIHAR","BUXAR","SIMRI",107,0,8,0
"BIHAR","CHAMPARAN EAST","ADAPUR",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","ARERAJ",10,0,33,0
"BIHAR","CHAMPARAN EAST","BANJARIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","CHAKIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","CHAURADANO",1,0,270,0
"BIHAR","CHAMPARAN EAST","CHIRAIYA",5,0,18,0
"BIHAR","CHAMPARAN EAST","DHAKA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","FENHARA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","GHORASAHAN",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","HARSIDHI",6,0,50,0
"BIHAR","CHAMPARAN EAST","KALYANPUR",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","KESARIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","KOTWA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","MADHUBAN",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","MEHSHI",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","MOTIHARI",2,0,180,0
"BIHAR","CHAMPARAN EAST","PAHARPUR",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","PAKARIDAYAL",1,0,0,0
"BIHAR","CHAMPARAN EAST","PATAHI",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","PIPRAKOTHI",1,0,250,0
"BIHAR","CHAMPARAN EAST","RAMGARHWA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","RAXAUL",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","SANGRAMPUR",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","SUGAULI",4,0,81,0
"BIHAR","CHAMPARAN EAST","TETARIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","TURKAULIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BAGAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BAIRIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BETTIAN",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BHITAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","CHANPATIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","GAUNAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","LAURIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MADHUBANI",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MAINATANR",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MAJHAWALIA",2,0,9,0
"BIHAR","CHAMPARAN WEST","NARKATIYAGANJ",2,150,350,0
"BIHAR","CHAMPARAN WEST","NAUTAN",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","PIPRASI",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","RAMNAGAR",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","SIDHAW",8,0,44,0
"BIHAR","CHAMPARAN WEST","SIKTA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","THAKRAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","YOGAPATTI",NA,NA,NA,NA
"BIHAR","CHATRA","CHATRA",2985,0,21,0
"BIHAR","CHATRA","GIDDHAUR",493,0,7,0
"BIHAR","CHATRA","HUNTERGANJ",3263,0,55,0
"BIHAR","CHATRA","ITKHORI",2008,0,20,0
"BIHAR","CHATRA","KUNDA",270,0,25,0
"BIHAR","CHATRA","LAVALONG",440,0,11,0
"BIHAR","CHATRA","PATTHERGARHA",648,0,174,0
"BIHAR","CHATRA","PRATAP PUR",472,0,17,0
"BIHAR","CHATRA","SEMARIA",NA,NA,NA,NA
"BIHAR","CHATRA","TANDAWA",1621,0,8,0
"BIHAR","DARBHANGA","AUNAGAR",NA,NA,NA,NA
"BIHAR","DARBHANGA","BAHADURPUR",NA,NA,NA,NA
"BIHAR","DARBHANGA","BAHERI",4,0,0,663
"BIHAR","DARBHANGA","BENIPUR",1,0,30,0
"BIHAR","DARBHANGA","BIRAUL",NA,NA,NA,NA
"BIHAR","DARBHANGA","DARBHANGA",10,0,320,0
"BIHAR","DARBHANGA","GHANSHYAMPUR",NA,NA,NA,NA
"BIHAR","DARBHANGA","GORA BOURAM",NA,NA,NA,NA
"BIHAR","DARBHANGA","HAYAGHAT",NA,NA,NA,NA
"BIHAR","DARBHANGA","JALE",NA,NA,NA,NA
"BIHAR","DARBHANGA","KEOTI(RANWAY)",NA,NA,NA,NA
"BIHAR","DARBHANGA","KIRATPUR",NA,NA,NA,NA
"BIHAR","DARBHANGA","KUSHESHWAR ASTHAN-EA",NA,NA,NA,NA
"BIHAR","DARBHANGA","KVSHESHWAR ASTHAN",4,0,0,0
"BIHAR","DARBHANGA","MANIGACHHI",1,0,0,0
"BIHAR","DARBHANGA","SINGHWARA",NA,NA,NA,NA
"BIHAR","DEOGHAR","DEOGHAR",775,0,32,1
"BIHAR","DEOGHAR","DEVIPUR",784,0,44,0
"BIHAR","DEOGHAR","KARON",833,0,21,1
"BIHAR","DEOGHAR","MADHUPUR",1121,0,27,0
"BIHAR","DEOGHAR","MOHANPUR",1516,0,90,1
"BIHAR","DEOGHAR","PALAJORI",1062,2,59,0
"BIHAR","DEOGHAR","SARATH",1142,0,26,0
"BIHAR","DEOGHAR","SARWAN",1212,0,44,0
"BIHAR","DHANBAD","BAGHMARA",417,0,7,0
"BIHAR","DHANBAD","BALIAPUR",388,0,38,0
"BIHAR","DHANBAD","DHANBAD",77,2,18,0
"BIHAR","DHANBAD","GOBINDPUR",491,1,16,0
"BIHAR","DHANBAD","JHARIA",NA,NA,NA,NA
"BIHAR","DHANBAD","NIRSA",306,0,51,1
"BIHAR","DHANBAD","TOPCHACHI",409,0,68,0
"BIHAR","DHANBAD","TUNDI",501,0,71,2
"BIHAR","DUMKA","DUMKA",1972,0,35,1
"BIHAR","DUMKA","GOPIKANDAR",258,0,16,0
"BIHAR","DUMKA","JAMA",4291,26,26,0
"BIHAR","DUMKA","JAMTARA",2082,0,29,0
"BIHAR","DUMKA","JARMUNDI",4152,0,16,0
"BIHAR","DUMKA","KATHIKUND",1508,0,29,0
"BIHAR","DUMKA","KUNDHIT",818,0,48,0
"BIHAR","DUMKA","MASALIA",1996,0,36,1
"BIHAR","DUMKA","NALA",906,0,23,4
"BIHAR","DUMKA","NARAYANPUR",2109,0,25,1
"BIHAR","DUMKA","RAMGARH",4229,0,41,25
"BIHAR","DUMKA","RANESHWAR",652,6,19,0
"BIHAR","DUMKA","SARAIYAHAT",3167,0,55,0
"BIHAR","DUMKA","SHIKARIPARA",1327,1,41,0
"BIHAR","GARHWA","BHANDARIA",861,1,31,0
"BIHAR","GARHWA","BHAWNATHPUR",687,4,88,0
"BIHAR","GARHWA","CHIRIA",323,0,42,0
"BIHAR","GARHWA","DANDAI",581,0,79,0
"BIHAR","GARHWA","DHURKI",764,0,23,0
"BIHAR","GARHWA","GARHWA",2806,1,67,1
"BIHAR","GARHWA","KHARAUNDHI",198,0,54,0
"BIHAR","GARHWA","MAJHIAURA",2784,1,48,0
"BIHAR","GARHWA","MEVAL",778,0,28,0
"BIHAR","GARHWA","NAYARKTARI",1030,0,30,0
"BIHAR","GARHWA","RAMIA",1269,2,54,0
"BIHAR","GARHWA","RAMKANDA",340,0,39,0
"BIHAR","GARHWA","RANKA",943,70,35,70
"BIHAR","GAYA","AMAS",573,0,117,1
"BIHAR","GAYA","ATARI",957,4,53,0
"BIHAR","GAYA","BANROYBAZAR",447,0,114,0
"BIHAR","GAYA","BARACHATTI",1815,1,44,0
"BIHAR","GAYA","BELAGANJ",996,2,78,0
"BIHAR","GAYA","BODHGAYA",383,5,141,0
"BIHAR","GAYA","DOBBI",990,0,50,2
"BIHAR","GAYA","DUMARIA",1380,0,102,0
"BIHAR","GAYA","FETHPUR",1063,0,74,0
"BIHAR","GAYA","GARARU",608,0,5,0
"BIHAR","GAYA","GAYA SADAR",737,4,60,0
"BIHAR","GAYA","GURUA",632,0,35,0
"BIHAR","GAYA","IMAMGANJ",1084,0,96,0
"BIHAR","GAYA","KHIZIRSORAI",863,0,57,0
"BIHAR","GAYA","KONCH",748,0,94,4
"BIHAR","GAYA","MANPUR",472,1,90,0
"BIHAR","GAYA","MOHANPUR",1070,1,79,0
"BIHAR","GAYA","NIMCHAK BATHANI",543,1,57,0
"BIHAR","GAYA","PARAIYA",753,0,64,0
"BIHAR","GAYA","SHERGHATI",484,0,23,0
"BIHAR","GAYA","TANKUPPA",343,0,116,1
"BIHAR","GAYA","TEKARI",989,3,27,0
"BIHAR","GAYA","WAZGANJ",937,0,133,1
"BIHAR","GIRIDIH","BAGODAR",1876,0,5,0
"BIHAR","GIRIDIH","BENGABAD",2394,1,27,0
"BIHAR","GIRIDIH","BIRNI",2615,0,23,0
"BIHAR","GIRIDIH","DEORI",2251,0,27,0
"BIHAR","GIRIDIH","DYMIR",1361,0,20,0
"BIHAR","GIRIDIH","GANDEY",1575,0,67,0
"BIHAR","GIRIDIH","GAWAN",1209,0,52,0
"BIHAR","GIRIDIH","GIRIDIH",668,0,22,0
"BIHAR","GIRIDIH","JAMYA",3962,0,48,0
"BIHAR","GIRIDIH","PIRTANR",665,1,36,0
"BIHAR","GIRIDIH","RAJ DHANWAR",3043,0,35,0
"BIHAR","GIRIDIH","TISRI",747,0,15,0
"BIHAR","GODDA","BOARIJORE",1167,0,25,0
"BIHAR","GODDA","GODDA",1723,2,49,0
"BIHAR","GODDA","MAHAGAMA",752,0,37,0
"BIHAR","GODDA","MEHARWAN",128,0,26,0
"BIHAR","GODDA","PATHARGAMA",1643,0,171,2
"BIHAR","GODDA","PORAIYHAT",1350,0,52,1
"BIHAR","GODDA","SUNDAR PAHARI",392,0,19,0
"BIHAR","GODDA","THAKUR BANGTI",150,1,5,0
"BIHAR","GOPALGANJ","BAIKUNTHPUR",257,0,74,0
"BIHAR","GOPALGANJ","BARAULI",8,0,24,0
"BIHAR","GOPALGANJ","BHOREY",573,0,35,0
"BIHAR","GOPALGANJ","BIJAIPUR",224,1,98,0
"BIHAR","GOPALGANJ","GOPALGANJ",4,0,15,0
"BIHAR","GOPALGANJ","HATHUA",232,0,102,0
"BIHAR","GOPALGANJ","KATAIYA",237,0,47,0
"BIHAR","GOPALGANJ","KUCHAIKOTE",129,0,118,0
"BIHAR","GOPALGANJ","MANJHA",154,0,38,0
"BIHAR","GOPALGANJ","PHULWARIYA",125,0,25,2
"BIHAR","GOPALGANJ","PUNCHDEORI",59,1,33,0
"BIHAR","GOPALGANJ","SIDHWALIA",NA,NA,NA,NA
"BIHAR","GOPALGANJ","THAWE",99,0,62,1
"BIHAR","GOPALGANJ","UCHKAGAON",NA,NA,NA,NA
"BIHAR","GUMLA","BALBA",517,0,17,0
"BIHAR","GUMLA","BANO",1757,0,33,0
"BIHAR","GUMLA","BASIA",2396,0,55,0
"BIHAR","GUMLA","BHARNO",1278,0,20,0
"BIHAR","GUMLA","BISHUNPUR",1465,0,13,0
"BIHAR","GUMLA","CHAINPUR",1429,0,16,0
"BIHAR","GUMLA","DUMRI",1288,0,11,0
"BIHAR","GUMLA","GHAGHRA",2245,0,35,0
"BIHAR","GUMLA","GUMLA",2199,1,99,0
"BIHAR","GUMLA","JALDEGA",827,0,25,0
"BIHAR","GUMLA","KANIDARA",1699,0,27,0
"BIHAR","GUMLA","KOLUBIRA",1366,0,22,0
"BIHAR","GUMLA","KURDEG",2345,0,10,0
"BIHAR","GUMLA","PALKOT",2129,0,19,0
"BIHAR","GUMLA","RAIDIH",1465,0,14,0
"BIHAR","GUMLA","SIMDEGA",2936,0,19,0
"BIHAR","GUMLA","SISAI",3238,0,36,0
"BIHAR","GUMLA","THETHAITANGA",1767,0,30,0
"BIHAR","HAZARIBAG","BARHI",2216,1,34,0
"BIHAR","HAZARIBAG","BARKAGAON",1063,23,29,0
"BIHAR","HAZARIBAG","BARKATTHA",2457,1,17,0
"BIHAR","HAZARIBAG","BISHNUGARH",2988,2,16,0
"BIHAR","HAZARIBAG","CHAUPARAN",2610,1,25,0
"BIHAR","HAZARIBAG","CHURCHU",1585,0,37,1
"BIHAR","HAZARIBAG","GOLA",4186,0,14,0
"BIHAR","HAZARIBAG","HAZARIBAGH",2703,0,17,0
"BIHAR","HAZARIBAG","ICHAK",4550,36,78,0
"BIHAR","HAZARIBAG","KATKAMSANDI",560,0,8,0
"BIHAR","HAZARIBAG","KEREDARI",1444,2,48,0
"BIHAR","HAZARIBAG","MANDY",1331,0,54,0
"BIHAR","HAZARIBAG","PADMA",850,0,59,0
"BIHAR","HAZARIBAG","PATRATU",1069,0,21,0
"BIHAR","HAZARIBAG","RAMGARH",2268,0,24,0
"BIHAR","JAMUI","ALIGANJ",370,0,45,24
"BIHAR","JAMUI","BARHAT",247,0,62,0
"BIHAR","JAMUI","CHAKAI",1369,1,28,0
"BIHAR","JAMUI","GIDHOUR",154,0,32,0
"BIHAR","JAMUI","JAMUI",396,2,18,1
"BIHAR","JAMUI","JHAJHA",1196,4,36,0
"BIHAR","JAMUI","KHAIRA",413,3,35,0
"BIHAR","JAMUI","LAKSHMIPUR",277,0,54,0
"BIHAR","JAMUI","SIKANDRA",287,0,47,0
"BIHAR","JAMUI","SONO",1138,0,13,0
"BIHAR","JEHANABAD","ARWAL",134,1,67,0
"BIHAR","JEHANABAD","BANSI SURUJPUR",42,0,90,0
"BIHAR","JEHANABAD","GHOSI",735,1,58,0
"BIHAR","JEHANABAD","JEHANABAD",468,0,37,0
"BIHAR","JEHANABAD","KAKU",108,0,36,0
"BIHAR","JEHANABAD","KALEV",52,0,122,0
"BIHAR","JEHANABAD","KARPI",642,0,81,0
"BIHAR","JEHANABAD","KURTHA",58,0,292,0
"BIHAR","JEHANABAD","MAKHDOMPUR",1087,2,119,0
"BIHAR","JEHANABAD","RATNI FARIDPUR",21,0,117,0
"BIHAR","KATIHAR","AMDABAET",2,0,130,0
"BIHAR","KATIHAR","AZAMNAGAR",NA,NA,NA,NA
"BIHAR","KATIHAR","BALRAMPUR",NA,NA,NA,NA
"BIHAR","KATIHAR","BANPUR",NA,NA,NA,NA
"BIHAR","KATIHAR","BARARI",NA,NA,NA,NA
"BIHAR","KATIHAR","BARSOI",NA,NA,NA,NA
"BIHAR","KATIHAR","DANDKHORA",NA,NA,NA,NA
"BIHAR","KATIHAR","FALKA",NA,NA,NA,NA
"BIHAR","KATIHAR","HASANGANJ",NA,NA,NA,NA
"BIHAR","KATIHAR","KADWA",NA,NA,NA,NA
"BIHAR","KATIHAR","KATIHAR",NA,NA,NA,NA
"BIHAR","KATIHAR","KORHA",NA,NA,NA,NA
"BIHAR","KATIHAR","KURSELA",NA,NA,NA,NA
"BIHAR","KATIHAR","MANIHARI",NA,NA,NA,NA
"BIHAR","KATIHAR","MANSHAHI",NA,NA,NA,NA
"BIHAR","KATIHAR","SAMELI",NA,NA,NA,NA
"BIHAR","KHAGARIA","ALAULI",NA,NA,NA,NA
"BIHAR","KHAGARIA","BELDAUR",NA,NA,NA,NA
"BIHAR","KHAGARIA","CHAUTHAM",NA,NA,NA,NA
"BIHAR","KHAGARIA","GOGRI",NA,NA,NA,NA
"BIHAR","KHAGARIA","KHAGARIA",6,0,108,0
"BIHAR","KHAGARIA","MANSI",NA,NA,NA,NA
"BIHAR","KHAGARIA","PARBATTA",NA,NA,NA,NA
"BIHAR","KISHANGANJ","BAHADURGANJ",NA,NA,NA,NA
"BIHAR","KISHANGANJ","DHIGHATBANK",NA,NA,NA,NA
"BIHAR","KISHANGANJ","KISHANGANJ",NA,NA,NA,NA
"BIHAR","KISHANGANJ","KOCHADHAMIN",NA,NA,NA,NA
"BIHAR","KISHANGANJ","POTHIA",NA,NA,NA,NA
"BIHAR","KISHANGANJ","TERHAGACHH",NA,NA,NA,NA
"BIHAR","KISHANGANJ","THAKURGANJ",1,50,20,0
"BIHAR","KODARMA","CHANDWA",1278,0,35,0
"BIHAR","KODARMA","JAINAGAR",2028,0,18,0
"BIHAR","KODARMA","KODARAMA",2838,0,30,0
"BIHAR","KODARMA","MARKACHO",2806,0,22,0
"BIHAR","KODARMA","SATGAWAN",803,0,57,6
"BIHAR","LAKHISARAI","BARAHIYA",8,0,120,0
"BIHAR","LAKHISARAI","HALSI",95,0,30,0
"BIHAR","LAKHISARAI","LOKHISARAI",314,0,63,19
"BIHAR","LAKHISARAI","PIPARIA",5,0,72,0
"BIHAR","LAKHISARAI","SURAJGARA",187,0,85,0
