-----
{
 "description": "The table refers to district wise irrigation through supplementary sources. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.15.csv", 
 "title": "Download CSV for District wise Irrigation through supplementary sources with Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.15.csv"
}
-----
"State","District","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"WEST BENGAL","COOCHBEHAR",0,35,1,0,36
"WEST BENGAL","DAKSHIN DINAJPUR",0,2,0,2,4
"WEST BENGAL","DARJEELING",0,0,0,0,0
"WEST BENGAL","HOOGLY",2,3,0,1,6
"WEST BENGAL","HOWRAH",0,0,0,0,0
"WEST BENGAL","JALPAIGURI",46,7,0,0,53
"WEST BENGAL","MALDA",0,0,0,0,0
"WEST BENGAL","MIDNAPORE",276,430,16,58,780
"WEST BENGAL","MURSHIDABAD",0,0,0,0,0
"WEST BENGAL","NADIA",0,0,0,0,0
"WEST BENGAL","NORTH 24 PARGANAS",0,0,0,0,0
"WEST BENGAL","PURULIA",98,85,33,11,227
"WEST BENGAL","SOUTH 24 PARGANAS",0,0,0,0,0
"WEST BENGAL","UTTAR DINAJPUR",0,0,0,0,0
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,0,0,0
"DAMAN & DIU","",NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",NA,NA,NA,NA,NA
"DELHI","SOUTH-WEST",NA,NA,NA,NA,NA
"DELHI","WEST",NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",0,0,0,0,0
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",0,0,0,0,0
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA
