-----
{
 "description": "The table refers to block wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.1_1.csv", 
 "title": "Download CSV for Block wise Construction of Dugwells over the years for 2nd census Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.1_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to water lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.9.csv", 
 "title": "Download CSV for Block wise Dugwells according to water lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.9.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of dugwells according to constraints. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.16_1.csv", 
 "title": "Download CSV for District wise Dugwells according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.16_1.csv"
}
-----
State,District,No. of dugwells in use,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
TAMIL NADU,COIMBATORE,63244,0,1212,60,29021,32951,63244,63244
TAMIL NADU,CUDDALORE,8924,0,299,81,1170,7374,8924,8924
TAMIL NADU,DHARMAPURI,93995,0,563,437,92449,546,93995,93995
TAMIL NADU,DINDIGUL,54545,0,378,225,50964,2978,54545,54545
TAMIL NADU,ERODE,90370,0,4406,386,10439,75139,90370,90370
TAMIL NADU,KANCHIPURAM,36412,0,3358,449,4413,28192,36412,36412
TAMIL NADU,KANNIYAKUMARI,2342,0,0,0,0,2342,2342,2342
TAMIL NADU,KARUR,30322,1008,0,0,2347,26967,29314,30322
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,32429,0,1653,370,2903,27503,32429,32429
TAMIL NADU,NAGAPATTINAM,7781,0,4371,6,20,3384,7781,7781
TAMIL NADU,NAMAKKAL,33835,0,9,3,15,33808,33835,33835
TAMIL NADU,PERAMBALUR,30698,0,95,33,9237,21333,30698,30698
TAMIL NADU,PUDUKOTTAI,27980,0,1028,90,10249,16613,27980,27980
TAMIL NADU,RAMNATHAPURAM,5519,0,415,439,653,4012,5519,5519
TAMIL NADU,SALEM,56794,61,11,0,2066,54656,56733,56794
TAMIL NADU,SIVAGANGA,11006,0,116,16,111,10763,11006,11006
TAMIL NADU,THANJAVUR,4724,19,1422,77,127,3079,4705,4724
TAMIL NADU,THE NILGIRIS,255,0,0,0,0,255,255,255
TAMIL NADU,THENI,13758,31,608,6,4,13109,13727,13758
TAMIL NADU,THOOTHUGUDI,14670,308,1508,19,6580,6255,14362,14670
TAMIL NADU,TIRUNELVELI,59894,0,1726,1222,18054,38892,59894,59894
TAMIL NADU,TIRUVALLUR,21133,0,2864,1050,2750,14469,21133,21133
TAMIL NADU,TIRUVANNAMALAI,134914,0,3534,1952,124588,4840,134914,134914
TAMIL NADU,TIRUVARUR,60,0,1,0,4,55,60,60
TAMIL NADU,TRICHIRAPPALLI,53332,0,1253,261,16854,34964,53332,53332
TAMIL NADU,VELLORE,90721,0,762,796,47134,42029,90721,90721
TAMIL NADU,VILLUPURAM,124267,0,4182,2569,8205,109311,124267,124267
TAMIL NADU,VIRUDHUNAGAR,34056,0,411,4166,25672,3807,34056,34056
TRIPURA,DHALAI,115,97,0,0,17,1,18,115
TRIPURA,NORTH,33,6,0,0,27,0,27,33
TRIPURA,SOUTH,652,259,0,1,324,68,393,652
TRIPURA,WEST,0,0,0,0,0,0,0,0
UTTAR PRADESH,AGRA,5910,0,58,773,2402,2677,5910,5910
UTTAR PRADESH,ALIGARH,255,0,6,0,0,249,255,255
UTTAR PRADESH,ALLAHABAD,3020,0,916,39,1784,281,3020,3020
UTTAR PRADESH,ALMORA,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,104,0,29,0,0,75,104,104
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,122,96,0,0,15,11,26,122
UTTAR PRADESH,BALLIA,160,0,97,31,0,32,160,160
UTTAR PRADESH,BANDA,6548,0,2650,106,1784,2008,6548,6548
UTTAR PRADESH,BARABANKI,131,0,131,0,0,0,131,131
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,1115,0,458,32,0,625,1115,1115
UTTAR PRADESH,BIJNOR,278,0,48,0,0,230,278,278
UTTAR PRADESH,BULANDSHAHR,98,0,0,0,0,98,98,98
UTTAR PRADESH,CHAMOLI(GOPESHWAR),NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,DEHRADUN,29,0,3,0,16,10,29,29
UTTAR PRADESH,DEORIA,1330,0,131,57,70,1072,1330,1330
UTTAR PRADESH,ETAH,1820,0,58,0,0,1762,1820,1820
UTTAR PRADESH,ETAWAH,502,0,3,0,0,499,502,502
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,57,0,0,0,0,57,57,57
UTTAR PRADESH,FATEHPUR,959,0,55,37,9,858,959,959
UTTAR PRADESH,FIROZABAD,602,0,188,204,19,191,602,602
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,288,0,249,8,2,29,288,288
UTTAR PRADESH,GONDA,122,61,0,0,20,41,61,122
UTTAR PRADESH,GORAKHPUR,605,0,0,0,0,605,605,605
UTTAR PRADESH,HAMIRPUR,1684,0,7,235,349,1093,1684,1684
UTTAR PRADESH,HARDOI,1187,0,1,0,0,1186,1187,1187
UTTAR PRADESH,HARDWAR,248,1,55,27,0,165,247,248
UTTAR PRADESH,JALAUN,2987,0,308,232,744,1703,2987,2987
UTTAR PRADESH,JAUNPUR,760,0,275,104,5,376,760,760
UTTAR PRADESH,JHANSI,35331,0,78,39,34523,691,35331,35331
UTTAR PRADESH,KANPUR DEHAT,90,0,83,0,2,5,90,90
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,KUSHI NAGAR,255,0,6,0,0,249,255,255
UTTAR PRADESH,LALITPUR,23761,0,32,229,11822,11678,23761,23761
UTTAR PRADESH,LUCKNOW,746,0,0,0,0,746,746,746
UTTAR PRADESH,MAHOBA,12819,0,759,39,9881,2140,12819,12819
UTTAR PRADESH,MAHRAJGANJ,283,0,43,1,0,239,283,283
UTTAR PRADESH,MAINPURI,129,0,8,48,51,22,129,129
UTTAR PRADESH,MATHURA,876,0,740,79,47,10,876,876
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,11,0,11,0,0,0,11,11
UTTAR PRADESH,MIRZAPUR,3195,3,715,307,1138,1032,3192,3195
UTTAR PRADESH,MORADABAD,1594,0,58,24,70,1442,1594,1594
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,3,0,1,0,0,2,3,3
UTTAR PRADESH,PAURI GARHWAL,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,PRATAPGARH,338,0,10,2,6,320,338,338
UTTAR PRADESH,RAEBARELY,988,0,962,0,0,26,988,988
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,61,0,0,0,0,61,61,61
UTTAR PRADESH,SANT RAVIDAS NAGAR,212,0,177,0,1,34,212,212
UTTAR PRADESH,SHAHJAHANPUR,967,99,2,15,0,851,868,967
UTTAR PRADESH,SIDDHARTH NAGAR,755,0,128,2,13,612,755,755
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,3707,4,159,131,1341,2072,3703,3707
UTTAR PRADESH,SULTANPUR,316,190,0,0,7,119,126,316
UTTAR PRADESH,TEHRI GARHWAL,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,UDHAMSINGH NAGAR,649,0,12,1,1,635,649,649
UTTAR PRADESH,UNNAO,1345,0,0,0,0,1345,1345,1345
UTTAR PRADESH,UTTARKASHI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,VARANASI,2473,0,1166,637,64,606,2473,2473
WEST BENGAL,BANKURA,6794,0,442,56,2038,4258,6794,6794
WEST BENGAL,BIRBHUM,709,0,20,2,283,404,709,709
WEST BENGAL,BURDWAN,273,0,2,14,137,120,273,273
WEST BENGAL,COOCHBEHAR,5979,0,3,2,312,5662,5979,5979
WEST BENGAL,DAKSHIN DINAJPUR,299,0,8,6,85,200,299,299
WEST BENGAL,DARJEELING,71,0,2,0,10,59,71,71
WEST BENGAL,HOOGLY,163,0,10,1,34,118,163,163
WEST BENGAL,HOWRAH,4,0,4,0,0,0,4,4
WEST BENGAL,JALPAIGURI,2761,0,261,69,225,2206,2761,2761
WEST BENGAL,MALDA,25,0,2,0,0,23,25,25
WEST BENGAL,MIDNAPORE,13642,0,57,171,5937,7477,13642,13642
WEST BENGAL,MURSHIDABAD,66,0,11,21,3,31,66,66
WEST BENGAL,NADIA,182,0,1,0,0,181,182,182
WEST BENGAL,NORTH 24 PARGANAS,10,0,0,0,0,10,10,10
WEST BENGAL,PURULIA,18730,0,862,35,6218,11615,18730,18730
WEST BENGAL,SOUTH 24 PARGANAS,77,0,1,13,0,63,77,77
WEST BENGAL,UTTAR DINAJPUR,77,0,4,0,29,44,77,77
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,409,242,5,0,85,77,167,409
DAMAN & DIU,,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,WEST,NA,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,2,2,0,0,0,0,0,2
PONDICHERRY,MAHE,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,189,189,0,0,0,0,0,189
PONDICHERRY,YANAM,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
