-----
{
 "description": "It provides details of major head/demand wise plan as well as non-plan capital expenditure.", 
 "file_name": "annex1c.xls", 
 "title": "Download XLS for Budget Provisions by Heads of Accounts - Capital(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/annex1c.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"ANNEX-1","","","","","","","","","","","","",""
"BUDGET PROVISIONS BY HEADS OF ACCOUNTS","","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","","",""
"","","Actuals 2011-2012","","","Budget 2012-2013","","","Revised 2012-2013","","","Budget 2013-2014","",""
"","Demand 101",3462.87,"...",3462.87,2633.0,"...",2633.0,2578.71,"...",2578.71,5174.77,"...",5174.77
6221.0,"Loans for Broadcasting",329.46,"...",329.46,401.0,"...",401.0,282.66,"...",282.66,"...","...","..."
"","Demand 61",329.46,"...",329.46,401.0,"...",401.0,282.66,"...",282.66,"...","...","..."
"","LOANS FOR ECONOMIC SERVICES",5506.25,493.68,5999.93,3983.06,479.66,4462.72,1921.92,469.81,2391.73,2086.21,429.25,2515.46
"","Loans for Agriculture and allied activities",30.24,11.0,41.24,30.0,11.0,41.0,25.0,11.0,36.0,25.0,1.0,26.0
6406.0,"Loans for Forestry and Wild Life","...",11.0,11.0,"...",11.0,11.0,"...",11.0,11.0,"...",1.0,1.0
"","Demand 31","...",11.0,11.0,"...",11.0,11.0,"...",11.0,11.0,"...",1.0,1.0
6425.0,"Loans for Cooperation",30.24,"...",30.24,30.0,"...",30.0,25.0,"...",25.0,25.0,"...",25.0
"","Demand 1",30.24,"...",30.24,30.0,"...",30.0,25.0,"...",25.0,25.0,"...",25.0
"","Loans for Special Area Programme","...","...","...",558.01,"...",558.01,442.25,"...",442.25,131.15,"...",131.15
6552.0,"Loans for North Eastern Areas","...","...","...",558.01,"...",558.01,442.25,"...",442.25,131.15,"...",131.15
"","Demand 7","...","...","...",94.61,"...",94.61,0.01,"...",0.01,24.99,"...",24.99
"","Demand 61","...","...","...",72.0,"...",72.0,50.84,"...",50.84,"...","...","..."
"","Demand 76","...","...","...",391.4,"...",391.4,391.4,"...",391.4,106.16,"...",106.16
"","Loans for Energy",2161.57,"...",2161.57,2969.97,"...",2969.97,1341.97,"...",1341.97,1462.33,"...",1462.33
6801.0,"Loans for Power Projects",2161.57,"...",2161.57,2969.97,"...",2969.97,1341.97,"...",1341.97,1462.33,"...",1462.33
"","Demand 5","...","...","...",14.0,"...",14.0,"...","...","...",24.0,"...",24.0
"","Demand 76",2161.57,"...",2161.57,2955.97,"...",2955.97,1341.97,"...",1341.97,1438.33,"...",1438.33
"","Loans for Industry and Minerals",286.2,482.68,768.88,273.58,468.66,742.24,99.44,458.81,558.25,407.73,428.25,835.98
6851.0,"Loans for Village and Small Industries",1.0,4.26,5.26,"...",4.8,4.8,"...",4.8,4.8,"...",4.8,4.8
"","Demand 28","...",4.0,4.0,"...",4.0,4.0,"...",4.0,4.0,"...",4.0,4.0
"","Demand 66",1.0,0.26,1.26,"...",0.8,0.8,"...",0.8,0.8,"...",0.8,0.8
6853.0,"Loans for Non-Ferrous Mining and Metallurgical Industries","...",4.0,4.0,"...","...","...","...","...","...","...","...","..."
"","Demand 20","...",4.0,4.0,"...","...","...","...","...","...","...","...","..."
6854.0,"Loans for Cement and Non-Metallic Mineral Industries","...","...","...","...",150.0,150.0,"...",41.46,41.46,"...",150.0,150.0
"","Demand 51","...","...","...","...",150.0,150.0,"...",41.46,41.46,"...",150.0,150.0
6855.0,"Loans for Fertilizer Industries",217.49,"...",217.49,149.38,0.04,149.42,0.03,0.04,0.07,228.44,0.04,228.48
"","Demand 7",217.49,"...",217.49,149.38,0.04,149.42,0.03,0.04,0.07,228.44,0.04,228.48
6856.0,"Loans for Petro-Chemical Industries","...",1.1,1.1,"...",1.1,1.1,"...","...","...","...",0.01,0.01
"","Demand 6","...",1.1,1.1,"...",1.1,1.1,"...","...","...","...",0.01,0.01
6857.0,"Loans for Chemical and Pharmaceutical Industries",5.21,"...",5.21,60.0,0.07,60.07,38.73,"...",38.73,39.66,0.06,39.72
"","Demand 6","...","...","...",40.0,0.02,40.02,28.73,"...",28.73,10.0,0.02,10.02
"","Demand 8",5.21,"...",5.21,20.0,0.05,20.05,10.0,"...",10.0,29.66,0.04,29.7
6858.0,"Loans for Engineering Industries","...",264.31,264.31,0.64,260.13,260.77,0.63,291.12,291.75,20.09,260.92,281.01
"","Demand 51","...",255.1,255.1,0.63,250.0,250.63,0.63,279.99,280.62,20.09,250.0,270.09
"","Demand 88","...",9.21,9.21,0.01,10.13,10.14,"...",11.13,11.13,"...",10.92,10.92
6859.0,"Loans for Telecommunication and Electronic Industries",2.5,"...",2.5,3.51,"...",3.51,"...","...","...",4.01,"...",4.01
"","Demand 14","...","...","...",0.01,"...",0.01,"...","...","...",0.01,"...",0.01
"","Demand 86",2.5,"...",2.5,3.5,"...",3.5,"...","...","...",4.0,"...",4.0
6860.0,"Loans for Consumer Industries","...",195.01,195.01,0.05,38.52,38.57,0.05,120.39,120.44,55.53,0.02,55.55
"","Demand 17","...","...","...","...",0.01,0.01,"...","...","...","...","...","..."
"","Demand 51","...",36.77,36.77,0.05,"...",0.05,0.05,18.55,18.6,55.53,"...",55.53
"","Demand 93","...",158.24,158.24,"...",38.51,38.51,"...",101.84,101.84,"...",0.02,0.02
6885.0,"Other Loans to Industries and Minerals",60.0,14.0,74.0,60.0,14.0,74.0,60.0,1.0,61.0,60.0,12.4,72.4
"","Demand 28",60.0,"...",60.0,60.0,"...",60.0,60.0,"...",60.0,60.0,"...",60.0
"","Demand 34","...",14.0,14.0,"...",14.0,14.0,"...",1.0,1.0,"...",12.4,12.4
"","Loans for Transport",3000.95,"...",3000.95,126.5,"...",126.5,0.26,"...",0.26,50.0,"...",50.0
7002.0,"Loans to Railways",3000.0,"...",3000.0,"...","...","...","...","...","...","...","...","..."
"","Demand 200",3000.0,"...",3000.0,"...","...","...","...","...","...","...","...","..."
7051.0,"Loans for Ports and Light Houses","...","...","...",90.0,"...",90.0,"...","...","...",50.0,"...",50.0
"","Demand 88","...","...","...",90.0,"...",90.0,"...","...","...",50.0,"...",50.0
7053.0,"Loans for Civil Aviation",0.95,"...",0.95,0.5,"...",0.5,0.26,"...",0.26,"...","...","..."
"","Demand 9",0.95,"...",0.95,0.5,"...",0.5,0.26,"...",0.26,"...","...","..."
7075.0,"Loans for Other Transport Services","...","...","...",36.0,"...",36.0,"...","...","...","...","...","..."
"","Demand 82","...","...","...",36.0,"...",36.0,"...","...","...","...","...","..."
"","Loans for Science Technology and Environment",27.29,"...",27.29,25.0,"...",25.0,13.0,"...",13.0,10.0,"...",10.0
7425.0,"Loans for Other Scientific Research",27.29,"...",27.29,25.0,"...",25.0,13.0,"...",13.0,10.0,"...",10.0
"","Demand 85",27.29,"...",27.29,25.0,"...",25.0,13.0,"...",13.0,10.0,"...",10.0
"","OTHER LOANS",10806.52,137.02,10943.54,12138.0,443.0,12581.0,12138.0,3944.62,16082.62,12468.5,-92.0,12376.5
7601.0,"Loans and Advances to State Governments",10015.53,"...",10015.53,11000.0,13.0,11013.0,11000.0,8.53,11008.53,11000.0,8.0,11008.0
"","Demand 36",9995.36,"...",9995.36,11000.0,"...",11000.0,11000.0,"...",11000.0,11000.0,"...",11000.0
"","Demand 55","...","...","...","...",5.0,5.0,"...",4.7,4.7,"...","...","..."
"","Demand 73","...","...","...","...",5.0,5.0,"...",0.83,0.83,"...",5.0,5.0
"","Demand 101",20.17,"...",20.17,"...","...","...","...","...","...","...","...","..."
"","Demand 104","...","...","...","...",3.0,3.0,"...",3.0,3.0,"...",3.0,3.0
7602.0,"Loans and Advances to Union Territory Governments","...",72.0,72.0,"...",72.0,72.0,"...",3398.39,3398.39,"...",72.0,72.0
"","Demand 57","...",72.0,72.0,"...",72.0,72.0,"...",72.0,72.0,"...",72.0,72.0
"","Demand 76","...","...","...","...","...","...","...",3326.39,3326.39,"...","...","..."
7605.0,"Advances to Foreign Governments",790.99,248.3,1039.29,1138.0,550.0,1688.0,1138.0,700.0,1838.0,1468.5,"...",1468.5
"","Demand 32",790.99,248.3,1039.29,1138.0,550.0,1688.0,1138.0,700.0,1838.0,1468.5,"...",1468.5
7610.0,"Loans to Government Servants, etc.","...",-185.61,-185.61,"...",-195.0,-195.0,"...",-165.0,-165.0,"...",-175.0,-175.0
"","Demand 37","...",-185.61,-185.61,"...",-195.0,-195.0,"...",-165.0,-165.0,"...",-175.0,-175.0
7615.0,"Miscellaneous Loans","...",2.33,2.33,"...",3.0,3.0,"...",2.7,2.7,"...",3.0,3.0
"","Demand 20","...",2.33,2.33,"...",3.0,3.0,"...",2.7,2.7,"...",3.0,3.0
"* 7710","Loans of UTs",0.51,0.72,1.23,0.92,0.77,1.69,0.71,0.77,1.48,2.16,0.01,2.17
"","Demand 96-100",0.51,0.72,1.23,0.92,0.77,1.69,0.71,0.77,1.48,2.16,0.01,2.17
