-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.14.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.14.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"UTTAR PRADESH","SHAHJAHANPUR",0,0,0,0,456,456,456
"UTTAR PRADESH","SHRAWASTI",0,140,5,0,73,218,218
"UTTAR PRADESH","SIDDHARTH NAGAR",1,184,25,0,71,280,281
"UTTAR PRADESH","SITAPUR",0,0,0,0,699,699,699
"UTTAR PRADESH","SONBHADRA",11,4,2,2,7,15,26
"UTTAR PRADESH","SULTANPUR",186,259,63,38,194,554,740
"UTTAR PRADESH","UNNAO",50,84,6,0,15,105,155
"UTTAR PRADESH","VARANASI",0,612,33,17,131,793,793
"UTTARANCHAL","CHAMPAWAT",6,0,0,0,0,0,6
"UTTARANCHAL","DEHRA DUN",0,10,1,4,63,78,78
"UTTARANCHAL","HARIDWAR",0,5,0,0,195,200,200
"UTTARANCHAL","NAINITAL",166,0,0,0,0,0,166
"UTTARANCHAL","PAURI",2,1,0,7,4,12,14
"UTTARANCHAL","UDHAM SINGH NAGAR",367,7,3,5,11,26,393
"WEST BENGAL","BANKURA",4,0,0,0,107,107,111
"WEST BENGAL","BIRBHUM",0,0,0,0,90,90,90
"WEST BENGAL","BURDWAN",88,0,0,0,480,480,568
"WEST BENGAL","COOCHBEHAR",0,0,0,0,58,58,58
"WEST BENGAL","DAKSHIN DINAJPUR",4,0,0,0,123,123,127
"WEST BENGAL","DARJEELING",33,0,0,0,5,5,38
"WEST BENGAL","HAORA",51,0,0,0,103,103,154
"WEST BENGAL","HOOGHLY",82,0,0,0,412,412,494
"WEST BENGAL","JALPAIGURI",125,0,0,3,92,95,220
"WEST BENGAL","MALDA",18,0,0,0,275,275,293
"WEST BENGAL","MIDNAPORE",22,0,0,0,648,648,670
"WEST BENGAL","MURSHIDABAD",64,0,0,0,432,432,496
"WEST BENGAL","NADIA",20,0,0,0,693,693,713
"WEST BENGAL","NORTH 24 PARGANAS",2,0,0,0,312,312,314
"WEST BENGAL","SOUTH 24 PARGANAS",5,0,0,0,16,16,21
"WEST BENGAL","UTTAR DINAJPUR",17,28,20,12,67,127,144
