-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to source of finance . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.6.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.6.csv"
}
-----
"State","District","Government funds","Farmers saving","Loan and Saving","Subsidy and Bank loan","Others","Total"
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",4,0,0,0,0,4
"UTTAR PRADESH","RAMPUR",20,0,0,0,0,20
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",23,0,2,2,0,27
"UTTAR PRADESH","SHAHJAHANPUR",3,2,0,0,0,5
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",15,0,1,0,0,16
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",91,0,0,0,0,91
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",15,86,3,1,3,108
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",80,2,1,0,9,92
"WEST BENGAL","BANKURA",0,0,0,0,0,0
"WEST BENGAL","BIRBHUM",0,0,0,0,0,0
"WEST BENGAL","BURDWAN",0,0,0,0,0,0
"WEST BENGAL","COOCHBEHAR",0,0,0,0,0,0
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,0,0,0,0
"WEST BENGAL","DARJEELING",0,0,0,0,19,19
"WEST BENGAL","HOOGLY",0,0,0,0,0,0
"WEST BENGAL","HOWRAH",0,0,0,0,0,0
"WEST BENGAL","JALPAIGURI",9,9,2,0,46,66
"WEST BENGAL","MALDA",0,0,0,0,0,0
"WEST BENGAL","MIDNAPORE",0,0,0,0,0,0
"WEST BENGAL","MURSHIDABAD",0,0,0,0,0,0
"WEST BENGAL","NADIA",0,0,0,0,0,0
"WEST BENGAL","NORTH 24 PARGANAS",0,0,0,0,0,0
"WEST BENGAL","PURULIA",NA,NA,NA,NA,NA,NA
"WEST BENGAL","SOUTH 24 PARGANAS",0,0,0,0,0,0
"WEST BENGAL","UTTAR DINAJPUR",0,0,0,0,0,0
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA,NA
"DAMAN & DIU","",NA,NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",3,361,5,0,2,371
"DELHI","SOUTH-WEST",1,316,2,1,0,320
"DELHI","WEST",NA,NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",NA,NA,NA,NA,NA,NA
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",0,238,84,11,84,417
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA,NA
