-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.16.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.16.csv"
}
-----
"State","District","Total No. of Tubewells in use","No. of Tubewells with no constraints","Constraints in utilisation of irrigation potential created - Inadequate power supply","Constraints in utilisation of irrigation potential created - Mechanical break down","Constraints in utilisation of irrigation potential created - Less water discharge","Constraints in utilisation of irrigation potential created - Other reason","Total - Constraints in utilisation","Grand Total"
"TAMIL NADU","VILLUPURAM",109,0,623,338,159,7682,8802,8802
"TAMIL NADU","VIRUDHUNAGAR",0,0,0,0,3,1,4,4
"TRIPURA","DHALAI",1,0,1,0,0,0,1,1
"TRIPURA","NORTH",1,5,1,0,1,1,3,8
"TRIPURA","SOUTH",0,2,6,2,9,16,33,35
"TRIPURA","WEST",1,14,22,12,1,26,61,75
"UTTAR PRADESH","AGRA",0,0,138,95,11,290,534,534
"UTTAR PRADESH","ALIGARH",1,0,17,0,0,41,58,58
"UTTAR PRADESH","ALLAHABAD",7,0,140,29,60,256,485,485
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",0,19,0,0,0,0,0,19
"UTTAR PRADESH","AZAMGARH",0,0,27,4,0,11,42,42
"UTTAR PRADESH","BADAUN",0,0,0,0,0,696,696,696
"UTTAR PRADESH","BAHRAICH",2,174,57,0,4,45,106,280
"UTTAR PRADESH","BALLIA",6,0,175,22,7,349,553,553
"UTTAR PRADESH","BANDA",0,0,84,7,40,55,186,186
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",0,0,41,2,0,644,687,687
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",9,0,59,3,9,297,368,368
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",2,0,8,5,9,38,60,60
"UTTAR PRADESH","DEORIA",25,0,15,0,0,417,432,432
"UTTAR PRADESH","ETAH",0,0,1,0,0,24,25,25
"UTTAR PRADESH","ETAWAH",9,0,18,1,0,246,265,265
"UTTAR PRADESH","FAIZABAD",15,28,0,22,40,0,62,90
"UTTAR PRADESH","FARUKHABAD",0,0,4,0,0,33,37,37
"UTTAR PRADESH","FATEHPUR",7,0,124,6,0,130,260,260
"UTTAR PRADESH","FIROZABAD",0,0,50,1,9,48,108,108
"UTTAR PRADESH","GHAZIABAD",0,0,243,0,0,0,243,243
"UTTAR PRADESH","GHAZIPUR",1,334,12,0,0,0,12,346
"UTTAR PRADESH","GONDA",4,134,72,58,9,33,172,306
"UTTAR PRADESH","GORAKHPUR",4,0,541,2,4,37,584,584
"UTTAR PRADESH","HAMIRPUR",1,0,95,11,0,52,158,158
"UTTAR PRADESH","HARDOI",0,0,2,0,0,52,54,54
"UTTAR PRADESH","HARDWAR",0,1,0,0,0,10,10,11
"UTTAR PRADESH","JALAUN",1,0,83,42,62,243,430,430
"UTTAR PRADESH","JAUNPUR",1,0,55,6,1,57,119,119
"UTTAR PRADESH","JHANSI",0,0,0,1,1,0,2,2
"UTTAR PRADESH","KANPUR DEHAT",2,0,515,11,4,15,545,545
"UTTAR PRADESH","KANPUR NAGAR",0,0,8,0,0,0,8,8
"UTTAR PRADESH","KHIRI",0,0,49,1,1,121,172,172
"UTTAR PRADESH","KUSHI NAGAR",0,0,7,0,0,31,38,38
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",0,0,5,2,1,25,33,33
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",1,0,2,0,0,41,43,43
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",14,1,186,0,2,16,204,205
"UTTAR PRADESH","MIRZAPUR",2,0,158,4,1,65,228,228
"UTTAR PRADESH","MORADABAD",0,0,7,0,0,61,68,68
"UTTAR PRADESH","MUZAFFER NAGAR",4,0,212,1,0,49,262,262
"UTTAR PRADESH","NAINITAL",4,0,15,0,10,46,71,71
"UTTAR PRADESH","PAURI GARHWAL",0,0,1,0,0,1,2,2
"UTTAR PRADESH","PILIBHIT",1,0,1,0,0,29,30,30
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",0,0,12,1,0,0,13,13
"UTTAR PRADESH","RAMPUR",0,0,60,50,0,85,195,195
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",5,0,377,8,4,39,428,428
"UTTAR PRADESH","SHAHJAHANPUR",2,41,24,1,0,29,54,95
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",1,0,37,4,1,69,111,111
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",24,44,6,11,1,5,23,67
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",3,0,28,4,24,272,328,328
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",3,0,393,58,9,212,672,672
"WEST BENGAL","BANKURA",15,0,23,10,3,46,82,82
"WEST BENGAL","BIRBHUM",36,0,13,6,14,11,44,44
"WEST BENGAL","BURDWAN",26,0,85,11,79,301,476,476
"WEST BENGAL","COOCHBEHAR",28,0,3,18,1,23,45,45
"WEST BENGAL","DAKSHIN DINAJPUR",8,0,67,3,0,19,89,89
"WEST BENGAL","DARJEELING",0,0,1,0,0,18,19,19
"WEST BENGAL","HOOGLY",10,0,21,4,62,315,402,402
"WEST BENGAL","HOWRAH",10,0,13,0,22,100,135,135
"WEST BENGAL","JALPAIGURI",8,0,11,1,4,88,104,104
"WEST BENGAL","MALDA",26,0,57,9,10,166,242,242
"WEST BENGAL","MIDNAPORE",63,0,51,8,65,230,354,354
"WEST BENGAL","MURSHIDABAD",76,0,37,28,3,383,451,451
"WEST BENGAL","NADIA",48,0,174,32,75,365,646,646
"WEST BENGAL","NORTH 24 PARGANAS",14,0,42,35,46,142,265,265
"WEST BENGAL","PURULIA",NA,NA,NA,NA,NA,NA,NA,NA
"WEST BENGAL","SOUTH 24 PARGANAS",8,0,6,1,0,15,22,22
"WEST BENGAL","UTTAR DINAJPUR",35,0,34,1,3,95,133,133
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA,NA,NA,NA
"DAMAN & DIU","",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",3,302,15,1,2,46,64,366
"DELHI","SOUTH-WEST",0,303,0,0,0,17,17,320
"DELHI","WEST",NA,NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",4,412,0,0,0,0,0,412
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA,NA,NA,NA
