-----
{
 "description": "The table refers to district wise distribution of dugwells according to source of finance. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.7.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to Finance source for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.7.csv"
}
-----
"State","District","Farmers saving","Loan and Saving","Subsidy and Bank loan","Subsidy Only","Others","Total"
"UTTAR PRADESH","LUCKNOW",130,230,48,332,6,746
"UTTAR PRADESH","MAHOBA",11179,1119,216,146,154,12814
"UTTAR PRADESH","MAHRAJGANJ",190,28,1,90,2,311
"UTTAR PRADESH","MAINPURI",253,58,3,29,0,343
"UTTAR PRADESH","MATHURA",418,273,132,44,9,876
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",4,7,0,0,0,11
"UTTAR PRADESH","MIRZAPUR",2249,416,525,44,17,3251
"UTTAR PRADESH","MORADABAD",308,1075,103,88,58,1632
"UTTAR PRADESH","MUZAFFER NAGAR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","NAINITAL",0,0,0,0,0,0
"UTTAR PRADESH","PAURI GARHWAL",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PILIBHIT",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",8,56,86,205,0,355
"UTTAR PRADESH","RAEBARELY",102,292,117,473,5,989
"UTTAR PRADESH","RAMPUR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SAHARANPUR",1,60,0,0,0,61
"UTTAR PRADESH","SANT RAVIDAS NAGAR",465,17,7,18,2,509
"UTTAR PRADESH","SHAHJAHANPUR",17,190,26,720,22,975
"UTTAR PRADESH","SIDDHARTH NAGAR",337,109,30,267,10,753
"UTTAR PRADESH","SITAPUR",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SONBHADRA",2629,468,727,78,33,3935
"UTTAR PRADESH","SULTANPUR",814,80,39,191,34,1158
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",423,129,50,36,5,643
"UTTAR PRADESH","UNNAO",382,404,332,223,4,1345
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",1273,951,232,244,12,2712
"WEST BENGAL","BANKURA",1714,350,613,4021,340,7038
"WEST BENGAL","BIRBHUM",68,75,92,716,64,1015
"WEST BENGAL","BURDWAN",80,31,23,195,11,340
"WEST BENGAL","COOCHBEHAR",5299,63,5,415,1063,6845
"WEST BENGAL","DAKSHIN DINAJPUR",183,94,3,1,0,281
"WEST BENGAL","DARJEELING",6,2,1,87,6,102
"WEST BENGAL","HOOGLY",49,81,7,26,7,170
"WEST BENGAL","HOWRAH",0,4,0,0,0,4
"WEST BENGAL","JALPAIGURI",821,69,109,1704,265,2968
"WEST BENGAL","MALDA",1,24,0,0,0,25
"WEST BENGAL","MIDNAPORE",10190,865,966,3011,248,15280
"WEST BENGAL","MURSHIDABAD",1,79,0,0,0,80
"WEST BENGAL","NADIA",7,158,4,3,5,177
"WEST BENGAL","NORTH 24 PARGANAS",0,6,0,2,2,10
"WEST BENGAL","PURULIA",8058,733,1792,6193,528,17304
"WEST BENGAL","SOUTH 24 PARGANAS",14,49,0,0,0,63
"WEST BENGAL","UTTAR DINAJPUR",3,59,0,12,2,76
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",109,18,118,139,29,413
"DAMAN & DIU","",NA,NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-WEST",NA,NA,NA,NA,NA,NA
"DELHI","WEST",NA,NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",1,0,0,0,0,1
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",181,29,0,0,9,219
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA,NA
