-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
-----
{
 "description": "The table refers to block wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.12.csv", 
 "title": "Download CSV for Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.12.csv"
}
-----
"State","District","Block","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"ANDHRA PRADESH","VIJAYA NAGARAM","SEETHANAGARAM",99,0,208,29
"ANDHRA PRADESH","VIJAYA NAGARAM","SRUNGAVARAPUKOTA",1,150,150,100
"ANDHRA PRADESH","VISAKHAPATNAM","ANAKAPALLE",1,0,120,0
"ANDHRA PRADESH","VISAKHAPATNAM","ARAKU VALLEY",3,0,192,0
"ANDHRA PRADESH","VISAKHAPATNAM","DEVARAPALLE",4,0,367,0
"ANDHRA PRADESH","VISAKHAPATNAM","DUMBRIGUDA",2,131,261,140
"ANDHRA PRADESH","VISAKHAPATNAM","HUKUMPETA",9,6,756,0
"ANDHRA PRADESH","VISAKHAPATNAM","MADUGULA",3,0,1663,0
"ANDHRA PRADESH","VISAKHAPATNAM","MUNAGAPAKA",26,0,241,0
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",1,0,800,0
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",1,0,2000,0
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",1,0,420,500
"ANDHRA PRADESH","WARANGAL","DORNAKAL",16,0,75,264
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",308,0,58,30
"ANDHRA PRADESH","WARANGAL","GUDUR",6,0,13,39
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",1,0,50,0
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",161,0,112,19
"ANDHRA PRADESH","WARANGAL","MANGAPET",11,0,220,0
"ANDHRA PRADESH","WARANGAL","MULUG",130,1,111,0
"ANDHRA PRADESH","WARANGAL","TADVAI",23,0,60,174
"ANDHRA PRADESH","WARANGAL","THORRUR",19,0,8,0
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",64,1,313,87
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",2,0,1500,0
"ANDHRA PRADESH","WEST GODAVARI","ELURU",19,0,4,0
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",1,2450,1660,0
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",8,0,3300,0
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",8,44,837,0
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",1,0,180,0
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",3,0,2067,0
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",25,14,595,0
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",1,0,200,0
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",13,955,846,1
"ASSAM","BARPETA","BAJALI",28,347,1168,3
"ASSAM","BARPETA","BARPETA",38,296,15,0
"ASSAM","BARPETA","BHAWANIPUR",10,289,1209,0
"ASSAM","BARPETA","CHENGA",2,0,90,0
"ASSAM","BARPETA","GOBARDHANA",37,226,284,0
"ASSAM","BARPETA","JALAH",46,28,149,0
"ASSAM","BARPETA","MANDIA",57,113,105,0
"ASSAM","BARPETA","RUPSI",46,301,304,0
"ASSAM","BONGAIGAON","BOITAMARI",45,214,5,0
"ASSAM","BONGAIGAON","BOROBAZAR",59,0,138,0
"ASSAM","BONGAIGAON","MANIKPUR",18,1172,670,0
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",11,5,28,0
"ASSAM","BONGAIGAON","SRIJANGRAM",3,818,17,0
"ASSAM","CACHAR","KATIGORA",10,90,154,0
"ASSAM","CACHAR","RAJABAZAR",3,1153,33,0
"ASSAM","CACHAR","SALCHAPRA",12,994,464,0
"ASSAM","CACHAR","SONAI",17,441,124,0
"ASSAM","CACHAR","UDARBOND",20,81,254,37
"ASSAM","DARRANG","DALGAON SIALMARI",94,3,4,0
"ASSAM","DARRANG","KALAIGAON",61,65,57,0
"ASSAM","DARRANG","KHAIRABARI",91,69,20,0
"ASSAM","DARRANG","MAZBAT",68,0,95,0
"ASSAM","DARRANG","SIPAJHAR",188,0,6,0
"ASSAM","DARRANG","UDALGURI",42,47,4,0
"ASSAM","DHEMAJI","BORDOLONI",79,327,105,0
"ASSAM","DHEMAJI","DHEMAJI",58,51,68,0
"ASSAM","DHEMAJI","MURKONGSELLECK",6,1210,1202,0
"ASSAM","DHUBRI","AGAMONI",5,444,1422,0
"ASSAM","DHUBRI","BILASIPARA",39,362,216,0
"ASSAM","DHUBRI","CHAPAR SALKOCHA",6,628,258,6
"ASSAM","DHUBRI","GAURIPUR",16,183,653,0
"ASSAM","DHUBRI","GOLOKGANJ",18,1129,201,0
"ASSAM","DHUBRI","MANKACHAR",3,1333,22700,0
"ASSAM","DHUBRI","SOUTH SALMARA",8,892,102,0
"ASSAM","DIBRUGARH","BARBARUAH",80,74,89,0
"ASSAM","DIBRUGARH","JOYPUR",50,67,711,0
"ASSAM","DIBRUGARH","KHOWANG",152,51,47,0
"ASSAM","DIBRUGARH","LAHOWAL",35,0,64,0
"ASSAM","DIBRUGARH","TENGAKHAT",73,0,33,0
"ASSAM","GOALPARA","BALIJANA",132,23,29,0
"ASSAM","GOALPARA","DUDHNOI",190,59,248,0
"ASSAM","GOALPARA","LAKHIPUR",84,41,374,0
"ASSAM","GOALPARA","MATIA",77,132,188,0
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",72,83,130,287
"ASSAM","GOLAGHAT","GOLAGHAT EAST",29,186,185,0
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",1,4250,0,0
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",186,225,118,0
"ASSAM","GOLAGHAT","GOLAGHAT WEST",17,70,395,132
"ASSAM","GOLAGHAT","GOMARIGURI",52,0,36,0
"ASSAM","HAILAKANDI","HAILAKANDI",5,1950,200,0
"ASSAM","HAILAKANDI","KATLICHARA",2,3338,574,90
"ASSAM","HAILAKANDI","LALA",10,1687,481,0
"ASSAM","JORHAT","JORHAT",165,0,49,0
"ASSAM","JORHAT","JORHAT CENTRAL",240,0,63,0
"ASSAM","JORHAT","JORHAT EAST",202,34,145,0
"ASSAM","JORHAT","MAJULI",349,15,75,0
"ASSAM","JORHAT","NORTH WEST JORHAT",89,66,54,6
"ASSAM","JORHAT","TITABOR",270,0,57,0
"ASSAM","KAMRUP","BOKO BANGAON",112,0,23,0
"ASSAM","KAMRUP","CHAMARIA",43,38,17,0
"ASSAM","KAMRUP","CHANDRAPUR",7,615,558,0
"ASSAM","KAMRUP","CHHAYGAON",36,32,222,0
"ASSAM","KAMRUP","DIMORIA",389,190,186,3
"ASSAM","KAMRUP","HAJO",24,250,125,0
"ASSAM","KAMRUP","KAMALPUR",58,218,142,0
"ASSAM","KAMRUP","KARARA",11,0,24,0
"ASSAM","KAMRUP","RAMPUR",24,0,18,0
"ASSAM","KAMRUP","RANGIA",40,431,953,0
"ASSAM","KAMRUP","RANI",3,0,0,0
"ASSAM","KARBI ANGLONG","BOKAJAN",6,1879,2245,0
"ASSAM","KARBI ANGLONG","HOWRAGHAT",1,1500,0,0
"ASSAM","KARBI ANGLONG","LUMBAJONG",19,789,152,0
"ASSAM","KARBI ANGLONG","RONGKHONG",22,1194,635,0
"ASSAM","KARIMGANJ","BADARPUR",1,0,0,960
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",1,3629,0,0
"ASSAM","KARIMGANJ","PATHARKANDI",7,524,0,0
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",9,954,101,0
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",6,1039,0,0
"ASSAM","KOKRAJHAR","DOTOMA",16,385,1402,0
"ASSAM","KOKRAJHAR","GOSSAIGAON",5,723,2783,0
"ASSAM","KOKRAJHAR","KACHUGAON",38,8,750,0
"ASSAM","KOKRAJHAR","KOKRAJHAR",58,105,178,0
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",2,500,150,0
"ASSAM","LAKHIMPUR","BIHPURIA",12,0,44,0
"ASSAM","LAKHIMPUR","BORDALANI",6,0,15,0
"ASSAM","LAKHIMPUR","DHAKUAKHANA",24,28,14,0
"ASSAM","LAKHIMPUR","LAKHIMPUR",52,0,44,0
"ASSAM","LAKHIMPUR","NARAYANPUR",24,0,173,0
"ASSAM","LAKHIMPUR","NOWBOICHA",35,0,66,0
"ASSAM","MARIGAON","BHURBANDHA",76,218,59,0
"ASSAM","MARIGAON","KAPILI",22,116,52,0
"ASSAM","MARIGAON","LAHARIGHAT",215,105,91,0
"ASSAM","MARIGAON","MAYONG",154,587,368,0
"ASSAM","NAGAON","BATADRAVA",55,30,103,0
"ASSAM","NAGAON","JUGIJAN",109,0,168,0
"ASSAM","NAGAON","JURIA",145,33,72,0
"ASSAM","NAGAON","KALIABOR",198,0,89,0
"ASSAM","NAGAON","KAPILI",22,0,58,0
"ASSAM","NAGAON","KAPILI PT.I",315,117,187,0
"ASSAM","NAGAON","KATHIATOLI",540,70,68,0
"ASSAM","NAGAON","KHAGARIJAN",138,95,53,0
"ASSAM","NAGAON","LANKA",220,0,55,0
"ASSAM","NAGAON","LAOKHOWA",82,139,65,0
"ASSAM","NAGAON","RUPAHI",60,157,77,0
"ASSAM","NALBARI","BARIGOG BANBHAG",40,135,69,0
"ASSAM","NALBARI","BARKHETRI",14,0,31,0
"ASSAM","NALBARI","BASKA",28,60,243,0
"ASSAM","NALBARI","PASCHIM NALBARI",25,59,39,0
"ASSAM","NALBARI","PUB NALBARI",54,54,60,0
"ASSAM","NALBARI","TAMULPUR",29,97,36,0
"ASSAM","NALBARI","TIHU BARAMA",36,237,133,0
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",5,0,2356,0
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",1,30,290,0
"ASSAM","SIBSAGAR","AMGURI",10,532,2176,0
"ASSAM","SIBSAGAR","DEMOW",131,88,47,0
"ASSAM","SIBSAGAR","NAZIRA",32,337,2235,0
"ASSAM","SIBSAGAR","SAPEKHATI",220,84,330,0
"ASSAM","SIBSAGAR","SIBSAGAR",5,1024,0,0
"ASSAM","SIBSAGAR","SONARI",224,95,198,1
"ASSAM","SONITPUR","BALIPARA",54,77,65,0
"ASSAM","SONITPUR","BEHALI",24,0,26,8
"ASSAM","SONITPUR","BISWANATH",48,144,16,0
"ASSAM","SONITPUR","CHAIDUAR",180,0,109,0
"ASSAM","SONITPUR","DHEKIAJULI",54,70,468,0
"ASSAM","SONITPUR","GABHORU",9,1181,224,0
"ASSAM","SONITPUR","NADUAR",172,2,74,0
"ASSAM","TINSUKIA","HAPJAN",22,0,162,0
"ASSAM","TINSUKIA","KAKOPATHAR",47,0,160,0
"ASSAM","TINSUKIA","MARGHERITA",77,295,65,3
"ASSAM","TINSUKIA","SADIYA",239,22,43,0
"BIHAR","ARARIA","BHARGAMA",4,125,50,325
"BIHAR","ARARIA","FORBESGANJ",3,0,8000,6000
"BIHAR","ARARIA","JOKIHAT",1,0,8000,6000
"BIHAR","ARARIA","PALASI",1,0,200,0
"BIHAR","AURANGABAD","AURANGABAD",1,0,8000,6000
"BIHAR","AURANGABAD","BARUN",6,0,43,0
"BIHAR","AURANGABAD","GOH",4,147,100,0
"BIHAR","AURANGABAD","HASPURA",4,0,0,0
"BIHAR","AURANGABAD","KUTUMBA",1,0,20,0
"BIHAR","AURANGABAD","NABINAGAR",4,0,0,418
"BIHAR","AURANGABAD","OBRA",18,0,620,0
"BIHAR","AURANGABAD","RAFIGANJ",19,16,520,0
"BIHAR","BANKA","AMARPUR",10,360,0,0
"BIHAR","BANKA","BANKA",2,50,25,25
"BIHAR","BANKA","BAUSI",23,1,105,69
"BIHAR","BANKA","CHANAN",35,5,35,0
"BIHAR","BANKA","DHURAIYA",10,0,34,0
"BIHAR","BANKA","KATORIA",66,26,159,0
"BIHAR","BANKA","SAMBHUGANJ",1,0,50,0
"BIHAR","BEGUSARAI","BACHHAWARA",3,0,0,1133
"BIHAR","BEGUSARAI","BAKHARI",1,30,0,0
"BIHAR","BEGUSARAI","BEGUSARAI",14,403,1259,89
"BIHAR","BEGUSARAI","BHAGAWANPUR",7,290,214,486
"BIHAR","BEGUSARAI","BIRPUR",5,133,100,62
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",9,67,1433,1476
"BIHAR","BEGUSARAI","DANDARI",3,0,82,167
"BIHAR","BEGUSARAI","GARHPURA",6,40,220,131
"BIHAR","BEGUSARAI","KHUDABANDPUR",6,22,90,969
"BIHAR","BEGUSARAI","MANSURCHAK",3,0,0,325
"BIHAR","BEGUSARAI","NAOKHOTHI",3,0,0,1000
"BIHAR","BHABUA","ADHAURA",2,2,100,0
"BIHAR","BHABUA","BHABUA",24,20,122,45
"BIHAR","BHABUA","BHAGWANPUR",1,50,0,0
"BIHAR","BHABUA","CHAINPUR",13,30,52,0
"BIHAR","BHABUA","CHAND",4,760,2750,500
"BIHAR","BHABUA","DURGAWATI",6,341,1742,401
"BIHAR","BHABUA","KUDRA",9,50,81,100
"BIHAR","BHABUA","MOHANIA",1,0,8000,2000
"BIHAR","BHABUA","RAMGAR",1,0,8000,2000
"BIHAR","BHAGALPUR","JAGDISHPUR",5,0,21,0
"BIHAR","BHAGALPUR","KAHALGAON",1,1000,100,0
"BIHAR","BHAGALPUR","KHARIK",5,3061,2050,0
"BIHAR","BHAGALPUR","NATHNAGAR",6,0,58,0
"BIHAR","BHAGALPUR","NAUGACHHIA",7,540,0,181
"BIHAR","BHAGALPUR","PIRPAINTI",30,36,580,0
"BIHAR","BHAGALPUR","RANGRACHOWK",1,100,0,0
"BIHAR","BHAGALPUR","SABOUR",5,0,1000,0
"BIHAR","BHAGALPUR","SHAHKUND",33,0,66,0
"BIHAR","BHAGALPUR","SONHAULLA",114,0,564,5283
"BIHAR","BHAGALPUR","SULTANGANJ",31,0,328,207
"BIHAR","BHOJPUR","AGIAON",5,0,8000,6000
"BIHAR","BHOJPUR","ARRAHSADAR",3,0,5350,4000
"BIHAR","BHOJPUR","BARBARA",1,0,0,250
"BIHAR","BHOJPUR","BEHIA",1,0,30,0
"BIHAR","BHOJPUR","GARHANI",3,100,50,0
"BIHAR","BHOJPUR","KOILWAR",1,10000,0,0
"BIHAR","BHOJPUR","SAHAR",2,0,0,0
"BIHAR","BHOJPUR","SAHPUR",3,0,135,0
"BIHAR","BHOJPUR","SANDISH",1,300,0,0
"BIHAR","BHOJPUR","TARARI",21,0,21,0
"BIHAR","BHOJPUR","UDWABTNAGAR",4,0,55,0
"BIHAR","BOKARO","CHAS",14,0,0,0
"BIHAR","BUXAR","BUXAR",2,50,25,0
"BIHAR","BUXAR","ITARHI",5,0,225,0
"BIHAR","BUXAR","RAJPUR",7,0,60,0
"BIHAR","CHAMPARAN EAST","ADAPUR",5,8,3230,2400
"BIHAR","CHAMPARAN EAST","CHAURADANO",1,0,225,200
"BIHAR","CHAMPARAN EAST","CHIRAIYA",7,0,26,0
"BIHAR","CHAMPARAN EAST","GHORASAHAN",10,1292,46,438
"BIHAR","CHAMPARAN EAST","HARSIDHI",5,67,67,750
"BIHAR","CHAMPARAN EAST","KALYANPUR",1,0,8000,6000
"BIHAR","CHAMPARAN EAST","MADHUBAN",5,317,0,133
"BIHAR","CHAMPARAN EAST","PAKARIDAYAL",8,500,250,250
"BIHAR","CHAMPARAN EAST","PIPRAKOTHI",8,517,57,317
"BIHAR","CHAMPARAN EAST","RAMGARHWA",3,150,100,150
"BIHAR","CHAMPARAN EAST","RAXAUL",4,157,5505,4016
"BIHAR","CHAMPARAN EAST","SUGAULI",17,0,127,333
"BIHAR","CHAMPARAN EAST","TETARIA",3,5,7,667
"BIHAR","CHAMPARAN EAST","TURKAULIA",1,0,200,0
"BIHAR","CHAMPARAN WEST","GAUNAHA",22,8,245,0
"BIHAR","CHAMPARAN WEST","LAURIYA",11,87,190,0
"BIHAR","CHAMPARAN WEST","MAJHAWALIA",8,137,500,950
"BIHAR","CHAMPARAN WEST","NAUTAN",4,0,100,0
"BIHAR","CHATRA","CHATRA",25,177,1880,1462
"BIHAR","CHATRA","GIDDHAUR",4,0,425,0
"BIHAR","CHATRA","HUNTERGANJ",15,53,105,25
"BIHAR","CHATRA","ITKHORI",4,0,50,200
"BIHAR","CHATRA","LAVALONG",26,0,15,0
"BIHAR","CHATRA","PATTHERGARHA",7,0,800,600
"BIHAR","CHATRA","PRATAP PUR",8,0,650,0
"BIHAR","CHATRA","SEMARIA",43,0,62,8
"BIHAR","CHATRA","TANDAWA",120,0,24,0
"BIHAR","DARBHANGA","BAHERI",3,0,0,825
"BIHAR","DARBHANGA","BENIPUR",16,0,38,159
"BIHAR","DARBHANGA","DARBHANGA",6,0,27,125
"BIHAR","DARBHANGA","GHANSHYAMPUR",2,22,150,0
"BIHAR","DARBHANGA","KEOTI(RANWAY)",3,0,670,0
"BIHAR","DARBHANGA","KVSHESHWAR ASTHAN",2,0,193,0
"BIHAR","DARBHANGA","MANIGACHHI",6,0,0,1210
"BIHAR","DEOGHAR","KARON",206,0,43,2
"BIHAR","DEOGHAR","MADHUPUR",146,1,49,3
"BIHAR","DEOGHAR","SARATH",222,0,36,0
"BIHAR","DHANBAD","BAGHMARA",6,0,17,0
"BIHAR","DHANBAD","NIRSA",72,0,104,0
"BIHAR","DHANBAD","TUNDI",21,1,263,55
"BIHAR","DUMKA","DUMKA",24,357,57,548
"BIHAR","DUMKA","GOPIKANDAR",7,0,33,473
"BIHAR","DUMKA","JAMA",60,57,51,203
"BIHAR","DUMKA","JAMTARA",55,2,67,0
"BIHAR","DUMKA","JARMUNDI",14,127,1500,1109
"BIHAR","DUMKA","KATHIKUND",213,0,34,1
"BIHAR","DUMKA","KUNDHIT",41,24,231,0
"BIHAR","DUMKA","MASALIA",396,4,46,18
"BIHAR","DUMKA","NALA",397,0,35,73
"BIHAR","DUMKA","NARAYANPUR",24,0,60,0
"BIHAR","DUMKA","RAMGARH",6,125,17,247
"BIHAR","DUMKA","RANESHWAR",104,11,42,32
"BIHAR","DUMKA","SHIKARIPARA",363,0,220,0
"BIHAR","GARHWA","BHANDARIA",6,538,0,0
"BIHAR","GARHWA","BHAWNATHPUR",8,0,17,687
"BIHAR","GARHWA","CHIRIA",1,0,0,2000
"BIHAR","GARHWA","DHURKI",24,0,34,6
"BIHAR","GARHWA","GARHWA",15,13,179,685
"BIHAR","GARHWA","MAJHIAURA",4,0,250,0
"BIHAR","GARHWA","NAYARKTARI",11,0,116,33
"BIHAR","GARHWA","RAMIA",15,167,98,267
"BIHAR","GAYA","ATARI",8,0,43,0
"BIHAR","GAYA","DUMARIA",17,0,146,0
"BIHAR","GAYA","GAYA SADAR",18,0,34,0
"BIHAR","GAYA","KHIZIRSORAI",7,0,21,0
"BIHAR","GAYA","KONCH",3,0,78,40
"BIHAR","GAYA","NIMCHAK BATHANI",4,0,2182,0
"BIHAR","GAYA","TANKUPPA",2,0,123,0
"BIHAR","GIRIDIH","BAGODAR",5,0,0,0
"BIHAR","GIRIDIH","BENGABAD",29,0,92,26
"BIHAR","GIRIDIH","BIRNI",39,0,132,0
"BIHAR","GIRIDIH","DEORI",4,0,15,0
"BIHAR","GIRIDIH","DYMIR",32,0,47,111
"BIHAR","GIRIDIH","GANDEY",20,0,464,0
"BIHAR","GIRIDIH","GAWAN",5,0,156,100
"BIHAR","GIRIDIH","JAMYA",9,0,43,147
"BIHAR","GIRIDIH","RAJ DHANWAR",26,9,128,10
"BIHAR","GODDA","BOARIJORE",171,0,26,0
"BIHAR","GODDA","GODDA",29,1,207,94
"BIHAR","GODDA","MAHAGAMA",2,0,0,400
"BIHAR","GODDA","MEHARWAN",86,2,111,0
"BIHAR","GODDA","PATHARGAMA",11,0,348,0
"BIHAR","GODDA","THAKUR BANGTI",97,0,17,0
"BIHAR","GOPALGANJ","BAIKUNTHPUR",1,0,600,0
"BIHAR","GOPALGANJ","BARAULI",1,1000,0,0
"BIHAR","GOPALGANJ","BHOREY",4,0,407,0
"BIHAR","GOPALGANJ","KUCHAIKOTE",2,0,73,0
"BIHAR","GOPALGANJ","PHULWARIYA",1,0,100,0
"BIHAR","GOPALGANJ","UCHKAGAON",2,0,0,0
"BIHAR","GUMLA","BALBA",14,0,72,0
"BIHAR","GUMLA","BANO",4,0,0,0
"BIHAR","GUMLA","BASIA",2,0,0,0
"BIHAR","GUMLA","BHARNO",88,0,29,0
"BIHAR","GUMLA","BISHUNPUR",12,0,37,1078
"BIHAR","GUMLA","CHAINPUR",13,0,11,0
"BIHAR","GUMLA","GHAGHRA",7,200,0,1040
"BIHAR","GUMLA","KANIDARA",3,0,350,170
"BIHAR","GUMLA","KOLUBIRA",3,317,1033,133
"BIHAR","GUMLA","KURDEG",17,0,1,435
"BIHAR","GUMLA","PALKOT",57,0,1269,18
"BIHAR","GUMLA","RAIDIH",116,1,25,0
"BIHAR","GUMLA","SIMDEGA",11,0,4,0
"BIHAR","GUMLA","SISAI",17,5,38,163
"BIHAR","GUMLA","THETHAITANGA",24,0,34,55
"BIHAR","HAZARIBAG","BARHI",16,18,769,479
"BIHAR","HAZARIBAG","BARKATTHA",2,0,690,0
"BIHAR","HAZARIBAG","BISHNUGARH",10,5,3098,2250
"BIHAR","HAZARIBAG","CHAUPARAN",15,0,808,545
"BIHAR","HAZARIBAG","CHURCHU",3,0,375,0
"BIHAR","HAZARIBAG","GOLA",3,0,51,0
"BIHAR","HAZARIBAG","HAZARIBAGH",8,1,268,36
"BIHAR","HAZARIBAG","ICHAK",10,0,185,0
"BIHAR","HAZARIBAG","KEREDARI",11,0,308,58
"BIHAR","HAZARIBAG","PADMA",4,25,463,50
"BIHAR","HAZARIBAG","PATRATU",12,0,74,0
"BIHAR","JAMUI","BARHAT",12,13,170,28
"BIHAR","JAMUI","GIDHOUR",4,0,3850,0
"BIHAR","JAMUI","JHAJHA",14,20,109,20
"BIHAR","JAMUI","LAKSHMIPUR",6,43,170,0
"BIHAR","JAMUI","SIKANDRA",33,367,196,3
"BIHAR","JAMUI","SONO",7,40,23,96
"BIHAR","JEHANABAD","MAKHDOMPUR",5,0,125,4
"BIHAR","KATIHAR","BARARI",6,0,0,915
"BIHAR","KATIHAR","HASANGANJ",1,0,0,350
"BIHAR","KHAGARIA","ALAULI",3,0,173,0
"BIHAR","KHAGARIA","CHAUTHAM",257,0,198,102
"BIHAR","KHAGARIA","GOGRI",2,0,100,100
"BIHAR","KHAGARIA","KHAGARIA",2,170,263,168
"BIHAR","KHAGARIA","MANSI",177,0,149,0
"BIHAR","KISHANGANJ","BAHADURGANJ",3,0,238,0
"BIHAR","KISHANGANJ","KOCHADHAMIN",1,0,0,5000
"BIHAR","KISHANGANJ","POTHIA",6,37,138,450
"BIHAR","KODARMA","CHANDWA",10,0,68,375
"BIHAR","KODARMA","JAINAGAR",1,0,0,100
"BIHAR","KODARMA","MARKACHO",54,7,153,28
"BIHAR","KODARMA","SATGAWAN",6,12,227,50
"BIHAR","LAKHISARAI","SURAJGARA",1,0,300,0
"BIHAR","LOHARDAGA","BHANDRA",3,267,2800,2167
"BIHAR","LOHARDAGA","KISKO",14,0,1555,1431
"BIHAR","LOHARDAGA","KURU",34,13,330,331
"BIHAR","LOHARDAGA","LOHARDAGA",20,3,87,519
"BIHAR","LOHARDAGA","SENHA",27,3,1371,1016
"BIHAR","MADHEPURA","KUMAR KHAND",2,0,0,1500
"BIHAR","MADHEPURA","MADHEPURA",2,250,0,900
"BIHAR","MADHEPURA","UDA KISHANGANJ",2,0,4000,3150
"BIHAR","MADHUBANI","ANDHARADATHI",16,0,547,0
"BIHAR","MADHUBANI","BASOPATTI",1,0,700,0
"BIHAR","MADHUBANI","BENIPATTI",3,2,401,658
"BIHAR","MADHUBANI","KHAJAULI",18,0,210,125
"BIHAR","MADHUBANI","LADANIA",15,0,244,313
"BIHAR","MADHUBANI","LAKHNAUR",1,0,0,200
"BIHAR","MADHUBANI","MADHAWAPUR",130,0,71,1
"BIHAR","MADHUBANI","MADUBANI",107,0,60,143
"BIHAR","MUNGER","DHARHARA",9,0,117,0
"BIHAR","MUNGER","JAMALPUR",1,0,80,0
"BIHAR","MUNGER","KHARAGPUR",1,25,105,0
"BIHAR","MUZAFFARPUR","AURAI",1,3500,0,0
"BIHAR","MUZAFFARPUR","BANDRA",4,550,0,50
"BIHAR","MUZAFFARPUR","MINAPUR",1,0,200,145
"BIHAR","MUZAFFARPUR","MORAUL",2,200,250,250
"BIHAR","MUZAFFARPUR","MOTIPUR",8,674,1098,53
"BIHAR","MUZAFFARPUR","SAHEBGANJ",1,0,0,1000
"BIHAR","MUZAFFARPUR","SAKRA",4,0,383,300
"BIHAR","MUZAFFARPUR","SARAIYA",5,10,40,444
"BIHAR","NALANDA","ASTHAWAN",16,0,59,0
"BIHAR","NALANDA","BEN",4,0,2317,0
"BIHAR","NALANDA","BIHARSARIF",2,0,0,0
"BIHAR","NALANDA","BIND",5,0,114,0
"BIHAR","NALANDA","CHANDI",6,0,267,0
"BIHAR","NALANDA","EKANGARSARAI",17,0,100,0
"BIHAR","NALANDA","GIRIAK",3,23,35,0
"BIHAR","NALANDA","HARNAUT",11,0,0,0
"BIHAR","NALANDA","HILSA",11,0,400,300
"BIHAR","NALANDA","KARAI PARSURAI",6,0,0,0
"BIHAR","NALANDA","PARWALPUR",5,0,0,0
"BIHAR","NALANDA","RAHUI",1,0,8000,6000
"BIHAR","NALANDA","RAJGIR",39,0,68,0
"BIHAR","NALANDA","SARMERA",1,0,500,0
"BIHAR","NAWADA","GOBINDPUR",2,200,0,0
"BIHAR","NAWADA","NAWADA",22,550,90,0
"BIHAR","NAWADA","RAJANLI",1,0,500,0
"BIHAR","NAWADA","ROH",4,0,220,0
"BIHAR","PAKUR","AMRAPARA",2,0,4013,1000
"BIHAR","PAKUR","HIRANPUR",16,45,80,45
"BIHAR","PAKUR","LITIPARA",42,0,494,95
"BIHAR","PAKUR","MAHESHPUR",58,0,2893,1299
"BIHAR","PAKUR","PAKUR",28,0,58,0
"BIHAR","PAKUR","PAKURIA",6,0,36,0
"BIHAR","PATNA","MANER",19,893,410,2
"BIHAR","PATNA","MASAURHI",2,4250,0,0
"BIHAR","PATNA","SAMPATCHAK",28,0,82,0
"BIHAR","PURNIA","KRITYANANDNAGAR",14,284,411,13
"BIHAR","PURNIA","PURNIA EAST",2,50,150,100
"BIHAR","PURNIA","RUPAULI",3,0,167,667
"BIHAR","RANCHI","ANGARA",4,0,0,50265
"BIHAR","RANCHI","ARKI",31,0,0,0
"BIHAR","RANCHI","CHANHO",67,0,96,0
"BIHAR","RANCHI","KANKE",125,0,31,0
"BIHAR","RANCHI","MANDAR",16,0,88,0
"BIHAR","RANCHI","RATU",32,0,182,27
"BIHAR","RANCHI","SILLI",17,0,100,0
"BIHAR","RANCHI","SONAHATU",2,0,200,0
"BIHAR","RANCHI","TAMAR",118,0,153,0
"BIHAR","RANCHI","TORPA",5,0,0,0
"BIHAR","ROHTAS","AKORHIGOLA",3,784,263,0
"BIHAR","ROHTAS","CHENARI",10,7,50,64
