-----
{
 "description": "The table refers to block wise irrigation potential utilised under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.12.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.12.csv"
}
-----
State,District,Block,Actual area irrigated (Ha) - Kharif,Actual area irrigated (Ha) - Rabi,Actual area irrigated (Ha) - Perennial,Actual area irrigated (Ha) - Others,Total
ASSAM,DIBRUGARH,KHOWANG,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,LAHOWAL,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,PANITOLA,NA,NA,NA,NA,NA
ASSAM,DIBRUGARH,TENGAKHAT,5,2,0,0,7
ASSAM,GOALPARA,BALIJANA,NA,NA,NA,NA,NA
ASSAM,GOALPARA,DUDHNOI,9402,103,0,0,9505
ASSAM,GOALPARA,LAKHIPUR,195,100,0,0,295
ASSAM,GOALPARA,MATIA,NA,NA,NA,NA,NA
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,NA,NA,NA,NA,NA
ASSAM,GOLAGHAT,GOLAGHAT EAST,0,0,0,0,0
ASSAM,GOLAGHAT,GOLAGHAT NORTH,NA,NA,NA,NA,NA
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,0,0,0,0,0
ASSAM,GOLAGHAT,GOLAGHAT WEST,50,15,0,0,65
ASSAM,GOLAGHAT,GOMARIGURI,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,KATLICHARA,NA,NA,NA,NA,NA
ASSAM,HAILAKANDI,LALA,NA,NA,NA,NA,NA
ASSAM,JORHAT,JORHAT,NA,NA,NA,NA,NA
ASSAM,JORHAT,JORHAT CENTRAL,160,20,0,0,180
ASSAM,JORHAT,JORHAT EAST,150,15,0,0,165
ASSAM,JORHAT,MAJULI,NA,NA,NA,NA,NA
ASSAM,JORHAT,NORTH WEST JORHAT,NA,NA,NA,NA,NA
ASSAM,JORHAT,TITABOR,80,60,0,0,140
ASSAM,KAMRUP,BOKO BANGAON,1185,444,0,0,1629
ASSAM,KAMRUP,CHAMARIA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,CHANDRAPUR,21,44,0,0,65
ASSAM,KAMRUP,CHHAYGAON,NA,NA,NA,NA,NA
ASSAM,KAMRUP,DIMORIA,373,657,1,0,1031
ASSAM,KAMRUP,HAJO,NA,NA,NA,NA,NA
ASSAM,KAMRUP,KAMALPUR,NA,NA,NA,NA,NA
ASSAM,KAMRUP,KARARA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,RAMPUR,850,90,0,0,940
ASSAM,KAMRUP,RANGIA,NA,NA,NA,NA,NA
ASSAM,KAMRUP,RANI,1200,350,0,50,1600
ASSAM,KARBI ANGLONG,AMRI,3578,334,0,0,3912
ASSAM,KARBI ANGLONG,BOKAJAN,1282,305,0,0,1587
ASSAM,KARBI ANGLONG,CHINTHONG,469,205,0,0,674
ASSAM,KARBI ANGLONG,HOWRAGHAT,1742,520,150,30,2442
ASSAM,KARBI ANGLONG,LUMBAJONG,976,77,0,2,1055
ASSAM,KARBI ANGLONG,NILIP,962,77,0,63,1102
ASSAM,KARBI ANGLONG,RANGMONGWA,150,0,0,0,150
ASSAM,KARBI ANGLONG,RONGKHONG,1891,631,0,186,2708
ASSAM,KARBI ANGLONG,SAMILONGSO,1226,32,10,45,1313
ASSAM,KARBI ANGLONG,SOCHENG,109,66,0,0,175
ASSAM,KARIMGANJ,BADARPUR,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,NORTH KARIMGANJ,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,PATHARKANDI,0,0,0,0,0
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,NA,NA,NA,NA,NA
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,NA,NA,NA,NA,NA
ASSAM,KOKRAJHAR,DOTOMA,170,45,0,0,215
ASSAM,KOKRAJHAR,GOSSAIGAON,NA,NA,NA,NA,NA
ASSAM,KOKRAJHAR,KACHUGAON,124,44,0,0,168
ASSAM,KOKRAJHAR,KOKRAJHAR,160,50,0,0,210
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),350,123,0,0,473
ASSAM,LAKHIMPUR,BIHPURIA,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,BORDALANI,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,DHAKUAKHANA,NA,NA,NA,NA,NA
ASSAM,LAKHIMPUR,LAKHIMPUR,100,50,0,0,150
ASSAM,LAKHIMPUR,NARAYANPUR,100,50,0,0,150
ASSAM,LAKHIMPUR,NOWBOICHA,NA,NA,NA,NA,NA
ASSAM,MARIGAON,BHURBANDHA,1430,0,0,0,1430
ASSAM,MARIGAON,KAPILI,782,5,0,0,787
ASSAM,MARIGAON,LAHARIGHAT,37,43,0,7,87
ASSAM,MARIGAON,MAYONG,544,75,0,0,619
ASSAM,NAGAON,BATADRAVA,11,5,0,0,16
ASSAM,NAGAON,JUGIJAN,NA,NA,NA,NA,NA
ASSAM,NAGAON,JURIA,28,11,0,0,39
ASSAM,NAGAON,KALIABOR,159,40,0,0,199
ASSAM,NAGAON,KAPILI,16,0,0,3,19
ASSAM,NAGAON,KAPILI PT.I,162,0,0,5,167
ASSAM,NAGAON,KATHIATOLI,912,280,0,100,1292
ASSAM,NAGAON,KHAGARIJAN,0,0,0,0,0
ASSAM,NAGAON,LANKA,0,0,0,0,0
ASSAM,NAGAON,LAOKHOWA,53,0,0,0,53
ASSAM,NAGAON,RUPAHI,69,20,0,10,99
ASSAM,NALBARI,BARIGOG BANBHAG,NA,NA,NA,NA,NA
ASSAM,NALBARI,BARKHETRI,NA,NA,NA,NA,NA
ASSAM,NALBARI,BASKA,3816,550,0,0,4366
ASSAM,NALBARI,PASCHIM NALBARI,NA,NA,NA,NA,NA
ASSAM,NALBARI,PUB NALBARI,NA,NA,NA,NA,NA
ASSAM,NALBARI,TAMULPUR,3002,479,0,20,3501
ASSAM,NALBARI,TIHU BARAMA,300,200,0,0,500
ASSAM,NORTH CACHAR HILLS,DIYANG VALLEY,2257,7,0,0,2264
ASSAM,NORTH CACHAR HILLS,DIYUNGBRA,361,30,0,0,391
ASSAM,NORTH CACHAR HILLS,HARANGAJAW,627,0,0,0,627
ASSAM,NORTH CACHAR HILLS,JATINGA VALLEY,155,0,0,0,155
ASSAM,SIBSAGAR,AMGURI,0,0,0,0,0
ASSAM,SIBSAGAR,DEMOW,NA,NA,NA,NA,NA
ASSAM,SIBSAGAR,NAZIRA,70,40,0,0,110
ASSAM,SIBSAGAR,SAPEKHATI,250,28,0,0,278
ASSAM,SIBSAGAR,SIBSAGAR,NA,NA,NA,NA,NA
ASSAM,SIBSAGAR,SONARI,84,40,0,0,124
ASSAM,SONITPUR,BALIPARA,1250,0,0,0,1250
ASSAM,SONITPUR,BEHALI,2129,0,0,0,2129
ASSAM,SONITPUR,BISWANATH,4525,400,0,0,4925
ASSAM,SONITPUR,CHAIDUAR,160,13,0,0,173
ASSAM,SONITPUR,DHEKIAJULI,2288,280,0,0,2568
ASSAM,SONITPUR,GABHORU,NA,NA,NA,NA,NA
ASSAM,SONITPUR,NADUAR,400,0,0,0,400
ASSAM,TINSUKIA,HAPJAN,NA,NA,NA,NA,NA
ASSAM,TINSUKIA,KAKOPATHAR,570,0,0,0,570
ASSAM,TINSUKIA,MARGHERITA,NA,NA,NA,NA,NA
ASSAM,TINSUKIA,SADIYA,6,3,0,0,9
BIHAR,ARARIA,ARARIA,NA,NA,NA,NA,NA
BIHAR,ARARIA,BHARGAMA,NA,NA,NA,NA,NA
BIHAR,ARARIA,FORBESGANJ,0,138,0,0,138
BIHAR,ARARIA,JOKIHAT,NA,NA,NA,NA,NA
BIHAR,ARARIA,KURSAKATTA,NA,NA,NA,NA,NA
BIHAR,ARARIA,NARPAIGANJ,NA,NA,NA,NA,NA
BIHAR,ARARIA,PALASI,NA,NA,NA,NA,NA
BIHAR,ARARIA,RANIGANJ,NA,NA,NA,NA,NA
BIHAR,ARARIA,SIKTI,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,BARUN,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,DAUDNAGAR,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,DEO,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,GOH,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,HASPURA,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,KUTUMBA,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,MADANPUR,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,NABINAGAR,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,OBRA,NA,NA,NA,NA,NA
BIHAR,AURANGABAD,RAFIGANJ,NA,NA,NA,NA,NA
BIHAR,BANKA,AMARPUR,1985,941,26,172,3124
BIHAR,BANKA,BANKA,3101,1499,48,28,4676
BIHAR,BANKA,BARAHAT,400,243,0,9,652
BIHAR,BANKA,BAUSI,952,272,0,0,1224
BIHAR,BANKA,BELHAR,288,324,3,0,615
BIHAR,BANKA,CHANAN,391,121,0,0,512
BIHAR,BANKA,DHURAIYA,2949,552,5,1,3507
BIHAR,BANKA,KATORIA,1157,212,5,5,1379
BIHAR,BANKA,PHULLIDUMAR,443,98,8,0,549
BIHAR,BANKA,RAJAN,1063,805,8,4,1880
BIHAR,BANKA,SAMBHUGANJ,3717,328,21,0,4066
BIHAR,BEGUSARAI,BACHHAWARA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BAKHARI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BALIA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BARAUNI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BEGUSARAI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BHAGAWANPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,BIRPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHERIA BARIARPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHHAURAHI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,DANDARI,0,0,0,0,0
BIHAR,BEGUSARAI,GARHPURA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,KHUDABANDPUR,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,MANSURCHAK,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,MATIHANI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,NAOKHOTHI,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,TEGHRA,NA,NA,NA,NA,NA
BIHAR,BHABUA,ADHAURA,858,14,0,0,872
BIHAR,BHABUA,BHABUA,836,638,0,0,1474
BIHAR,BHABUA,BHAGWANPUR,104,0,0,0,104
BIHAR,BHABUA,CHAINPUR,202,15,0,0,217
BIHAR,BHABUA,CHAND,189,158,0,0,347
BIHAR,BHABUA,DURGAWATI,NA,NA,NA,NA,NA
BIHAR,BHABUA,KUDRA,90,42,0,0,132
BIHAR,BHABUA,MOHANIA,208,112,0,0,320
BIHAR,BHABUA,NUAWN,NA,NA,NA,NA,NA
BIHAR,BHABUA,RAMGAR,NA,NA,NA,NA,NA
BIHAR,BHABUA,RAMPUR,378,221,0,0,599
BIHAR,BHAGALPUR,BIHPUR,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,GAURIDIH,1186,616,221,272,2295
BIHAR,BHAGALPUR,GOPALPUR,0,0,0,0,0
BIHAR,BHAGALPUR,ISMAILPUR,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,JAGDISHPUR,53,5,0,7,65
BIHAR,BHAGALPUR,KAHALGAON,682,231,1,4,918
BIHAR,BHAGALPUR,KHARIK,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,NARAINPUR,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,NATHNAGAR,16,13,0,0,29
BIHAR,BHAGALPUR,NAUGACHHIA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,PIRPAINTI,8,43,2,0,53
BIHAR,BHAGALPUR,RANGRACHOWK,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,SABOUR,10,15,0,0,25
BIHAR,BHAGALPUR,SHAHKUND,710,485,5,86,1286
BIHAR,BHAGALPUR,SONHAULLA,967,175,0,36,1178
BIHAR,BHAGALPUR,SULTANGANJ,75,27,0,10,112
BIHAR,BHOJPUR,AGIAON,1360,782,4,0,2146
BIHAR,BHOJPUR,ARRAHSADAR,0,0,0,0,0
BIHAR,BHOJPUR,BARBARA,NA,NA,NA,NA,NA
BIHAR,BHOJPUR,BEHIA,0,0,0,0,0
BIHAR,BHOJPUR,CHARPOKHARI,10,10,0,0,20
BIHAR,BHOJPUR,GARHANI,455,56,0,0,511
BIHAR,BHOJPUR,JAGDISHPUR,NA,NA,NA,NA,NA
BIHAR,BHOJPUR,KOILWAR,121,60,3,2,186
BIHAR,BHOJPUR,PIRO,509,184,5,9,707
BIHAR,BHOJPUR,SAHAR,225,0,0,0,225
BIHAR,BHOJPUR,SAHPUR,0,0,0,0,0
BIHAR,BHOJPUR,SANDISH,291,19,0,0,310
BIHAR,BHOJPUR,TARARI,1885,0,0,0,1885
BIHAR,BHOJPUR,UDWABTNAGAR,883,566,10,0,1459
BIHAR,BOKARO,BERMO,76,44,0,6,126
BIHAR,BOKARO,CHANDAN KIYOI,14,10,0,0,24
BIHAR,BOKARO,CHAS,1202,77,55,0,1334
BIHAR,BOKARO,GOMIA,NA,NA,NA,NA,NA
BIHAR,BOKARO,JARIDIH,222,23,0,0,245
BIHAR,BOKARO,KASMAR,24,26,4,0,54
BIHAR,BOKARO,NAWADIH,35,11,0,0,46
BIHAR,BOKARO,PETARWAR,257,171,0,0,428
BIHAR,BUXAR,BRAHAMPUR,NA,NA,NA,NA,NA
BIHAR,BUXAR,BUXAR,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHANGAIN,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHARKKI,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHAUSA,NA,NA,NA,NA,NA
BIHAR,BUXAR,DUMRAIN,0,0,0,0,0
BIHAR,BUXAR,ITARHI,93,39,0,0,132
BIHAR,BUXAR,KESATH,363,199,15,0,577
BIHAR,BUXAR,NAWANAGAR,1454,1076,9,0,2539
BIHAR,BUXAR,RAJPUR,0,0,0,0,0
BIHAR,BUXAR,SIMRI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ADAPUR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ARERAJ,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,BANJARIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAKIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAURADANO,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHIRAIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,DHAKA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,FENHARA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,GHORASAHAN,34,0,0,0,34
BIHAR,CHAMPARAN EAST,HARSIDHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KALYANPUR,16,16,1,0,33
BIHAR,CHAMPARAN EAST,KESARIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KOTWA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MADHUBAN,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MEHSHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MOTIHARI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAHARPUR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PATAHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAMGARHWA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAXAUL,11,16,0,0,27
BIHAR,CHAMPARAN EAST,SANGRAMPUR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,SUGAULI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TETARIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TURKAULIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAGAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAIRIA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BETTIAN,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BHITAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,CHANPATIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,GAUNAHA,448,307,0,1,756
BIHAR,CHAMPARAN WEST,LAURIYA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MADHUBANI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MAINATANR,335,75,0,0,410
BIHAR,CHAMPARAN WEST,MAJHAWALIA,0,0,0,0,0
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,NAUTAN,152,137,0,0,289
BIHAR,CHAMPARAN WEST,PIPRASI,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,RAMNAGAR,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIDHAW,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIKTA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,THAKRAHA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,YOGAPATTI,NA,NA,NA,NA,NA
BIHAR,CHATRA,CHATRA,1873,376,6,1,2256
BIHAR,CHATRA,GIDDHAUR,197,119,1,29,346
BIHAR,CHATRA,HUNTERGANJ,2677,361,9,0,3047
BIHAR,CHATRA,ITKHORI,2477,764,16,5,3262
BIHAR,CHATRA,KUNDA,300,215,0,0,515
BIHAR,CHATRA,LAVALONG,168,11,0,0,179
BIHAR,CHATRA,PATTHERGARHA,106,9,0,0,115
BIHAR,CHATRA,PRATAP PUR,1882,718,23,10,2633
BIHAR,CHATRA,SEMARIA,290,68,10,0,368
BIHAR,CHATRA,TANDAWA,151,62,0,0,213
BIHAR,DARBHANGA,AUNAGAR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHADURPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHERI,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BENIPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BIRAUL,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,DARBHANGA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,GHANSHYAMPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,GORA BOURAM,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,HAYAGHAT,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,JALE,217,319,4,0,540
BIHAR,DARBHANGA,KEOTI(RANWAY),NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KIRATPUR,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,MANIGACHHI,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,SINGHWARA,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,DEOGHAR,1855,771,96,78,2800
BIHAR,DEOGHAR,DEVIPUR,1436,502,1,0,1939
BIHAR,DEOGHAR,KARON,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,MADHUPUR,307,43,2,0,352
BIHAR,DEOGHAR,MOHANPUR,858,221,11,5,1095
BIHAR,DEOGHAR,PALAJORI,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,SARATH,229,194,6,1,430
BIHAR,DEOGHAR,SARWAN,2422,458,0,0,2880
BIHAR,DHANBAD,BAGHMARA,6,2,0,0,8
BIHAR,DHANBAD,BALIAPUR,82,77,0,16,175
BIHAR,DHANBAD,DHANBAD,46,0,0,0,46
BIHAR,DHANBAD,GOBINDPUR,32,26,9,12,79
BIHAR,DHANBAD,JHARIA,NA,NA,NA,NA,NA
BIHAR,DHANBAD,NIRSA,424,72,2,2,500
BIHAR,DHANBAD,TOPCHACHI,169,98,1,7,275
BIHAR,DHANBAD,TUNDI,1197,1039,8,22,2266
BIHAR,DUMKA,DUMKA,269,144,0,0,413
BIHAR,DUMKA,GOPIKANDAR,426,214,0,23,663
BIHAR,DUMKA,JAMA,374,118,0,7,499
BIHAR,DUMKA,JAMTARA,646,302,32,9,989
BIHAR,DUMKA,JARMUNDI,194,57,0,0,251
BIHAR,DUMKA,KATHIKUND,194,112,14,30,350
BIHAR,DUMKA,KUNDHIT,1235,504,42,35,1816
BIHAR,DUMKA,MASALIA,573,363,4,3,943
BIHAR,DUMKA,NALA,1985,831,47,62,2925
BIHAR,DUMKA,NARAYANPUR,587,233,1,0,821
BIHAR,DUMKA,RAMGARH,367,159,30,14,570
BIHAR,DUMKA,RANESHWAR,898,404,37,27,1366
BIHAR,DUMKA,SARAIYAHAT,1478,375,90,85,2028
BIHAR,DUMKA,SHIKARIPARA,814,431,9,12,1266
BIHAR,GARHWA,BHANDARIA,840,231,0,0,1071
BIHAR,GARHWA,BHAWNATHPUR,709,110,0,0,819
BIHAR,GARHWA,CHIRIA,270,127,0,0,397
BIHAR,GARHWA,DANDAI,512,221,0,0,733
BIHAR,GARHWA,DHURKI,730,79,7,0,816
BIHAR,GARHWA,GARHWA,3340,225,3,8,3576
BIHAR,GARHWA,KHARAUNDHI,150,0,0,0,150
BIHAR,GARHWA,MAJHIAURA,1392,330,49,59,1830
BIHAR,GARHWA,MEVAL,1896,490,0,1,2387
BIHAR,GARHWA,NAYARKTARI,431,28,0,1,460
BIHAR,GARHWA,RAMIA,1867,34,0,3,1904
BIHAR,GARHWA,RAMKANDA,177,41,0,0,218
BIHAR,GARHWA,RANKA,886,78,3,2,969
BIHAR,GAYA,AMAS,1477,25,0,0,1502
BIHAR,GAYA,ATARI,5597,618,110,66,6391
BIHAR,GAYA,BANROYBAZAR,795,1,0,0,796
BIHAR,GAYA,BARACHATTI,2955,26,0,0,2981
BIHAR,GAYA,BELAGANJ,4334,359,151,330,5174
BIHAR,GAYA,BODHGAYA,2476,227,61,9,2773
BIHAR,GAYA,DOBBI,1229,315,1,0,1545
BIHAR,GAYA,DUMARIA,2918,29,2,3,2952
BIHAR,GAYA,FETHPUR,6218,608,2,0,6828
BIHAR,GAYA,GARARU,3146,120,0,0,3266
BIHAR,GAYA,GAYA SADAR,3283,805,0,0,4088
BIHAR,GAYA,GURUA,7108,26,0,0,7134
BIHAR,GAYA,IMAMGANJ,5004,215,50,14,5283
BIHAR,GAYA,KHIZIRSORAI,5580,61,0,0,5641
BIHAR,GAYA,KONCH,5425,688,15,1,6129
BIHAR,GAYA,MANPUR,5321,388,6,0,5715
BIHAR,GAYA,MOHANPUR,3589,285,63,3,3940
BIHAR,GAYA,NIMCHAK BATHANI,5486,50,0,0,5536
BIHAR,GAYA,PARAIYA,1441,137,1,3,1582
BIHAR,GAYA,SHERGHATI,5312,237,0,0,5549
BIHAR,GAYA,TANKUPPA,1466,135,8,3,1612
BIHAR,GAYA,TEKARI,4995,433,0,0,5428
BIHAR,GAYA,WAZGANJ,4304,128,0,0,4432
BIHAR,GIRIDIH,BAGODAR,2755,1255,3,0,4013
BIHAR,GIRIDIH,BENGABAD,381,153,25,29,588
BIHAR,GIRIDIH,BIRNI,1042,83,0,0,1125
BIHAR,GIRIDIH,DEORI,1596,544,4,73,2217
BIHAR,GIRIDIH,DYMIR,632,153,9,0,794
BIHAR,GIRIDIH,GANDEY,266,172,10,3,451
BIHAR,GIRIDIH,GAWAN,990,256,3,8,1257
BIHAR,GIRIDIH,GIRIDIH,3,2,0,0,5
BIHAR,GIRIDIH,JAMYA,3090,821,54,5,3970
BIHAR,GIRIDIH,PIRTANR,812,219,11,1,1043
BIHAR,GIRIDIH,RAJ DHANWAR,820,139,2,2,963
BIHAR,GIRIDIH,TISRI,195,52,0,0,247
BIHAR,GODDA,BOARIJORE,523,245,2,46,816
BIHAR,GODDA,GODDA,1756,1094,10,5,2865
BIHAR,GODDA,MAHAGAMA,3202,1252,119,32,4605
BIHAR,GODDA,MEHARWAN,728,479,0,11,1218
BIHAR,GODDA,PATHARGAMA,3400,1273,117,56,4846
BIHAR,GODDA,PORAIYHAT,NA,NA,NA,NA,NA
BIHAR,GODDA,SUNDAR PAHARI,432,21,0,0,453
BIHAR,GODDA,THAKUR BANGTI,332,148,30,0,510
BIHAR,GOPALGANJ,BAIKUNTHPUR,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BARAULI,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BHOREY,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BIJAIPUR,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,HATHUA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KATAIYA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KUCHAIKOTE,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,MANJHA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PHULWARIYA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PUNCHDEORI,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,SIDHWALIA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,THAWE,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,UCHKAGAON,NA,NA,NA,NA,NA
BIHAR,GUMLA,BALBA,0,11,0,0,11
BIHAR,GUMLA,BANO,0,36,23,14,73
BIHAR,GUMLA,BASIA,NA,NA,NA,NA,NA
BIHAR,GUMLA,BHARNO,36,27,2,0,65
BIHAR,GUMLA,BISHUNPUR,417,207,0,0,624
BIHAR,GUMLA,CHAINPUR,1,3,0,0,4
BIHAR,GUMLA,DUMRI,3,16,0,0,19
BIHAR,GUMLA,GHAGHRA,434,17,0,0,451
BIHAR,GUMLA,GUMLA,0,0,0,0,0
BIHAR,GUMLA,JALDEGA,NA,NA,NA,NA,NA
BIHAR,GUMLA,KANIDARA,NA,NA,NA,NA,NA
BIHAR,GUMLA,KOLUBIRA,1,13,0,2,16
BIHAR,GUMLA,KURDEG,72,94,42,3,211
BIHAR,GUMLA,PALKOT,54,31,2,1,88
BIHAR,GUMLA,RAIDIH,4,2,0,0,6
BIHAR,GUMLA,SIMDEGA,4,95,75,50,224
BIHAR,GUMLA,SISAI,NA,NA,NA,NA,NA
BIHAR,GUMLA,THETHAITANGA,599,313,0,19,931
BIHAR,HAZARIBAG,BARHI,761,393,18,19,1191
BIHAR,HAZARIBAG,BARKAGAON,4,4,0,0,8
