-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.2.csv", 
 "title": "Download CSV for Districtwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.2.csv"
}
-----
State,District,Government owned,Cooperative Societies,Panchayat owned,Group of farmers,Individual farmers,Others,Total
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,1184,20,414,928,753,3,3302
UTTAR PRADESH,PAURI GARHWAL,810,17,568,1079,948,5,3427
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,300,12,1619,322,223,51,2527
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,59,1,4,1,940,1,1006
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,358,4,1624,676,690,3,3355
UTTAR PRADESH,UDHAMSINGH NAGAR,541,3,1,9,111,14,679
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,175,0,683,162,451,4,1475
UTTAR PRADESH,VARANASI,49,0,0,0,23,17,89
WEST BENGAL,BANKURA,676,11,127,11951,1388,220,14373
WEST BENGAL,BIRBHUM,321,4,159,3274,881,34,4673
WEST BENGAL,BURDWAN,329,76,104,2300,1221,22,4052
WEST BENGAL,COOCHBEHAR,0,0,2,0,206,11,219
WEST BENGAL,DAKSHIN DINAJPUR,340,6,369,2292,2493,16,5516
WEST BENGAL,DARJEELING,141,0,64,3,16,44,268
WEST BENGAL,HOOGLY,26,1,7,187,156,7,384
WEST BENGAL,HOWRAH,277,4,107,71,982,0,1441
WEST BENGAL,JALPAIGURI,105,0,141,75,88,12,421
WEST BENGAL,MALDA,4,2,175,22,550,3,756
WEST BENGAL,MIDNAPORE,916,14,400,2294,3341,139,7104
WEST BENGAL,MURSHIDABAD,158,1,61,1276,551,50,2097
WEST BENGAL,NADIA,NA,NA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,0,0,1,0,27,0,28
WEST BENGAL,PURULIA,1098,191,439,12900,2349,156,17133
WEST BENGAL,SOUTH 24 PARGANAS,1118,157,1087,651,4935,16,7964
WEST BENGAL,UTTAR DINAJPUR,0,0,0,0,25,0,25
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,9,1,0,0,1,0,11
DAMAN & DIU,,NA,NA,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,63,0,0,0,1291,0,1354
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA,NA,NA
DELHI,WEST,0,0,0,0,1,28,29
LAKSHADWEEP,,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,4,3,21,261,13367,860,14516
PONDICHERRY,MAHE,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,64,0,0,0,2719,48,2831
PONDICHERRY,YANAM,0,0,0,1,290,7,298
