-----
{
 "description": "The table refers to district wise surface flow schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.14.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.14.csv"
}
-----
State,District,Total No. of Schemes in use,No. of Schemes with no constraints,Constraints in utilisation of irrigation potential created - Non-filling of storage,Constraints in utilisation of irrigation potential created - Siltation of storage,Constraints in utilisation of irrigation potential created - Break down of channel,Constraints in utilisation of irrigation potential created - Other reason,Total - Constraints in utilisation of irrigation potential created,Grand Total
UTTAR PRADESH,CHAMOLI(GOPESHWAR),626,0,299,17,177,133,626,626
UTTAR PRADESH,DEHRADUN,502,0,44,4,186,268,502,502
UTTAR PRADESH,DEORIA,1,0,0,0,0,1,1,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,1,0,0,0,0,1,1,1
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,16,0,0,0,0,16,16,16
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,6,2,4,0,0,0,4,6
UTTAR PRADESH,GONDA,32,19,2,7,3,1,13,32
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,61,0,0,0,13,48,61,61
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,47,0,0,4,13,30,47,47
UTTAR PRADESH,KANPUR DEHAT,1,0,1,0,0,0,1,1
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,5,0,0,0,0,5,5,5
UTTAR PRADESH,KUSHI NAGAR,3,0,0,0,0,3,3,3
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,7,0,1,0,0,6,7,7
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,902,0,302,17,327,256,902,902
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,2665,0,547,55,721,1342,2665,2665
UTTAR PRADESH,PAURI GARHWAL,2184,0,67,61,424,1632,2184,2184
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,2527,0,125,37,1005,1360,2527,2527
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,964,0,135,103,104,622,964,964
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,2120,0,50,35,640,1395,2120,2120
UTTAR PRADESH,UDHAMSINGH NAGAR,671,0,50,3,34,584,671,671
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,968,0,272,20,340,336,968,968
UTTAR PRADESH,VARANASI,69,0,22,26,1,20,69,69
WEST BENGAL,BANKURA,13576,0,2604,2803,362,7807,13576,13576
WEST BENGAL,BIRBHUM,4459,0,657,626,131,3045,4459,4459
WEST BENGAL,BURDWAN,3642,0,587,559,52,2444,3642,3642
WEST BENGAL,COOCHBEHAR,69,0,0,0,0,69,69,69
WEST BENGAL,DAKSHIN DINAJPUR,5472,0,1073,1930,107,2362,5472,5472
WEST BENGAL,DARJEELING,179,0,7,0,30,142,179,179
WEST BENGAL,HOOGLY,305,0,79,42,17,167,305,305
WEST BENGAL,HOWRAH,1329,0,35,361,84,849,1329,1329
WEST BENGAL,JALPAIGURI,364,0,68,17,59,220,364,364
WEST BENGAL,MALDA,748,0,8,0,0,740,748,748
WEST BENGAL,MIDNAPORE,6083,0,768,1017,389,3909,6083,6083
WEST BENGAL,MURSHIDABAD,2039,0,281,142,81,1535,2039,2039
WEST BENGAL,NADIA,NA,NA,NA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,27,0,8,0,1,18,27,27
WEST BENGAL,PURULIA,15992,0,3627,2017,260,10088,15992,15992
WEST BENGAL,SOUTH 24 PARGANAS,7594,0,1204,520,254,5616,7594,7594
WEST BENGAL,UTTAR DINAJPUR,14,0,8,1,2,3,14,14
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,11,11,0,0,0,0,0,11
DAMAN & DIU,,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,1344,1339,0,0,0,5,5,1344
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,WEST,28,0,0,0,0,28,28,28
LAKSHADWEEP,,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,14512,11090,5,0,0,3417,3422,14512
PONDICHERRY,MAHE,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,2831,2801,0,2,14,14,30,2831
PONDICHERRY,YANAM,298,298,0,0,0,0,0,298
