-----
{
 "description": "The table refers to block wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.14.csv", 
 "title": "Download CSV for Block wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.14.csv"
}
-----
"State","District","Block","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others"
"ARUNACHAL PRADESH","EAST KAMENG","PAKKE-KESSANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","SEPPA",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","MEBO",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PANGIN-BOLENG C.D BK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PASIGHAT C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","RAMLE-BANGO CD BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAWAI-WALLONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAYULIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","NAMSAI-CHOWKHAM",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","TEZU-SUNPURA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","WAKRO",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","CHAMBANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","DAMIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","KOLORIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","NYAPIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PALIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PARSI-PARLO",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PISTANA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","RAGA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SANGRAM",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SARLI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","TALI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","YACHULI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","ZIRO-I",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","KIMIN-DOIMUKH",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","SAGALEE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","LUMLA",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","THIMBUMUKTO",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NAMSANG C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NIAUSA C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","PONGCHAU-WAKKA C.D.",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","JENGGING",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","MARIYANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","TUTING",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","YINGKIONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DAPORIJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DUMPORIJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","GIBA",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","NACHO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","TALIHA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","DIRANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","KALAKTANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","THRIZINO",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","ALONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","BASAR",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","GENSI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","KAYING-PAYUM",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","LIROMOBA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","MECHUKHA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","RUMGONG",NA,NA,NA,NA
"ASSAM","BARPETA","BAJALI",24,20,0,0
"ASSAM","BARPETA","BARPETA",11,16,0,0
"ASSAM","BARPETA","BHAWANIPUR",NA,NA,NA,NA
"ASSAM","BARPETA","CHENGA",90,97,0,5
"ASSAM","BARPETA","GOBARDHANA",NA,NA,NA,NA
"ASSAM","BARPETA","JALAH",0,0,0,0
"ASSAM","BARPETA","MANDIA",NA,NA,NA,NA
"ASSAM","BARPETA","RUPSI",NA,NA,NA,NA
"ASSAM","BONGAIGAON","BOITAMARI",132,22,0,0
"ASSAM","BONGAIGAON","BOROBAZAR",NA,NA,NA,NA
"ASSAM","BONGAIGAON","MANIKPUR",NA,NA,NA,NA
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",0,0,0,0
"ASSAM","BONGAIGAON","SRIJANGRAM",92,44,0,0
"ASSAM","CACHAR","KATIGORA",NA,NA,NA,NA
"ASSAM","CACHAR","LAKHIPUR",NA,NA,NA,NA
"ASSAM","CACHAR","NARSHINGPUR",0,0,0,0
"ASSAM","CACHAR","RAJABAZAR",NA,NA,NA,NA
"ASSAM","CACHAR","SALCHAPRA",NA,NA,NA,NA
"ASSAM","CACHAR","SONAI",5,2,0,0
"ASSAM","CACHAR","UDARBOND",NA,NA,NA,NA
"ASSAM","DARRANG","DALGAON SIALMARI",269,249,0,0
"ASSAM","DARRANG","KALAIGAON",44,44,0,0
"ASSAM","DARRANG","KHAIRABARI",NA,NA,NA,NA
"ASSAM","DARRANG","MAZBAT",0,0,0,0
"ASSAM","DARRANG","SIPAJHAR",NA,NA,NA,NA
"ASSAM","DARRANG","UDALGURI",NA,NA,NA,NA
"ASSAM","DHEMAJI","BORDOLONI",NA,NA,NA,NA
"ASSAM","DHEMAJI","DHEMAJI",335,105,0,10
"ASSAM","DHEMAJI","MURKONGSELLECK",NA,NA,NA,NA
"ASSAM","DHUBRI","AGAMONI",0,0,0,0
"ASSAM","DHUBRI","BILASIPARA",NA,NA,NA,NA
"ASSAM","DHUBRI","CHAPAR SALKOCHA",30,20,0,5
"ASSAM","DHUBRI","GAURIPUR",7,9,0,0
"ASSAM","DHUBRI","GOLOKGANJ",20,9,0,0
"ASSAM","DHUBRI","MANKACHAR",20,0,0,0
"ASSAM","DHUBRI","SOUTH SALMARA",0,0,0,0
"ASSAM","DIBRUGARH","BARBARUAH",NA,NA,NA,NA
"ASSAM","DIBRUGARH","JOYPUR",4,0,0,0
"ASSAM","DIBRUGARH","KHOWANG",14,3,0,0
"ASSAM","DIBRUGARH","LAHOWAL",18,7,0,0
"ASSAM","DIBRUGARH","PANITOLA",NA,NA,NA,NA
"ASSAM","DIBRUGARH","TENGAKHAT",20,10,0,0
"ASSAM","GOALPARA","BALIJANA",66,112,0,0
"ASSAM","GOALPARA","DUDHNOI",NA,NA,NA,NA
"ASSAM","GOALPARA","LAKHIPUR",85,55,0,0
"ASSAM","GOALPARA","MATIA",456,191,0,30
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",305,62,0,0
"ASSAM","GOLAGHAT","GOLAGHAT EAST",152,35,0,0
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",405,117,0,0
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",244,130,0,0
"ASSAM","GOLAGHAT","GOLAGHAT WEST",NA,NA,NA,NA
"ASSAM","GOLAGHAT","GOMARIGURI",NA,NA,NA,NA
"ASSAM","HAILAKANDI","HAILAKANDI",79,30,0,0
"ASSAM","HAILAKANDI","KATLICHARA",NA,NA,NA,NA
"ASSAM","HAILAKANDI","LALA",26,4,0,0
"ASSAM","JORHAT","JORHAT",165,60,0,0
"ASSAM","JORHAT","JORHAT CENTRAL",167,93,0,0
"ASSAM","JORHAT","JORHAT EAST",0,0,0,0
"ASSAM","JORHAT","MAJULI",20,20,0,0
"ASSAM","JORHAT","NORTH WEST JORHAT",94,41,0,0
"ASSAM","JORHAT","TITABOR",150,48,0,0
"ASSAM","KAMRUP","BOKO BANGAON",0,0,0,0
"ASSAM","KAMRUP","CHAMARIA",NA,NA,NA,NA
"ASSAM","KAMRUP","CHANDRAPUR",NA,NA,NA,NA
"ASSAM","KAMRUP","CHHAYGAON",0,0,0,0
"ASSAM","KAMRUP","DIMORIA",NA,NA,NA,NA
"ASSAM","KAMRUP","HAJO",149,73,0,47
"ASSAM","KAMRUP","KAMALPUR",25,14,4,4
"ASSAM","KAMRUP","KARARA",0,0,0,0
"ASSAM","KAMRUP","RAMPUR",NA,NA,NA,NA
"ASSAM","KAMRUP","RANGIA",53,40,0,0
"ASSAM","KAMRUP","RANI",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","AMRI",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","BOKAJAN",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","CHINTHONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","HOWRAGHAT",91,51,25,21
"ASSAM","KARBI ANGLONG","LUMBAJONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","NILIP",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","RANGMONGWA",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","RONGKHONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","SAMILONGSO",10,10,0,0
"ASSAM","KARBI ANGLONG","SOCHENG",NA,NA,NA,NA
"ASSAM","KARIMGANJ","BADARPUR",0,0,0,0
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",0,10,0,0
"ASSAM","KARIMGANJ","PATHARKANDI",NA,NA,NA,NA
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",NA,NA,NA,NA
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",0,31,0,0
"ASSAM","KOKRAJHAR","DOTOMA",35,20,0,0
"ASSAM","KOKRAJHAR","GOSSAIGAON",6,6,0,0
"ASSAM","KOKRAJHAR","KACHUGAON",NA,NA,NA,NA
"ASSAM","KOKRAJHAR","KOKRAJHAR",19,6,0,0
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",NA,NA,NA,NA
"ASSAM","LAKHIMPUR","BIHPURIA",177,77,0,9
"ASSAM","LAKHIMPUR","BORDALANI",5,5,0,0
"ASSAM","LAKHIMPUR","DHAKUAKHANA",45,40,0,0
"ASSAM","LAKHIMPUR","LAKHIMPUR",50,0,0,0
"ASSAM","LAKHIMPUR","NARAYANPUR",146,33,0,0
"ASSAM","LAKHIMPUR","NOWBOICHA",58,12,0,2
"ASSAM","MARIGAON","BHURBANDHA",118,84,0,0
"ASSAM","MARIGAON","KAPILI",NA,NA,NA,NA
"ASSAM","MARIGAON","LAHARIGHAT",38,25,0,0
"ASSAM","MARIGAON","MAYONG",NA,NA,NA,NA
"ASSAM","NAGAON","BATADRAVA",NA,NA,NA,NA
"ASSAM","NAGAON","JUGIJAN",NA,NA,NA,NA
"ASSAM","NAGAON","JURIA",NA,NA,NA,NA
"ASSAM","NAGAON","KALIABOR",50,32,0,0
"ASSAM","NAGAON","KAPILI",NA,NA,NA,NA
"ASSAM","NAGAON","KAPILI PT.I",NA,NA,NA,NA
"ASSAM","NAGAON","KATHIATOLI",12,42,0,0
"ASSAM","NAGAON","KHAGARIJAN",0,0,0,0
"ASSAM","NAGAON","LANKA",0,0,0,0
"ASSAM","NAGAON","LAOKHOWA",NA,NA,NA,NA
"ASSAM","NAGAON","RUPAHI",0,0,0,0
"ASSAM","NALBARI","BARIGOG BANBHAG",76,61,0,0
"ASSAM","NALBARI","BARKHETRI",131,42,0,0
"ASSAM","NALBARI","BASKA",62,13,0,2
"ASSAM","NALBARI","PASCHIM NALBARI",117,112,0,0
"ASSAM","NALBARI","PUB NALBARI",20,111,0,0
"ASSAM","NALBARI","TAMULPUR",0,0,0,0
"ASSAM","NALBARI","TIHU BARAMA",88,44,0,0
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","DIYUNGBRA",10,0,0,0
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","JATINGA VALLEY",NA,NA,NA,NA
"ASSAM","SIBSAGAR","AMGURI",22,11,0,0
"ASSAM","SIBSAGAR","DEMOW",30,5,0,0
"ASSAM","SIBSAGAR","NAZIRA",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SAPEKHATI",50,20,0,0
"ASSAM","SIBSAGAR","SIBSAGAR",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SONARI",60,25,0,0
"ASSAM","SONITPUR","BALIPARA",NA,NA,NA,NA
"ASSAM","SONITPUR","BEHALI",110,22,0,0
"ASSAM","SONITPUR","BISWANATH",NA,NA,NA,NA
"ASSAM","SONITPUR","CHAIDUAR",68,8,0,0
"ASSAM","SONITPUR","DHEKIAJULI",24,10,0,0
"ASSAM","SONITPUR","GABHORU",NA,NA,NA,NA
"ASSAM","SONITPUR","NADUAR",NA,NA,NA,NA
"ASSAM","TINSUKIA","HAPJAN",166,59,0,0
"ASSAM","TINSUKIA","KAKOPATHAR",102,10,0,0
"ASSAM","TINSUKIA","MARGHERITA",5,2,0,0
"ASSAM","TINSUKIA","SADIYA",NA,NA,NA,NA
"BIHAR","ARARIA","ARARIA",0,0,0,0
"BIHAR","ARARIA","BHARGAMA",NA,NA,NA,NA
"BIHAR","ARARIA","FORBESGANJ",50,40,0,0
"BIHAR","ARARIA","JOKIHAT",NA,NA,NA,NA
"BIHAR","ARARIA","KURSAKATTA",NA,NA,NA,NA
"BIHAR","ARARIA","NARPAIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","PALASI",NA,NA,NA,NA
"BIHAR","ARARIA","RANIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","SIKTI",NA,NA,NA,NA
"BIHAR","AURANGABAD","AURANGABAD",0,0,0,0
"BIHAR","AURANGABAD","BARUN",145,87,3,0
"BIHAR","AURANGABAD","DAUDNAGAR",NA,NA,NA,NA
"BIHAR","AURANGABAD","DEO",NA,NA,NA,NA
"BIHAR","AURANGABAD","GOH",0,0,0,0
"BIHAR","AURANGABAD","HASPURA",2,2,0,0
"BIHAR","AURANGABAD","KUTUMBA",0,0,0,0
"BIHAR","AURANGABAD","MADANPUR",0,0,0,0
"BIHAR","AURANGABAD","NABINAGAR",85,48,0,0
"BIHAR","AURANGABAD","OBRA",NA,NA,NA,NA
"BIHAR","AURANGABAD","RAFIGANJ",NA,NA,NA,NA
"BIHAR","BANKA","AMARPUR",NA,NA,NA,NA
"BIHAR","BANKA","BANKA",32,15,0,0
"BIHAR","BANKA","BARAHAT",NA,NA,NA,NA
"BIHAR","BANKA","BAUSI",NA,NA,NA,NA
"BIHAR","BANKA","BELHAR",NA,NA,NA,NA
"BIHAR","BANKA","CHANAN",NA,NA,NA,NA
"BIHAR","BANKA","DHURAIYA",7,7,0,0
"BIHAR","BANKA","KATORIA",NA,NA,NA,NA
"BIHAR","BANKA","PHULLIDUMAR",NA,NA,NA,NA
"BIHAR","BANKA","RAJAN",NA,NA,NA,NA
"BIHAR","BANKA","SAMBHUGANJ",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BACHHAWARA",50,180,10,5
"BIHAR","BEGUSARAI","BAKHARI",35,108,9,3
"BIHAR","BEGUSARAI","BALIA",0,264,0,4
"BIHAR","BEGUSARAI","BARAUNI",340,369,18,0
"BIHAR","BEGUSARAI","BEGUSARAI",363,635,20,20
"BIHAR","BEGUSARAI","BHAGAWANPUR",12,89,0,0
"BIHAR","BEGUSARAI","BIRPUR",15,37,8,0
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",222,320,3,2
"BIHAR","BEGUSARAI","CHHAURAHI",83,656,42,9
"BIHAR","BEGUSARAI","DANDARI",0,0,0,0
"BIHAR","BEGUSARAI","GARHPURA",37,129,38,16
"BIHAR","BEGUSARAI","KHUDABANDPUR",45,204,43,35
"BIHAR","BEGUSARAI","MANSURCHAK",0,0,0,0
"BIHAR","BEGUSARAI","MATIHANI",3,53,0,0
"BIHAR","BEGUSARAI","NAOKHOTHI",35,122,18,6
"BIHAR","BEGUSARAI","SAHEBPUR KAMAL",0,70,4,0
"BIHAR","BEGUSARAI","TEGHRA",94,176,10,28
"BIHAR","BHABUA","ADHAURA",NA,NA,NA,NA
"BIHAR","BHABUA","BHABUA",52,22,0,0
"BIHAR","BHABUA","BHAGWANPUR",NA,NA,NA,NA
"BIHAR","BHABUA","CHAINPUR",NA,NA,NA,NA
"BIHAR","BHABUA","CHAND",28,32,0,0
"BIHAR","BHABUA","DURGAWATI",1170,630,0,0
"BIHAR","BHABUA","KUDRA",111,69,5,3
"BIHAR","BHABUA","MOHANIA",220,133,0,25
"BIHAR","BHABUA","NUAWN",250,178,18,0
"BIHAR","BHABUA","RAMGAR",813,615,57,0
"BIHAR","BHABUA","RAMPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","BIHPUR",0,3,5,5
"BIHAR","BHAGALPUR","GAURIDIH",90,56,0,0
"BIHAR","BHAGALPUR","GOPALPUR",67,108,113,18
"BIHAR","BHAGALPUR","ISMAILPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","JAGDISHPUR",NA,NA,NA,NA
"BIHAR","BHAGALPUR","KAHALGAON",143,175,0,22
"BIHAR","BHAGALPUR","KHARIK",0,60,65,0
"BIHAR","BHAGALPUR","NARAINPUR",23,34,10,0
"BIHAR","BHAGALPUR","NATHNAGAR",596,420,20,0
"BIHAR","BHAGALPUR","NAUGACHHIA",20,83,41,20
"BIHAR","BHAGALPUR","PIRPAINTI",0,0,0,0
"BIHAR","BHAGALPUR","RANGRACHOWK",26,88,0,10
"BIHAR","BHAGALPUR","SABOUR",645,655,20,30
"BIHAR","BHAGALPUR","SHAHKUND",NA,NA,NA,NA
"BIHAR","BHAGALPUR","SONHAULLA",230,139,0,3
"BIHAR","BHAGALPUR","SULTANGANJ",245,125,0,5
"BIHAR","BHOJPUR","AGIAON",0,0,0,0
"BIHAR","BHOJPUR","ARRAHSADAR",0,0,0,0
"BIHAR","BHOJPUR","BARBARA",0,12,0,0
"BIHAR","BHOJPUR","BEHIA",325,276,7,41
"BIHAR","BHOJPUR","CHARPOKHARI",2,1,0,0
"BIHAR","BHOJPUR","GARHANI",0,0,0,0
"BIHAR","BHOJPUR","JAGDISHPUR",0,0,0,0
"BIHAR","BHOJPUR","KOILWAR",930,1620,0,0
"BIHAR","BHOJPUR","PIRO",NA,NA,NA,NA
"BIHAR","BHOJPUR","SAHAR",NA,NA,NA,NA
"BIHAR","BHOJPUR","SAHPUR",10,16,3,0
"BIHAR","BHOJPUR","SANDISH",225,132,2,0
"BIHAR","BHOJPUR","TARARI",NA,NA,NA,NA
"BIHAR","BHOJPUR","UDWABTNAGAR",329,326,40,5
"BIHAR","BOKARO","BERMO",NA,NA,NA,NA
"BIHAR","BOKARO","CHANDAN KIYOI",NA,NA,NA,NA
"BIHAR","BOKARO","CHAS",NA,NA,NA,NA
"BIHAR","BOKARO","GOMIA",NA,NA,NA,NA
"BIHAR","BOKARO","JARIDIH",NA,NA,NA,NA
"BIHAR","BOKARO","KASMAR",NA,NA,NA,NA
"BIHAR","BOKARO","NAWADIH",NA,NA,NA,NA
"BIHAR","BOKARO","PETARWAR",NA,NA,NA,NA
"BIHAR","BUXAR","BRAHAMPUR",20,0,0,0
"BIHAR","BUXAR","BUXAR",185,212,5,15
"BIHAR","BUXAR","CHANGAIN",20,12,0,0
"BIHAR","BUXAR","CHARKKI",NA,NA,NA,NA
"BIHAR","BUXAR","CHAUSA",59,30,0,0
"BIHAR","BUXAR","DUMRAIN",431,364,63,3
"BIHAR","BUXAR","ITARHI",5,4,0,0
"BIHAR","BUXAR","KESATH",NA,NA,NA,NA
"BIHAR","BUXAR","NAWANAGAR",NA,NA,NA,NA
"BIHAR","BUXAR","RAJPUR",0,0,0,0
"BIHAR","BUXAR","SIMRI",25,90,0,0
"BIHAR","CHAMPARAN EAST","ADAPUR",8,9,0,0
"BIHAR","CHAMPARAN EAST","ARERAJ",29,107,0,0
"BIHAR","CHAMPARAN EAST","BANJARIA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","CHAKIYA",266,294,6,0
"BIHAR","CHAMPARAN EAST","CHAURADANO",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","CHIRAIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","DHAKA",175,268,0,0
"BIHAR","CHAMPARAN EAST","FENHARA",42,67,0,0
"BIHAR","CHAMPARAN EAST","GHORASAHAN",124,77,15,3
"BIHAR","CHAMPARAN EAST","HARSIDHI",4,8,1,1
"BIHAR","CHAMPARAN EAST","KALYANPUR",37,52,0,0
"BIHAR","CHAMPARAN EAST","KESARIA",18,40,0,0
"BIHAR","CHAMPARAN EAST","KOTWA",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","MADHUBAN",69,57,19,15
"BIHAR","CHAMPARAN EAST","MEHSHI",48,77,13,1
"BIHAR","CHAMPARAN EAST","MOTIHARI",44,60,10,0
"BIHAR","CHAMPARAN EAST","PAHARPUR",NA,NA,NA,NA
"BIHAR","CHAMPARAN EAST","PAKARIDAYAL",56,109,0,0
"BIHAR","CHAMPARAN EAST","PATAHI",35,20,0,0
"BIHAR","CHAMPARAN EAST","PIPRAKOTHI",29,123,7,8
"BIHAR","CHAMPARAN EAST","RAMGARHWA",6,2,1,0
"BIHAR","CHAMPARAN EAST","RAXAUL",65,96,7,0
"BIHAR","CHAMPARAN EAST","SANGRAMPUR",66,98,15,3
"BIHAR","CHAMPARAN EAST","SUGAULI",85,170,0,0
"BIHAR","CHAMPARAN EAST","TETARIA",11,10,3,2
"BIHAR","CHAMPARAN EAST","TURKAULIA",0,0,0,0
"BIHAR","CHAMPARAN WEST","BAGAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BAIRIA",8,8,0,0
"BIHAR","CHAMPARAN WEST","BETTIAN",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","BHITAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","CHANPATIYA",5,7,0,0
"BIHAR","CHAMPARAN WEST","GAUNAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","LAURIYA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MADHUBANI",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MAINATANR",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","MAJHAWALIA",170,167,0,0
"BIHAR","CHAMPARAN WEST","NARKATIYAGANJ",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","NAUTAN",10,11,0,0
"BIHAR","CHAMPARAN WEST","PIPRASI",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","RAMNAGAR",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","SIDHAW",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","SIKTA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","THAKRAHA",NA,NA,NA,NA
"BIHAR","CHAMPARAN WEST","YOGAPATTI",NA,NA,NA,NA
"BIHAR","CHATRA","CHATRA",NA,NA,NA,NA
"BIHAR","CHATRA","GIDDHAUR",NA,NA,NA,NA
"BIHAR","CHATRA","HUNTERGANJ",NA,NA,NA,NA
"BIHAR","CHATRA","ITKHORI",NA,NA,NA,NA
"BIHAR","CHATRA","KUNDA",NA,NA,NA,NA
"BIHAR","CHATRA","LAVALONG",NA,NA,NA,NA
"BIHAR","CHATRA","PATTHERGARHA",NA,NA,NA,NA
"BIHAR","CHATRA","PRATAP PUR",NA,NA,NA,NA
"BIHAR","CHATRA","SEMARIA",NA,NA,NA,NA
"BIHAR","CHATRA","TANDAWA",NA,NA,NA,NA
"BIHAR","DARBHANGA","AUNAGAR",NA,NA,NA,NA
"BIHAR","DARBHANGA","BAHADURPUR",572,595,116,165
"BIHAR","DARBHANGA","BAHERI",20,37,15,0
"BIHAR","DARBHANGA","BENIPUR",0,0,0,0
"BIHAR","DARBHANGA","BIRAUL",NA,NA,NA,NA
"BIHAR","DARBHANGA","DARBHANGA",245,298,20,10
"BIHAR","DARBHANGA","GHANSHYAMPUR",NA,NA,NA,NA
"BIHAR","DARBHANGA","GORA BOURAM",NA,NA,NA,NA
"BIHAR","DARBHANGA","HAYAGHAT",5,15,0,0
"BIHAR","DARBHANGA","JALE",38,78,0,6
"BIHAR","DARBHANGA","KEOTI(RANWAY)",340,549,36,10
"BIHAR","DARBHANGA","KIRATPUR",NA,NA,NA,NA
"BIHAR","DARBHANGA","KUSHESHWAR ASTHAN-EA",NA,NA,NA,NA
"BIHAR","DARBHANGA","KVSHESHWAR ASTHAN",0,4,0,0
"BIHAR","DARBHANGA","MANIGACHHI",14,28,19,0
"BIHAR","DARBHANGA","SINGHWARA",631,1052,0,191
"BIHAR","DEOGHAR","DEOGHAR",NA,NA,NA,NA
"BIHAR","DEOGHAR","DEVIPUR",NA,NA,NA,NA
"BIHAR","DEOGHAR","KARON",NA,NA,NA,NA
"BIHAR","DEOGHAR","MADHUPUR",NA,NA,NA,NA
"BIHAR","DEOGHAR","MOHANPUR",NA,NA,NA,NA
"BIHAR","DEOGHAR","PALAJORI",NA,NA,NA,NA
"BIHAR","DEOGHAR","SARATH",NA,NA,NA,NA
"BIHAR","DEOGHAR","SARWAN",NA,NA,NA,NA
"BIHAR","DHANBAD","BAGHMARA",NA,NA,NA,NA
"BIHAR","DHANBAD","BALIAPUR",NA,NA,NA,NA
"BIHAR","DHANBAD","DHANBAD",NA,NA,NA,NA
"BIHAR","DHANBAD","GOBINDPUR",NA,NA,NA,NA
"BIHAR","DHANBAD","JHARIA",NA,NA,NA,NA
"BIHAR","DHANBAD","NIRSA",NA,NA,NA,NA
"BIHAR","DHANBAD","TOPCHACHI",NA,NA,NA,NA
"BIHAR","DHANBAD","TUNDI",NA,NA,NA,NA
"BIHAR","DUMKA","DUMKA",0,2,0,0
"BIHAR","DUMKA","GOPIKANDAR",NA,NA,NA,NA
"BIHAR","DUMKA","JAMA",NA,NA,NA,NA
"BIHAR","DUMKA","JAMTARA",NA,NA,NA,NA
"BIHAR","DUMKA","JARMUNDI",NA,NA,NA,NA
"BIHAR","DUMKA","KATHIKUND",NA,NA,NA,NA
"BIHAR","DUMKA","KUNDHIT",NA,NA,NA,NA
"BIHAR","DUMKA","MASALIA",NA,NA,NA,NA
"BIHAR","DUMKA","NALA",NA,NA,NA,NA
"BIHAR","DUMKA","NARAYANPUR",NA,NA,NA,NA
"BIHAR","DUMKA","RAMGARH",NA,NA,NA,NA
