-----
{
 "description": "This dataset contains the list of organizations working under the umbrella of Indian Council of Agricultural Research, New Delhi. The list includes the institutes and their Regional Stations, National Bureaus, National Research Centres and their Regional Stations, Directorates and their Regional ...", 
 "file_name": "List_of_ICAR_Institutes.xls", 
 "title": "Download XLS for ICAR Institutes List", 
 "url": "http://data.gov.in/sites/default/files/List_of_ICAR_Institutes.xls"
}
-----
"Name of Institute","Name of Institute (Acronym)","Address","State"
"Directorate of Groundnut Research","DGR","Ivnagar Road,P.B. No.5","Gujarat"
"Directorate of Sorghum Research","DSR","Rajendra Nagar","Andhra Pradesh"
"DSR,CRS","DSR","Regional Station,DSR(Solapur)","C/O agricultural School"
"Directorate of Soybean Research","NRCS","Khandwa Road","Madhya Pradesh"
"NRCS,RS","NRCS","Regional Station,NRCS(Warangal)","C/O Agricultural Research Station(APAU)"
"Directorate of Rapeseed-Mustard Research","DRMR","Directorate of Rapeseed-Mustard Research, Sewar,Bharatpur( Rajasthan)-321303","Rajasthan"
"Directorate of Cashew Resaerch","DCR","Indira Nagar","Karnataka"
"Directorate of Mushroom Research","DMR","DMR, Chambaghat","Himachal Pradesh"
"Directorate of Medicinal and Aromatic Plants Research","DMAPR","Boriavi","Gujarat"
"Directorate of Oil Palm Research","DOPR","Near Jawahar Navodaya Vidyalaya","Andhra Pradesh"
"National Research Centre on Oil Palm","NRCOP","Godavari","Andhra Pradesh"
"NRCOP, RS","NRCOP","Regional Station, NRCOP","Palode, Pacha P.O. 695562"
"Directorate on Onion & Garlic Research","NRCONION","Rajgurunagar","Maharashtra"
"Directorate of Weed Science Research","DWSR","Maharajpur, Adhartal","Madhya Pradesh"
"Directorate of Water Management","DWM","Chandrasekharpur,","Orissa"
"DIRECTORATE OF RESEARCH ON WOMEN IN AGRICULTURE","DRWA","OPP Kalinga Studio, Baramunda Post","Orissa"
"Directorate of Floricultural Research","DFR","Pusa","Delhi"
"Project Directorate on Foot and Mouth Disease","PDFMD","IVRI Campus, Mukteswar","Uttranchal"
"Directorate of Knowledge Management in Agriculture","DKMA","5th Floor, Krishi Anusandhan Bhawan-1, Pusa","Delhi"
"Directorate of Seed Research","DSR","Post bag no: 11, Vil-Kushmaur, Post-Kaithauli","Uttar Pradesh"
"Project Directorate on Animal Disease Monitoring and Surveillance","PDADMS","PD-ADMAS, IVRI CAMPUS, BELLARY ROAD, HEBBAL","Karnataka"
"Zonal Project Directorate - Zone-VII","ZPD-VII","Jawaharlal Nehru Krishi Viswavidyalaya, Krishi Nagar, Adhartal, Jabalpur","Madhya Pradesh"
"Zonal Project Directorate, Zone-III","ZPD-III","Zonal Project Directorate, Zone-III, ICAR Research Complex for NEH Region","Meghalaya"
"Zonal Coordinator -IV","ZC-IV","ZONAL PROJECT DIRECTORATE, ZONE-IV, ICAR, G.T. ROAD, RAWATPUR (Near Vikas Bhawan)","Uttar Pradesh"
"Zonal Coordinator -VI","ZC-VI","ZONAL COORDINATING UNIT VI, INDIAN COUNCIL OF AGRICULTURAL RESEARCH, CAZRI CAMPUS,","Rajasthan"
"Zonal Project Directorate -VIII","ZPD-VIII","ICAR, Zonal Project Directorate, MRS, HA Farm Post, Bhoopasandra Main Road, Hebbal","Karnataka"
"Zonal Project Directorate, Zone-I","ZPD-I","PAU Campus, Ludhiana","Punjab"
"Zonal Coordinator -II","ZC-II","Bhumi Vihar Complex, Salt Lake City, Sector III, Block - GB","West Bengal"
"Zonal Project Directorate, Zone-V","ZC-V","Zonal Project Directorate, Zone V, CRIDA Campus, Santoshnagar","Andhra Pradesh"
