-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.12.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.12.csv"
}
-----
State,District,Actual area irrigated (Ha) - Kharif,Actual area irrigated (Ha) - Rabi,Actual area irrigated (Ha) - Perennial,Actual area irrigated (Ha) - Others,Total
WEST BENGAL,BIRBHUM,13245,6508,334,729,20816
WEST BENGAL,BURDWAN,21542,4730,288,1327,27887
WEST BENGAL,COOCHBEHAR,26,80,0,12,118
WEST BENGAL,DAKSHIN DINAJPUR,1894,4799,112,1193,7998
WEST BENGAL,DARJEELING,2417,661,1517,468,5063
WEST BENGAL,HOOGLY,861,1342,5,933,3141
WEST BENGAL,HOWRAH,7605,9502,384,2408,19899
WEST BENGAL,JALPAIGURI,9928,2934,571,948,14381
WEST BENGAL,MALDA,1629,168,0,100,1897
WEST BENGAL,MIDNAPORE,21915,13418,700,2995,39028
WEST BENGAL,MURSHIDABAD,2700,2771,142,249,5862
WEST BENGAL,NADIA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,74,64,0,25,163
WEST BENGAL,PURULIA,48085,14232,1095,1991,65403
WEST BENGAL,SOUTH 24 PARGANAS,6553,13172,346,4618,24689
WEST BENGAL,UTTAR DINAJPUR,10,21,0,42,73
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,64,27,8,0,99
DAMAN & DIU,,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA
DELHI,EAST,NA,NA,NA,NA,NA
DELHI,NORTH-EAST,NA,NA,NA,NA,NA
DELHI,NORTH-WEST,2964,3365,3,0,6332
DELHI,SOUTH-EAST,NA,NA,NA,NA,NA
DELHI,SOUTH-WEST,NA,NA,NA,NA,NA
DELHI,WEST,40,59,0,0,99
LAKSHADWEEP,,NA,NA,NA,NA,NA
PONDICHERRY,KARAIKAL,16,7701,0,0,7717
PONDICHERRY,MAHE,NA,NA,NA,NA,NA
PONDICHERRY,PONDICHERRY,2463,421,48,0,2932
PONDICHERRY,YANAM,256,256,0,0,512
