-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.2.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.2.csv"
}
-----
-----
{
 "description": "The table refers to district wise irrigation potential utilised through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.14.csv", 
 "title": "Download CSV for District wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.14.csv"
}
-----
"State","District","Actual area irrigated (Ha) - Kharif","Actual area irrigated (Ha) - Rabi","Actual area irrigated (Ha) - Perennial","Actual area irrigated (Ha) - Others","Total"
"UTTAR PRADESH","NAINITAL",2247,2178,55,23,4503
"UTTAR PRADESH","PAURI GARHWAL",104,187,0,0,291
"UTTAR PRADESH","PILIBHIT",1145,1165,594,10,2914
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",93,327,210,8,638
"UTTAR PRADESH","RAMPUR",7250,7775,1950,2175,19150
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",6666,13488,1372,1263,22789
"UTTAR PRADESH","SHAHJAHANPUR",4572,5415,444,1375,11806
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",3242,5003,1969,576,10790
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",1614,2211,1842,147,5814
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",9647,10127,2615,462,22851
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",17224,21665,3726,2433,45048
"WEST BENGAL","BANKURA",1249,1301,192,482,3224
"WEST BENGAL","BIRBHUM",654,436,12,248,1350
"WEST BENGAL","BURDWAN",11543,6663,815,3785,22806
"WEST BENGAL","COOCHBEHAR",932,767,5,77,1781
"WEST BENGAL","DAKSHIN DINAJPUR",1800,1486,66,1055,4407
"WEST BENGAL","DARJEELING",0,0,1135,0,1135
"WEST BENGAL","HOOGLY",7123,5199,118,5086,17526
"WEST BENGAL","HOWRAH",1897,1564,19,830,4310
"WEST BENGAL","JALPAIGURI",196,537,1494,5107,7334
"WEST BENGAL","MALDA",3397,2321,150,1890,7758
"WEST BENGAL","MIDNAPORE",3522,4507,66,2796,10891
"WEST BENGAL","MURSHIDABAD",7439,6537,180,1610,15766
"WEST BENGAL","NADIA",7672,8257,491,3792,20212
"WEST BENGAL","NORTH 24 PARGANAS",3105,2600,85,2014,7804
"WEST BENGAL","PURULIA",NA,NA,NA,NA,NA
"WEST BENGAL","SOUTH 24 PARGANAS",15,202,15,107,339
"WEST BENGAL","UTTAR DINAJPUR",1451,1461,208,655,3775
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA
"DAMAN & DIU","",NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",3031,3078,7,0,6116
"DELHI","SOUTH-WEST",260,262,24,6,552
"DELHI","WEST",NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",NA,NA,NA,NA,NA
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",436,471,461,45,1413
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA
