-----
{
 "description": "The table refers to district wise distribution of dugwells by type. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.5.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.5.csv"
}
-----
"State","District","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"WEST BENGAL","COOCHBEHAR",803,6049,0,18,6870
"WEST BENGAL","DAKSHIN DINAJPUR",124,183,0,1,308
"WEST BENGAL","DARJEELING",118,5,1,0,124
"WEST BENGAL","HOOGLY",105,58,1,6,170
"WEST BENGAL","HOWRAH",4,0,0,0,4
"WEST BENGAL","JALPAIGURI",3429,287,77,3,3796
"WEST BENGAL","MALDA",1,0,0,24,25
"WEST BENGAL","MIDNAPORE",5442,9466,586,128,15622
"WEST BENGAL","MURSHIDABAD",78,0,0,3,81
"WEST BENGAL","NADIA",140,50,0,3,193
"WEST BENGAL","NORTH 24 PARGANAS",10,0,0,0,10
"WEST BENGAL","PURULIA",17055,2285,23,85,19448
"WEST BENGAL","SOUTH 24 PARGANAS",63,0,14,0,77
"WEST BENGAL","UTTAR DINAJPUR",89,1,0,0,90
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",401,6,1,5,413
"DAMAN & DIU","",NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",NA,NA,NA,NA,NA
"DELHI","SOUTH-WEST",NA,NA,NA,NA,NA
"DELHI","WEST",NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",2,0,0,0,2
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",3,9,208,0,220
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA
