-----
{
 "description": "The table refers to block wise distribution of surface flow schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.6.csv"
}
-----
State,District,Block,Schemes in use,Schemes not in use - Temporary,Schemes not in use - Abandoned (Salinity),Schemes not in use - Dried up,Schemes not in use - Destroyed,Schemess not in use - Others,Total - Schemes not in use,Grand total (Not in use + In use)
BIHAR,BEGUSARAI,CHERIA BARIARPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,CHHAURAHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,DANDARI,0,0,0,0,0,2,2,2
BIHAR,BEGUSARAI,GARHPURA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,KHUDABANDPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,MANSURCHAK,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,MATIHANI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,NAOKHOTHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BEGUSARAI,TEGHRA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHABUA,ADHAURA,222,2,0,1,4,0,7,229
BIHAR,BHABUA,BHABUA,51,1,0,0,0,0,1,52
BIHAR,BHABUA,BHAGWANPUR,35,0,0,0,0,0,0,35
BIHAR,BHABUA,CHAINPUR,23,0,0,0,0,4,4,27
BIHAR,BHABUA,CHAND,6,0,0,0,0,0,0,6
BIHAR,BHABUA,DURGAWATI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHABUA,KUDRA,3,0,0,0,0,0,0,3
BIHAR,BHABUA,MOHANIA,4,0,0,0,0,0,0,4
BIHAR,BHABUA,NUAWN,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHABUA,RAMGAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHABUA,RAMPUR,41,0,0,0,0,0,0,41
BIHAR,BHAGALPUR,BIHPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,GAURIDIH,367,0,0,3,0,0,3,370
BIHAR,BHAGALPUR,GOPALPUR,0,1,0,0,0,0,1,1
BIHAR,BHAGALPUR,ISMAILPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,JAGDISHPUR,28,6,0,2,6,1,15,43
BIHAR,BHAGALPUR,KAHALGAON,114,1,0,0,0,0,1,115
BIHAR,BHAGALPUR,KHARIK,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,NARAINPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,NATHNAGAR,4,0,0,0,0,0,0,4
BIHAR,BHAGALPUR,NAUGACHHIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,PIRPAINTI,3,0,0,0,0,0,0,3
BIHAR,BHAGALPUR,RANGRACHOWK,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHAGALPUR,SABOUR,5,0,0,0,0,0,0,5
BIHAR,BHAGALPUR,SHAHKUND,164,0,0,0,0,0,0,164
BIHAR,BHAGALPUR,SONHAULLA,132,1,0,0,0,0,1,133
BIHAR,BHAGALPUR,SULTANGANJ,14,0,0,0,0,0,0,14
BIHAR,BHOJPUR,AGIAON,67,0,1,0,0,1,2,69
BIHAR,BHOJPUR,ARRAHSADAR,1,0,0,0,0,0,0,1
BIHAR,BHOJPUR,BARBARA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHOJPUR,BEHIA,2,0,0,0,0,0,0,2
BIHAR,BHOJPUR,CHARPOKHARI,5,0,0,0,0,0,0,5
BIHAR,BHOJPUR,GARHANI,20,0,0,0,0,0,0,20
BIHAR,BHOJPUR,JAGDISHPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BHOJPUR,KOILWAR,11,0,0,2,6,0,8,19
BIHAR,BHOJPUR,PIRO,27,0,0,2,2,0,4,31
BIHAR,BHOJPUR,SAHAR,5,0,0,0,0,0,0,5
BIHAR,BHOJPUR,SAHPUR,1,1,0,0,0,0,1,2
BIHAR,BHOJPUR,SANDISH,28,1,0,1,0,0,2,30
BIHAR,BHOJPUR,TARARI,8,0,0,0,0,0,0,8
BIHAR,BHOJPUR,UDWABTNAGAR,31,0,1,0,1,0,2,33
BIHAR,BOKARO,BERMO,9,1,0,0,0,0,1,10
BIHAR,BOKARO,CHANDAN KIYOI,926,0,0,3,0,0,3,929
BIHAR,BOKARO,CHAS,920,7,0,3,1,0,11,931
BIHAR,BOKARO,GOMIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BOKARO,JARIDIH,80,5,0,0,0,0,5,85
BIHAR,BOKARO,KASMAR,123,1,0,0,0,0,1,124
BIHAR,BOKARO,NAWADIH,9,0,0,0,0,0,0,9
BIHAR,BOKARO,PETARWAR,294,0,0,0,0,0,0,294
BIHAR,BUXAR,BRAHAMPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BUXAR,BUXAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHANGAIN,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHARKKI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BUXAR,CHAUSA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BUXAR,DUMRAIN,0,0,0,0,3,0,3,3
BIHAR,BUXAR,ITARHI,8,0,0,0,0,0,0,8
BIHAR,BUXAR,KESATH,13,0,0,0,0,0,0,13
BIHAR,BUXAR,NAWANAGAR,49,35,0,1,0,0,36,85
BIHAR,BUXAR,RAJPUR,0,1,0,1,1,0,3,3
BIHAR,BUXAR,SIMRI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ADAPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,ARERAJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,BANJARIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAKIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHAURADANO,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,CHIRAIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,DHAKA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,FENHARA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,GHORASAHAN,1,0,0,0,0,0,0,1
BIHAR,CHAMPARAN EAST,HARSIDHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KALYANPUR,18,0,0,0,0,0,0,18
BIHAR,CHAMPARAN EAST,KESARIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,KOTWA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MADHUBAN,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MEHSHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,MOTIHARI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAHARPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PATAHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAMGARHWA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,RAXAUL,20,0,0,0,0,0,0,20
BIHAR,CHAMPARAN EAST,SANGRAMPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,SUGAULI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TETARIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN EAST,TURKAULIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAGAHA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BAIRIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BETTIAN,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,BHITAHA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,CHANPATIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,GAUNAHA,34,0,0,2,6,0,8,42
BIHAR,CHAMPARAN WEST,LAURIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MADHUBANI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,MAINATANR,16,0,0,0,0,0,0,16
BIHAR,CHAMPARAN WEST,MAJHAWALIA,0,0,0,2,0,0,2,2
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,NAUTAN,8,19,0,0,0,0,19,27
BIHAR,CHAMPARAN WEST,PIPRASI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,RAMNAGAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIDHAW,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,SIKTA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,THAKRAHA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHAMPARAN WEST,YOGAPATTI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,CHATRA,CHATRA,352,8,0,19,0,1,28,380
BIHAR,CHATRA,GIDDHAUR,73,0,0,0,3,0,3,76
BIHAR,CHATRA,HUNTERGANJ,573,6,0,2,2,1,11,584
BIHAR,CHATRA,ITKHORI,487,2,0,3,0,0,5,492
BIHAR,CHATRA,KUNDA,99,45,0,3,1,0,49,148
BIHAR,CHATRA,LAVALONG,75,0,0,7,0,0,7,82
BIHAR,CHATRA,PATTHERGARHA,30,0,0,0,0,0,0,30
BIHAR,CHATRA,PRATAP PUR,333,22,0,0,0,1,23,356
BIHAR,CHATRA,SEMARIA,75,0,0,2,0,0,2,77
BIHAR,CHATRA,TANDAWA,44,0,0,0,0,0,0,44
BIHAR,DARBHANGA,AUNAGAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHADURPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BAHERI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BENIPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,BIRAUL,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,DARBHANGA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,GHANSHYAMPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,GORA BOURAM,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,HAYAGHAT,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,JALE,85,0,0,0,0,0,0,85
BIHAR,DARBHANGA,KEOTI(RANWAY),NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KIRATPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,MANIGACHHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DARBHANGA,SINGHWARA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,DEOGHAR,483,16,0,4,1,12,33,516
BIHAR,DEOGHAR,DEVIPUR,389,97,0,13,5,1,116,505
BIHAR,DEOGHAR,KARON,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,MADHUPUR,156,2,0,2,0,0,4,160
BIHAR,DEOGHAR,MOHANPUR,369,34,0,21,2,1,58,427
BIHAR,DEOGHAR,PALAJORI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DEOGHAR,SARATH,336,28,0,5,0,0,33,369
BIHAR,DEOGHAR,SARWAN,409,41,0,4,2,1,48,457
BIHAR,DHANBAD,BAGHMARA,13,6,0,0,0,0,6,19
BIHAR,DHANBAD,BALIAPUR,119,8,0,0,0,0,8,127
BIHAR,DHANBAD,DHANBAD,20,0,0,0,0,3,3,23
BIHAR,DHANBAD,GOBINDPUR,44,13,0,2,0,0,15,59
BIHAR,DHANBAD,JHARIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,DHANBAD,NIRSA,229,14,0,8,0,0,22,251
BIHAR,DHANBAD,TOPCHACHI,87,0,0,6,0,0,6,93
BIHAR,DHANBAD,TUNDI,250,32,0,8,0,0,40,290
BIHAR,DUMKA,DUMKA,37,0,0,1,0,0,1,38
BIHAR,DUMKA,GOPIKANDAR,293,43,0,46,0,0,89,382
BIHAR,DUMKA,JAMA,197,20,0,8,5,0,33,230
BIHAR,DUMKA,JAMTARA,473,12,0,4,1,0,17,490
BIHAR,DUMKA,JARMUNDI,83,3,0,13,2,0,18,101
BIHAR,DUMKA,KATHIKUND,117,52,0,44,1,1,98,215
BIHAR,DUMKA,KUNDHIT,1224,332,0,109,4,1,446,1670
BIHAR,DUMKA,MASALIA,632,61,0,61,0,1,123,755
BIHAR,DUMKA,NALA,1859,154,0,118,13,1,286,2145
BIHAR,DUMKA,NARAYANPUR,444,23,0,24,6,3,56,500
BIHAR,DUMKA,RAMGARH,105,1,0,2,0,0,3,108
BIHAR,DUMKA,RANESHWAR,870,103,0,88,12,5,208,1078
BIHAR,DUMKA,SARAIYAHAT,387,2,0,11,0,0,13,400
BIHAR,DUMKA,SHIKARIPARA,684,55,0,93,1,39,188,872
BIHAR,GARHWA,BHANDARIA,80,0,0,0,0,0,0,80
BIHAR,GARHWA,BHAWNATHPUR,188,1,0,0,0,1,2,190
BIHAR,GARHWA,CHIRIA,108,0,0,2,3,0,5,113
BIHAR,GARHWA,DANDAI,115,1,0,1,0,0,2,117
BIHAR,GARHWA,DHURKI,155,5,0,1,1,0,7,162
BIHAR,GARHWA,GARHWA,603,4,0,12,0,1,17,620
BIHAR,GARHWA,KHARAUNDHI,75,0,0,0,0,0,0,75
BIHAR,GARHWA,MAJHIAURA,239,95,0,19,12,0,126,365
BIHAR,GARHWA,MEVAL,212,2,0,0,0,0,2,214
BIHAR,GARHWA,NAYARKTARI,98,0,0,1,0,0,1,99
BIHAR,GARHWA,RAMIA,251,4,0,1,1,1,7,258
BIHAR,GARHWA,RAMKANDA,70,0,0,3,0,0,3,73
BIHAR,GARHWA,RANKA,329,10,0,0,1,1,12,341
BIHAR,GAYA,AMAS,207,0,0,0,0,2,2,209
BIHAR,GAYA,ATARI,245,3,0,0,0,0,3,248
BIHAR,GAYA,BANROYBAZAR,156,0,0,0,0,0,0,156
BIHAR,GAYA,BARACHATTI,240,0,0,2,0,2,4,244
BIHAR,GAYA,BELAGANJ,311,57,0,13,0,3,73,384
BIHAR,GAYA,BODHGAYA,193,1,0,0,0,0,1,194
BIHAR,GAYA,DOBBI,181,6,0,1,2,0,9,190
BIHAR,GAYA,DUMARIA,421,5,0,6,1,3,15,436
BIHAR,GAYA,FETHPUR,726,67,0,1,0,0,68,794
BIHAR,GAYA,GARARU,256,0,0,5,1,1,7,263
BIHAR,GAYA,GAYA SADAR,175,11,0,1,0,1,13,188
BIHAR,GAYA,GURUA,518,14,0,0,1,0,15,533
BIHAR,GAYA,IMAMGANJ,737,0,0,30,0,0,30,767
BIHAR,GAYA,KHIZIRSORAI,218,39,0,9,4,0,52,270
BIHAR,GAYA,KONCH,369,20,0,29,5,0,54,423
BIHAR,GAYA,MANPUR,231,0,0,1,0,0,1,232
BIHAR,GAYA,MOHANPUR,393,0,0,0,0,0,0,393
BIHAR,GAYA,NIMCHAK BATHANI,246,0,0,0,0,0,0,246
BIHAR,GAYA,PARAIYA,176,1,0,3,0,0,4,180
BIHAR,GAYA,SHERGHATI,308,1,0,0,0,0,1,309
BIHAR,GAYA,TANKUPPA,435,0,0,4,0,0,4,439
BIHAR,GAYA,TEKARI,307,3,0,1,13,0,17,324
BIHAR,GAYA,WAZGANJ,689,26,0,0,32,6,64,753
BIHAR,GIRIDIH,BAGODAR,202,29,0,2,0,0,31,233
BIHAR,GIRIDIH,BENGABAD,212,20,0,4,1,0,25,237
BIHAR,GIRIDIH,BIRNI,175,3,0,10,1,0,14,189
BIHAR,GIRIDIH,DEORI,289,0,0,0,0,0,0,289
BIHAR,GIRIDIH,DYMIR,153,2,0,0,0,0,2,155
BIHAR,GIRIDIH,GANDEY,169,4,0,15,4,0,23,192
BIHAR,GIRIDIH,GAWAN,147,19,0,1,0,0,20,167
BIHAR,GIRIDIH,GIRIDIH,1,0,0,0,0,0,0,1
BIHAR,GIRIDIH,JAMYA,541,8,0,4,0,0,12,553
BIHAR,GIRIDIH,PIRTANR,193,37,0,3,0,0,40,233
BIHAR,GIRIDIH,RAJ DHANWAR,251,20,0,5,3,0,28,279
BIHAR,GIRIDIH,TISRI,122,18,0,3,0,0,21,143
BIHAR,GODDA,BOARIJORE,139,24,0,11,0,1,36,175
BIHAR,GODDA,GODDA,300,39,0,32,1,0,72,372
BIHAR,GODDA,MAHAGAMA,315,28,0,1,0,1,30,345
BIHAR,GODDA,MEHARWAN,146,40,0,27,15,0,82,228
BIHAR,GODDA,PATHARGAMA,356,49,0,3,9,0,61,417
BIHAR,GODDA,PORAIYHAT,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GODDA,SUNDAR PAHARI,85,0,0,0,0,0,0,85
BIHAR,GODDA,THAKUR BANGTI,31,5,0,14,2,9,30,61
BIHAR,GOPALGANJ,BAIKUNTHPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BARAULI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BHOREY,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,BIJAIPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,GOPALGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,HATHUA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KATAIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,KUCHAIKOTE,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,MANJHA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PHULWARIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,PUNCHDEORI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,SIDHWALIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,THAWE,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GOPALGANJ,UCHKAGAON,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,BALBA,27,0,0,0,0,0,0,27
BIHAR,GUMLA,BANO,3,1,0,1,1,3,6,9
BIHAR,GUMLA,BASIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,BHARNO,31,1,0,0,0,0,1,32
BIHAR,GUMLA,BISHUNPUR,32,2,0,0,0,0,2,34
BIHAR,GUMLA,CHAINPUR,52,0,0,0,0,0,0,52
BIHAR,GUMLA,DUMRI,8,0,0,0,0,0,0,8
BIHAR,GUMLA,GHAGHRA,24,5,0,0,0,0,5,29
BIHAR,GUMLA,GUMLA,0,5,0,0,0,0,5,5
BIHAR,GUMLA,JALDEGA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,KANIDARA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,KOLUBIRA,8,13,0,0,0,0,13,21
BIHAR,GUMLA,KURDEG,14,7,0,0,0,0,7,21
BIHAR,GUMLA,PALKOT,8,1,0,0,0,0,1,9
BIHAR,GUMLA,RAIDIH,5,0,0,0,0,0,0,5
BIHAR,GUMLA,SIMDEGA,9,0,0,0,0,0,0,9
BIHAR,GUMLA,SISAI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,THETHAITANGA,11,0,0,0,0,0,0,11
BIHAR,HAZARIBAG,BARHI,65,12,0,0,0,0,12,77
BIHAR,HAZARIBAG,BARKAGAON,4,0,0,0,0,0,0,4
BIHAR,HAZARIBAG,BARKATTHA,1,0,0,0,0,0,0,1
BIHAR,HAZARIBAG,BISHNUGARH,6,0,0,0,0,0,0,6
BIHAR,HAZARIBAG,CHAUPARAN,227,1,0,1,1,0,3,230
BIHAR,HAZARIBAG,CHURCHU,6,6,0,0,0,0,6,12
BIHAR,HAZARIBAG,GOLA,10,0,0,0,0,0,0,10
BIHAR,HAZARIBAG,HAZARIBAGH,45,4,0,0,0,0,4,49
BIHAR,HAZARIBAG,ICHAK,3,0,0,0,0,0,0,3
BIHAR,HAZARIBAG,KATKAMSANDI,5,0,0,0,0,0,0,5
BIHAR,HAZARIBAG,KEREDARI,16,0,0,1,0,0,1,17
BIHAR,HAZARIBAG,MANDY,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,HAZARIBAG,PADMA,37,0,0,0,14,0,14,51
BIHAR,HAZARIBAG,PATRATU,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,HAZARIBAG,RAMGARH,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,JAMUI,ALIGANJ,174,8,0,4,0,0,12,186
BIHAR,JAMUI,BARHAT,30,0,0,6,0,0,6,36
BIHAR,JAMUI,CHAKAI,350,5,0,2,0,2,9,359
BIHAR,JAMUI,GIDHOUR,28,0,0,33,1,1,35,63
BIHAR,JAMUI,JAMUI,341,1,0,0,0,0,1,342
BIHAR,JAMUI,JHAJHA,53,54,0,5,0,0,59,112
BIHAR,JAMUI,KHAIRA,65,3,0,3,0,0,6,71
BIHAR,JAMUI,LAKSHMIPUR,101,9,0,20,0,0,29,130
BIHAR,JAMUI,SIKANDRA,252,0,0,20,0,0,20,272
BIHAR,JAMUI,SONO,363,21,0,4,1,0,26,389
BIHAR,JEHANABAD,ARWAL,33,11,0,0,0,0,11,44
BIHAR,JEHANABAD,BANSI SURUJPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,JEHANABAD,GHOSI,39,24,0,0,0,0,24,63
BIHAR,JEHANABAD,JEHANABAD,82,27,0,0,0,0,27,109
BIHAR,JEHANABAD,KAKU,9,4,0,0,0,0,4,13
BIHAR,JEHANABAD,KALEV,28,5,0,4,0,0,9,37
BIHAR,JEHANABAD,KARPI,46,1,0,0,0,0,1,47
BIHAR,JEHANABAD,KURTHA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,JEHANABAD,MAKHDOMPUR,194,15,0,0,1,0,16,210
BIHAR,JEHANABAD,RATNI FARIDPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,AMDABAET,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,AZAMNAGAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BALRAMPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BANPUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BARARI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,BARSOI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,DANDKHORA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,FALKA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,HASANGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KADWA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KATIHAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KORHA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,KURSELA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,MANIHARI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,MANSHAHI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KATIHAR,SAMELI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,ALAULI,0,0,0,2,0,0,2,2
BIHAR,KHAGARIA,BELDAUR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,CHAUTHAM,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,GOGRI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,KHAGARIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,MANSI,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,PARBATTA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,BAHADURGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,DHIGHATBANK,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,KISHANGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,KOCHADHAMIN,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,POTHIA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,TERHAGACHH,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KISHANGANJ,THAKURGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,CHANDWA,45,5,0,8,0,0,13,58
BIHAR,KODARMA,JAINAGAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,KODARAMA,61,0,0,1,0,2,3,64
BIHAR,KODARMA,MARKACHO,125,10,0,0,0,0,10,135
BIHAR,KODARMA,SATGAWAN,54,1,0,0,0,1,2,56
BIHAR,LAKHISARAI,BARAHIYA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,LAKHISARAI,HALSI,11,0,0,0,15,2,17,28
BIHAR,LAKHISARAI,LOKHISARAI,29,2,0,61,23,12,98,127
BIHAR,LAKHISARAI,PIPARIA,4,0,0,0,0,0,0,4
BIHAR,LAKHISARAI,SURAJGARA,108,0,0,0,0,0,0,108
BIHAR,LOHARDAGA,BHANDRA,61,0,0,0,0,0,0,61
BIHAR,LOHARDAGA,KISKO,67,0,0,0,0,0,0,67
BIHAR,LOHARDAGA,KURU,2,0,0,0,0,0,0,2
