-----
{
 "description": "The table refers to block wise distribution of dugwells by type. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.5.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.5.csv"
}
-----
"State","District","Block","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"ANDHRA PRADESH","RANGA REDDY","BALANAGAR",70,13,0,0,83
"ANDHRA PRADESH","RANGA REDDY","BANTARAM",512,125,86,0,723
"ANDHRA PRADESH","RANGA REDDY","BASHEERABAD",296,54,24,0,374
"ANDHRA PRADESH","RANGA REDDY","CHEVELLA",1226,262,23,0,1511
"ANDHRA PRADESH","RANGA REDDY","DHARUR",216,448,9,51,724
"ANDHRA PRADESH","RANGA REDDY","DOMA",133,693,86,12,924
"ANDHRA PRADESH","RANGA REDDY","GANDEED",159,1447,262,95,1963
"ANDHRA PRADESH","RANGA REDDY","GHATKESAR",223,409,22,0,654
"ANDHRA PRADESH","RANGA REDDY","HAYATHNAGAR",117,1101,80,1,1299
"ANDHRA PRADESH","RANGA REDDY","IBRAHIMPATNAM",144,1604,148,7,1903
"ANDHRA PRADESH","RANGA REDDY","KANDUKUR",358,491,197,1,1047
"ANDHRA PRADESH","RANGA REDDY","KEESARA",64,271,196,0,531
"ANDHRA PRADESH","RANGA REDDY","KULKACHARLA",480,1121,74,48,1723
"ANDHRA PRADESH","RANGA REDDY","MAHESWARAM",357,403,473,1,1234
"ANDHRA PRADESH","RANGA REDDY","MALKAJGIRI",28,258,52,0,338
"ANDHRA PRADESH","RANGA REDDY","MANCHAL",126,1093,3,0,1222
"ANDHRA PRADESH","RANGA REDDY","MARPALLE",396,749,0,6,1151
"ANDHRA PRADESH","RANGA REDDY","MEDCHAL",17,661,15,4,697
"ANDHRA PRADESH","RANGA REDDY","MOINABAD",1007,352,113,3,1475
"ANDHRA PRADESH","RANGA REDDY","MOMINPET",389,734,42,0,1165
"ANDHRA PRADESH","RANGA REDDY","NAWABPET",384,530,6,7,927
"ANDHRA PRADESH","RANGA REDDY","PARGI",113,823,53,2,991
"ANDHRA PRADESH","RANGA REDDY","PEDDEMUL",243,510,3,3,759
"ANDHRA PRADESH","RANGA REDDY","PUDUR",226,861,0,1,1088
"ANDHRA PRADESH","RANGA REDDY","QUTHBULLAPUR",40,239,5,0,284
"ANDHRA PRADESH","RANGA REDDY","RAJENDRANAGAR",126,496,34,1,657
"ANDHRA PRADESH","RANGA REDDY","SAROORNAGAR",30,713,0,14,757
"ANDHRA PRADESH","RANGA REDDY","SERILINGAMPALLE",55,111,26,0,192
"ANDHRA PRADESH","RANGA REDDY","SHABAD",214,384,37,2,637
"ANDHRA PRADESH","RANGA REDDY","SHAMIRPET",421,643,154,12,1230
"ANDHRA PRADESH","RANGA REDDY","SHAMSHABAD",339,231,404,0,974
"ANDHRA PRADESH","RANGA REDDY","SHANKARPALLE",52,772,206,0,1030
"ANDHRA PRADESH","RANGA REDDY","TANDUR",347,44,16,9,416
"ANDHRA PRADESH","RANGA REDDY","UPPAL",34,43,0,0,77
"ANDHRA PRADESH","RANGA REDDY","VICARABAD",610,663,17,0,1290
"ANDHRA PRADESH","RANGA REDDY","YACHARAM",353,1332,37,5,1727
"ANDHRA PRADESH","RANGA REDDY","YELAL",387,211,136,24,758
"ANDHRA PRADESH","SRIKAKULUM","AMADALAVALASA",106,138,1,0,245
"ANDHRA PRADESH","SRIKAKULUM","BHAMINI",105,31,0,0,136
"ANDHRA PRADESH","SRIKAKULUM","BURJA",341,63,0,3,407
"ANDHRA PRADESH","SRIKAKULUM","ETCHERLA",695,356,3,2,1056
"ANDHRA PRADESH","SRIKAKULUM","GANGUVARISIGADM",1843,724,45,8,2620
"ANDHRA PRADESH","SRIKAKULUM","GARA",406,64,1,0,471
"ANDHRA PRADESH","SRIKAKULUM","HIRAMANDALAM",315,13,5,2,335
"ANDHRA PRADESH","SRIKAKULUM","ICHCHAPURAM",188,15,0,0,203
"ANDHRA PRADESH","SRIKAKULUM","JALUMURU",171,666,1,0,838
"ANDHRA PRADESH","SRIKAKULUM","KANCHILI",256,76,1,0,333
"ANDHRA PRADESH","SRIKAKULUM","KAVITI",10,0,0,0,10
"ANDHRA PRADESH","SRIKAKULUM","KOTABOMMALI",3618,1260,10,2,4890
"ANDHRA PRADESH","SRIKAKULUM","KOTTURU",141,7,13,0,161
"ANDHRA PRADESH","SRIKAKULUM","LAVERU",1992,832,29,24,2877
"ANDHRA PRADESH","SRIKAKULUM","MANDASA",302,1,0,2,305
"ANDHRA PRADESH","SRIKAKULUM","MELIAPUTTI",613,62,4,0,679
"ANDHRA PRADESH","SRIKAKULUM","NANDIGAM",1404,120,1,2,1527
"ANDHRA PRADESH","SRIKAKULUM","NARASANNAPETA",119,7,0,0,126
"ANDHRA PRADESH","SRIKAKULUM","PALAKONDA",183,34,1,0,218
"ANDHRA PRADESH","SRIKAKULUM","PALASA",623,137,3,2,765
"ANDHRA PRADESH","SRIKAKULUM","PATHPATNAM",838,15,3,0,856
"ANDHRA PRADESH","SRIKAKULUM","POLAKI",699,53,1,1,754
"ANDHRA PRADESH","SRIKAKULUM","PONDURU",1989,496,5,0,2490
"ANDHRA PRADESH","SRIKAKULUM","RAJAM",1276,534,11,5,1826
"ANDHRA PRADESH","SRIKAKULUM","RANASTALAM",2736,687,17,6,3446
"ANDHRA PRADESH","SRIKAKULUM","REGIDI AMADALAVALASA",989,186,79,5,1259
"ANDHRA PRADESH","SRIKAKULUM","SANTHABOMMALI",843,160,0,0,1003
"ANDHRA PRADESH","SRIKAKULUM","SANTHAKAVATI",574,228,2,22,826
"ANDHRA PRADESH","SRIKAKULUM","SARAVAKOTA",1624,54,10,6,1694
"ANDHRA PRADESH","SRIKAKULUM","SARUBUJJILI",271,40,1,0,312
"ANDHRA PRADESH","SRIKAKULUM","SEETHAMPETA",169,1,0,0,170
"ANDHRA PRADESH","SRIKAKULUM","SOMPETA",167,44,2,0,213
"ANDHRA PRADESH","SRIKAKULUM","SRIKAKULAM",457,20,0,0,477
"ANDHRA PRADESH","SRIKAKULUM","TEKKALI",864,8,20,0,892
"ANDHRA PRADESH","SRIKAKULUM","VAJRAPUKOTTURU",56,17,1,0,74
"ANDHRA PRADESH","SRIKAKULUM","VANGARA",281,22,51,12,366
"ANDHRA PRADESH","SRIKAKULUM","VEERAGHATTAM",188,8,17,6,219
"ANDHRA PRADESH","VIJAYA NAGARAM","0ACHIPENTA",50,0,0,0,50
"ANDHRA PRADESH","VIJAYA NAGARAM","BADANGI",383,607,1,0,991
"ANDHRA PRADESH","VIJAYA NAGARAM","BALIJIPETA",279,162,1,0,442
"ANDHRA PRADESH","VIJAYA NAGARAM","BHOGHAPURAM",1879,233,41,0,2153
"ANDHRA PRADESH","VIJAYA NAGARAM","BOBBILI",971,383,1,73,1428
"ANDHRA PRADESH","VIJAYA NAGARAM","BONDAPALLE",614,63,2,0,679
"ANDHRA PRADESH","VIJAYA NAGARAM","CHEEPURUPALLE",2274,271,18,2,2565
"ANDHRA PRADESH","VIJAYA NAGARAM","DATTIRAJERU",871,1256,19,1,2147
"ANDHRA PRADESH","VIJAYA NAGARAM","DENKADA",1340,142,63,0,1545
"ANDHRA PRADESH","VIJAYA NAGARAM","GAJAPATHINAGARAM",822,69,0,54,945
"ANDHRA PRADESH","VIJAYA NAGARAM","GANTYADA",635,182,0,2,819
"ANDHRA PRADESH","VIJAYA NAGARAM","GARIVIDI",2175,490,24,3,2692
"ANDHRA PRADESH","VIJAYA NAGARAM","GARUGUBILLI",606,51,2,0,659
"ANDHRA PRADESH","VIJAYA NAGARAM","GUMMALAKSHMIPURAM",83,4,0,0,87
"ANDHRA PRADESH","VIJAYA NAGARAM","GURLA",1956,116,83,0,2155
"ANDHRA PRADESH","VIJAYA NAGARAM","JAMI",552,15,36,0,603
"ANDHRA PRADESH","VIJAYA NAGARAM","JIYYAMMAVALASA",44,6,0,0,50
"ANDHRA PRADESH","VIJAYA NAGARAM","KOMARADA",301,5,5,0,311
"ANDHRA PRADESH","VIJAYA NAGARAM","KOTHAVALASA",1069,132,36,0,1237
"ANDHRA PRADESH","VIJAYA NAGARAM","KURUPAM",63,0,1,0,64
"ANDHRA PRADESH","VIJAYA NAGARAM","LAKKAVARAPUKOTA",548,70,5,14,637
"ANDHRA PRADESH","VIJAYA NAGARAM","MAKKUVA",272,38,0,1,311
"ANDHRA PRADESH","VIJAYA NAGARAM","MENTADA",482,55,2,0,539
"ANDHRA PRADESH","VIJAYA NAGARAM","MERAKAMUDIDAM",932,455,45,0,1432
"ANDHRA PRADESH","VIJAYA NAGARAM","NELLIMARLA",2066,190,14,1,2271
"ANDHRA PRADESH","VIJAYA NAGARAM","PARVATHIPURAM",723,116,1,0,840
"ANDHRA PRADESH","VIJAYA NAGARAM","PUSAPATIREGA",2382,587,27,3,2999
"ANDHRA PRADESH","VIJAYA NAGARAM","RAMABHADRAPURAM",489,290,17,0,796
"ANDHRA PRADESH","VIJAYA NAGARAM","SALUR",118,105,1,0,224
"ANDHRA PRADESH","VIJAYA NAGARAM","SEETHANAGARAM",386,56,55,17,514
"ANDHRA PRADESH","VIJAYA NAGARAM","SRUNGAVARAPUKOTA",293,11,3,0,307
"ANDHRA PRADESH","VIJAYA NAGARAM","THERLAM",1035,135,7,1,1178
"ANDHRA PRADESH","VIJAYA NAGARAM","VEPADA",507,62,9,1,579
"ANDHRA PRADESH","VIJAYA NAGARAM","VIZIANAGARAM",865,32,6,0,903
"ANDHRA PRADESH","VISAKHAPATNAM","ANAKAPALLE",1296,367,16,5,1684
"ANDHRA PRADESH","VISAKHAPATNAM","ANANDAPURAM",1383,901,3,0,2287
"ANDHRA PRADESH","VISAKHAPATNAM","ANANTHAGIRI",23,0,0,0,23
"ANDHRA PRADESH","VISAKHAPATNAM","ARAKU VALLEY",54,7,3,0,64
"ANDHRA PRADESH","VISAKHAPATNAM","ATCHUTAPURAM",1024,55,40,2,1121
"ANDHRA PRADESH","VISAKHAPATNAM","BHEEMUNIPATNAM",1808,133,3,1,1945
"ANDHRA PRADESH","VISAKHAPATNAM","BUTCHAYYAPETA",533,237,39,47,856
"ANDHRA PRADESH","VISAKHAPATNAM","CHEEDIKADA",156,180,0,0,336
"ANDHRA PRADESH","VISAKHAPATNAM","CHINTAPALLE",0,10,0,0,10
"ANDHRA PRADESH","VISAKHAPATNAM","CHODAVARAM",311,219,0,0,530
"ANDHRA PRADESH","VISAKHAPATNAM","DEVARAPALLE",98,36,2,0,136
"ANDHRA PRADESH","VISAKHAPATNAM","DUMBRIGUDA",86,1,0,0,87
"ANDHRA PRADESH","VISAKHAPATNAM","G.MADUGULA",38,0,0,1,39
"ANDHRA PRADESH","VISAKHAPATNAM","GAJUWAKA",256,2,0,0,258
"ANDHRA PRADESH","VISAKHAPATNAM","GOLUGONDA",76,123,3,0,202
"ANDHRA PRADESH","VISAKHAPATNAM","GUDEM KOTHA VEEDHI",0,7,0,0,7
"ANDHRA PRADESH","VISAKHAPATNAM","HUKUMPETA",43,4,0,0,47
"ANDHRA PRADESH","VISAKHAPATNAM","K.KOTAPADU",1507,83,2,0,1592
"ANDHRA PRADESH","VISAKHAPATNAM","KASIMKOTA",732,434,11,23,1200
"ANDHRA PRADESH","VISAKHAPATNAM","KOTAURATLA",748,53,4,1,806
"ANDHRA PRADESH","VISAKHAPATNAM","KOYYURU",0,34,0,0,34
"ANDHRA PRADESH","VISAKHAPATNAM","MADUGULA",47,6,153,6,212
"ANDHRA PRADESH","VISAKHAPATNAM","MAKAVARAPALEM",380,602,16,1,999
"ANDHRA PRADESH","VISAKHAPATNAM","MUNAGAPAKA",291,193,5,0,489
"ANDHRA PRADESH","VISAKHAPATNAM","MUNCHINGI PUTTU",6,0,0,0,6
"ANDHRA PRADESH","VISAKHAPATNAM","NAKKAPALLE",614,515,5,0,1134
"ANDHRA PRADESH","VISAKHAPATNAM","NARSIPATNAM",263,148,8,2,421
"ANDHRA PRADESH","VISAKHAPATNAM","NATHAVARAM",170,8,3,0,181
"ANDHRA PRADESH","VISAKHAPATNAM","PADERU",0,33,0,0,33
"ANDHRA PRADESH","VISAKHAPATNAM","PADMANABHAM",1469,35,11,0,1515
"ANDHRA PRADESH","VISAKHAPATNAM","PARAVADA",548,240,3,2,793
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",276,52,31,6,365
"ANDHRA PRADESH","VISAKHAPATNAM","PEDA BAYALU",16,0,0,0,16
"ANDHRA PRADESH","VISAKHAPATNAM","PEDAGANTYADA",13,0,0,0,13
"ANDHRA PRADESH","VISAKHAPATNAM","PENDURTHI",901,0,9,0,910
"ANDHRA PRADESH","VISAKHAPATNAM","RAMBILLI",727,5,0,0,732
"ANDHRA PRADESH","VISAKHAPATNAM","RAVIKAMATHAM",181,537,2,0,720
"ANDHRA PRADESH","VISAKHAPATNAM","ROLUGUNTA",199,256,9,4,468
"ANDHRA PRADESH","VISAKHAPATNAM","S.RAYAVARAM",312,119,9,0,440
"ANDHRA PRADESH","VISAKHAPATNAM","SABBAVARAM",1800,72,9,0,1881
"ANDHRA PRADESH","VISAKHAPATNAM","VISAKHAPATNAM RURAL",178,1,1,0,180
"ANDHRA PRADESH","VISAKHAPATNAM","VISAKHAPATNAM URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","YELAMANCHILI",573,240,11,47,871
"ANDHRA PRADESH","WARANGAL","ATMAKUR",476,3253,9,9,3747
"ANDHRA PRADESH","WARANGAL","BACHANNAPETA",415,1680,880,3,2978
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",425,1143,1,4,1573
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",401,3890,9,16,4316
"ANDHRA PRADESH","WARANGAL","CHERIYAL",877,2478,524,8,3887
"ANDHRA PRADESH","WARANGAL","CHITYAL",774,4148,21,4,4947
"ANDHRA PRADESH","WARANGAL","DEVARUPPULA",818,1462,593,3,2876
"ANDHRA PRADESH","WARANGAL","DHARMASAGAR",575,4539,30,6,5150
"ANDHRA PRADESH","WARANGAL","DORNAKAL",124,2356,5,14,2499
"ANDHRA PRADESH","WARANGAL","DUGGONDI",512,3402,13,6,3933
"ANDHRA PRADESH","WARANGAL","ETURNAGARAM",27,0,0,0,27
"ANDHRA PRADESH","WARANGAL","GEESUGONDA",533,2672,230,18,3453
"ANDHRA PRADESH","WARANGAL","GHANAPUR (MULAG)",520,312,69,0,901
"ANDHRA PRADESH","WARANGAL","GHANPUR(STATION)",2128,4714,250,18,7110
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",56,43,3,0,102
"ANDHRA PRADESH","WARANGAL","GUDUR",257,2408,0,8,2673
"ANDHRA PRADESH","WARANGAL","HANAMKONDA",2412,1799,37,29,4277
"ANDHRA PRADESH","WARANGAL","HASANPARTHY",422,2634,15,9,3080
"ANDHRA PRADESH","WARANGAL","JANGAON",494,1794,515,18,2821
"ANDHRA PRADESH","WARANGAL","KESAMUDRAM",280,4619,10,127,5036
"ANDHRA PRADESH","WARANGAL","KHANAPUR",116,574,2,0,692
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",246,2383,260,10,2899
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",82,135,1,3,221
"ANDHRA PRADESH","WARANGAL","KURAVI",98,4151,11,63,4323
"ANDHRA PRADESH","WARANGAL","LINGALAGHANPUR",842,1366,521,44,2773
"ANDHRA PRADESH","WARANGAL","MADDUR",588,1983,425,6,3002
"ANDHRA PRADESH","WARANGAL","MAHABUBABAD",1375,2207,1,4,3587
"ANDHRA PRADESH","WARANGAL","MANGAPET",8,0,0,0,8
"ANDHRA PRADESH","WARANGAL","MARIPEDA",869,3849,5,76,4799
"ANDHRA PRADESH","WARANGAL","MOGULLAPALLE",317,3618,4,21,3960
"ANDHRA PRADESH","WARANGAL","MULUG",539,907,31,1,1478
"ANDHRA PRADESH","WARANGAL","NALLA BELLI",546,1521,8,1,2076
"ANDHRA PRADESH","WARANGAL","NALLIKUDUR",459,2645,52,17,3173
"ANDHRA PRADESH","WARANGAL","NARASAMPET",261,2020,50,10,2341
"ANDHRA PRADESH","WARANGAL","NARMETTA",415,2787,52,20,3274
"ANDHRA PRADESH","WARANGAL","NARSIMHULAPET",1977,1310,228,2,3517
"ANDHRA PRADESH","WARANGAL","NEKKONDA",178,3166,41,4,3389
"ANDHRA PRADESH","WARANGAL","PALAKURTHI",1871,1042,1068,348,4329
"ANDHRA PRADESH","WARANGAL","PARKAL",364,5009,11,81,5465
"ANDHRA PRADESH","WARANGAL","RAGHUNATHPALLE",1364,2132,261,4,3761
"ANDHRA PRADESH","WARANGAL","RAIPARTHY",160,2443,1065,16,3684
"ANDHRA PRADESH","WARANGAL","RARVATHAGIRI",193,3046,83,56,3378
"ANDHRA PRADESH","WARANGAL","REGONDA",1131,2725,113,15,3984
"ANDHRA PRADESH","WARANGAL","SANGAM",383,3637,21,11,4052
"ANDHRA PRADESH","WARANGAL","SHAYAMPET",501,2232,7,4,2744
"ANDHRA PRADESH","WARANGAL","TADVAI",122,17,2,15,156
"ANDHRA PRADESH","WARANGAL","THORRUR",516,3130,416,8,4070
"ANDHRA PRADESH","WARANGAL","VENKATAPUR",493,164,3,10,670
"ANDHRA PRADESH","WARANGAL","WARDHANNA PET",1020,3877,346,216,5459
"ANDHRA PRADESH","WARANGAL","ZAFFARGADH",1660,1831,367,52,3910
"ANDHRA PRADESH","WEST GODAVARI","ACHANTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","AKIVEEDU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","ATTILI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","BHEEMAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE",4,0,314,0,318
"ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM",0,0,18,0,18
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","CHINTALAPUDI",574,1,101,0,676
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",130,0,748,0,878
"ANDHRA PRADESH","WEST GODAVARI","DEVARAPALLE",485,52,411,2,950
"ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA",235,3,734,0,972
"ANDHRA PRADESH","WEST GODAVARI","ELURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM",315,26,598,18,957
"ANDHRA PRADESH","WEST GODAVARI","IRAGAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM",1020,6,368,1,1395
"ANDHRA PRADESH","WEST GODAVARI","JEELUGU MILLI",1,0,3,0,4
"ANDHRA PRADESH","WEST GODAVARI","KALLA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA",14,0,1263,0,1277
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",117,0,0,0,117
"ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM",380,8,529,1,918
"ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM",605,239,975,46,1865
"ANDHRA PRADESH","WEST GODAVARI","MOGALTHUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA",38,0,176,0,214
"ANDHRA PRADESH","WEST GODAVARI","NARASAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NIDAMARRU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PALACOLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PALAKODERU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI",2027,45,674,0,2746
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PENUGONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PENUMANTRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PODURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",26,0,11,0,37
"ANDHRA PRADESH","WEST GODAVARI","T.NARASAPURAM",1741,32,157,7,1937
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","TANUKU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",26,0,0,0,26
"ANDHRA PRADESH","WEST GODAVARI","UNDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","UNDRAJAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","UNGUTURU",0,16,0,1,17
"ANDHRA PRADESH","WEST GODAVARI","VEERAVASARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","YELAMANCHILI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","BORDUMSA-DIYUM",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","KAAGAM-MIAO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","NAMPONG-MANMAO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","ANINI, ETALIN",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","HUNLI, KRONLI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","ROING-DAMBUK",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","BAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","CHYANG TAJO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","PAKKE-KESSANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","SEPPA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","MEBO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PANGIN-BOLENG C.D BK",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PASIGHAT C.D BLOCK",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","RAMLE-BANGO CD BLOCK",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAWAI-WALLONG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAYULIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","NAMSAI-CHOWKHAM",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","TEZU-SUNPURA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","WAKRO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","CHAMBANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","DAMIN",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","KOLORIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","NYAPIN",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PALIN",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PARSI-PARLO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PISTANA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","RAGA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SANGRAM",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SARLI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","TALI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","YACHULI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","ZIRO-I",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","KIMIN-DOIMUKH",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","SAGALEE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","LUMLA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","THIMBUMUKTO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NAMSANG C.D BLOCK",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NIAUSA C.D BLOCK",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","PONGCHAU-WAKKA C.D.",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","JENGGING",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","MARIYANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","TUTING",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","YINGKIONG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DAPORIJO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DUMPORIJO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","GIBA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","NACHO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","TALIHA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","DIRANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","KALAKTANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","THRIZINO",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","ALONG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","BASAR",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","GENSI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","KAYING-PAYUM",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","LIROMOBA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","MECHUKHA",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","RUMGONG",NA,NA,NA,NA,NA
"ASSAM","BARPETA","BAJALI",NA,NA,NA,NA,NA
"ASSAM","BARPETA","BARPETA",NA,NA,NA,NA,NA
"ASSAM","BARPETA","BHAWANIPUR",NA,NA,NA,NA,NA
"ASSAM","BARPETA","CHENGA",NA,NA,NA,NA,NA
