-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.15.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.15.csv"
}
-----
"State","District","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"WEST BENGAL","DARJEELING",0,0,0,0,0
"WEST BENGAL","HOOGLY",162,27,2,46,237
"WEST BENGAL","HOWRAH",4,0,0,0,4
"WEST BENGAL","JALPAIGURI",20,48,8,161,237
"WEST BENGAL","MALDA",0,0,0,0,0
"WEST BENGAL","MIDNAPORE",60,93,0,4,157
"WEST BENGAL","MURSHIDABAD",0,0,0,8,8
"WEST BENGAL","NADIA",29,0,0,0,29
"WEST BENGAL","NORTH 24 PARGANAS",20,26,0,4,50
"WEST BENGAL","PURULIA",NA,NA,NA,NA,NA
"WEST BENGAL","SOUTH 24 PARGANAS",0,0,0,0,0
"WEST BENGAL","UTTAR DINAJPUR",0,0,0,0,0
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA
"DAMAN & DIU","",NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",0,0,0,0,0
"DELHI","SOUTH-WEST",0,0,0,0,0
"DELHI","WEST",NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",NA,NA,NA,NA,NA
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",0,0,0,0,0
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA
