-----
{
 "description": "It provides department wise details of Schemes for Development of Scheduled Tribes.", 
 "file_name": "stat21a.xls", 
 "title": "Download XLS for Schemes for Development of Scheduled Tribes(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat21a.xls"
}
-----
"","","SCHEDULED CASTES SUB PLAN/TRIBAL SUB PLAN","","",""
4.0,"State Science & Technology Programme",0.93,5.0,1.31,0.0
5.0,"Technology for Bamboo Products (Mission Mode Project)",5.0,0.0,0.0,0.0
6.0,"Super Computing Facility & Capacity",0.0,0.0,0.0,2.25
7.0,"National Geographic Information System",0.0,0.0,0.0,5.25
8.0,"Science & Engineering Research Board",15.0,7.93,7.93,7.93
9.0,"Innovations in Science Pursuit for Inspired Research (INSPIRE)",3.75,0.0,0.0,0.0
10.0,"Disha Programme for Women in Science",0.0,1.0,0.0,0.0
11.0,"Alliance and R&D Mission",0.0,17.0,5.0,17.0
12.0,"Autonomous Institutions & Professional Bodies ",0.0,12.0,1.0,12.0
"","Sub Total",27.55,61.93,21.86,69.43
"","Demand No. 89","","","",""
"","Ministry of Social Justice & Empowerment","","","",""
1.0,"Deen Dayal Disabled Rehabilitation Scheme",0.0,0.0,0.0,18.0
2.0,"Assistance to Disabled Persons for Aids Appliances",0.0,0.0,0.0,14.0
3.0,"Implementation of Persons to Disability Act 1995",0.0,0.0,0.0,9.0
4.0,"National Handicapped Finance Development Corporation",0.0,0.0,0.0,0.5
5.0,"Rajeev Gandhi National Fellowship for PWDs",0.0,0.0,0.0,1.5
6.0,"Post Matric Scholarship Scheme with Disabilities",0.0,0.0,0.0,3.0
"","Sub Total",0.0,0.0,0.0,46.0
"","Demand No. 93","","","",""
"","Ministry of Textiles","","","",""
"","Central Sector Scheme","","","",""
"","Handloom Sector","","","",""
1.0,"Diversified Handloom Development Scheme",0.0,0.2,0.2,0.0
2.0,"Mill Gate Price Scheme",1.63,6.1,6.1,1.5
3.0,"Handloom Weavers Comprehensive Welfare Scheme",1.5,2.0,2.0,2.0
4.0,"Comprehensive Handloom Development Scheme",0.0,0.0,0.0,2.64
5.0,"Infrastructure and Technology Development Scheme",0.0,0.0,0.0,0.5
6.0,"Scheme for In-situ Upgradation of Plain Pwerloom",0.0,0.0,0.0,0.5
7.0,"Integrated Processing Powerloom Development Scheme",0.0,0.0,0.0,1.0
"","Handicraft Sector","","","",""
8.0,"Ambedkar Hastshilp Vikas Yojana",0.54,0.5,0.5,0.13
9.0,"Design & Technology Upgradation",0.1,0.5,0.5,0.9
10.0,"Marketing Support, Service & Export Promotion",0.18,0.4,0.4,0.9
11.0,"Research & Development Including TRAs",0.09,0.3,0.3,0.5
12.0,"Human Resource Development Scheme",0.1,0.3,0.3,0.5
"","Wool Sector","","","",""
13.0,"Integrated Wool Improvement & Development",1.2,1.0,1.0,1.0
14.0,"Mega Clusters",0.41,0.96,0.96,1.0
15.0,"Technology Upgrdation Fund Scheme",0.0,22.55,22.55,19.0
16.0,"Jute Technology Mission",0.0,1.28,1.28,0.0
17.0,"Human Resource Development",1.13,3.0,3.0,5.0
18.0,"Technical Textiles including Jute",0.0,0.5,0.5,0.8
"","Centrally Sponsored Scheme (Handloom)","","","",""
19.0,"Integerated Handloom Development Scheme",3.74,4.0,4.0,0.0
20.0,"Revival, Reform & Restructuring Scheme",2.4,36.45,7.2,4.0
21.0,"Group workshed Scheme",0.0,0.0,0.0,0.1
22.0,"Integrated Scheme for Powerloom Sector",0.0,0.0,0.0,0.1
23.0,"Scheme for Integrated Textiles Park",0.0,0.0,0.0,4.5
" ","Sericulture ","","","",""
24.0,"Catalytic Development Programme",4.8,3.96,3.96,9.0
"","Sub Total",17.82,84.0,54.75,55.57
"","Demand No. 94","","","",""
"","Ministry of Tourism","","","",""
1.0,"Product / Infrastructure Development for Destination and Circuits",28.0,30.25,23.75,32.05
"","Sub Total",28.0,30.25,23.75,32.05
"","Demand No. 95","","","",""
"","Ministry of Tribal Affairs","","","",""
"","Central Sector Schemes ","","","",""
1.0,"Grant-in-aid to NGOs for STs including Coaching & Allied Scheme ","","","",""
"","and Award for Exemplary Service",55.98,60.0,23.75,44.0
2.0,"Vocational Training in Tribal Areas",7.8,9.0,3.87,8.0
3.0,"Strengthening of Education among ST Girls in low Districts",31.24,40.0,14.61,40.0
4.0,"Market Development of Tribal Products/Produces",22.0,22.0,47.24,34.31
5.0,"Grant-in-Aid to State Tribal Development Cooperative Corporation ","","","",""
"","for Minor Forest Produce",20.0,20.0,13.0,20.0
6.0,"Development of Particularly Vulnerable Tribal Groups (PTG)",231.3,244.0,174.5,240.0
7.0,"Support to National/State Scheduled Tribes Finance & Development ","","","",""
"","Corporations",70.0,70.0,68.1,70.0
8.0,"Rajiv Gandhi National Fellowship for ST Students",84.93,90.0,45.0,90.0
9.0,"Scheme of Institute of Excellence/Top Class Institute",6.97,13.0,10.11,13.0
10.0,"National Overseas Scholarship Scheme",0.78,1.0,1.0,1.0
"","Centrally Sponsored Schemes ","","","",""
11.0,"Scheme of Pre Matric Scholarships, Book Bank and Upgradation of ","","","",""
"","Merit of ST Students",867.47,750.0,628.84,625.0
12.0,"Scheme of Hostels for ST Girls & Boys",78.0,78.0,68.0,105.8
13.0,"Establishment of Ashram Schools in Tribal Sub-Plan Area",75.0,75.0,61.0,75.0
14.0,"Research Information & Mass Education, Tribal Festivals and Others",10.23,15.0,10.41,17.5
15.0,"Pre-Matric Scholarship for ST Students",0.0,86.0,106.73,202.19
16.0,"Lumpsum Provision for Schemes for the North Eastern Region and Sikkim",0.0,0.0,151.3,176.2
17.0,"Scheme under Tribal Sub-Plan",977.33,1200.0,852.54,1200.0
18.0,"Scheme under proviso to Article 275 (1) of the Constitution",1084.83,1317.0,820.0,1317.0
"","Sub Total",3623.86,4090.0,3100.0,4279.0
"","Demand No. 96","","","",""
"","Andaman and Nicobar Islands",3.04,2.94,2.94,2.94
"","Demand No. 99","","","",""
"","Daman & Diu",1.46,1.0,1.0,1.0
"","Demand No. 104","","","",""
"","Ministry of Water Resources","","","",""
1.0,"Information, Education and Communication",0.27,0.0,0.0,0.0
2.0,"Ground Water Management and Regulation",8.92,14.5,14.5,14.5
3.0,"Human Resource Development/Capacity Building",0.0,5.0,3.0,5.0
"","Sub Total",9.19,19.5,17.5,19.5
"","Demand No. 105","","","",""
"","Ministry of Women and Child Development","","","",""
1.0,"Integrated Child Development Service (ICDS)",931.77,1517.0,1517.0,1668.7
"","Sub Total",931.77,1517.0,1517.0,1668.7
"","Demand No. 106","","","",""
"","Ministry of Youth Affairs and Sports","","","",""
1.0,"Nehru Yuva Kendra Sangathan",9.19,8.94,9.06,8.94
2.0,"National Service Scheme",4.54,6.82,6.64,6.5
3.0,"Rajiv Gandhi National Institute of Youth Development",0.9,1.64,1.64,1.64
4.0,"National Youth Corps",2.52,5.31,4.5,4.31
5.0,"National Programme for Youth and Adolescent Development ",0.08,1.89,1.89,1.89
6.0,"Sports Authority of India",20.0,25.0,20.0,31.0
7.0,"Laxmibai National Institute of Physical Education",2.0,3.0,2.0,3.0
8.0,"Assistance for Promotion of Sports Excellance",15.0,9.5,9.5,14.0
9.0,"Urban Sports Infrastructure",1.0,3.5,2.0,4.0
10.0,"Panchayat Yuva Kendra Aur Khel Abhiyan",12.0,20.0,16.0,15.0
"","Sub Total",67.23,85.6,73.23,90.28
"","Grand Total ",17453.61,21710.11,18721.33,24598.39
"","","","","",""
"Note : For scheme details and other information, the concerned Detailed Demands for Grants, the Annual Reports and the Outcome Budgets of the Ministries/Departments may be referred to.","","","","",""
