-----
{
 "description": "The table refers to block wise culturable command area and potential created through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.13.csv", 
 "title": "Download CSV for Block wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.13.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.8.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.8.csv"
}
-----
"State","District","Block","Submersible pumps","Turbine pumps","Others","Total"
"ANDHRA PRADESH","VISAKHAPATNAM","NATHAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","PADERU",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","PADMANABHAM",3,0,0,3
"ANDHRA PRADESH","VISAKHAPATNAM","PARAVADA",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","PEDA BAYALU",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","PEDAGANTYADA",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","PENDURTHI",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","RAMBILLI",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","RAVIKAMATHAM",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","ROLUGUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","S.RAYAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","SABBAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","VISAKHAPATNAM RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","VISAKHAPATNAM URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM","YELAMANCHILI",6,0,0,6
"ANDHRA PRADESH","WARANGAL","ATMAKUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","BACHANNAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","CHERIYAL",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","CHITYAL",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","DEVARUPPULA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","DHARMASAGAR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","DORNAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","DUGGONDI",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","ETURNAGARAM",10,0,0,10
"ANDHRA PRADESH","WARANGAL","GEESUGONDA",41,0,0,41
"ANDHRA PRADESH","WARANGAL","GHANAPUR (MULAG)",80,1,0,81
"ANDHRA PRADESH","WARANGAL","GHANPUR(STATION)",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",11,0,0,11
"ANDHRA PRADESH","WARANGAL","GUDUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","HANAMKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","HASANPARTHY",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","JANGAON",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","KESAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","KHANAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","KURAVI",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","LINGALAGHANPUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","MADDUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","MAHABUBABAD",2,0,0,2
"ANDHRA PRADESH","WARANGAL","MANGAPET",23,0,0,23
"ANDHRA PRADESH","WARANGAL","MARIPEDA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","MOGULLAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","MULUG",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","NALLA BELLI",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","NALLIKUDUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","NARASAMPET",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","NARMETTA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","NARSIMHULAPET",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","NEKKONDA",4,0,0,4
"ANDHRA PRADESH","WARANGAL","PALAKURTHI",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","PARKAL",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","RAGHUNATHPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","RAIPARTHY",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","RARVATHAGIRI",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","REGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","SANGAM",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","SHAYAMPET",3,0,0,3
"ANDHRA PRADESH","WARANGAL","TADVAI",22,0,0,22
"ANDHRA PRADESH","WARANGAL","THORRUR",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","VENKATAPUR",16,0,0,16
"ANDHRA PRADESH","WARANGAL","WARDHANNA PET",NA,NA,NA,NA
"ANDHRA PRADESH","WARANGAL","ZAFFARGADH",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","ACHANTA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","AKIVEEDU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","ATTILI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","BHEEMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","BHIMADOLE",15,0,0,15
"ANDHRA PRADESH","WEST GODAVARI","BUTTAYAGUDEM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",313,0,0,313
"ANDHRA PRADESH","WEST GODAVARI","CHINTALAPUDI",760,4,0,764
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",491,0,0,491
"ANDHRA PRADESH","WEST GODAVARI","DEVARAPALLE",367,3,0,370
"ANDHRA PRADESH","WEST GODAVARI","DWARAKATIRUMALA",1316,0,0,1316
"ANDHRA PRADESH","WEST GODAVARI","ELURU",105,0,0,105
"ANDHRA PRADESH","WEST GODAVARI","GANAPAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","GOPALAPURAM",55,3,0,58
"ANDHRA PRADESH","WEST GODAVARI","IRAGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","JANGAREDDIGUDEM",229,0,0,229
"ANDHRA PRADESH","WEST GODAVARI","JEELUGU MILLI",49,7,0,56
"ANDHRA PRADESH","WEST GODAVARI","KALLA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","KAMAVARAPUKOTA",704,0,0,704
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",12,0,0,12
"ANDHRA PRADESH","WEST GODAVARI","KOYYALAGUDEM",304,0,0,304
"ANDHRA PRADESH","WEST GODAVARI","LINGAPALEM",367,0,13,380
"ANDHRA PRADESH","WEST GODAVARI","MOGALTHUR",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NALLAJERLA",1370,2,0,1372
"ANDHRA PRADESH","WEST GODAVARI","NARASAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",844,7,0,851
"ANDHRA PRADESH","WEST GODAVARI","NIDAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PALACOLE",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PALAKODERU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",360,0,0,360
"ANDHRA PRADESH","WEST GODAVARI","PEDAVEGI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",10,0,0,10
"ANDHRA PRADESH","WEST GODAVARI","PENUGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PENUMANTRA",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","PODURU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",1,0,0,1
"ANDHRA PRADESH","WEST GODAVARI","T.NARASAPURAM",88,1,0,89
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",1888,0,0,1888
"ANDHRA PRADESH","WEST GODAVARI","TANUKU",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",8,0,0,8
"ANDHRA PRADESH","WEST GODAVARI","UNDI",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","UNDRAJAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","UNGUTURU",988,0,0,988
"ANDHRA PRADESH","WEST GODAVARI","VEERAVASARAM",NA,NA,NA,NA
"ANDHRA PRADESH","WEST GODAVARI","YELAMANCHILI",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","BORDUMSA-DIYUM",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","CHANGLANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","KAAGAM-MIAO",NA,NA,NA,NA
"ARUNACHAL PRADESH","CHANGLANG","NAMPONG-MANMAO",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","ANINI, ETALIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","HUNLI, KRONLI",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY","ROING-DAMBUK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","BAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","CHYANG TAJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","PAKKE-KESSANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG","SEPPA",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","MEBO",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PANGIN-BOLENG C.D BK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","PASIGHAT C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG","RAMLE-BANGO CD BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAWAI-WALLONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","HAYULIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","NAMSAI-CHOWKHAM",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","TEZU-SUNPURA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT","WAKRO",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","CHAMBANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","DAMIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","KOLORIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","NYAPIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PALIN",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PARSI-PARLO",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","PISTANA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","RAGA",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SANGRAM",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","SARLI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","TALI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","YACHULI",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI","ZIRO-I",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","KIMIN-DOIMUKH",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE","SAGALEE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","LUMLA",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG","THIMBUMUKTO",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NAMSANG C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","NIAUSA C.D BLOCK",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP","PONGCHAU-WAKKA C.D.",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","JENGGING",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","MARIYANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","TUTING",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG","YINGKIONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DAPORIJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","DUMPORIJO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","GIBA",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","NACHO",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI","TALIHA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","DIRANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","KALAKTANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG","THRIZINO",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","ALONG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","BASAR",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","GENSI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","KAYING-PAYUM",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","LIROMOBA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","MECHUKHA",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG","RUMGONG",NA,NA,NA,NA
"ASSAM","BARPETA","BAJALI",0,2,0,2
"ASSAM","BARPETA","BARPETA",2,0,0,2
"ASSAM","BARPETA","BHAWANIPUR",NA,NA,NA,NA
"ASSAM","BARPETA","CHENGA",5,0,0,5
"ASSAM","BARPETA","GOBARDHANA",NA,NA,NA,NA
"ASSAM","BARPETA","JALAH",2,0,0,2
"ASSAM","BARPETA","MANDIA",NA,NA,NA,NA
"ASSAM","BARPETA","RUPSI",NA,NA,NA,NA
"ASSAM","BONGAIGAON","BOITAMARI",8,1,0,9
"ASSAM","BONGAIGAON","BOROBAZAR",NA,NA,NA,NA
"ASSAM","BONGAIGAON","MANIKPUR",NA,NA,NA,NA
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",14,0,0,14
"ASSAM","BONGAIGAON","SRIJANGRAM",5,0,0,5
"ASSAM","CACHAR","KATIGORA",NA,NA,NA,NA
"ASSAM","CACHAR","LAKHIPUR",NA,NA,NA,NA
"ASSAM","CACHAR","NARSHINGPUR",0,0,1,1
"ASSAM","CACHAR","RAJABAZAR",NA,NA,NA,NA
"ASSAM","CACHAR","SALCHAPRA",NA,NA,NA,NA
"ASSAM","CACHAR","SONAI",0,0,4,4
"ASSAM","CACHAR","UDARBOND",NA,NA,NA,NA
"ASSAM","DARRANG","DALGAON SIALMARI",22,0,0,22
"ASSAM","DARRANG","KALAIGAON",11,0,0,11
"ASSAM","DARRANG","KHAIRABARI",NA,NA,NA,NA
"ASSAM","DARRANG","MAZBAT",1,0,0,1
"ASSAM","DARRANG","SIPAJHAR",NA,NA,NA,NA
"ASSAM","DARRANG","UDALGURI",NA,NA,NA,NA
"ASSAM","DHEMAJI","BORDOLONI",NA,NA,NA,NA
"ASSAM","DHEMAJI","DHEMAJI",14,1,0,15
"ASSAM","DHEMAJI","MURKONGSELLECK",NA,NA,NA,NA
"ASSAM","DHUBRI","AGAMONI",4,0,0,4
"ASSAM","DHUBRI","BILASIPARA",NA,NA,NA,NA
"ASSAM","DHUBRI","CHAPAR SALKOCHA",1,1,0,2
"ASSAM","DHUBRI","GAURIPUR",2,1,0,3
"ASSAM","DHUBRI","GOLOKGANJ",6,0,0,6
"ASSAM","DHUBRI","MANKACHAR",4,0,0,4
"ASSAM","DHUBRI","SOUTH SALMARA",1,0,0,1
"ASSAM","DIBRUGARH","BARBARUAH",NA,NA,NA,NA
"ASSAM","DIBRUGARH","JOYPUR",1,0,0,1
"ASSAM","DIBRUGARH","KHOWANG",3,0,0,3
"ASSAM","DIBRUGARH","LAHOWAL",5,4,0,9
"ASSAM","DIBRUGARH","PANITOLA",NA,NA,NA,NA
"ASSAM","DIBRUGARH","TENGAKHAT",2,0,0,2
"ASSAM","GOALPARA","BALIJANA",10,0,0,10
"ASSAM","GOALPARA","DUDHNOI",NA,NA,NA,NA
"ASSAM","GOALPARA","LAKHIPUR",4,1,0,5
"ASSAM","GOALPARA","MATIA",20,1,0,21
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",24,0,0,24
"ASSAM","GOLAGHAT","GOLAGHAT EAST",8,0,0,8
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",23,1,0,24
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",15,1,2,18
"ASSAM","GOLAGHAT","GOLAGHAT WEST",NA,NA,NA,NA
"ASSAM","GOLAGHAT","GOMARIGURI",NA,NA,NA,NA
"ASSAM","HAILAKANDI","HAILAKANDI",6,0,0,6
"ASSAM","HAILAKANDI","KATLICHARA",NA,NA,NA,NA
"ASSAM","HAILAKANDI","LALA",2,0,0,2
"ASSAM","JORHAT","JORHAT",5,1,1,7
"ASSAM","JORHAT","JORHAT CENTRAL",15,13,3,31
"ASSAM","JORHAT","JORHAT EAST",1,9,0,10
"ASSAM","JORHAT","MAJULI",2,0,0,2
"ASSAM","JORHAT","NORTH WEST JORHAT",4,4,0,8
"ASSAM","JORHAT","TITABOR",5,0,0,5
"ASSAM","KAMRUP","BOKO BANGAON",5,0,0,5
"ASSAM","KAMRUP","CHAMARIA",NA,NA,NA,NA
"ASSAM","KAMRUP","CHANDRAPUR",NA,NA,NA,NA
"ASSAM","KAMRUP","CHHAYGAON",2,0,0,2
"ASSAM","KAMRUP","DIMORIA",NA,NA,NA,NA
"ASSAM","KAMRUP","HAJO",18,0,0,18
"ASSAM","KAMRUP","KAMALPUR",9,4,0,13
"ASSAM","KAMRUP","KARARA",0,1,0,1
"ASSAM","KAMRUP","RAMPUR",NA,NA,NA,NA
"ASSAM","KAMRUP","RANGIA",10,0,0,10
"ASSAM","KAMRUP","RANI",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","AMRI",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","BOKAJAN",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","CHINTHONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","HOWRAGHAT",4,1,0,5
"ASSAM","KARBI ANGLONG","LUMBAJONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","NILIP",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","RANGMONGWA",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","RONGKHONG",NA,NA,NA,NA
"ASSAM","KARBI ANGLONG","SAMILONGSO",3,0,0,3
"ASSAM","KARBI ANGLONG","SOCHENG",NA,NA,NA,NA
"ASSAM","KARIMGANJ","BADARPUR",1,0,0,1
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",1,0,0,1
"ASSAM","KARIMGANJ","PATHARKANDI",NA,NA,NA,NA
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",NA,NA,NA,NA
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",3,0,0,3
"ASSAM","KOKRAJHAR","DOTOMA",1,0,0,1
"ASSAM","KOKRAJHAR","GOSSAIGAON",3,0,0,3
"ASSAM","KOKRAJHAR","KACHUGAON",NA,NA,NA,NA
"ASSAM","KOKRAJHAR","KOKRAJHAR",1,1,0,2
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",NA,NA,NA,NA
"ASSAM","LAKHIMPUR","BIHPURIA",18,0,0,18
"ASSAM","LAKHIMPUR","BORDALANI",1,0,0,1
"ASSAM","LAKHIMPUR","DHAKUAKHANA",0,1,0,1
"ASSAM","LAKHIMPUR","LAKHIMPUR",0,1,0,1
"ASSAM","LAKHIMPUR","NARAYANPUR",18,4,2,24
"ASSAM","LAKHIMPUR","NOWBOICHA",9,1,0,10
"ASSAM","MARIGAON","BHURBANDHA",5,0,0,5
"ASSAM","MARIGAON","KAPILI",NA,NA,NA,NA
"ASSAM","MARIGAON","LAHARIGHAT",3,0,0,3
"ASSAM","MARIGAON","MAYONG",NA,NA,NA,NA
"ASSAM","NAGAON","BATADRAVA",NA,NA,NA,NA
"ASSAM","NAGAON","JUGIJAN",NA,NA,NA,NA
"ASSAM","NAGAON","JURIA",NA,NA,NA,NA
"ASSAM","NAGAON","KALIABOR",1,0,0,1
"ASSAM","NAGAON","KAPILI",NA,NA,NA,NA
"ASSAM","NAGAON","KAPILI PT.I",NA,NA,NA,NA
"ASSAM","NAGAON","KATHIATOLI",7,0,0,7
"ASSAM","NAGAON","KHAGARIJAN",8,0,0,8
"ASSAM","NAGAON","LANKA",2,0,0,2
"ASSAM","NAGAON","LAOKHOWA",NA,NA,NA,NA
"ASSAM","NAGAON","RUPAHI",6,0,0,6
"ASSAM","NALBARI","BARIGOG BANBHAG",1,1,11,13
"ASSAM","NALBARI","BARKHETRI",0,0,12,12
"ASSAM","NALBARI","BASKA",4,0,1,5
"ASSAM","NALBARI","PASCHIM NALBARI",0,0,15,15
"ASSAM","NALBARI","PUB NALBARI",18,0,1,19
"ASSAM","NALBARI","TAMULPUR",2,0,0,2
"ASSAM","NALBARI","TIHU BARAMA",3,0,0,3
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","DIYUNGBRA",0,0,2,2
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS","JATINGA VALLEY",NA,NA,NA,NA
"ASSAM","SIBSAGAR","AMGURI",4,0,0,4
"ASSAM","SIBSAGAR","DEMOW",1,0,0,1
"ASSAM","SIBSAGAR","NAZIRA",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SAPEKHATI",3,0,0,3
"ASSAM","SIBSAGAR","SIBSAGAR",NA,NA,NA,NA
"ASSAM","SIBSAGAR","SONARI",2,0,0,2
"ASSAM","SONITPUR","BALIPARA",NA,NA,NA,NA
"ASSAM","SONITPUR","BEHALI",3,0,0,3
"ASSAM","SONITPUR","BISWANATH",NA,NA,NA,NA
"ASSAM","SONITPUR","CHAIDUAR",0,1,1,2
"ASSAM","SONITPUR","DHEKIAJULI",5,1,0,6
"ASSAM","SONITPUR","GABHORU",NA,NA,NA,NA
"ASSAM","SONITPUR","NADUAR",NA,NA,NA,NA
"ASSAM","TINSUKIA","HAPJAN",11,1,0,12
"ASSAM","TINSUKIA","KAKOPATHAR",15,0,0,15
"ASSAM","TINSUKIA","MARGHERITA",6,3,0,9
"ASSAM","TINSUKIA","SADIYA",NA,NA,NA,NA
"BIHAR","ARARIA","ARARIA",6,0,0,6
"BIHAR","ARARIA","BHARGAMA",NA,NA,NA,NA
"BIHAR","ARARIA","FORBESGANJ",9,0,0,9
"BIHAR","ARARIA","JOKIHAT",NA,NA,NA,NA
"BIHAR","ARARIA","KURSAKATTA",NA,NA,NA,NA
"BIHAR","ARARIA","NARPAIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","PALASI",NA,NA,NA,NA
"BIHAR","ARARIA","RANIGANJ",NA,NA,NA,NA
"BIHAR","ARARIA","SIKTI",NA,NA,NA,NA
"BIHAR","AURANGABAD","AURANGABAD",3,0,0,3
"BIHAR","AURANGABAD","BARUN",12,1,0,13
"BIHAR","AURANGABAD","DAUDNAGAR",NA,NA,NA,NA
"BIHAR","AURANGABAD","DEO",NA,NA,NA,NA
"BIHAR","AURANGABAD","GOH",8,0,0,8
"BIHAR","AURANGABAD","HASPURA",4,0,0,4
"BIHAR","AURANGABAD","KUTUMBA",0,3,0,3
"BIHAR","AURANGABAD","MADANPUR",13,0,0,13
"BIHAR","AURANGABAD","NABINAGAR",29,11,0,40
"BIHAR","AURANGABAD","OBRA",NA,NA,NA,NA
"BIHAR","AURANGABAD","RAFIGANJ",NA,NA,NA,NA
"BIHAR","BANKA","AMARPUR",NA,NA,NA,NA
"BIHAR","BANKA","BANKA",1,0,0,1
"BIHAR","BANKA","BARAHAT",NA,NA,NA,NA
"BIHAR","BANKA","BAUSI",NA,NA,NA,NA
"BIHAR","BANKA","BELHAR",NA,NA,NA,NA
"BIHAR","BANKA","CHANAN",NA,NA,NA,NA
"BIHAR","BANKA","DHURAIYA",1,1,0,2
"BIHAR","BANKA","KATORIA",NA,NA,NA,NA
"BIHAR","BANKA","PHULLIDUMAR",NA,NA,NA,NA
"BIHAR","BANKA","RAJAN",NA,NA,NA,NA
"BIHAR","BANKA","SAMBHUGANJ",NA,NA,NA,NA
"BIHAR","BEGUSARAI","BACHHAWARA",10,0,0,10
"BIHAR","BEGUSARAI","BAKHARI",8,0,1,9
"BIHAR","BEGUSARAI","BALIA",7,0,3,10
"BIHAR","BEGUSARAI","BARAUNI",14,5,0,19
"BIHAR","BEGUSARAI","BEGUSARAI",30,25,0,55
"BIHAR","BEGUSARAI","BHAGAWANPUR",12,0,0,12
"BIHAR","BEGUSARAI","BIRPUR",3,4,0,7
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",11,6,0,17
"BIHAR","BEGUSARAI","CHHAURAHI",16,14,0,30
"BIHAR","BEGUSARAI","DANDARI",2,0,10,12
"BIHAR","BEGUSARAI","GARHPURA",11,5,0,16
"BIHAR","BEGUSARAI","KHUDABANDPUR",10,0,0,10
"BIHAR","BEGUSARAI","MANSURCHAK",3,0,0,3
"BIHAR","BEGUSARAI","MATIHANI",8,4,0,12
"BIHAR","BEGUSARAI","NAOKHOTHI",11,3,0,14
