-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells to Average Pumping Hours during peak season. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.11.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.11.csv"
}
-----
"State","District","Average pumping hours (0-4)","Average pumping hours (4-8)","Average pumping hours (8-12)","Average pumping hours (12-16)","Average pumping hours (16-20)","Average pumping hours (20-24)","Total"
"UTTAR PRADESH","FATEHPUR",4,154,110,1,2,2,273
"UTTAR PRADESH","FIROZABAD",15,19,71,3,0,0,108
"UTTAR PRADESH","GHAZIABAD",2,241,0,0,0,0,243
"UTTAR PRADESH","GHAZIPUR",1,42,141,72,66,27,349
"UTTAR PRADESH","GONDA",97,140,116,23,8,4,388
"UTTAR PRADESH","GORAKHPUR",21,181,367,23,1,0,593
"UTTAR PRADESH","HAMIRPUR",12,27,69,43,9,0,160
"UTTAR PRADESH","HARDOI",21,23,7,3,0,0,54
"UTTAR PRADESH","HARDWAR",3,2,6,0,0,0,11
"UTTAR PRADESH","JALAUN",16,165,120,92,43,0,436
"UTTAR PRADESH","JAUNPUR",3,61,52,8,1,0,125
"UTTAR PRADESH","JHANSI",0,2,0,0,0,0,2
"UTTAR PRADESH","KANPUR DEHAT",13,239,200,74,22,1,549
"UTTAR PRADESH","KANPUR NAGAR",0,0,8,0,0,0,8
"UTTAR PRADESH","KHIRI",8,114,45,6,2,0,175
"UTTAR PRADESH","KUSHI NAGAR",7,27,4,2,2,0,42
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",3,9,11,9,1,0,33
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",1,31,15,0,0,0,47
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",32,93,94,5,1,0,225
"UTTAR PRADESH","MIRZAPUR",16,117,90,5,2,4,234
"UTTAR PRADESH","MORADABAD",0,21,23,0,24,0,68
"UTTAR PRADESH","MUZAFFER NAGAR",11,226,33,0,0,0,270
"UTTAR PRADESH","NAINITAL",2,1,11,24,39,0,77
"UTTAR PRADESH","PAURI GARHWAL",0,0,0,2,0,0,2
"UTTAR PRADESH","PILIBHIT",0,28,3,1,0,0,32
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",0,5,5,3,1,0,14
"UTTAR PRADESH","RAMPUR",0,165,30,0,0,0,195
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",6,132,279,20,0,0,437
"UTTAR PRADESH","SHAHJAHANPUR",15,51,26,5,0,0,97
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",28,68,10,1,3,3,113
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",8,48,30,5,0,0,91
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",6,135,102,65,31,1,340
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",17,240,274,117,25,5,678
"WEST BENGAL","BANKURA",5,55,40,2,1,0,103
"WEST BENGAL","BIRBHUM",0,34,38,4,6,0,82
"WEST BENGAL","BURDWAN",31,120,211,115,35,0,512
"WEST BENGAL","COOCHBEHAR",3,32,38,0,0,0,73
"WEST BENGAL","DAKSHIN DINAJPUR",2,3,57,24,14,0,100
"WEST BENGAL","DARJEELING",2,12,6,0,0,0,20
"WEST BENGAL","HOOGLY",6,69,151,114,91,0,431
"WEST BENGAL","HOWRAH",4,39,82,10,12,0,147
"WEST BENGAL","JALPAIGURI",1,32,63,11,6,1,114
"WEST BENGAL","MALDA",11,71,95,82,12,0,271
"WEST BENGAL","MIDNAPORE",3,40,260,88,49,1,441
"WEST BENGAL","MURSHIDABAD",3,45,389,48,60,0,545
"WEST BENGAL","NADIA",15,81,456,153,8,0,713
"WEST BENGAL","NORTH 24 PARGANAS",8,83,126,52,12,1,282
"WEST BENGAL","PURULIA",NA,NA,NA,NA,NA,NA,NA
"WEST BENGAL","SOUTH 24 PARGANAS",0,2,16,12,1,0,31
"WEST BENGAL","UTTAR DINAJPUR",0,7,143,24,0,0,174
"ANDAMAN & NICOBARS","ANDAMAN",NA,NA,NA,NA,NA,NA,NA
"ANDAMAN & NICOBARS","NICOBARS",NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH","",NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",NA,NA,NA,NA,NA,NA,NA
"DAMAN & DIU","",NA,NA,NA,NA,NA,NA,NA
"DELHI","CENTRAL-DELHI",NA,NA,NA,NA,NA,NA,NA
"DELHI","EAST",NA,NA,NA,NA,NA,NA,NA
"DELHI","NORTH-EAST",NA,NA,NA,NA,NA,NA,NA
"DELHI","NORTH-WEST",NA,NA,NA,NA,NA,NA,NA
"DELHI","SOUTH-EAST",37,204,111,17,2,0,371
"DELHI","SOUTH-WEST",71,209,38,2,0,0,320
"DELHI","WEST",NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP","",NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","KARAIKAL",NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","MAHE",NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY","PONDICHERRY",16,89,131,10,60,112,418
"PONDICHERRY","YANAM",NA,NA,NA,NA,NA,NA,NA
