-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblcktab5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to the holding size for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblcktab5.3.csv"
}
-----
"State","District","Block","Marginal (0-1 Ha)","Small (1-2 Ha)","Medium (2-10 Ha)","Big (Greater than 10 Ha)","Total"
"ANDHRA PRADESH","VIJAYA NAGARAM","MAKKUVA",0,1,3,0,4
"ANDHRA PRADESH","VIJAYA NAGARAM","MERAKAMUDIDAM",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","NELLIMARLA",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","PUSAPATIREGA",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","RAMABHADRAPURAM",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","SALUR",1,3,5,0,9
"ANDHRA PRADESH","VIJAYA NAGARAM","SEETHANAGARAM",13,18,56,8,95
"ANDHRA PRADESH","VIJAYA NAGARAM","SRUNGAVARAPUKOTA",0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","ANAKAPALLE",0,1,0,0,1
"ANDHRA PRADESH","VISAKHAPATNAM","ARAKU VALLEY",0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","DEVARAPALLE",0,0,3,0,3
"ANDHRA PRADESH","VISAKHAPATNAM","DUMBRIGUDA",0,0,1,1,2
"ANDHRA PRADESH","VISAKHAPATNAM","HUKUMPETA",0,0,0,8,8
"ANDHRA PRADESH","VISAKHAPATNAM","MADUGULA",0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","MUNAGAPAKA",7,9,8,1,25
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",0,0,0,0,0
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",0,0,0,0,0
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",0,0,0,1,1
"ANDHRA PRADESH","WARANGAL","DORNAKAL",3,8,3,1,15
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",61,182,53,0,296
"ANDHRA PRADESH","WARANGAL","GUDUR",1,8,7,0,16
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",0,0,0,0,0
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",2,54,26,0,82
"ANDHRA PRADESH","WARANGAL","MANGAPET",0,5,5,1,11
"ANDHRA PRADESH","WARANGAL","MULUG",30,38,61,0,129
"ANDHRA PRADESH","WARANGAL","TADVAI",0,0,1,0,1
"ANDHRA PRADESH","WARANGAL","THORRUR",8,8,3,0,19
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",8,23,26,7,64
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI","ELURU",0,0,6,1,7
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",0,0,0,7,7
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",5,9,8,2,24
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",0,0,0,0,0
"ASSAM","BARPETA","BAJALI",0,1,3,1,5
"ASSAM","BARPETA","BARPETA",0,3,27,0,30
"ASSAM","BARPETA","BHAWANIPUR",0,3,4,1,8
"ASSAM","BARPETA","CHENGA",0,0,2,0,2
"ASSAM","BARPETA","GOBARDHANA",0,5,18,0,23
"ASSAM","BARPETA","JALAH",1,5,38,0,44
"ASSAM","BARPETA","MANDIA",3,16,32,0,51
"ASSAM","BARPETA","RUPSI",0,19,22,0,41
"ASSAM","BONGAIGAON","BOITAMARI",0,6,33,0,39
"ASSAM","BONGAIGAON","BOROBAZAR",0,7,50,0,57
"ASSAM","BONGAIGAON","MANIKPUR",0,2,11,0,13
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",0,0,10,0,10
"ASSAM","BONGAIGAON","SRIJANGRAM",0,0,1,0,1
"ASSAM","CACHAR","KATIGORA",0,0,0,0,0
"ASSAM","CACHAR","RAJABAZAR",0,0,0,0,0
"ASSAM","CACHAR","SALCHAPRA",0,0,0,0,0
"ASSAM","CACHAR","SONAI",0,0,0,0,0
"ASSAM","CACHAR","UDARBOND",0,0,0,0,0
"ASSAM","DARRANG","DALGAON SIALMARI",0,0,93,0,93
"ASSAM","DARRANG","KALAIGAON",0,0,52,0,52
"ASSAM","DARRANG","KHAIRABARI",1,21,66,0,88
"ASSAM","DARRANG","MAZBAT",0,7,61,0,68
"ASSAM","DARRANG","SIPAJHAR",3,71,113,1,188
"ASSAM","DARRANG","UDALGURI",0,8,33,0,41
"ASSAM","DHEMAJI","BORDOLONI",0,0,75,0,75
"ASSAM","DHEMAJI","DHEMAJI",0,0,56,0,56
"ASSAM","DHEMAJI","MURKONGSELLECK",0,0,2,0,2
"ASSAM","DHUBRI","AGAMONI",0,0,1,0,1
"ASSAM","DHUBRI","BILASIPARA",0,0,30,0,30
"ASSAM","DHUBRI","CHAPAR SALKOCHA",0,0,0,0,0
"ASSAM","DHUBRI","GAURIPUR",0,0,1,0,1
"ASSAM","DHUBRI","GOLOKGANJ",0,3,11,0,14
"ASSAM","DHUBRI","MANKACHAR",0,0,0,0,0
"ASSAM","DHUBRI","SOUTH SALMARA",0,3,2,0,5
"ASSAM","DIBRUGARH","BARBARUAH",0,13,65,0,78
"ASSAM","DIBRUGARH","JOYPUR",0,3,41,0,44
"ASSAM","DIBRUGARH","KHOWANG",0,0,144,0,144
"ASSAM","DIBRUGARH","LAHOWAL",0,0,35,0,35
"ASSAM","DIBRUGARH","TENGAKHAT",2,9,61,0,72
"ASSAM","GOALPARA","BALIJANA",0,0,116,0,116
"ASSAM","GOALPARA","DUDHNOI",1,22,161,4,188
"ASSAM","GOALPARA","LAKHIPUR",0,1,81,0,82
"ASSAM","GOALPARA","MATIA",5,25,40,0,70
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",0,13,53,0,66
"ASSAM","GOLAGHAT","GOLAGHAT EAST",0,0,23,0,23
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",0,0,0,0,0
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",1,37,135,0,173
"ASSAM","GOLAGHAT","GOLAGHAT WEST",0,0,14,0,14
"ASSAM","GOLAGHAT","GOMARIGURI",0,52,0,0,52
"ASSAM","HAILAKANDI","HAILAKANDI",0,0,0,0,0
"ASSAM","HAILAKANDI","KATLICHARA",0,0,0,0,0
"ASSAM","HAILAKANDI","LALA",0,0,0,0,0
"ASSAM","JORHAT","JORHAT",0,112,53,0,165
"ASSAM","JORHAT","JORHAT CENTRAL",0,28,212,0,240
"ASSAM","JORHAT","JORHAT EAST",0,30,169,0,199
"ASSAM","JORHAT","MAJULI",0,158,181,0,339
"ASSAM","JORHAT","NORTH WEST JORHAT",0,11,67,0,78
"ASSAM","JORHAT","TITABOR",3,159,108,0,270
"ASSAM","KAMRUP","BOKO BANGAON",0,21,91,0,112
"ASSAM","KAMRUP","CHAMARIA",0,15,26,0,41
"ASSAM","KAMRUP","CHANDRAPUR",0,0,0,0,0
"ASSAM","KAMRUP","CHHAYGAON",0,9,24,2,35
"ASSAM","KAMRUP","DIMORIA",2,97,252,1,352
"ASSAM","KAMRUP","HAJO",0,2,17,0,19
"ASSAM","KAMRUP","KAMALPUR",9,16,20,0,45
"ASSAM","KAMRUP","KARARA",0,1,10,0,11
"ASSAM","KAMRUP","RAMPUR",0,0,23,1,24
"ASSAM","KAMRUP","RANGIA",0,0,22,0,22
"ASSAM","KAMRUP","RANI",0,2,1,0,3
"ASSAM","KARBI ANGLONG","BOKAJAN",0,0,0,1,1
"ASSAM","KARBI ANGLONG","HOWRAGHAT",0,0,0,0,0
"ASSAM","KARBI ANGLONG","LUMBAJONG",0,0,15,0,15
"ASSAM","KARBI ANGLONG","RONGKHONG",0,0,9,0,9
"ASSAM","KARIMGANJ","BADARPUR",0,0,0,0,0
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",0,0,0,0,0
"ASSAM","KARIMGANJ","PATHARKANDI",0,0,0,0,0
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",0,0,0,0,0
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",0,0,0,0,0
"ASSAM","KOKRAJHAR","DOTOMA",0,0,0,0,0
"ASSAM","KOKRAJHAR","GOSSAIGAON",0,0,0,0,0
"ASSAM","KOKRAJHAR","KACHUGAON",8,4,20,0,32
"ASSAM","KOKRAJHAR","KOKRAJHAR",44,2,4,0,50
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",0,0,0,0,0
"ASSAM","LAKHIMPUR","BIHPURIA",0,0,12,0,12
"ASSAM","LAKHIMPUR","BORDALANI",0,0,6,0,6
"ASSAM","LAKHIMPUR","DHAKUAKHANA",0,0,22,0,22
"ASSAM","LAKHIMPUR","LAKHIMPUR",0,0,52,0,52
"ASSAM","LAKHIMPUR","NARAYANPUR",0,0,23,0,23
"ASSAM","LAKHIMPUR","NOWBOICHA",0,0,35,0,35
"ASSAM","MARIGAON","BHURBANDHA",0,1,71,0,72
"ASSAM","MARIGAON","KAPILI",0,1,16,0,17
"ASSAM","MARIGAON","LAHARIGHAT",0,29,185,0,214
"ASSAM","MARIGAON","MAYONG",0,6,96,1,103
"ASSAM","NAGAON","BATADRAVA",0,8,43,0,51
"ASSAM","NAGAON","JUGIJAN",0,1,108,0,109
"ASSAM","NAGAON","JURIA",0,1,142,0,143
"ASSAM","NAGAON","KALIABOR",1,43,152,0,196
"ASSAM","NAGAON","KAPILI",0,32,72,0,104
"ASSAM","NAGAON","KAPILI PT.I",2,65,239,0,306
"ASSAM","NAGAON","KATHIATOLI",0,18,485,1,504
"ASSAM","NAGAON","KHAGARIJAN",0,11,113,2,126
"ASSAM","NAGAON","LANKA",0,20,199,1,220
"ASSAM","NAGAON","LAOKHOWA",0,1,73,0,74
"ASSAM","NAGAON","RUPAHI",0,6,50,0,56
"ASSAM","NALBARI","BARIGOG BANBHAG",0,4,26,0,30
"ASSAM","NALBARI","BARKHETRI",0,4,10,0,14
"ASSAM","NALBARI","BASKA",0,0,24,2,26
"ASSAM","NALBARI","PASCHIM NALBARI",0,2,21,0,23
"ASSAM","NALBARI","PUB NALBARI",1,20,24,0,45
"ASSAM","NALBARI","TAMULPUR",0,1,22,1,24
"ASSAM","NALBARI","TIHU BARAMA",0,2,26,0,28
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",0,0,0,0,0
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",0,0,0,0,0
"ASSAM","SIBSAGAR","AMGURI",0,0,1,0,1
"ASSAM","SIBSAGAR","DEMOW",0,0,122,0,122
"ASSAM","SIBSAGAR","NAZIRA",0,0,0,0,0
"ASSAM","SIBSAGAR","SAPEKHATI",54,136,22,0,212
"ASSAM","SIBSAGAR","SIBSAGAR",0,0,0,0,0
"ASSAM","SIBSAGAR","SONARI",3,42,171,0,216
"ASSAM","SONITPUR","BALIPARA",0,3,48,1,52
"ASSAM","SONITPUR","BEHALI",1,6,15,2,24
"ASSAM","SONITPUR","BISWANATH",0,5,42,0,47
"ASSAM","SONITPUR","CHAIDUAR",2,11,164,0,177
"ASSAM","SONITPUR","DHEKIAJULI",0,2,50,0,52
"ASSAM","SONITPUR","GABHORU",0,0,2,0,2
"ASSAM","SONITPUR","NADUAR",0,48,114,0,162
"ASSAM","TINSUKIA","HAPJAN",2,10,10,0,22
"ASSAM","TINSUKIA","KAKOPATHAR",19,15,12,0,46
"ASSAM","TINSUKIA","MARGHERITA",7,44,7,0,58
"ASSAM","TINSUKIA","SADIYA",11,101,124,0,236
"BIHAR","ARARIA","BHARGAMA",0,0,0,0,0
"BIHAR","ARARIA","FORBESGANJ",0,0,0,0,0
"BIHAR","ARARIA","JOKIHAT",0,0,0,0,0
"BIHAR","ARARIA","PALASI",0,0,0,0,0
"BIHAR","AURANGABAD","AURANGABAD",0,0,0,0,0
"BIHAR","AURANGABAD","BARUN",0,0,0,0,0
"BIHAR","AURANGABAD","GOH",0,0,0,0,0
"BIHAR","AURANGABAD","HASPURA",0,0,0,0,0
"BIHAR","AURANGABAD","KUTUMBA",0,0,1,0,1
"BIHAR","AURANGABAD","NABINAGAR",0,1,2,0,3
"BIHAR","AURANGABAD","OBRA",1,0,4,4,9
"BIHAR","AURANGABAD","RAFIGANJ",4,12,0,1,17
"BIHAR","BANKA","AMARPUR",0,0,0,0,0
"BIHAR","BANKA","BANKA",0,0,0,0,0
"BIHAR","BANKA","BAUSI",0,1,1,0,2
"BIHAR","BANKA","CHANAN",7,2,4,0,13
"BIHAR","BANKA","DHURAIYA",2,1,0,0,3
"BIHAR","BANKA","KATORIA",11,2,2,0,15
"BIHAR","BANKA","SAMBHUGANJ",0,0,0,0,0
"BIHAR","BEGUSARAI","BACHHAWARA",0,0,0,0,0
"BIHAR","BEGUSARAI","BAKHARI",0,0,0,0,0
"BIHAR","BEGUSARAI","BEGUSARAI",0,0,0,0,0
"BIHAR","BEGUSARAI","BHAGAWANPUR",0,0,0,0,0
"BIHAR","BEGUSARAI","BIRPUR",1,0,0,0,1
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",0,0,2,0,2
"BIHAR","BEGUSARAI","DANDARI",0,0,0,0,0
"BIHAR","BEGUSARAI","GARHPURA",0,0,0,0,0
"BIHAR","BEGUSARAI","KHUDABANDPUR",0,0,1,0,1
"BIHAR","BEGUSARAI","MANSURCHAK",0,0,0,0,0
"BIHAR","BEGUSARAI","NAOKHOTHI",0,0,0,0,0
"BIHAR","BHABUA","ADHAURA",0,0,0,0,0
"BIHAR","BHABUA","BHABUA",0,0,1,0,1
"BIHAR","BHABUA","BHAGWANPUR",0,0,0,0,0
"BIHAR","BHABUA","CHAINPUR",0,12,0,0,12
"BIHAR","BHABUA","CHAND",0,0,0,0,0
"BIHAR","BHABUA","DURGAWATI",0,0,0,0,0
"BIHAR","BHABUA","KUDRA",1,1,0,0,2
"BIHAR","BHABUA","MOHANIA",0,0,0,0,0
"BIHAR","BHABUA","RAMGAR",0,0,0,0,0
"BIHAR","BHAGALPUR","JAGDISHPUR",0,0,0,0,0
"BIHAR","BHAGALPUR","KAHALGAON",0,0,0,0,0
"BIHAR","BHAGALPUR","KHARIK",0,0,0,0,0
"BIHAR","BHAGALPUR","NATHNAGAR",3,0,2,1,6
"BIHAR","BHAGALPUR","NAUGACHHIA",0,0,0,0,0
"BIHAR","BHAGALPUR","PIRPAINTI",0,0,4,2,6
"BIHAR","BHAGALPUR","RANGRACHOWK",0,0,0,0,0
"BIHAR","BHAGALPUR","SABOUR",0,0,0,0,0
"BIHAR","BHAGALPUR","SHAHKUND",24,1,0,0,25
"BIHAR","BHAGALPUR","SONHAULLA",0,2,2,0,4
"BIHAR","BHAGALPUR","SULTANGANJ",0,0,0,0,0
"BIHAR","BHOJPUR","AGIAON",0,0,0,0,0
"BIHAR","BHOJPUR","ARRAHSADAR",0,0,0,0,0
"BIHAR","BHOJPUR","BARBARA",1,0,0,0,1
"BIHAR","BHOJPUR","BEHIA",0,0,0,0,0
"BIHAR","BHOJPUR","GARHANI",0,0,0,0,0
"BIHAR","BHOJPUR","KOILWAR",0,0,0,0,0
"BIHAR","BHOJPUR","SAHAR",0,0,0,0,0
"BIHAR","BHOJPUR","SAHPUR",3,0,0,0,3
"BIHAR","BHOJPUR","SANDISH",0,0,0,0,0
"BIHAR","BHOJPUR","TARARI",6,1,14,0,21
"BIHAR","BHOJPUR","UDWABTNAGAR",4,0,0,0,4
"BIHAR","BOKARO","CHAS",0,0,0,0,0
"BIHAR","BUXAR","BUXAR",0,0,0,2,2
"BIHAR","BUXAR","ITARHI",0,0,0,0,0
"BIHAR","BUXAR","RAJPUR",0,0,5,0,5
"BIHAR","CHAMPARAN EAST","ADAPUR",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","CHAURADANO",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","CHIRAIYA",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","GHORASAHAN",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","HARSIDHI",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","KALYANPUR",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","MADHUBAN",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","PAKARIDAYAL",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","PIPRAKOTHI",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","RAMGARHWA",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","RAXAUL",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","SUGAULI",1,9,0,0,10
"BIHAR","CHAMPARAN EAST","TETARIA",0,0,0,0,0
"BIHAR","CHAMPARAN EAST","TURKAULIA",0,0,0,0,0
"BIHAR","CHAMPARAN WEST","GAUNAHA",0,6,1,1,8
"BIHAR","CHAMPARAN WEST","LAURIYA",0,0,0,0,0
"BIHAR","CHAMPARAN WEST","MAJHAWALIA",0,0,0,4,4
"BIHAR","CHAMPARAN WEST","NAUTAN",0,0,0,0,0
"BIHAR","CHATRA","CHATRA",0,1,0,0,1
"BIHAR","CHATRA","GIDDHAUR",0,0,0,0,0
"BIHAR","CHATRA","HUNTERGANJ",1,1,3,0,5
"BIHAR","CHATRA","ITKHORI",0,0,0,0,0
"BIHAR","CHATRA","LAVALONG",0,0,0,0,0
"BIHAR","CHATRA","PATTHERGARHA",0,0,0,0,0
"BIHAR","CHATRA","PRATAP PUR",1,0,0,0,1
"BIHAR","CHATRA","SEMARIA",0,2,4,0,6
"BIHAR","CHATRA","TANDAWA",0,0,0,0,0
"BIHAR","DARBHANGA","BAHERI",0,0,0,0,0
"BIHAR","DARBHANGA","BENIPUR",0,0,0,0,0
"BIHAR","DARBHANGA","DARBHANGA",1,1,3,0,5
"BIHAR","DARBHANGA","GHANSHYAMPUR",0,0,0,0,0
"BIHAR","DARBHANGA","KEOTI(RANWAY)",0,0,0,0,0
"BIHAR","DARBHANGA","KVSHESHWAR ASTHAN",0,0,0,0,0
"BIHAR","DARBHANGA","MANIGACHHI",0,0,0,0,0
"BIHAR","DEOGHAR","KARON",130,10,11,15,166
"BIHAR","DEOGHAR","MADHUPUR",55,22,62,7,146
"BIHAR","DEOGHAR","SARATH",31,11,25,1,68
"BIHAR","DHANBAD","BAGHMARA",0,1,0,0,1
"BIHAR","DHANBAD","NIRSA",9,30,16,0,55
"BIHAR","DHANBAD","TUNDI",1,1,2,0,4
"BIHAR","DUMKA","DUMKA",5,3,0,0,8
"BIHAR","DUMKA","GOPIKANDAR",0,0,0,0,0
"BIHAR","DUMKA","JAMA",31,7,2,0,40
"BIHAR","DUMKA","JAMTARA",10,18,9,1,38
"BIHAR","DUMKA","JARMUNDI",3,1,1,1,6
"BIHAR","DUMKA","KATHIKUND",48,118,37,0,203
"BIHAR","DUMKA","KUNDHIT",26,8,2,0,36
"BIHAR","DUMKA","MASALIA",144,125,90,2,361
"BIHAR","DUMKA","NALA",174,143,30,0,347
"BIHAR","DUMKA","NARAYANPUR",32,60,20,4,116
"BIHAR","DUMKA","RAMGARH",2,0,0,0,2
"BIHAR","DUMKA","RANESHWAR",16,26,27,21,90
"BIHAR","DUMKA","SHIKARIPARA",78,117,88,1,284
"BIHAR","GARHWA","BHANDARIA",0,0,0,0,0
"BIHAR","GARHWA","BHAWNATHPUR",0,0,1,0,1
"BIHAR","GARHWA","CHIRIA",0,0,0,0,0
"BIHAR","GARHWA","DHURKI",1,12,6,5,24
"BIHAR","GARHWA","GARHWA",3,0,1,0,4
"BIHAR","GARHWA","MAJHIAURA",0,0,3,1,4
"BIHAR","GARHWA","NAYARKTARI",1,1,1,0,3
"BIHAR","GARHWA","RAMIA",5,1,8,1,15
"BIHAR","GAYA","ATARI",0,1,3,0,4
"BIHAR","GAYA","DUMARIA",3,9,5,0,17
"BIHAR","GAYA","GAYA SADAR",0,0,0,0,0
"BIHAR","GAYA","KHIZIRSORAI",0,0,0,0,0
"BIHAR","GAYA","KONCH",0,0,0,0,0
"BIHAR","GAYA","NIMCHAK BATHANI",0,0,0,0,0
"BIHAR","GAYA","TANKUPPA",0,1,0,1,2
"BIHAR","GIRIDIH","BAGODAR",0,0,0,0,0
"BIHAR","GIRIDIH","BENGABAD",1,2,5,5,13
"BIHAR","GIRIDIH","BIRNI",3,7,4,2,16
"BIHAR","GIRIDIH","DEORI",0,0,0,0,0
"BIHAR","GIRIDIH","DYMIR",2,3,1,2,8
"BIHAR","GIRIDIH","GANDEY",5,0,0,0,5
"BIHAR","GIRIDIH","GAWAN",0,0,0,0,0
"BIHAR","GIRIDIH","JAMYA",0,0,0,0,0
"BIHAR","GIRIDIH","RAJ DHANWAR",3,1,0,1,5
"BIHAR","GODDA","BOARIJORE",27,49,6,1,83
"BIHAR","GODDA","GODDA",2,1,0,5,8
"BIHAR","GODDA","MAHAGAMA",0,0,0,0,0
"BIHAR","GODDA","MEHARWAN",0,0,1,0,1
"BIHAR","GODDA","PATHARGAMA",1,0,0,0,1
"BIHAR","GODDA","THAKUR BANGTI",4,8,4,6,22
"BIHAR","GOPALGANJ","BAIKUNTHPUR",0,0,0,1,1
"BIHAR","GOPALGANJ","BARAULI",0,0,0,0,0
"BIHAR","GOPALGANJ","BHOREY",0,0,0,0,0
"BIHAR","GOPALGANJ","KUCHAIKOTE",1,1,0,0,2
"BIHAR","GOPALGANJ","PHULWARIYA",0,0,0,0,0
"BIHAR","GOPALGANJ","UCHKAGAON",0,0,0,0,0
"BIHAR","GUMLA","BALBA",0,0,0,0,0
"BIHAR","GUMLA","BANO",0,0,0,0,0
"BIHAR","GUMLA","BASIA",0,0,0,0,0
"BIHAR","GUMLA","BHARNO",0,21,0,0,21
"BIHAR","GUMLA","BISHUNPUR",0,0,0,5,5
"BIHAR","GUMLA","CHAINPUR",0,0,0,0,0
"BIHAR","GUMLA","GHAGHRA",0,0,0,0,0
"BIHAR","GUMLA","KANIDARA",0,0,0,0,0
"BIHAR","GUMLA","KOLUBIRA",0,0,0,0,0
"BIHAR","GUMLA","KURDEG",0,0,1,0,1
"BIHAR","GUMLA","PALKOT",20,23,5,0,48
"BIHAR","GUMLA","RAIDIH",21,42,53,0,116
"BIHAR","GUMLA","SIMDEGA",0,3,1,0,4
"BIHAR","GUMLA","SISAI",0,4,3,1,8
"BIHAR","GUMLA","THETHAITANGA",14,3,0,0,17
"BIHAR","HAZARIBAG","BARHI",1,2,0,0,3
"BIHAR","HAZARIBAG","BARKATTHA",0,0,0,0,0
"BIHAR","HAZARIBAG","BISHNUGARH",5,0,0,0,5
"BIHAR","HAZARIBAG","CHAUPARAN",4,2,1,1,8
"BIHAR","HAZARIBAG","CHURCHU",2,1,0,0,3
"BIHAR","HAZARIBAG","GOLA",0,0,0,2,2
"BIHAR","HAZARIBAG","HAZARIBAGH",0,0,0,0,0
"BIHAR","HAZARIBAG","ICHAK",1,0,0,0,1
"BIHAR","HAZARIBAG","KEREDARI",0,1,3,0,4
"BIHAR","HAZARIBAG","PADMA",1,0,0,0,1
"BIHAR","HAZARIBAG","PATRATU",12,0,0,0,12
"BIHAR","JAMUI","BARHAT",1,1,0,3,5
"BIHAR","JAMUI","GIDHOUR",0,0,0,0,0
"BIHAR","JAMUI","JHAJHA",3,6,0,0,9
"BIHAR","JAMUI","LAKSHMIPUR",0,1,1,2,4
"BIHAR","JAMUI","SIKANDRA",7,0,8,5,20
"BIHAR","JAMUI","SONO",1,0,1,1,3
"BIHAR","JEHANABAD","MAKHDOMPUR",0,0,0,0,0
"BIHAR","KATIHAR","BARARI",0,0,0,0,0
"BIHAR","KATIHAR","HASANGANJ",0,0,0,0,0
"BIHAR","KHAGARIA","ALAULI",1,0,0,0,1
"BIHAR","KHAGARIA","CHAUTHAM",55,86,89,23,253
"BIHAR","KHAGARIA","GOGRI",0,0,0,0,0
"BIHAR","KHAGARIA","KHAGARIA",0,0,0,0,0
"BIHAR","KHAGARIA","MANSI",6,95,75,1,177
"BIHAR","KISHANGANJ","BAHADURGANJ",0,0,0,0,0
"BIHAR","KISHANGANJ","KOCHADHAMIN",0,0,0,0,0
"BIHAR","KISHANGANJ","POTHIA",0,0,0,0,0
"BIHAR","KODARMA","CHANDWA",1,0,0,0,1
"BIHAR","KODARMA","JAINAGAR",0,0,0,0,0
"BIHAR","KODARMA","MARKACHO",14,2,5,2,23
"BIHAR","KODARMA","SATGAWAN",0,0,1,0,1
"BIHAR","LAKHISARAI","SURAJGARA",0,0,0,0,0
"BIHAR","LOHARDAGA","BHANDRA",0,0,0,1,1
"BIHAR","LOHARDAGA","KISKO",1,2,0,1,4
"BIHAR","LOHARDAGA","KURU",3,1,1,0,5
"BIHAR","LOHARDAGA","LOHARDAGA",0,0,0,0,0
"BIHAR","LOHARDAGA","SENHA",0,1,1,1,3
"BIHAR","MADHEPURA","KUMAR KHAND",0,0,0,0,0
"BIHAR","MADHEPURA","MADHEPURA",0,0,0,0,0
"BIHAR","MADHEPURA","UDA KISHANGANJ",0,0,0,0,0
"BIHAR","MADHUBANI","ANDHARADATHI",0,0,0,0,0
"BIHAR","MADHUBANI","BASOPATTI",0,0,0,0,0
"BIHAR","MADHUBANI","BENIPATTI",0,0,0,0,0
"BIHAR","MADHUBANI","KHAJAULI",9,4,0,0,13
"BIHAR","MADHUBANI","LADANIA",0,1,0,0,1
"BIHAR","MADHUBANI","LAKHNAUR",0,0,0,0,0
"BIHAR","MADHUBANI","MADHAWAPUR",4,2,1,4,11
"BIHAR","MADHUBANI","MADUBANI",4,13,3,3,23
"BIHAR","MUNGER","DHARHARA",9,0,0,0,9
"BIHAR","MUNGER","JAMALPUR",0,1,0,0,1
"BIHAR","MUNGER","KHARAGPUR",0,0,0,0,0
"BIHAR","MUZAFFARPUR","AURAI",0,0,0,0,0
"BIHAR","MUZAFFARPUR","BANDRA",0,0,0,0,0
"BIHAR","MUZAFFARPUR","MINAPUR",1,0,0,0,1
"BIHAR","MUZAFFARPUR","MORAUL",0,0,0,0,0
"BIHAR","MUZAFFARPUR","MOTIPUR",0,0,0,0,0
"BIHAR","MUZAFFARPUR","SAHEBGANJ",0,0,0,0,0
"BIHAR","MUZAFFARPUR","SAKRA",0,0,0,0,0
"BIHAR","MUZAFFARPUR","SARAIYA",0,0,0,0,0
"BIHAR","NALANDA","ASTHAWAN",0,0,0,1,1
"BIHAR","NALANDA","BEN",0,0,0,0,0
"BIHAR","NALANDA","BIHARSARIF",0,0,0,0,0
"BIHAR","NALANDA","BIND",0,1,1,0,2
"BIHAR","NALANDA","CHANDI",0,0,0,0,0
"BIHAR","NALANDA","EKANGARSARAI",0,0,2,0,2
"BIHAR","NALANDA","GIRIAK",0,0,0,0,0
"BIHAR","NALANDA","HARNAUT",0,0,0,0,0
"BIHAR","NALANDA","HILSA",0,0,0,0,0
"BIHAR","NALANDA","KARAI PARSURAI",0,0,0,0,0
"BIHAR","NALANDA","PARWALPUR",0,0,0,0,0
"BIHAR","NALANDA","RAHUI",0,0,0,0,0
"BIHAR","NALANDA","RAJGIR",0,0,2,3,5
